source_headword	NL	example_NL
rock (music)	rockmuziek	Ik luister graag naar rockmuziek.
role	de rol	Haar rol is belangrijk.
roof	het dak	Het dak moet gerepareerd worden.
round	rond	Deze tafel is rond.
route	de route	Deze route is korter.
rubbish	het afval	Zet het afval buiten.
rude	onbeleefd	Die opmerking was onbeleefd.
runner	de hardloper	De hardloper ziet er moe uit.
running	hardlopen	Hardlopen houdt me gezond.
sadly	helaas	Helaas misten we de trein.
safe	veilig	Deze straat lijkt veilig.
sail	zeilen	We zeilen op zaterdag.
sailing	het zeilen	Zeilen is hier populair.
salary	het salaris	Zijn salaris is nu hoger.
sale	de uitverkoop	De uitverkoop begint morgen.
sauce	de saus	Doe de saus bij de rijst.
save	opslaan	Sla je werk nu op.
scared	bang	Het kind is bang.
scary	eng	Dit verhaal is eng.
scene	de scène	De laatste scène was grappig.
schedule	het schema	Controleer vandaag het schema.
score	de score	Wat is de score?
screen	het scherm	Maak het scherm voorzichtig schoon.
search	zoeken	Zoek foto's op internet.
season	het seizoen	De zomer is een druk seizoen.
seat	de stoel; de zitplaats	Neem deze stoel, alstublieft.
second1 (next after the first)	tweede	Was eerst je handen; tweede, droog ze af.
secondly	ten tweede	Ten tweede, controleer het antwoord.
secret	het geheim	Bewaar dit geheim goed.
secretary	de secretaris; de secretaresse	De secretaris belde vandaag.
seem	lijken	Je lijkt moe.
sense	de zin	Dit plan heeft zin.
separate	apart	Houd de papieren apart.
series	de serie	Deze serie is populair.
serious	ernstig	Dit probleem is ernstig.
serve	serveren	Ze serveren lunch om twaalf uur.
service	de service	De service was snel.
several	verschillende	Verschillende leerlingen kwamen vroeg.
shake	schudden	Schud eerst de fles.
shall modal	zullen	Zullen we nu beginnen?
shape	de vorm	Teken een vierkante vorm.
sheet	het laken	Leg het laken op het bed.
ship	het schip	Het schip vertrok vandaag.
shoulder	de schouder	Mijn schouder doet pijn.
shout	roepen	Roep niet in de klas.
shut	sluiten	Sluit het raam, alstublieft.
side	de kant	Ga aan deze kant zitten.
sign	het bord	Lees het bord goed.
silver	het zilver	Zilver is een helder metaal.
simple	eenvoudig	Deze oefening is eenvoudig.
since	sinds	Ik wacht sinds de middag.
singing	het zingen	Zingen helpt me ontspannen.
single	een enkele	Ik kocht een enkel kaartje.
sir	meneer	Meneer, uw tas is klaar.
site	de website	Deze website is veilig.
size	de maat	Welke maat heb je nodig?
ski	skiën	We skiën in de winter.
skiing	het skiën	Skiën is leuk in de winter.
skin	de huid	Haar huid is droog.
sky	de lucht	De lucht is helder.
slowly	langzaam	Loop langzaam over het ijs.
smartphone	de smartphone	Mijn smartphone is nieuw.
smell	de geur	De soep ruikt lekker.
smile	de glimlach	Glimlach naar de camera.
smoke	de rook	De rook vulde de kamer.
smoking	het roken	Roken is verboden.
soap	de zeep	Gebruik zeep en water.
soccer	voetbal	Voetbal is hier populair.
social	sociaal	Dit is een sociaal evenement.
society	de samenleving	De samenleving verandert met de tijd.
sock	de sok	Er ontbreekt één sok.
soft	zacht	Deze deken is zacht.
soldier	de soldaat	De soldaat kwam thuis.
solution	de oplossing	We vonden een oplossing.
solve	oplossen	Los deze puzzel op.
somewhere	ergens	Leg het ergens veilig neer.
sort	het soort	Welk soort wil je?
source	de bron	Controleer eerst de bron.
speaker	de spreker; de luidspreker	De spreker was duidelijk.
specific	specifiek	Ik heb een specifiek antwoord nodig.
speech	de toespraak	Haar toespraak was kort.
speed	de snelheid	Verminder hier de snelheid.
spider	de spin	Er zit een spin op de muur.
spoon	de lepel	Gebruik een lepel voor de soep.
square	vierkant	Teken een vierkante doos.
stage	het podium	De band staat op het podium.
stair	de trede	De trede is kapot.
stamp	de postzegel	Plak de postzegel op de brief.
state	noemen	Noem duidelijk je naam.
steal	stelen	Steel geen geld.
step	de stap	Doe één stap naar voren.
stomach	de maag	Mijn maag doet pijn.
stone	de steen	De steen is zwaar.
store	de winkel	De winkel sluit vroeg.
storm	de storm	Er komt een storm.
straight	rechtuit	Ga rechtuit naar huis.
strange	vreemd	Dit geluid is vreemd.
strategy	de strategie	We hebben een strategie nodig.
stress	de stress	Werk kan stress veroorzaken.
structure	de structuur	Deze structuur is sterk.
stupid	stom	Dat was een stomme fout.
succeed	slagen	Je kunt hier slagen.
successful	succesvol	Zij is succesvol geworden.
such	zo'n	Zo'n hulp is nuttig.
suddenly	plotseling	Plotseling rende de hond weg.
suggest	voorstellen	Ik stel een korte pauze voor.
suggestion	de suggestie	Je suggestie is nuttig.
suit	het pak	Dit pak is duur.
support	steunen	Wij steunen ons team.
suppose	veronderstellen	Ik veronderstel dat je gelijk hebt.
surprise	de verrassing	De verrassing maakte haar blij.
surprised	verrast	Ze was vandaag verrast.
surprising	verrassend	De uitslag was verrassend.
survey	de enquête	Vul de enquête in.
sweet	zoet	Deze thee is zoet.
symbol	het symbool	Dit symbool betekent gevaar.
system	het systeem	Het systeem werkt goed.
tablet	de tablet	Mijn tablet ligt op het bureau.
target	het doel	Raak het doel voorzichtig.
task	de taak	Deze taak is makkelijk.
taste	de smaak	Proef eerst de soep.
teaching	het lesgeven	Lesgeven is moeilijk werk.
technology	de technologie	Technologie verandert snel.
teenage	tiener	Mijn tienerbroer studeert hard.
temperature	de temperatuur	De temperatuur is laag.
term	de termijn; het semester	Dit semester eindigt binnenkort.
themselves	zichzelf	Ze kookten het avondeten zelf.
thick	dik	Dit boek is dik.
thief	de dief	De dief rende weg.
thin	dun	Het papier is dun.
thinking	het denken	Denken kost tijd.
thought	de gedachte	Ik had een vreemde gedachte.
throw	gooien	Gooi de bal zachtjes.
tidy	netjes	Houd je kamer netjes.
tie	strikken	Strik nu je schoenen.
tip	de fooi	Laat een fooi achter voor de service.
tool	het gereedschap	Gebruik het juiste gereedschap.
top	de bovenkant	De bovenste plank is vol.
touch	aanraken	Raak het glas niet aan.
tour	de rondleiding	We maakten een rondleiding door de stad.
tourism	het toerisme	Toerisme helpt deze stad.
towards	naar	Loop naar het station.
towel	de handdoek	Breng een schone handdoek.
tower	de toren	De toren is erg oud.
toy	het speelgoed	Het speelgoedautootje is rood.
track	het spoor	Het spoor loopt naar het noorden.
tradition	de traditie	Deze traditie is oud.
traditional	traditioneel	Zij droeg traditionele kleding.
trainer	de trainer	Mijn trainer is behulpzaam.
training	de training	De training begint morgen.
transport	het vervoer	Het openbaar vervoer is laat.
traveller	de reiziger	De reiziger vroeg om hulp.
trouble	de problemen	We hadden gisteren problemen.
truck	de vrachtwagen	De vrachtwagen staat buiten.
twin	de tweeling	Mijn tweelingzus is langer.
typical	typisch	Dit is een typische dag.
underground	ondergronds	De trein gaat ondergronds.
understanding	het begrip	Je begrip is juist.
unfortunately	helaas	Helaas is de winkel dicht.
unhappy	ongelukkig	Hij ziet er ongelukkig uit.
uniform	het uniform	Zij draagt een schooluniform.
unit	de eenheid	Deze eenheid is klein.
united	verenigd	Het team bleef verenigd.
unusual	ongewoon	Dit geluid is ongewoon.
used to modal	vroeger	Vroeger woonden we hier.
user	de gebruiker	Elke gebruiker heeft een nummer.
usual	gebruikelijk	Ik nam mijn gebruikelijke plaats.
valley	de vallei	De vallei is groen.
van	het busje	Het busje is vol.
variety	de variatie	We hebben meer variatie nodig.
vehicle	het voertuig	Dit voertuig is langzaam.
view	het uitzicht	Het uitzicht is mooi.
virus	het virus	Het virus maakte hem ziek.
voice	de stem	Haar stem is zacht.
war	de oorlog	De oorlog eindigde jaren geleden.
washing	de was	De was hangt buiten.
wave	de golf	De golf raakte de boot.
weak	zwak	Mijn benen zijn zwak.
web	het web	Het web staat vol informatie.
wedding	de bruiloft	De bruiloft begint binnenkort.
weight	het gewicht	Controleer eerst het gewicht.
wet	nat	Mijn schoenen zijn nat.
wheel	het wiel	Het wiel is kapot.
while	een tijdje	Wacht hier een tijdje.
whole	heel	Ik at de hele appel.
whose	van wie	Van wie is deze telefoon?
wide	breed	De weg is breed.
wild	wild	Wilde dieren leven hier.
wind1	de wind	De wind is sterk.
winner	de winnaar	De winnaar glimlacht.
wish	de wens	Doe een wens.
wood	het hout	De stoel is van hout.
