source_headword	IT	example_IT
hunt	cercare	Cercano funghi in autunno.
hurricane	l'uragano	L'uragano ha danneggiato molte case.
hurry	la fretta	Oggi non c'è fretta.
identity	l'identità	La sua identità è rimasta segreta.
ignore	ignorare	Non ignorare questo avvertimento.
illegal	illegale	È illegale parcheggiare qui.
imaginary	immaginario	La storia ha un'isola immaginaria.
immediate	immediato	Abbiamo bisogno di una risposta immediata.
immigrant	l'immigrato	L'immigrato ha imparato rapidamente l'inglese.
impact	l'impatto	La notizia ha avuto un forte impatto.
import	importare	Il paese importerà più riso.
importance	l'importanza	Ha capito l'importanza del sonno.
impression	l'impressione	La sua prima impressione è stata positiva.
impressive	impressionante	Il museo ha un ingresso impressionante.
improvement	il miglioramento	C'è stato un chiaro miglioramento questo mese.
incredibly	incredibilmente	Il test era incredibilmente difficile.
indeed	infatti	È stata infatti una giornata strana.
indicate	indicare	Il cartello indicherà l'uscita.
indirect	indiretto	Ha dato una risposta indiretta.
indoor	interno	L'hotel ha una piscina interna.
indoors	al chiuso	Siamo rimasti al chiuso durante la tempesta.
influence	l'influenza	Il suo insegnante ha avuto una forte influenza.
ingredient	l'ingrediente	La farina è l'ingrediente principale.
injure	ferire	Non ferirti la schiena.
injured	ferito	Il giocatore ferito ha lasciato il campo.
innocent	innocente	Il bambino sembrava completamente innocente.
intelligence	l'intelligenza	Ha mostrato grande intelligenza in classe.
intend	avere intenzione	Ho intenzione di studiare all'estero.
intention	l'intenzione	La sua intenzione era aiutare.
invest	investire	Investono denaro nell'istruzione.
investigate	indagare	La polizia indagherà sull'incidente.
involved	coinvolto	Diversi studenti erano coinvolti.
iron	il ferro	Il cancello è fatto di ferro.
issue	il problema	Questo è un problema serio.
IT	l'informatica	Lei lavora nell'informatica.
journal	il diario	Scrive in un diario.
judge	il giudice	Il giudice ha ascoltato attentamente.
keen	entusiasta	È entusiasta di imparare.
keyboard	la tastiera	La mia tastiera ha smesso di funzionare.
kick	calciare	Calcia la palla delicatamente.
killing	l'uccisione	L'uccisione ha sconvolto il villaggio.
kind (caring)	gentile	È stato un gesto gentile.
kiss	il bacio	Ha dato un bacio al bambino.
label	l'etichetta	Leggi l'etichetta prima dell'uso.
laboratory	il laboratorio	Il laboratorio è chiuso oggi.
lack	la mancanza	La mancanza di sonno danneggia la memoria.
latest	l'ultimo	Hai letto l'ultimo rapporto?
lay	posare	Posa il libro sul tavolo.
layer	lo strato	Aggiungi un altro strato di vernice.
leading	di spicco	È una scienziata di spicco.
leaf	la foglia	Una foglia è caduta sul mio cappotto.
leather	la pelle	La sua borsa è fatta di pelle.
legal	legale	Abbiamo bisogno di consulenza legale.
leisure	il tempo libero	Leggere è la mia attività preferita nel tempo libero.
length	la lunghezza	Misura la lunghezza della stanza.
lie2 (tell a lie)	mentire	Non mentire ai tuoi genitori.
limit	il limite	Il limite di velocità è cinquanta.
lip	il labbro	Si è morsa il labbro.
liquid	il liquido	L'acqua è un liquido trasparente.
literature	la letteratura	Studia letteratura francese.
live2	dal vivo	La band ha suonato dal vivo ieri sera.
living	vivente	Le piante viventi hanno bisogno di luce.
locate	localizzare	Puoi localizzare il file?
located	situato	L'ufficio si trova in centro.
location	la posizione	Questa è una buona posizione.
lonely	solo	Si è sentito solo dopo il trasloco.
loss	la perdita	La perdita è stata dura per tutti.
luxury	il lusso	L'hotel offre vero lusso.
mad	arrabbiato	Era arrabbiata per il ritardo.
magic	la magia	Lo spettacolo era pieno di magia.
mainly	principalmente	Il gruppo è composto principalmente da studenti.
mall	il centro commerciale	Ci siamo incontrati al centro commerciale.
management	la gestione	Una buona gestione fa risparmiare tempo.
marketing	il marketing	Il marketing aiuta a vendere il prodotto.
marriage	il matrimonio	Il loro matrimonio è durato trent'anni.
meanwhile	nel frattempo	Ho cucinato la cena nel frattempo.
measure	misurare	Misura il tavolo con attenzione.
medium	medio	Ho ordinato una pizza media.
mental	mentale	Lo stress influisce sulla salute mentale.
mess	il disordine	Pulisci questo disordine.
mild	delicato	La zuppa ha un sapore delicato.
mine (hole in the ground)	la miniera	La miniera ha chiuso l'anno scorso.
mix	mescolare	Mescola le uova con il latte.
mixture	la miscela	La miscela è diventata densa.
mood	l'umore	La musica ha cambiato il suo umore.
mud	il fango	Le sue scarpe erano coperte di fango.
murder	l'omicidio	L'omicidio è avvenuto di notte.
muscle	il muscolo	L'esercizio sviluppa i muscoli.
mystery	il mistero	La vecchia casa è un mistero.
nail	l'unghia	Mi sono rotta un'unghia.
narrative	la narrazione	Il romanzo ha una narrazione chiara.
nation	la nazione	Tutta la nazione ha festeggiato.
native	madrelingua	Lo spagnolo è la sua lingua madre.
naturally	naturalmente	I bambini imparano naturalmente giocando.
necessarily	necessariamente	Il cibo costoso non è necessariamente migliore.
needle	l'ago	L'ago è molto affilato.
neighbourhood	il quartiere	Vivono in un quartiere tranquillo.
net	la rete	Il pescatore ha riparato la sua rete.
nor	né	Non ha né sorriso né parlato.
northern	settentrionale	Hanno visitato la costa settentrionale.
nuclear	nucleare	Il dibattito riguardava l'energia nucleare.
obvious	ovvio	La risposta era ovvia.
obviously	ovviamente	Ovviamente abbiamo bisogno di più tempo.
occasion	l'occasione	Questa è un'occasione speciale.
occur	accadere	Gli incidenti possono accadere ovunque.
odd	strano	Quella era una domanda strana.
official	ufficiale	Il risultato ufficiale è arrivato oggi.
old-fashioned	vecchio stile	Il suo telefono sembra vecchio stile.
operation	l'operazione	L'operazione è durata due ore.
organized	organizzato	La sua scrivania è molto organizzata.
organizer	l'organizzatore	L'organizzatore ha accolto gli ospiti.
originally	originariamente	Lei veniva originariamente dal Canada.
ought modal	dovrebbe	Dovresti riposare.
ours	nostro	Questo tavolo è nostro.
outdoor	da esterno	Abbiamo comprato mobili da esterno.
outdoors	all'aperto	I bambini dovrebbero giocare all'aperto.
package	il pacco	Il pacco è arrivato stamattina.
painful	doloroso	Il taglio era doloroso.
pale	pallido	Il suo viso sembrava pallido.
pan	la padella	Scalda prima la padella.
participate	partecipare	Tutti possono partecipare.
particularly	particolarmente	Mi piace particolarmente questa canzone.
passion	la passione	La musica è la sua passione.
path	il sentiero	Segui il sentiero attraverso il parco.
payment	il pagamento	Il pagamento è dovuto domani.
peaceful	pacifico	Il giardino è pacifico.
percentage	la percentuale	Una piccola percentuale era d'accordo.
perfectly	perfettamente	Il piano ha funzionato perfettamente.
performance	la prestazione	La sua prestazione è stata eccellente.
personally	personalmente	Personalmente preferisco il tè.
persuade	persuadere	Puoi persuaderlo a unirsi?
