source_headword	ET	example_ET
absorb	neelama	Rätik imab vett kiiresti.
abstract	abstraktne	Loengus arutati abstraktseid ideid.
accent	aktsent	Tema aktsenti on lihtne mõista.
accidentally	kogemata	Ma kustutasin faili kogemata.
accommodate	kohandama	Hotell suudab majutada suuri peresid.
accomplish	saavutama	Ta saavutas oma eesmärgi enne juunit.
accountant	raamatupidaja	Raamatupidaja kontrollis arvet.
accuracy	täpsus	Test mõõdab lugemise täpsust.
accurately	täpselt	Kaart näitab marsruuti täpselt.
acid	hape	Hape kahjustas metallpinda.
activate	aktiveerima	Alarmi aktiveerimiseks vajutage nuppu.
addiction	sõltuvus	Tema sõltuvus mõjutas ta tööd.
additionally	lisaks	Lisaks vajame me rohkem toole.
adequate	adekvaatne	Toas on piisavalt valgust.
adequately	adekvaatselt	Aruanne selgitas probleemi piisavalt.
adjust	kohandama	Enne sõitmist reguleerige istet.
affordable	taskukohane	Korter on tudengitele taskukohane.
agriculture	põllumajandus	Põllumajandus toetab paljusid maaperesid.
AIDS	AIDS	Arstid ravivad AIDSi moodsate ravimitega.
alien	tulnukas	Film näitab võõrast planeeti.
alongside	kõrval	Jalgrattatee kulgeb jõe kõrval.
altogether	täielikult	Kokku kestis projekt kuus nädalat.
ambulance	kiirabi	Kiirabi saabus mõne minutiga.
amusing	lõbus	Lugu oli lõbus ja kerge.
analyst	analüütik	Analüütik vaatas müügiandmed üle.
ancestor	esivanem	Mu esivanem elas selle küla lähedal.
animation	animatsioon	Animatsioon muutis tunni selgemaks.
annually	igal aastal	Festival toimub igal aastal.
anticipate	ette nägema	Me ootame homme tihedat liiklust.
anxiety	ärevus	Ärevus võib muuta magamise raskeks.
apology	vabandus	Ta esitas siira vabanduse.
applicant	kandidaat	Kandidaat saatis uue CV.
appropriately	asjakohaselt	Palun riietuge intervjuuks sobivalt.
arrow	nool	Nool näitab väljapääsu poole.
artwork	kunstiteos	Muuseum pani välja kohalikke kunstiteoseid.
aside	kõrvale	Ta astus kõrvale, et lasta tal mööduda.
asset	vara	Kogemus on väärtuslik vara.
assign	määrama	Õpetaja andis täna kodutööd.
assistance	abi	Palun küsige personalilt abi.
assumption	eeldus	See eeldus võib olla vale.
assure	kinnitama	Ma kinnitan teile, et uks on lukus.
astonishing	hämmastav	Vaade kaljult oli hämmastav.
attachment	manus	E-kiri sisaldab manust.
auction	oksjon	Maal müüdi oksjonil.
audio	heli	Helisalvestis kõlab selgelt.
automatic	automaatne	Uksel on automaatne lukk.
automatically	automaatselt	Tuled süttivad automaatselt.
awareness	teadlikkus	Kampaania tõstis üldsuse teadlikkust.
awkward	kohmakas	Vaikus tundus piinlik.
badge	märk	Külastajad peavad kandma märki.
balanced	tasakaalustatud	Tasakaalustatud toitumine sisaldab köögivilju.
ballet	ballett	Ta õpib pärast kooli balletti.
balloon	õhupall	Õhupall hõljus laua kohal.
barely	vaevu	Ta vaevalt kuulis teadet.
bargain	soodne tehing	See jope oli tõeliselt soodne ost.
basement	kelder	Kastid on keldris.
basket	korv	Ta pani õunad korvi.
bat	nahkhiir	Nahkhiir lendas koopast välja.
beneficial	kasulik	Regulaarne treening on tervisele kasulik.
beside	kõrval	Lamp seisab diivani kõrval.
besides	pealegi	Lisaks matemaatikale õpib ta keemiat.
bias	eelarvamus	Artikkel näitas selget kallutatust.
bid	pakkumine	Ettevõte tegi kõrgema pakkumise.
