source_headword	NE	example_NE
incur	लाग्नु	ढिलाइले थप लागतहरू लाग्न सक्छ।
indicator	सूचक	बेरोजगारी एक आर्थिक सूचक हो।
indictment	अभियोग	अभियोगमा तीन आरोपहरू सूचीबद्ध थिए।
indigenous	आदिवासी	यहाँ आदिवासी बोटबिरुवाहरू राम्ररी बढ्छन्।
induce	प्रेरित गर्नु	औषधिले निद्रा प्रेरित गर्न सक्छ।
indulge	मग्न हुनु	उनी महँगा बानीहरूमा मग्न हुन्नन्।
inequality	असमानता	आय असमानता अझै पनि एक प्रमुख समस्या हो।
infamous	कुख्यात	त्यो जेल विश्वभर कुख्यात बन्यो।
infant	शिशु	शिशु खाटमा सुत्यो।
infect	संक्रमित गर्नु	भाइरसले स्वस्थ कोषहरूलाई संक्रमित गर्न सक्छ।
inflict	पीडा दिनु	जनावरहरूलाई पीडा नदिनुहोस्।
influential	प्रभावशाली	उनी एक प्रभावशाली कानुनी विद्वान हुन्।
inherent	अन्तर्निहित	डिजाइनमा अन्तर्निहित जोखिमहरू छन्।
inhibit	रोक्नु	डरले इमानदार छलफललाई रोक्न सक्छ।
initiate	सुरु गर्नु	प्रबन्धकले समीक्षा सुरु गर्नेछन्।
inject	सुई लगाउनु	नर्सले खोपको सुई लगाउनेछिन्।
injection	सुई	सुईले दुखाइ कम गर्‍यो।
injustice	अन्याय	फैसलाले स्पष्ट अन्यायलाई उजागर गर्‍यो।
inmate	कैदी	कैदीले कानुनी सल्लाह माग्यो।
insertion	घुसाउने काम	फारममा एउटा पाठ घुसाउन आवश्यक छ।
insider	भित्री व्यक्ति	एक भित्री व्यक्तिले प्रतिवेदन चुहायो।
inspect	निरीक्षण गर्नु	अधिकारीहरूले बर्सेनि पुलको निरीक्षण गर्छन्।
inspection	निरीक्षण	निरीक्षणले गम्भीर क्षति फेला पार्यो।
inspiration	प्रेरणा	उनको भाषणले मलाई प्रेरणा दियो।
instinct	प्रवृत्ति	उसको पहिलो प्रवृत्ति मद्दत गर्ने थियो।
institutional	संस्थागत	संस्थागत नियमहरूले निर्णयलाई आकार दिए।
instruct	निर्देशन दिनु	म्यानुअलले नयाँ कर्मचारीहरूलाई निर्देशन दिनेछ।
instrumental	सहायक	वार्तामा उनको सल्लाह सहायक थियो।
insufficient	अपर्याप्त	आरोपहरूको लागि प्रमाण अपर्याप्त थियो।
insult	अपमान	उसको अपमानले कुराकानी टुंग्यायो।
intact	अखण्डित	प्राचीन पर्खाल अखण्डित रह्यो।
