source_headword	RU	example_RU
abandon	оставить; отказаться	Они вчера отказались от плана.
absolute	полный; абсолютный	Здесь нужна полная честность.
acceptable	приемлемый	Его ответ был приемлемым.
accompany	сопровождать	Брат проводил её домой.
accurate	точный	Отчет кажется точным.
accuse	обвинять	Его обвинили во лжи.
acknowledge	признать	Пожалуйста, признайте ошибку.
acquire	приобретать	Она быстро приобрела новые навыки.
actual	фактический; настоящий	Фактическая стоимость была ниже.
adapt	приспособиться; адаптировать	Мы приспособились к переменам.
additional	дополнительный	Сегодня прибыла дополнительная помощь.
administration	администрация	Администрация изменила правила.
adopt	принять; усыновить	Они приняли новый метод.
advance	прогресс; продвижение	Мы добились небольшого прогресса.
affair	дело; скандал	Этот скандал подорвал общественное доверие.
afterwards	после этого	После этого все успокоились.
agency	агентство	Агентство наняло трех переводчиков.
agenda	повестка	Безопасность включена в повестку.
aggressive	агрессивный	Его тон звучал агрессивно.
aid	помощь	Медицинская помощь прибыла быстро.
aircraft	воздушное судно; самолет	Самолет благополучно приземлился.
alter	изменять	Не изменяйте соглашение.
anger	гнев	Его гнев всех удивил.
angle	угол	Попробуйте другой угол камеры.
anniversary	годовщина	Их годовщина будет завтра.
annual	ежегодный	Ежегодное собрание начнется в понедельник.
anxious	тревожный; обеспокоенный	Перед операцией она тревожилась.
apparent	очевидный	Его разочарование было очевидным.
apparently	по-видимому	По-видимому, поезд опаздывает.
appeal	апелляция; обращение	Решение могут обжаловать.
approach	подход	Её подход решил проблему.
appropriate	подходящий	Выберите подходящий ответ.
approval	одобрение	Проекту нужно одобрение.
approve	одобрять	Совет одобрил бюджет.
arise	возникать	Проблемы могут возникнуть позже.
armed	вооруженный	Снаружи стояли вооруженные охранники.
arms	оружие	Они сложили оружие.
artificial	искусственный	Цветы выглядели искусственными.
artistic	художественный; артистический	У неё есть художественный талант.
ashamed	стыдящийся	Потом ему стало стыдно.
aspect	аспект	Внимательно рассмотрите каждый аспект.
assess	оценивать	Мы должны оценить ущерб.
assessment	оценка	Оценка заняла два часа.
associate	связывать	Люди связывают дым с опасностью.
associated	связанный	Стресс связан с болезнями.
association	ассоциация; объединение	Ассоциация поддерживает молодых художников.
assume	предполагать	Я предполагаю, что вы согласны.
attempt	попытка	Его первая попытка провалилась.
bacteria	бактерии	Бактерии могут быстро распространяться.
barrier	барьер; препятствие	Язык был препятствием.
basically	в основном	В основном нам нужно больше времени.
bear (deal with)	выносить; терпеть	Я не могу выносить этот шум.
beg	умолять; просить	Попросите о помощи.
being	существо	Каждому существу нужна вода.
bent	согнутый	Металлический стержень был согнут.
bet	держать пари; спорить	Спорю, он знает.
beyond	за; вне	Деревня за рекой.
bitter	горький	Лекарство было горьким на вкус.
blame	винить	Не вините водителя.
blind	слепой	Он ослеп в молодости.
bond	связь	Доверие создает крепкую связь.
breast	грудь	Она почувствовала боль в груди.
brief	краткий	Пусть ваш ответ будет кратким.
broad	широкий	Здесь река широкая.
