source_headword	ZH	example_ZH
prey	猎物	猫头鹰在夜间捕猎。
privatization	私有化	私有化改变了铁路系统。
privilege	特权	教育不应该是一种特权。
probe	调查	调查发现了严重的错误。
problematic	存在问题的	这项协议仍然存在问题。
proceedings	诉讼程序	法庭诉讼程序于周一开始。
proceeds	收益	收益将用于支持当地学校。
processing	处理	图像处理需要时间。
processor	处理器	处理器在测试期间发生故障。
proclaim	宣布	领导人们过早地宣布了胜利。
productive	富有成效的	这次会议富有成效。
productivity	生产力	培训后生产力得到了提高。
profitable	盈利的	这家店今年开始盈利了。
profound	深远的	这次演讲产生了深远的影响。
projection	预测	预测显示将稳步增长。
prominent	杰出的	她成为了一名杰出的科学家。
pronounced	明显的	他的口音变得更明显了。
propaganda	宣传	该活动在网上使用了宣传手段。
proposition	提议	这项提案是一个冒险的提议。
prosecute	起诉	官员们起诉了严重的欺诈案件。
prosecution	控方	控方提出了新证据。
prosecutor	检察官	检察官讯问了证人。
prospective	潜在的	准学生们参观了校园。
prosperity	繁荣	贸易给该地区带来了繁荣。
protective	防护的	她戴着防护手套。
protocol	协议	协议要求有书面批准。
province	省	该省在交通方面进行了投资。
provincial	省的	省级官员宣布了这项计划。
provision	条款	合同中包含一项安全条款。
provoke	引发	这次演讲可能会引发强烈的反应。
psychiatric	精神病的	这家医院开设了精神科病房。
pulse	脉搏	护士检查了他的脉搏。
pump	泵	泵把水抽上来。
punch	拳	他愤怒地挥出了一拳。
query	疑问	请将您的疑问发送给支持团队。
quest	追求	他们对正义的追求仍在继续。
quota	配额	该团队达到了销售配额。
radar	雷达	风暴出现在雷达上。
radical	激进的	该组织提出了激进的改革。
rage	愤怒	他的愤怒很快就平息了。
raid	突袭	警方在黎明时分进行了一次突袭。
rally	集会	支持者们参加了市中心的集会。
ranking	排名	这所大学提高了其排名。
rape	强奸	强奸案需要仔细的调查。
ratio	比例	这个班级的师生比例很低。
rational	理性的	她的决定是理性的。
ray	光线	一缕阳光照了进来。
readily	乐意地	他欣然接受了这条件。
realization	意识到	这一认识改变了她的计划。
realm	领域	这个问题属于另一个领域。
rear	后部的	今天请走后门。
reasoning	推理	他的推理很清晰。
reassure	安慰	医生试图安慰她。
rebel	叛乱分子	叛军首领逃脱了抓捕。
rebellion	叛乱	叛乱在谈判后结束了。
recipient	接收者	收件人在表格上签了字。
reconstruction	重建	洪水过后开始了重建。
recount1	叙述	她能清楚地叙述那些事件。
referendum	全民公投	全民公投使国家陷入了分裂。
reflection	反思	这篇文章需要更深刻的反思。
reform	改革	这项改革改善了公共服务。
refuge	避难	这家人去国外寻求避难。
refusal	拒绝	她的拒绝让委员会感到惊讶。
regain	重新获得	他努力重新获得信任。
regardless	不顾	他们不顾批评继续进行。
regime	政权	该政权限制了言论自由。
regulator	监管机构	监管机构对该公司处以罚款。
regulatory	监管的	获得监管部门的批准花了几个月的时间。
rehabilitation	康复	康复治疗帮助他再次走路。
reign	统治	国王的统治持续了几十年。
rejection	拒绝	这次拒绝打击了她的信心。
relevance	相关性	这些数据的相关性有限。
reliability	可靠性	可靠性在应急系统中至关重要。
reluctant	不情愿的	他不情愿开口说话。
remainder	剩余部分	剩余的钱捐给了慈善机构。
remains	遗骸	这些遗骸经过了仔细的检查。
remedy	补救方法	法律提供了一种补救措施。
reminder	提醒	这封电子邮件是一个有用的提醒。
removal	消除	消除障碍有助于贸易。
render	使成为	这个错误导致合同无效。
renew	更新	请尽快更新你的护照。
renowned	著名的	她因其研究而闻名。
rental	租金	租金包含保险费。
replacement	替换	替换零件今天到了。
reportedly	据报道	据报道，部长昨天辞职了。
representation	代表	公平的代表性依然很重要。
reproduce	繁殖	这些植物繁殖得很快。
reproduction	复制	数字复制改善了访问。
republic	共和国	该共和国举行了选举。
resemble	相似	这两种设计非常相似。
reside	居住	他们居住在边境附近。
residence	住宅	他的官邸有警卫看守。
residential	住宅的	该地区主要是住宅区。
residue	残留物	清洁剂留下了粘性残留物。
resignation	辞职	她的辞职震惊了董事会。
resistance	阻力	对变革的阻力很大。
respective	各自的	他们回到了各自的办公室。
respectively	分别地	分数分别是80和90。
restoration	修复	建筑的修复耗时数年。
restraint	克制	警方表现出了克制。
resume	重新开始	下周恢复上课。
retreat	撤退	军队开始撤退。
retrieve	找回	她取回了文件。
revelation	揭露	这一爆料损害了他的名誉。
revenge	报复	他想为受到的侮辱进行报复。
reverse	推翻	法庭推翻了判决。
revival	复苏	这个城镇迎来了经济复苏。
revive	复兴	该节日有助于复兴当地传统。
revolutionary	革命性的	这项发明是革命性的。
rhetoric	言辞	他的言辞听起来很具有攻击性。
rifle	步枪	步枪被安全地存放着。
riot	暴乱	暴乱持续了几个小时。
rip	撕	小心地把纸撕开。
ritual	仪式	这个仪式标志着丰收。
robust	强健的	该系统十分健壮。
rock	摇动	爆炸震动了村庄。
rod	杆	窗帘挂在杆子上。
rotate	旋转	缓慢地旋转手柄。
rotation	轮作	轮作可以保护土壤。
ruling	裁决	法院下达了裁决。
rumour	谣言	谣言传得很快。
sack	解雇	董事会可能会解雇教练。
sacred	神圣的	这座寺庙是神圣的。
sacrifice	牺牲	父母经常会做出牺牲。
saint	圣人	教堂纪念一位当地的圣人。
sake	缘故	他为了她而留下来。
sanction	制裁	制裁影响了国际贸易。
say	发言权	员工在日程安排上有发言权。
scattered	散落的	散落的纸张铺满了桌子。
sceptical	怀疑的	她对这一说法仍持怀疑态度。
scope	范围	项目范围扩大了。
screw	螺丝	小心拧紧螺丝。
scrutiny	审查	这笔交易面临公众审查。
seal	封	邮寄前请封好信封。
secular	世俗的	该学校遵循世俗课程。
seemingly	表面上	这个任务表面上看起来很简单。
segment	部分	最后一部分较短。
seize	没收	警察没收了那些文件。
seldom	很少	她很少缺课。
selective	选择性的	这个项目有很强的选择性。
senator	参议员	参议员支持这项法案。
sensation	轰动	这一发现引起了轰动。
sensitivity	敏感性	这个问题需要敏感处理。
sentiment	情绪	公众情绪变化很快。
separation	分离	分离是困难的。
serial	序列的	序列号不见了。
settlement	协议	该协议结束了争端。
set-up	设置	设置花了一整个上午。
sexuality	性	本课程讨论身份与性。
shareholder	股东	一位股东质问了董事会。
shatter	击碎	这个消息击碎了他的信心。
shed	裁减	这家公司将裁员。
sheer	纯粹的	它巨大的体积让所有人都感到惊讶。
shipping	运输	运输成本增加了。
shoot	拍摄	摄影工作提前结束了。
shrink	缩水	这件衬衫可能会缩水。
shrug	耸肩	她微微耸了耸肩。
sigh	叹气	他如释重负地叹了口气。
simulate	模拟	该软件可以模拟交通流量。
simulation	模拟	模拟预测会发生洪水。
simultaneously	同时	两个警报器同时响了。
sin	罪恶	骄傲被认为是一种罪。
situated	位于	酒店位于市中心。
sketch	草图	她画了一张快速的草图。
skip	跳过	不要不吃早餐。
slam	猛关	他能猛烈地关上门。
slap	拍打	不要拍打桌子。
slavery	奴隶制	奴隶制塑造了该地区的历史。
slot	时段	请在网上预约时间段。
smash	打碎	玻璃在地板上摔碎了。
snap	折断	树枝在风中折断了。
soak	浸泡	把豆子浸泡过夜。
soar	猛增	燃料价格可能会暴涨。
socialist	社会主义的	该党支持社会主义政策。
sole	唯一的	他是唯一的幸存者。
solely	仅仅	这个决定完全是他做出的。
solicitor	律师	律师准备了合同。
solidarity	团结	工人们表达了团结。
solo	独奏的	她发行了一张个人专辑。
