source_headword	LO	example_LO
prey	ຜູ້ຖືກລ້າ	ນົກເຄົ້າລ່າເຫຍື່ອໃນຕອນກາງຄືນ.
privatization	ການຫັນເປັນເອກະຊົນ	ການຫັນເປັນເອກະຊົນໄດ້ປ່ຽນແປງລະບົບລົດໄຟ.
privilege	ສິດທິພິເສດ	ການສຶກສາບໍ່ຄວນເປັນສິດທິພິເສດ.
probe	ການສືບສວນ	ການສືບສວນໄດ້ເປີດເຜີຍຂໍ້ຜິດພາດທີ່ຮ້າຍແຮງ.
problematic	ເປັນບັນຫາ	ຂໍ້ຕົກລົງຍັງຄົງເປັນບັນຫາ.
proceedings	ການດຳເນີນຄະດີ	ການດຳເນີນຄະດີຂອງສານໄດ້ເລີ່ມຕົ້ນໃນວັນຈັນ.
proceeds	ລາຍໄດ້	ລາຍໄດ້ຈະສະໜັບສະໜູນໂຮງຮຽນທ້ອງຖິ່ນ.
processing	ການປະມວນຜົນ	ການປະມວນຜົນຮູບພາບຕ້ອງໃຊ້ເວລາ.
processor	ຕົວປະມວນຜົນ	ຕົວປະມວນຜົນລົ້ມເຫຼວໃນລະຫວ່າງການທົດສອບ.
proclaim	ປະກາດ	ຜູ້ນຳປະກາດໄຊຊະນະໄວເກີນໄປ.
productive	ມີປະສິດທິພາບ	ການປະຊຸມມີປະສິດທິພາບ.
productivity	ປະສິດທິພາບການຜະລິດ	ປະສິດທິພາບການຜະລິດດີຂຶ້ນຫຼັງຈາກການຝຶກອົບຮົມ.
profitable	ມີກຳໄລ	ຮ້ານນີ້ມີກຳໄລໃນປີນີ້.
profound	ເລິກເຊິ່ງ	ຄຳປາໄສມີຜົນກະທົບຢ່າງເລິກເຊິ່ງ.
projection	ການຄາດຄະເນ	ການຄາດຄະເນສະແດງໃຫ້ເຫັນການເຕີບໂຕຢ່າງສະໝໍ່າສະເໝີ.
prominent	ໂດດເດັ່ນ	ນາງໄດ້ກາຍເປັນນັກວິທະຍາສາດທີ່ໂດດເດັ່ນ.
pronounced	ຊັດເຈນ	ສຳນຽງຂອງລາວຊັດເຈນຂຶ້ນ.
propaganda	ການໂຄສະນາຊວນເຊື່ອ	ການໂຄສະນາຫາສຽງໄດ້ໃຊ້ການໂຄສະນາຊວນເຊື່ອທາງອອນລາຍ.
proposition	ຂໍ້ສະເໜີ	ຂໍ້ສະເໜີນີ້ແມ່ນເປັນຂໍ້ສະເໜີທີ່ມີຄວາມສ່ຽງ.
prosecute	ດຳເນີນຄະດີ	ເຈົ້າໜ້າທີ່ດຳເນີນຄະດີການສໍ້ໂກງທີ່ຮ້າຍແຮງ.
prosecution	ຝ່າຍໄອຍະການ	ຝ່າຍໄອຍະການໄດ້ສະເໜີຫຼັກຖານໃໝ່.
prosecutor	ໄອຍະການ	ໄອຍະການໄດ້ສອບຖາມພະຍານ.
prospective	ທີ່ຄາດຫວັງ	ນັກສຶກສາທີ່ຄາດຫວັງໄດ້ໄປທ່ຽວຊົມວິທະຍາເຂດ.
prosperity	ຄວາມຈະເລີນຮຸ່ງເຮືອງ	ການຄ້າໄດ້ນຳເອົາຄວາມຈະເລີນຮຸ່ງເຮືອງມາສູ່ພາກພື້ນ.
protective	ປ້ອງກັນ	ນາງໃສ່ຖົງມືປ້ອງກັນ.
protocol	ລະບຽບການ	ລະບຽບການຮຽກຮ້ອງໃຫ້ມີການອະນຸມັດເປັນລາຍລັກອັກສອນ.
province	ແຂວງ	ແຂວງໄດ້ລົງທຶນໃນການຂົນສົ່ງ.
provincial	ລະດັບແຂວງ	ເຈົ້າໜ້າທີ່ລະດັບແຂວງໄດ້ປະກາດແຜນການ.
provision	ຂໍ້ກຳນົດ	ສັນຍາລວມມີຂໍ້ກຳນົດດ້ານຄວາມປອດໄພ.
provoke	ກະຕຸ້ນ	ຄຳປາໄສອາດຈະກະຕຸ້ນໃຫ້ເກີດປະຕິກິລິຍາທີ່ຮຸນແຮງ.
psychiatric	ຈິດຕະເວດ	ໂຮງໝໍໄດ້ເປີດໜ່ວຍງານຈິດຕະເວດ.
pulse	ກຳມະຈອນ	ພະຍາບານໄດ້ກວດກຳມະຈອນຂອງລາວ.
pump	ຈັກສູບນໍ້າ	ຈັກສູບນໍ້າດູດນໍ້າຂຶ້ນ.
punch	ກຳປັ້ນ	ລາວໄດ້ຕີດ້ວຍຄວາມໂກດແຄ້ນ.
