source_headword	AZ	example_AZ
abolish	ləğv etmək	Qanun köhnə rüsumu ləğv edəcək.
abortion	abort	Abort həssas tibbi məsələ olaraq qalır.
absence	yoxluq	Onun yoxluğu yekun qərarı gecikdirdi.
absent	qaib	İki üzv dərsdə iştirak etmirdi.
absurd	absurd	İddia hər kəsə absurd səslənirdi.
abundance	bolluq	Vadidə su bolluğu var.
abuse	istismar	Hesabat iş yerindəki istismarı təsvir etdi.
academy	akademiya	Akademiya gənc musiqiçiləri yetişdirir.
accelerate	sürətləndirmək	Yeni maliyyələşdirmə tədqiqatı sürətləndirəcək.
acceptance	qəbul etmə	Onun tənqidi qəbul etməsi mənə təsir etdi.
accessible	əlçatan	Muzey əlil arabası istifadəçiləri üçün əlçatandır.
accomplishment	nailiyyət	Kitabı bitirmək əsl nailiyyət idi.
accordance	uyğunluq	İş qaydalara uyğun olaraq görüldü.
accordingly	müvafiq olaraq	Dəlillər dəyişdi və biz müvafiq olaraq hərəkət etdik.
accountability	hesabatlılıq	Siyasət menecerlər üçün hesabatlılığı artırır.
accountable	cavabdeh	Menecerlər təhlükəsizliyə cavabdehdirlər.
accumulate	toplanmaq	Ekranın arxasında toz toplana bilər.
accumulation	yığılma	Məlumatların yığılması aylar çəkdi.
accusation	ittiham	İttiham komitəni şoka saldı.
accused	təqsirləndirilən	Təqsirləndirilən şəxs məhkəməyə çıxdı.
acquisition	əldə etmə	Bu əldə etmə şirkəti sürətlə genişləndirdi.
acre	akr	Ferma bir akr ərazini əhatə edir.
activation	aktivləşdirmə	Kartın aktivləşdirilməsi bir neçə dəqiqə çəkir.
activist	fəal	Fəal mitinqdə çıxış etdi.
acute	kəskin	Qaçdıqdan sonra o, kəskin ağrı hiss etdi.
adaptation	adaptasiya	Adaptasiya romanın sonunu dəyişdi.
adhere	riayət etmək	İşçilər təhlükəsizlik qaydalarına riayət etməlidirlər.
adjacent	bitişik	Otel stansiyaya bitişikdir.
adjustment	düzəliş	Kiçik bir düzəliş problemi həll etdi.
administer	tətbiq etmək	Tibb bacıları peyvəndi diqqətlə tətbiq edirlər.
administrative	inzibati	İnzibati heyət formalarla maraqlanır.
administrator	inzibatçı	İnzibatçı parolumu sıfırladı.
admission	giriş	Muzeyə giriş pulsuzdur.
adolescent	yeniyetmə	Yeniyetmənin əlavə dəstəyə ehtiyacı var idi.
adoption	övladlığa götürmə	Övladlığa götürmə uşağa sabit bir ev verdi.
adverse	mənfi	Dərman mənfi təsirlərə səbəb oldu.
advocate	müdafiəçi	Müdafiəçi kirayəçilərin hüquqlarını qorudu.
aesthetic	estetik	Otağın sakit estetik tərzi var.
affection	sevgi	O, ailəsinə sevgi göstərdi.
