source_headword	SR	example_SR
crawl	пузати	Беба је почела да пузи по тепиху.
creator	стваралац	Стваралац је свима захвалио на подршци.
credibility	кредибилитет	Сведок је изгубио кредибилитет током испитивања.
credible	веродостојан	Извештај је понудио веродостојне доказе.
creep	шуљати се	Магла је почела да се шуља кроз долину.
critique	критика	Професор је дао детаљну критику.
crown	круна	Краљица је носила сребрну круну.
crude	груб	Цртеж је био груб, али јасан.
crush	згњечити	Тешко камење може смрскати цев.
crystal	кристал	Кристал је рефлектовао јутарњу светлост.
cult	култ	Култ је изоловао своје чланове.
cultivate	узгајати	Пољопривредници узгајају пиринач у овом региону.
curiosity	радозналост	Радозналост ју је увела у науку.
custody	старатељство	Дете је остало под очевим старатељством.
cutting	исечак	Новине су објавиле исечак о њему.
cynical	циничан	Његова цинична примедба је узнемирила тим.
dam	брана	Брана задржава речну воду.
damaging	штетан	Штетан чланак је нашкодио кампањи.
dawn	зора	Напустили смо село у зору.
debris	крхотине	Олујне крхотине су блокирале пут.
debut	деби	Њен деби је привукао националну пажњу.
decision-making	доношење одлука	Добро доношење одлука захтева јасне информације.
decisive	одлучан	Њена одлучна акција спречила је даљу штету.
declaration	декларација	Министар је прочитао званичну декларацију.
dedicated	предан	Предана медицинска сестра је радила преко ноћи.
dedication	преданост	Његова преданост је инспирисала млађе играче.
deed	дело	Храбро дело је спасило два живота.
deem	сматрати	Суд може сматрати уговор неважећим.
default	подразумевано	За сада користите подразумевану поставку.
defect	недостатак	Инспектори су пронашли озбиљан недостатак.
defensive	одбрамбени	Његов одбрамбени тон је све изненадио.
deficiency	недостатак	Недостатак гвожђа може утицати на здравље.
deficit	дефицит	Буџетски дефицит је забринуо званичнинике.
defy	пркосити	Демонстранти су одлучили да пркосе забрани.
delegate	делегат	Сваки делегат је добио гласачки листић.
delegation	делегација	Делегација је стигла пре поднева.
delicate	осетљив	Осетљиво стакло се лако разбило.
demon	демон	Прича описује древног демона.
denial	порицање	Његово порицање је разбеснело жртве.
denounce	осудити	Лидери осуђују насиље у школама.
dense	густ	Густа шума је блокирала сунчеву светлост.
density	густина	Густина насељености је велика у центру.
dependence	зависност	Зависност земље од нафте се смањила.
depict	приказивати	Мурал приказује сеоски живот.
deploy	распоредити	Војска ће распоредити додатно особље.
deployment	распоређивање	Распоређивање трупа почело је у понедељак.
deprive	лишити	Недостатак сна може лишити студенте фокуса.
deputy	заменик	Заменик је потписао споразум.
descend	спуштати се	Стаза је почела оштро да се спушта.
descent	спуштање	Авион је започео спуштање.
designate	одредити	Град ће одредити нови парк.
desirable	пожељан	Добро осветљење је пожељно у учионицама.
desktop	радна површина	Датотека је на мојој радној површини.
destructive	разоран	Олуја је имала разорну силу.
detain	задржати	Полиција може задржати осумњичене преко ноћи.
detection	откривање	Рано откривање побољшава лечење рака.
detention	притвор	Студенти су протестовали против услова у притвору.
deteriorate	погоршати се	Његово здравље је почело да се погоршава.
devastate	опустошити	Земљотрес може опустошити обалне градове.
devil	ђаво	Дете је нацртало насмејаног ђавола.
devise	осмислити	Инжењери осмишљавају безбедније транспортне системе.
diagnose	дијагностиковати	Лекари дијагностикују болест тестовима крви.
diagnosis	дијагноза	Дијагноза је објаснила њене симптоме.
dictate	диктирати	Уговор ће диктирати услове плаћања.
dictator	диктатор	Диктатор је контролисао медије.
differentiate	разликовати	Да ли можете да разликујете чињеницу од мишљења?
dignity	достојанство	Сви заслужују достојанство на послу.
dilemma	дилема	Менаџер се суочио са озбиљном дилемом.
dimension	димензија	Проблем има политичку димензију.
diminish	смањити се	Бол би требало полако да се смањује.
dip	спустити се	Температуре би могле да се спусте испод нуле.
diplomat	дипломата	Дипломата се састао са страним лидерима.
diplomatic	дипломатски	Дипломатски преговори су настављени преко ноћи.
directory	именик	Потражите његов број у именику.
disastrous	катастрофалан	Катастрофална поплава је уништила неколико мостова.
discard	одбацити	Не одбацујте корисне записе.
discharge	отпустити	Болница ће га отпустити сутра.
disclose	открити	Званичници су одбили да открију бројке.
disclosure	откриће	Откриће је шокирало управни одбор.
discourse	дискурс	Јавни дискурс је постао пристојнији.
discretion	дискреција	Користите своју дискрецију код осетљивих случајева.
discrimination	дискриминација	Закон забрањује дискриминацију при запошљавању.
dismissal	отказ	Његов отказ је изазвао бес јавности.
displace	раселити	Рат би могао да расели хиљаде.
disposal	одлагање	Одлагање отпада остаје локални проблем.
dispose	одложити	Компанија мора безбедно да одложи хемикалије.
dispute	спор	Спор је трајао месецима.
disrupt	ометати	Бука може ометати концентрацију.
disruption	поремећај	Штрајк је изазвао велики поремећај.
dissolve	отопити се	Шећер ће се отопити у врућем чају.
distinction	разлика	Разлика између њих је важна.
distinctive	препознатљив	Она има препознатљив глас.
distort	изобличити	Огледало може изобличити ваш одраз.
distress	тескоба	Позив је изазвао озбиљну узнемиреност.
disturbing	узнемирујући	Документарац је приказао узнемирујуће сцене.
divert	преусмерити	Полиција је морала да преусмери саобраћај.
divine	божански	Капела има божанску атмосферу.
doctrine	доктрина	Странка је одбацила стару доктрину.
documentation	документација	Попуните документацију пре покретања.
domain	домен	Веб локација користи сигуран домен.
dominance	доминација	Доминација тима трајала је деценију.
donor	донатор	Донатор је данас дао крв.
dose	доза	Узмите једну дозу после доручка.
drain	истећи	Вода ће истећи у реку.
drift	лебдети	Дим је почео да лебди преко пута.
driving	покретачки	Киша је била покретачки фактор кашњења.
drown	удавити се	Никада не пливајте тамо где струје могу да вас удаве.
dual	двострук	Уређај има двоструку функцију.
dub	назвати	Критичари називају град културном престоницом.
dumb	глуп	То је била глупа грешка.
duo	дуо	Комедијашки дуо је био на турнеји по Европи.
eager	жељан	Студенти су били жељни да почну.
earnings	зарада	Зарада компаније је нагло порасла.
ease	олакшати	Нови пут ће олакшати саобраћај.
echo	одјекивати	Њен глас је одјекивао ходником.
ecological	еколошки	Еколошки утицај остаје неизвестан.
educator	едукатор	Едукатор је осмислио нови курс.
effectiveness	ефикасност	Студија је мерила ефикасност вакцине.
efficiency	ефикасност	Бољи софтвер је побољшао ефикасност.
ego	его	Његов его је изазивао проблеме на послу.
elaborate	сложен	За сложен костим су биле потребне недеље.
electoral	изборни	Изборни систем се променио прошле године.
elevate	подићи	Награда ће подићи њен профил.
eligible	квалификован	Само становници имају право на попусте.
elite	елита	Елита је тренирала на приватној академији.
embark	кренути	Кренуће на дуго путовање.
embarrassment	срамота	Насмејао се да би сакрио срамоту.
embassy	амбасада	Амбасада је издала нов савет за путовања.
embed	придружити се	Новинар ће се придружити јединици.
embody	отелотворити	Чини се да статуа отелотворује храброст.
emergence	појава	Појава телефона променила је свакодневни живот.
empirical	емпиријски	Рад се ослања на емпиријске доказе.
empower	оснажити	Образовање може оснажити локалне заједнице.
enact	усвојити	Парламент је изгласао усвајање реформе.
encompass	обухватити	Курс ће обухватити модерну историју.
encouragement	охрабрење	Њено охрабрење му је помогло да настави.
encouraging	охрабрујући	Рани резултати изгледају охрабрујуће.
endeavour	подухват	Спасавање је било тежак подухват.
endless	бескрајан	Пустиња је изгледала бескрајно.
endorse	подржати	Синдикат је одбио да подржи кандидата.
endorsement	подршка	Његова подршка је ојачала њену кампању.
endure	издржати	Биљке могу да издрже оштре зиме.
enforce	спроводити	Полиција спроводи ограничење брзине.
enforcement	спровођење	Строже спровођење је смањило нелегално одлагање отпада.
engagement	ангажовање	Ангажовање студената се побољшало овог семестра.
engaging	занимљив	Говорник је одржао занимљиво предавање.
enquire	распитати се	Молимо вас распитајте се на рецепцији.
enrich	обогатити	Путовања могу обогатити ваше разумевање.
enrol	уписати се	Студенти морају да се упишу пре септембра.
ensue	уследити	Након најаве могао би да уследи хаос.
enterprise	предузеће	Предузеће запошљава локалне уметнике.
enthusiast	ентузијаста	Сваки бициклистички ентузијаста зна ову руту.
entitle	дати право	Улазница ће вам дати право на улаз.
entity	ентитет	Компанија је засебан правни ентитет.
epidemic	епидемија	Епидемија се проширила кроз неколико региона.
equality	једнакост	Покрет се борио за једнакост.
equation	једначина	Једначина садржи две непознате.
erect	поставити	Радници ће поставити нову ограду.
escalate	ескалирати	Сукоб би могао брзо да ескалира.
essence	суштина	Песма бележи суштину детињства.
establishment	естаблишмент	Естаблишмент се успротивио реформи.
eternal	вечан	Обећали су вечно пријатељство.
evacuate	евакуисати	Ватрогасци су помогли становницима да се безбедно евакуишу.
evoke	пробудити	Песма може пробудити снажна сећања.
evolutionary	еволуциони	Фосил показује еволуциону промену.
exaggerate	претеривати	Немојте претеривати о свом искуству.
excellence	изврсност	Школа награђује академску изврсност.
exceptional	изузетан	Показала је изузетну вештину.
excess	вишак	Вишак воде је поплавио подрум.
exclusion	искљученост	Социјална искљученост штети младима.
exclusive	ексклузиван	Клуб нуди ексклузиван приступ.
exclusively	искључиво	Ову собу искључиво користи особље.
execute	извршити	Тим ће пажљиво извршити план.
execution	извршење	Извршење стратегије је трајало месецима.
exert	уложити	Морате уложити већи притисак.
exile	егзил	Писац је живео у егзилу.
expenditure	потрошња	Јавна потрошња је порасла прошле године.
experimental	експериментални	Лечење је још увек експериментално.
expire	истећи	Мој пасош ће ускоро истећи.
explicit	изричит	Упутства су била изричита.
explicitly	изричито	Правила изричито забрањују пушење.
exploitation	искоришћавање	Извештај је разоткрио искоришћавање радника.
explosive	експлозиван	Експлозивна направа је безбедно уклоњена.
extremist	екстремиста	Екстремистичка група је изгубила подршку.
facilitate	олакшати	Апликација ће олакшати учење на даљину.
faction	фракција	Једна фракција се супротставила вођи.
faculty	факултет	Факултет је одобрио предлог.
fade	избледети	Боја ће избледети на сунцу.
fairness	праведност	Праведност је важна у сваком такмичењу.
fatal	смртоносан	Несрећа је изазвала смртоносне повреде.
fate	судбина	Нико није знао његову судбину.
favourable	повољан	Рецензија је била повољна.
feat	подвиг	Пењање на тај врх је био подвиг.
feminist	феминистички	Феминистички покрет је променио јавну расправу.
fibre	влакно	Овај хлеб садржи додатна влакна.
fierce	жесток	Жестока олуја је оштетила кровове.
film-maker	филмски стваралац	Филмски стваралац је после одговарао на питања.
filter	филтер	Филтер уклања прашину из ваздуха.
fine	новчана казна	Компанија је платила новчану казну.
firearm	ватрено оружје	Полицајац је пронашао украдено ватрено оружје.
fit	пристајање	Нове ципеле савршено пристају.
fixture	фиксни део	Лампа је фиксни део.
flaw	мана	Дизајн има једну озбиљну ману.
flawed	мањкав	Мањкава студија дала је погрешне резултате.
flee	побећи	Породице су морале да побегну од сукоба.
fleet	флота	Авио-компанија је обновила своју флоту.
flesh	месо	Трн му је пробио месо.
flexibility	флексибилност	Рад на даљину нуди више флексибилности.
flourish	напредовати	Мала предузећа овде могу да напредују.
fluid	течност	Пијте пуно течности након вежбања.
footage	снимак	Снимак је приказао судар.
foreigner	странац	У обрасцу се пита да ли сте странац.
forge	исковати	Покушали су да искују нови савез.
formula	формула	Формула је решила проблем.
formulate	формулисати	Научници формулишу нову теорију.
forth	напред	Река је носила чамац напред.
forthcoming	предстојећи	Предстојећи извештај ће све објаснити.
foster	подстицати	Програм помаже у подстицању независности.
fragile	крхак	Крхком вазом треба пажљиво руковати.
franchise	франшиза	Ресторан је постао глобална франшиза.
frankly	искрено	Искрено, треба нам више времена.
frustrated	фрустриран	Радници су се осећали фрустрирано због кашњења.
frustrating	фрустрирајући	Спора веза је била фрустрирајућа.
frustration	фрустрација	Фрустрација је расла током састанка.
functional	функционалан	Стара кухиња је још увек функционална.
fundraising	прикупљање средстава	Прикупљање средстава почиње следеће недеље.
funeral	сахрана	Сахрана се одржала у петак.
gallon	галон	Резервоар прима један галон.
gambling	коцкање	Коцкање је ограничено законом.
gathering	окупљање	Окупљање се завршило мирно.
gaze	поглед	Накратко је задржала његов поглед.
gear	опрема	Спакујте сигурносну опрему пре пењања.
generic	генерички	Генеричка верзија кошта мање.
genocide	геноцид	Геноцид је оставио дубоку националну трауму.
glance	поглед	Бацио је брз поглед.
glimpse	кратак поглед	Ухватио сам кратак поглед на море.
glorious	величанствен	Тим је уживао у величанственој победи.
glory	слава	Сањала је о олимпијској слави.
governance	управљање	Добро управљање захтева транспарентност.
grace	достојанство	Прихватила је пораз са достојанством.
grasp	схватити	Није успео да схвати концепт.
grave (for dead person)	гроб	Гроб је био прекривен цвећем.
grave (serious)	озбиљан	Ситуација је и даље озбиљна.
gravity	гравитација	Гравитација привлачи предмете према Земљи.
grid	мрежа	Мапа користи једноставну мрежу.
grief	туга	Туга је променила целу његову породицу.
grin	осмех	Дечак се широко насмешио.
grind	млети	Радници сваког јутра мељу зрна.
grip	стисак	Задржите чврст стисак на ужету.
gross	бруто	Бруто приход је нагло порастао.
guerrilla	герила	Герилски борци су се скривали у брдима.
guidance	смернице	Водич пружа практичне смернице.
guilt	кривица	Осећала је кривицу након лагања.
gut	инстинкт	Верујте свом инстинкту у тешким изборима.
hail	славити	Сељани славе доктора као хероја.
halfway	на пола пута	Зауставили смо се на пола пута уз брдо.
halt	заустављање	Воз се изненада зауставио.
handful	шачица	Шачица волонтера је остала до касно.
handling	руковање	Правилно руковање спречава оштећења.
handy	практичан	Овај алат је практичан за поправке.
harassment	узнемиравање	Компанија је истражила притужбе на узнемиравање.
hardware	хардвер	Продавница продаје рачунарски хардвер.
harmony	хармонија	Хор је певао у савршеној хармонији.
harsh	строг	Судија је изрекао строгу казну.
harvest	жетва	Жетва почиње у септембру.
haunt	прогањати	Сећање је наставило да га прогања.
hazard	опасност	Лед је озбиљна опасност на путу.
heighten	појачати	Говор би могао да појача напетости.
heritage	баштина	Дворац је део локалне баштине.
hierarchy	хијерархија	Канцеларијска хијерархија је јасно дефинисана.
high-profile	истакнут	Истакнуто суђење је привукло новинаре.
hint	наговештај	Дала ми је користан наговештај.
homeland	домовина	Вратио се у своју домовину.
hopeful	пун наде	Лекари су пуни наде у вези са опоравком.
horizon	хоризонт	Сунце је нестало испод хоризонта.
horn	труба	Аутомобилска труба је све пробудила.
hostage	талац	Талац се вратио кући.
hostile	непријатељски	Гомила је постала непријатељски расположена.
hostility	непријатељство	Отворено непријатељство је окончало преговоре.
humanitarian	хуманитаран	Хуманитарна мисија је доставила храну.
humanity	човечанство	Човечанство се суочава са заједничким изазовима.
humble	скроман	Остала је скромна и након успеха.
hydrogen	водоник	Водоник веома лако гори.
identification	идентификација	На улазу је потребна идентификација.
ideological	идеолошки	Спор је имао идеолошке корене.
ideology	идеологија	Његова идеологија је обликовала сваки говор.
idiot	идиот	Не називајте никога идиотом.
ignorance	незнање	Незнање може ширити страх.
imagery	сликовитост	Песма користи живописне слике.
