source_headword	NE	example_NE
strengthen	बलियो बनाउनु	नयाँ नीतिले अनलाइन सुरक्षालाई बलियो बनाउनेछ।
strictly	कडाइका साथ	टिकटहरू प्रति व्यक्ति दुईमा कडाइका साथ सीमित छन्।
striking	आकर्षक	चित्रकलामा आकर्षक रंगहरू छन्।
stroke	रेखा	उनले कागजमा एउटा रेखा कोरिन्।
stunning	अति सुन्दर	पहाडको दृश्य अति सुन्दर थियो।
subsequent	पछिल्लो	पछिल्लो बैठकले बजेट पुष्टि गर्‍यो।
subsequently	त्यसपछि	बाटो बन्द भयो; त्यसपछि, यातायात सुस्तरी चल्यो।
suburb	उपनगर	उनीहरू एउटा शान्त उपनगरमा बस्छन्।
suffering	कष्ट	औषधिले उसको कष्ट कम गर्‍यो।
sufficient	पर्याप्त	टोलीसँग पर्याप्त समय छ।
sufficiently	पर्याप्त रूपमा	कोठा पर्याप्त रूपमा न्यानो छ।
super	अति	नयाँ ट्याब्लेट अति छिटो छ।
surgeon	शल्यचिकित्सक	शल्यचिकित्सकले बिग्रिएको घुँडा मर्मत गरे।
survival	बाँच्नु	बाँच्नको लागि सफा पानी आवश्यक छ।
survivor	जीवित बचेको व्यक्ति	जीवित बचेको व्यक्तिले बाढीको वर्णन गरे।
suspend	स्थगित गर्नु	विद्यालयले यात्रा स्थगित गर्न सक्छ।
sustainable	दिगो	खेतले दिगो विधिहरू प्रयोग गर्दछ।
swallow	निल्नु	पानीसँग ट्याब्लेट निल्नुहोस्।
sympathetic	सहानुभूतिपूर्ण	प्रबन्धक उनको समस्याप्रति सहानुभूतिपूर्ण थिए।
tackle	सामना गर्नु	हामीले आवास समस्याको सामना गर्नुपर्छ।
tag	ट्याग	झोलामा मूल्यको ट्याग थियो।
tap	धारा	उनले धारा बन्द गरिन्।
technological	प्राविधिक	प्राविधिक परिवर्तनले हरेक कार्यस्थललाई असर गर्छ।
teens	किशोरकिशोरीहरू	धेरै किशोरकिशोरीहरू दैनिक सामाजिक सञ्जाल प्रयोग गर्छन्।
temple	मन्दिर	मन्दिर नदीको छेउमा उभिएको थियो।
temporarily	अस्थायी रूपमा	कार्यालय अस्थायी रूपमा बन्द छ।
tendency	प्रवृत्ति	उनी ढिलो आउने प्रवृत्ति राख्छन्।
tension	तनाव	छलफलको क्रममा तनाव बढ्यो।
terms	सर्तहरू	सम्झौताका सर्तहरू स्पष्ट थिए।
terribly	अत्यन्तै	बच्चा अत्यन्तै दुःखी थियो।
terrify	तर्साउनु	ठूलो आवाजले कुकुरलाई तर्साउँछ।
territory	क्षेत्र	नक्साले नयाँ क्षेत्र देखाउँछ।
terror	आतंक	आक्रमणपछि आतंक फैलियो।
terrorism	आतंकवाद	आतंकवादले सार्वजनिक सुरक्षालाई खतरामा पार्छ।
terrorist	आतंकवादी	प्रहरीले हिजो आतंकवादीलाई पक्राउ गर्‍यो।
testing	परीक्षण	उत्पादन परीक्षण सोमबार सुरु हुन्छ।
textbook	पाठ्यपुस्तक	उनले आफ्नो जीवविज्ञानको पाठ्यपुस्तक बिर्सिन्।
theft	चोरी	यस क्षेत्रमा चोरी बढ्यो।
therapist	चिकित्सक	थेरापिस्टले उनलाई चिन्ता व्यवस्थापन गर्न मद्दत गरे।
thesis	शोधपत्र	उनको शोधपत्रले अनलाइन सिकाइको परीक्षण गर्छ।
thorough	विस्तृत	विस्तृत समीक्षाले कुनै त्रुटि फेला पारेन।
thoroughly	राम्ररी	घाउलाई राम्ररी सफा गर्नुहोस्।
thumb	बूढीऔंला	उनले स्वीकृति जनाउन आफ्नो बूढीऔंला उठाए।
timing	समय	कलको समय एकदम सही थियो।
tissue	टिस्यु	उनले टिस्युले सिसा पुछिन्।
ton	टन	ट्रकले एक टन बालुवा बोकेको थियो।
tonne	टन	सामानको तौल एक टन थियो।
tournament	प्रतियोगिता	टेनिस प्रतियोगिता भोलि सुरु हुन्छ।
trace	पत्ता लगाउनु	वैज्ञानिकहरूले भाइरसको स्रोत पत्ता लगाउन सक्छन्।
trading	व्यापार	स्टक व्यापार दिउँसो रोकियो।
tragedy	त्रासदी	त्यो दुर्घटना एउटा भयानक त्रासदी थियो।
tragic	दुखद	दुर्घटनाको दुखद परिणामहरू थिए।
trait	विशेषता	धैर्यता एउटा उपयोगी विशेषता हो।
transmit	सार्नु	लामखुट्टेले रोग सार्न सक्छ।
transportation	यातायात	सार्वजनिक यातायात आज भीड छ।
trap	पासोमा पार्नु	बक्सले सुरक्षित रूपमा कीराहरूलाई पासोमा पार्न सक्छ।
treasure	खजाना	पुरानो सन्दुकमा खजाना थियो।
tribe	जनजाति	जनजातिले आफ्नो परम्पराहरूको रक्षा गर्‍यो।
trigger	सुरु गर्नु	धुवाँले अलार्म ट्रिगर गर्न सक्छ।
trillion	ट्रिलियन	ऋण एक ट्रिलियन डलर पुग्यो।
troop	सैन्य दल	सैन्य दल सिमानातिर अघि बढ्यो।
tsunami	सुनामी	सुनामीले तटीय घरहरू नष्ट गर्‍यो।
ultimate	अन्तिम	अन्तिम लक्ष्य शान्ति हो।
unacceptable	अस्वीकार्य	ढिलाइ यात्रुहरूका लागि अस्वीकार्य थियो।
uncertainty	अनिश्चितता	अनिश्चितताले लगानीकर्ताहरूलाई नर्भस बनायो।
undergo	शल्यक्रिया गराउनु	बिरामीले भोलि शल्यक्रिया गराउनेछन्।
undertake	जिम्मा लिनु	टोलीले एक सर्वेक्षणको जिम्मा लिनेछ।
unfold	खुल्नु	नाटक बिस्तारै खुल्न थाल्यो।
unfortunate	दुर्भाग्यपूर्ण	त्रुटि दुर्भाग्यपूर्ण थियो तर मिलाउन सकिने थियो।
unite	एकजुट गर्नु	नेताहरूले पार्टीलाई एकजुट गर्ने प्रयास गरे।
unity	एकता	भाषणले राष्ट्रिय एकताको आह्वान गर्‍यो।
universal	विश्वव्यापी	एपले विश्वव्यापी डिजाइन प्रयोग गर्दछ।
urgent	जरुरी	अस्पतालले एउटा जरुरी कल प्राप्त गर्‍यो।
usage	प्रयोग	मार्गदर्शकले सही प्रयोगको वर्णन गर्दछ।
useless	काम नलाग्ने	भाँचिएको चार्जर काम नलाग्ने छ।
valid	मान्य	तपाईंको राहदानी अझै मान्य छ।
variation	भिन्नता	मूल्यहरूमा व्यापक भिन्नता छ।
vertical	ठाडो	चार्टमा ठाडो अक्ष छ।
viewpoint	दृष्टिकोण	बहसपछि उनको दृष्टिकोण परिवर्तन भयो।
visa	भिसा	उनले विद्यार्थी भिसाको लागि आवेदन दिए।
visible	देखिने	चिन्ह यहाँबाट देखिन्छ।
voluntary	स्वैच्छिक	पाठ्यक्रममा स्वैच्छिक कार्यशालाहरू समावेश छन्।
voting	मतदान	प्रारम्भिक मतदान अर्को हप्ता सुरु हुन्छ।
wander	घुम्नु	पर्यटकहरू पुरानो बजारमा घुम्छन्।
warming	तापक्रम वृद्धि	ग्लोबल वार्मिङले समुद्री सतहलाई असर गर्छ।
weekly	साप्ताहिक	टोलीले साप्ताहिक बैठक गर्दछ।
weird	अनौठो	आवाज अनौठो सुनियो।
welfare	कल्याण	कार्यक्रमले बाल कल्याणलाई समर्थन गर्दछ।
wheat	गहुँ	किसानले गहुँ उब्जाउँछन्।
whoever	जोसुकै	जोसुकै पहिले आए पनि बाहिर पर्खनुपर्छ।
widespread	व्यापक	तुफानले व्यापक क्षति पुर्‍यायो।
wisdom	ज्ञान	उनको हजुरआमाले व्यावहारिक ज्ञान बाँडिन्।
withdraw	फिर्ता लिनु	उनले आफ्नो निवेदन फिर्ता लिने निर्णय गरे।
workforce	जनशक्ति	जनशक्तिलाई नयाँ सीपहरू चाहिन्छ।
workplace	कार्यस्थल	कार्यस्थलमा स्पष्ट सुरक्षा नियमहरू छन्।
workshop	कार्यशाला	कार्यशाला दश बजे सुरु हुन्छ।
worm	गड्यौला	एउटा कीरा माटोमा हिँड्यो।
wrist	नाडी	उनको नाडीमा चोट लाग्यो।
