hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
3606:白白	白白	白白	na próżno; bezskutecznie	Czekał przez godzinę na próżno.	tevergeefs; voor niets	Hij wachtte een uur tevergeefs.	förgäves; i onödan	Han väntade i en timme förgäves.	forgjeves; til ingen nytte	Han ventet i en time forgjeves.	forgæves; til ingen nytte	Han ventede forgæves i en time.	turhaan; hyödyttömästi	Hän odotti tunnin turhaan.
3607:白领	白领	白领	pracownik umysłowy; pracownik biurowy	W tym mieście jest wielu młodych pracowników biurowych.	witteboordenwerker; kantoormedewerker	Deze stad heeft veel jonge kantoormedewerkers.	tjänsteman; kontorsanställd	Det finns många unga kontorsanställda i den här staden.	kontoransatt; funksjonær	Denne byen har mange unge kontoransatte.	kontormedarbejder; funktionær	Denne by har mange unge kontormedarbejdere.	toimihenkilö; toimistotyöntekijä	Tässä kaupungissa on paljon nuoria toimistotyöntekijöitä.
3609:摆放	摆放	摆放	ułożyć; rozmieścić	Proszę ułożyć materiały równo na biurku.	neerzetten; rangschikken	Leg de materialen netjes op het bureau.	placera; ordna	Placera materialet prydligt på skrivbordet.	plassere; ordne	Legg materialet ryddig på skrivebordet.	placere; arrangere	Læg materialerne pænt på skrivebordet.	asetella; järjestää	Asettele aineistot siististi pöydälle.
3610:百分点	百分点	百分点	punkt procentowy	Stopa bezrobocia spadła o dwa punkty procentowe.	procentpunt	Het werkloosheidspercentage daalde met twee procentpunten.	procentenhet	Arbetslösheten sjönk med två procentenheter.	prosentpoeng	Arbeidsledigheten falt med to prosentpoeng.	procentpoint	Arbejdsløsheden faldt med to procentpoint.	prosenttiyksikkö	Työttömyysaste laski kaksi prosenttiyksikköä.
3611:百货	百货	百货	towary ogólne; dom towarowy	Ten dom towarowy jest bardzo zatłoczony w weekendy.	warenhuisartikelen; warenhuis	Dit warenhuis is in het weekend erg druk.	varuhusvaror; varuhus	Det här varuhuset är mycket fullt på helgerna.	varehusvarer; varehus	Dette varehuset er veldig fullt i helgene.	varehusvarer; stormagasin	Dette stormagasin er meget travlt i weekenden.	tavaratalotuotteet; tavaratalo	Tässä tavaratalossa on viikonloppuisin paljon väkeä.
3613:败	败	败	przegrać; ponieść porażkę	Nasza drużyna przegrała ostatecznie jednym punktem.	verliezen; verslagen worden	Ons team verloor uiteindelijk met één punt verschil.	förlora; bli besegrad	Vårt lag förlorade till slut med en poäng.	tape; bli slått	Laget vårt tapte til slutt med ett poeng.	tabe; blive besejret	Vores hold tabte til sidst med ét point.	hävitä; tulla voitetuksi	Joukkueemme hävisi lopulta yhdellä pisteellä.
3616:版	版	版	wydanie; wersja	Ukazało się nowe wydanie tej książki.	editie; versie	Er is een nieuwe editie van dit boek verschenen.	upplaga; version	En ny upplaga av den här boken har kommit ut.	utgave; versjon	Det har kommet en ny utgave av denne boken.	udgave; version	Der er kommet en ny udgave af denne bog.	painos; versio	Tästä kirjasta on ilmestynyt uusi painos.
3621:棒球	棒球	棒球	bejsbol	Dzieci grają w bejsbol w parku.	honkbal	De kinderen spelen honkbal in het park.	baseboll	Barnen spelar baseboll i parken.	baseball; amerikansk ballspill	Barna spiller baseball i parken.	baseball; amerikansk boldspil	Børnene spiller baseball i parken.	baseball; amerikkalainen pesäpallo	Lapset pelaavat baseballia puistossa.
3623:保健	保健	保健	profilaktyka zdrowotna; dbanie o zdrowie	Osoby starsze coraz bardziej dbają o zdrowie.	gezondheidszorg; gezondheidsbehoud	Oudere mensen letten steeds meer op hun gezondheid.	hälsovård; att bevara hälsan	Äldre människor lägger allt mer vikt vid hälsovård.	helsepleie; å ta vare på helsen	Eldre legger mer og mer vekt på helse.	sundhedspleje; at passe på helbredet	Ældre lægger mere og mere vægt på sundhed.	terveydenhoito; terveyden ylläpito	Iäkkäät ihmiset kiinnittävät yhä enemmän huomiota terveyteen.
3624:保暖	保暖	保暖	utrzymać ciepło; chronić przed zimnem	Wychodząc zimą, trzeba pamiętać o ciepłym ubraniu.	warm houden	Als je in de winter naar buiten gaat, moet je je warm houden.	hålla sig varm	När man går ut på vintern bör man hålla sig varm.	holde varmen	Når du går ut om vinteren, bør du holde varmen.	holde varmen	Når du går ud om vinteren, skal du holde dig varm.	pysyä lämpimänä	Talvella ulos lähtiessä pitää pysyä lämpimänä.
