hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
2002:哎呀	哎呀	哎呀	အို; ဟာ	ဟာ၊ သော့ကို အိမ်မှာ မေ့ထားခဲ့တယ်။	អូយ; អុញ	អូយ ខ្ញុំភ្លេចកូនសោនៅផ្ទះ។	ໂອ້ຍ; ອ້າວ	ອ້າວ, ຂ້ອຍລືມກະແຈໄວ້ຢູ່ເຮືອນ.	अरे; ओहो	अरे, मैले साँचो घरमै बिर्सेछु।
2005:安	安	安	ငြိမ်သက်သော; အေးချမ်းသော	ကလေး အိပ်ပျော်သွားပြီးနောက် အိမ်ထဲက ချက်ချင်း ငြိမ်သက်သွားတယ်။	ស្ងប់ស្ងាត់; សុខសាន្ត	បន្ទាប់ពីក្មេងគេងលក់ ផ្ទះក៏ស្ងប់ស្ងាត់ភ្លាមៗ។	ສະຫງົບ; ສັນຕິ	ຫຼັງຈາກເດັກນອນຫຼັບ ໃນເຮືອນກໍສະຫງົບລົງທັນທີ.	शान्त; अमन	बच्चा निदाएपछि घर एक्कासि शान्त भयो।
2006:安全带	安全带	安全带	လုံခြုံရေးခါးပတ်	ကားမောင်းခင် လုံခြုံရေးခါးပတ်ကို ကောင်းကောင်းပတ်ပါ။	ខ្សែក្រវាត់សុវត្ថិភាព	មុនបើកបរ សូមពាក់ខ្សែក្រវាត់សុវត្ថិភាព។	ສາຍແອວນິລະໄພ	ກ່ອນຂັບລົດ ກະລຸນາຄາດສາຍແອວນິລະໄພ.	सिट बेल्ट	गाडी चलाउनुअघि सिट बेल्ट बाँध्नुहोस्।
2013:半夜	半夜	半夜	သန်းခေါင်; ညနက်	သန်းခေါင်မှာ တစ်ယောက်ယောက်က သူ့ကို ဖုန်းဆက်ခဲ့တယ်။	ពាក់កណ្តាលអធ្រាត្រ; យប់ជ្រៅ	ពាក់កណ្តាលអធ្រាត្រមានមនុស្សម្នាក់ទូរស័ព្ទទៅគាត់។	ກາງດຶກ; ເວລາດຶກ	ກາງດຶກມີຄົນໂທຫາລາວ.	मध्यरात; राति अबेर	मध्यरातमा कसैले उसलाई फोन गर्यो।
2020:宝	宝	宝	ရတနာ; အသည်းအသန်ချစ်ရသူ	ဒီကျောက်စိမ်းအဟောင်းက မိသားစုရဲ့ ရတနာပါ။	កំណប់; មនុស្សជាទីស្រឡាញ់	ថ្មយ៉ាដចាស់នេះជាកំណប់របស់គ្រួសារ។	ສົມບັດ; ຄົນຮັກ	ຫີນຢົກເກົ່າກ້ອນນີ້ແມ່ນສົມບັດຂອງຄອບຄົວ.	धन; प्यारो व्यक्ति	यो पुरानो जेड हाम्रो परिवारको धन हो।
2021:保	保	保	ကာကွယ်သည်; ထိန်းသိမ်းသည်	ဒီသစ်တောအပိုင်းကို ကျွန်တော်တို့ ကာကွယ်ထိန်းသိမ်းရမယ်။	ការពារ; រក្សា	យើងត្រូវការពាររក្សាផ្នែកព្រៃនេះ។	ປົກປ້ອງ; ຮັກສາ	ພວກເຮົາຕ້ອງປົກປ້ອງປ່າສ່ວນນີ້ໄວ້.	जोगाउनु; सुरक्षित राख्नु	हामीले यो वनको भाग जोगाउनुपर्छ।
2022:保安	保安	保安	လုံခြုံရေးဝန်ထမ်း; လုံခြုံရေး	ဝင်ပေါက်က လုံခြုံရေးဝန်ထမ်းက ကျွန်တော့်မှတ်ပုံတင်ကို စစ်တယ်။	សន្តិសុខ; ការពារ	សន្តិសុខនៅមាត់ទ្វារបានពិនិត្យឯកសាររបស់ខ្ញុំ។	ພະນັກງານຮັກສາຄວາມປອດໄພ; ຄວາມປອດໄພ	ພະນັກງານຮັກສາຄວາມປອດໄພຢູ່ປະຕູໄດ້ກວດເອກະສານຂອງຂ້ອຍ.	सुरक्षा गार्ड; सुरक्षा	ढोकाको सुरक्षा गार्डले मेरो कागजात जाँच्यो।
2029:保质期	保质期	保质期	သက်တမ်း; သိုလှောင်နိုင်သည့်ကာလ	နို့မဝယ်ခင် သက်တမ်းကုန်ရက်ကို ကြည့်ရမယ်။	ថ្ងៃផុតកំណត់; រយៈពេលរក្សាទុក	មុនទិញទឹកដោះគោ ត្រូវមើលថ្ងៃផុតកំណត់។	ອາຍຸເກັບຮັກສາ; ວັນໝົດອາຍຸ	ກ່ອນຊື້ນົມ ຕ້ອງເບິ່ງວັນໝົດອາຍຸ.	म्याद; भण्डारण अवधि	दूध किन्नुअघि म्याद हेर्नुपर्छ।
2034:暴雨	暴雨	暴雨	မိုးသည်းထန်စွာရွာခြင်း	မိုးသည်းထန်ပြီးနောက် လမ်းပေါ်မှာ ရေများစွာ စုပုံနေတယ်။	ភ្លៀងធ្លាក់ខ្លាំង	បន្ទាប់ពីភ្លៀងធ្លាក់ខ្លាំង លើផ្លូវមានទឹកកកកុញច្រើន។	ຝົນຕົກໜັກ	ຫຼັງຝົນຕົກໜັກ ມີນ້ຳຂັງຫຼາຍຢູ່ຖະໜົນ.	मुसलधारे वर्षा	मुसलधारे वर्षापछि बाटोमा धेरै पानी जम्यो।
2037:背后	背后	背后	နောက်ကွယ်; နောက်ဘက်	အောင်မြင်မှုရဲ့ နောက်ကွယ်မှာ ကြိုးစားမှုများစွာရှိတယ်။	ពីក្រោយ; ផ្ទៃខាងក្រោយ	នៅពីក្រោយភាពជោគជ័យមានការខិតខំច្រើន។	ຂ້າງຫຼັງ; ພື້ນຫຼັງ	ຂ້າງຫຼັງຄວາມສຳເລັດມີຄວາມພະຍາຍາມຫຼາຍ.	पछाडि; पृष्ठभूमि	सफलताको पछाडि धेरै मेहनत हुन्छ।
