source_headword	MS	example_MS
abandon	meninggalkan	Mereka meninggalkan rancangan itu semalam.
absolute	mutlak	Kita perlukan kejujuran mutlak di sini.
acceptable	boleh diterima	Jawapannya boleh diterima.
accompany	menemani	Abang perempuan itu menemaninya pulang.
accurate	tepat	Laporan itu nampak tepat.
accuse	menuduh	Mereka menuduh dia berbohong.
acknowledge	mengakui	Sila akui kesilapan itu.
acquire	memperoleh	Dia memperoleh kemahiran baharu dengan cepat.
actual	sebenar	Kos sebenar lebih rendah.
adapt	menyesuaikan diri	Kami menyesuaikan diri dengan perubahan itu.
additional	tambahan	Bantuan tambahan tiba hari ini.
administration	pentadbiran	Pentadbiran mengubah dasar itu.
adopt	mengguna pakai	Mereka mengguna pakai kaedah baharu.
advance	kemajuan	Kami membuat sedikit kemajuan.
affair	urusan	Urusan itu merosakkan kepercayaan awam.
afterwards	selepas itu	Selepas itu, semua orang berasa tenang.
agency	agensi	Agensi itu mengupah tiga penterjemah.
agenda	agenda	Keselamatan ada dalam agenda.
aggressive	agresif	Nadanya kedengaran agresif.
aid	bantuan	Bantuan perubatan tiba dengan cepat.
aircraft	pesawat	Pesawat itu mendarat dengan selamat.
alter	mengubah	Jangan ubah perjanjian itu.
anger	kemarahan	Kemarahannya mengejutkan semua orang.
angle	sudut	Cuba sudut kamera lain.
anniversary	ulang tahun	Ulang tahun mereka esok.
annual	tahunan	Mesyuarat tahunan bermula Isnin.
anxious	cemas	Dia berasa cemas sebelum pembedahan.
apparent	jelas	Kekecewaannya jelas.
apparently	nampaknya	Nampaknya kereta api lewat.
appeal	rayuan	Keputusan itu mungkin menghadapi rayuan.
approach	pendekatan	Pendekatannya menyelesaikan masalah itu.
appropriate	sesuai	Pilih jawapan yang sesuai.
approval	kelulusan	Projek itu memerlukan kelulusan.
approve	meluluskan	Lembaga meluluskan belanjawan.
arise	timbul	Masalah mungkin timbul kemudian.
armed	bersenjata	Pengawal bersenjata berdiri di luar.
arms	senjata	Mereka meletakkan senjata mereka.
artificial	buatan	Bunga itu kelihatan buatan.
artistic	artistik	Dia mempunyai bakat artistik.
ashamed	malu	Dia berasa malu selepas itu.
aspect	aspek	Pertimbangkan setiap aspek dengan teliti.
assess	menilai	Kita mesti menilai kerosakan.
assessment	penilaian	Penilaian itu mengambil masa dua jam.
associate	mengaitkan	Orang mengaitkan asap dengan bahaya.
associated	berkaitan	Tekanan berkaitan dengan penyakit.
association	persatuan	Persatuan itu menyokong artis muda.
assume	menganggap	Saya menganggap anda bersetuju.
attempt	percubaan	Percubaan pertamanya gagal.
bacteria	bakteria	Bakteria boleh merebak dengan cepat.
barrier	halangan	Bahasa menjadi halangan.
basically	pada dasarnya	Pada dasarnya, kita perlukan lebih masa.
bear (deal with)	menahan	Saya tidak dapat menahan bunyi ini.
beg	merayu	Tolong merayu untuk mendapatkan bantuan.
being	makhluk	Setiap makhluk memerlukan air.
bent	bengkok	Batang logam itu bengkok.
bet	bertaruh	Saya bertaruh dia tahu.
beyond	di seberang	Kampung itu terletak di seberang sungai.
bitter	pahit	Ubat itu terasa pahit.
blame	menyalahkan	Jangan salahkan pemandu.
blind	buta	Dia menjadi buta ketika muda.
bond	ikatan	Kepercayaan mewujudkan ikatan yang kuat.
breast	dada	Dia berasa sakit di dadanya.
brief	ringkas	Pastikan jawapan anda ringkas.
broad	luas	Sungai itu luas di sini.
broadcast	menyiarkan	Ucapan itu disiarkan secara langsung.
budget	belanjawan	Belanjawan itu sangat ketat.
bullet	peluru	Peluru itu mengenai dinding.
bunch	gugus	Dia membawa segugus kunci.
bush	semak	Seekor burung bersembunyi di dalam semak.
cable	kabel	Kabel itu rosak.
calculate	mengira	Kira jumlah kos.
cancel	membatalkan	Mereka membatalkan mesyuarat itu.
cancer	kanser	Rawatan kanser boleh menjadi sukar.
capable	mampu	Dia mampu melakukan lebih banyak.
capacity	kapasiti	Dewan itu mencapai kapasiti.
capture	menangkap	Foto itu menangkap suasana.
cast	barisan pelakon	Barisan pelakon sudah bersedia.
cell	sel	Setiap sel mengandungi data.
chairman	pengerusi	Pengerusi membuka mesyuarat.
characteristic	ciri	Kesabaran ialah ciri utamanya.
chief	ketua	Ketua jurutera tiba lewat.
circumstance	keadaan	Pertimbangkan setiap keadaan dengan teliti.
cite	memetik	Sila petik sumber anda.
citizen	warganegara	Setiap warganegara boleh mengundi.
civil	tertib	Bantahan itu kekal tertib.
classic	klasik	Filem ini ialah karya klasik.
closely	dengan teliti	Perhatikan proses itu dengan teliti.
collapse	runtuh	Jambatan lama itu mungkin runtuh.
combination	gabungan	Gabungan itu berkesan.
comfort	keselesaan	Kata-katanya memberi keselesaan.
command	arahan	Pegawai itu memberi arahan.
commission	suruhanjaya	Suruhanjaya itu meneliti kes tersebut.
commitment	komitmen	Kerja itu memerlukan komitmen.
committee	jawatankuasa	Jawatankuasa itu bermesyuarat setiap minggu.
commonly	lazimnya	Tumbuhan ini lazimnya ditanam.
complicated	rumit	Arahan itu rumit.
component	komponen	Satu komponen gagal.
concentration	tumpuan	Bunyi bising memecahkan tumpuan saya.
concept	konsep	Konsep itu mudah.
concern	kebimbangan	Keselamatan ialah kebimbangan utama kami.
concerned	bimbang	Ibu bapa sangat bimbang.
conduct	menjalankan	Mereka menjalankan penyelidikan tempatan.
confidence	keyakinan	Latihan membina keyakinan.
conflict	konflik	Konflik itu berlangsung bertahun-tahun.
confusing	mengelirukan	Peta itu mengelirukan.
conscious	sedar	Dia masih sedar.
conservative	konservatif	Pandangannya konservatif.
consideration	pertimbangan	Kos ialah pertimbangan penting.
consistent	konsisten	Keputusannya konsisten.
constant	berterusan	Bunyi berterusan meletihkan kami.
constantly	sentiasa	Dia sentiasa memeriksa telefonnya.
construct	membina	Pekerja membina jambatan baharu.
construction	pembinaan	Pembinaan bermula bulan depan.
contemporary	kontemporari	Galeri itu mempamerkan seni kontemporari.
contest	pertandingan	Dia menyertai pertandingan itu.
contract	kontrak	Baca kontrak itu dengan teliti.
contribute	menyumbang	Semua orang boleh menyumbang idea.
contribution	sumbangan	Sumbangannya berharga.
convert	menukar	Mereka menukar garaj itu.
convinced	yakin	Saya yakin dia berbohong.
core	teras	Kepercayaan ialah isu teras.
corporate	korporat	Peraturan korporat berubah lagi.
council	majlis	Majlis meluluskan rancangan itu.
county	daerah	Daerah itu membaiki jalan.
courage	keberanian	Dia menunjukkan keberanian sebenar.
crash	kemalangan	Kemalangan itu menghalang lalu lintas.
creation	penciptaan	Penciptaan itu mengambil masa enam bulan.
creature	makhluk	Makhluk itu bergerak senyap.
crew	kru	Kru menyediakan kapal.
crisis	krisis	Krisis itu mengubah segalanya.
criterion	kriteria	Harga ialah satu kriteria.
critic	pengkritik	Pengkritik itu memuji drama tersebut.
critical	kritikal	Keadaannya kritikal.
criticism	kritikan	Dia menerima kritikan itu dengan tenang.
criticize	mengkritik	Jangan kritik setiap kesilapan.
crop	tanaman	Tanaman gagal tahun ini.
crucial	penting	Timing sangat penting di sini.
cure	penawar	Doktor menemui penawar.
curve	selekoh	Jalan itu mengikut selekoh.
curved	melengkung	Dinding itu sedikit melengkung.
debate	perbahasan	Perbahasan berlangsung berjam-jam.
debt	hutang	Dia membayar hutang itu.
decent	baik	Mereka menemui apartmen yang baik.
declare	mengisytiharkan	Mereka mengisytiharkan keputusan.
decline	menurun	Jualan terus menurun.
decoration	hiasan	Hiasan itu kelihatan mahal.
decrease	menurun	Harga mungkin menurun tidak lama lagi.
deeply	mendalam	Dia sangat mengambil berat tentang keadilan.
defeat	kekalahan	Kekalahan itu mengejutkan pasukan.
defence	pembelaan	Pihak pembelaan mencabar bukti.
defend	mempertahankan	Dia cuba mempertahankan dirinya.
delay	kelewatan	Cuaca buruk menyebabkan kelewatan.
deliberate	sengaja	Itu pilihan yang sengaja.
deliberately	dengan sengaja	Dia sengaja mengabaikan amaran itu.
delight	menggembirakan	Berita itu menggembirakan semua orang.
delighted	gembira	Kami gembira dengan hadiah itu.
delivery	penghantaran	Penghantaran tiba awal.
demand	tuntutan	Pekerja menuntut gaji yang lebih baik.
demonstrate	menunjukkan	Dia menunjukkan perisian baharu.
deny	menafikan	Dia menafikan tuduhan itu.
depressed	murung	Dia berasa murung selepas kalah.
depressing	menyedihkan	Filem itu menyedihkan.
depth	kedalaman	Kolam itu mempunyai kedalaman yang besar.
deserve	layak	Anda layak berehat.
desire	keinginan	Dia menyatakan keinginan untuk melancong.
desperate	terdesak	Mereka membuat panggilan terdesak.
detailed	terperinci	Panduan itu sangat terperinci.
detect	mengesan	Anjing boleh mengesan asap.
dig	menggali	Mereka menggali perigi pada musim panas.
disc	cakera	Cakera itu tercalar.
discipline	disiplin	Disiplin membantu atlet bertambah baik.
dishonest	tidak jujur	Jawapannya kedengaran tidak jujur.
dismiss	menolak	Pengurus menolak aduan itu.
display	memaparkan	Skrin memaparkan skor.
distribute	mengedarkan	Sukarelawan mengedarkan air bersih.
distribution	pengedaran	Pengedaran bermula selepas matahari terbit.
district	daerah	Daerah itu memilih datuk bandar.
division	bahagian	Bahagian itu mengendalikan kes undang-undang.
domestic	domestik	Penerbangan domestik lebih murah.
dominate	menguasai	Satu syarikat mungkin menguasai pasaran.
downwards	ke bawah	Laluan itu cerun ke bawah.
dozen	sedozen	Dia membeli sedozen telur.
draft	draf	Sila semak draf itu.
