source_headword	PL	example_PL
abandon	porzucić	Porzucili plan wczoraj.
absolute	bezwzględny	Potrzebujemy tu bezwzględnej uczciwości.
acceptable	do przyjęcia	Jego odpowiedź była do przyjęcia.
accompany	towarzyszyć	Jej brat odprowadził ją do domu.
accurate	dokładny	Raport wydaje się dokładny.
accuse	oskarżyć	Oskarżyli go o kłamstwo.
acknowledge	przyznać	Proszę przyznać się do błędu.
acquire	nabyć	Szybko nabyła nowe umiejętności.
actual	rzeczywisty	Rzeczywisty koszt był niższy.
adapt	dostosować się	Dostosowaliśmy się do zmiany.
additional	dodatkowy	Dodatkowa pomoc dotarła dzisiaj.
administration	administracja	Administracja zmieniła politykę.
adopt	przyjąć	Przyjęli nową metodę.
advance	postęp	Zrobiliśmy mały postęp.
affair	sprawa	Ta sprawa zaszkodziła zaufaniu publicznemu.
afterwards	później	Później wszyscy poczuli spokój.
agency	agencja	Agencja zatrudniła trzech tłumaczy.
agenda	porządek obrad	Bezpieczeństwo jest w porządku obrad.
aggressive	agresywny	Jego ton brzmiał agresywnie.
aid	pomoc	Pomoc medyczna dotarła szybko.
aircraft	statek powietrzny	Statek powietrzny wylądował bezpiecznie.
alter	zmienić	Nie zmieniaj umowy.
anger	gniew	Jego gniew zaskoczył wszystkich.
angle	kąt	Spróbuj innego kąta kamery.
anniversary	rocznica	Ich rocznica jest jutro.
annual	coroczny	Coroczne spotkanie zaczyna się w poniedziałek.
anxious	zaniepokojony	Czuła się zaniepokojona przed operacją.
apparent	widoczny	Jego rozczarowanie było widoczne.
apparently	podobno	Podobno pociąg jest spóźniony.
appeal	odwołanie	Decyzja może spotkać się z odwołaniem.
approach	podejście	Jej podejście rozwiązało problem.
appropriate	odpowiedni	Wybierz odpowiednią odpowiedź.
approval	zgoda	Projekt wymaga zgody.
approve	zatwierdzić	Zarząd zatwierdził budżet.
arise	pojawić się	Problemy mogą pojawić się później.
armed	uzbrojony	Uzbrojeni strażnicy stali na zewnątrz.
arms	broń	Złożyli broń.
artificial	sztuczny	Kwiaty wyglądały na sztuczne.
artistic	artystyczny	Ma talent artystyczny.
