source_headword	SR	example_SR
absolutely	apsolutno	Apsolutno se slažem s tobom.
academic	akademski	Akademska godina počinje u septembru.
access	pristup	Studentima je potreban pristup biblioteci.
accommodation	smeštaj	Rezervisali smo smeštaj blizu stanice.
account	račun	Ona je otvorila novi bankovni račun.
achievement	postignuće	Završetak kursa bio je veliko postignuće.
ad	oglas	Oglas je prikazivao novi telefon.
addition	dodatak	Bazen je koristan dodatak.
admire	diviti se	Divim se njenom mirnom pristupu.
admit	priznati	Priznao je svoju grešku.
advanced	napredan	Ovo je napredni kurs engleskog.
advise	savetovati	Lekari savetuju redovno kretanje.
afford	priuštiti	Ne možemo da priuštimo taksi.
aged	star	Program je za decu staru deset godina.
agent	agent	Putnički agent nam je promenio karte.
agreement	sporazum	Danas su postigli sporazum.
ahead	napred	Put napred je slobodan.
aim	težiti	Težimo da uskoro završimo.
alarm	alarm	Alarm je zazvonio u šest.
album	album	Ovaj album ima deset pesama.
alcohol	alkohol	Hotel ne služi alkohol.
alcoholic	alkoholni	Ovo piće nije alkoholno.
amazed	zadivljen	Bila je zadivljena rezultatom.
ambition	ambicija	Njegova ambicija je da postane pilot.
ambitious	ambiciozan	Ima ambiciozan plan.
analyse	analizirati	Moramo analizirati rezultate.
analysis	analiza	Njena analiza bila je jasna i pažljiva.
announce	najaviti	Sutra će najaviti pobednika.
announcement	obaveštenje	Obaveštenje je iznenadilo sve.
annoy	nervirati	Glasna muzika može nervirati komšije.
annoyed	iznerviran	Izgledao je iznervirano posle kašnjenja.
annoying	dosadan	Taj zvuk je veoma dosadan.
apart	odvojeno	Kuće su dva metra odvojene jedna od druge.
apologize	izviniti se	Izvinjavam se zbog kašnjenja.
application	prijava	Popuni prijavu na internetu.
appointment	termin	Sutra imam termin kod zubara.
appreciate	ceniti	Cenim tvoju pomoć.
approximately	otprilike	Šetnja traje otprilike dvadeset minuta.
arrest	uhapsiti	Policija je uhapsila vozača.
arrival	dolazak	Naš dolazak bio je kasniji od očekivanog.
assignment	zadatak	Zadatak treba predati u petak.
assist	pomagati	Medicinske sestre pomažu lekaru.
atmosphere	atmosfera	Kafić ima opuštenu atmosferu.
attach	priložiti	Priloži datoteku svojoj e-pošti.
attitude	stav	Njen stav se promenio posle sastanka.
attract	privući	Jarko cveće privlači pčele.
attraction	atrakcija	Dvorac je popularna atrakcija.
authority	vlast	Lokalna vlast je popravila put.
aware	svestan	Ona je svesna rizika.
backwards	unazad	Hodao je pažljivo unazad.
bake	peći	Pečem hleb svake nedelje.
balance	ravnoteža	Dobre cipele pomažu da održiš ravnotežu.
ban	zabraniti	Grad će zabraniti automobile.
bank (river)	obala reke	Stajali smo na obali reke.
base	baza	Ekipa se vratila u bazu.
basic	osnovni	Svima trebaju osnovne računarske veštine.
basis	osnova	Poverenje je osnova prijateljstva.
battery	baterija	Baterija mog telefona je slaba.
battle	bitka	Bitka je trajala celu noć.
beauty	lepota	Divili smo se lepoti planina.
bee	pčela	Pčela je sletela na cvet.
belief	uverenje	Njegovo uverenje mu je dalo hrabrost.
bell	zvono	Školsko zvono je glasno zazvonilo.
bend	savijati	Savij kolena kada podižeš.
bite	ugristi	Pas može ugristi nepoznate ljude.
block	blokirati	Palo drvo je blokiralo put.
bomb	bomba	Bomba je oštetila nekoliko zgrada.
border	granica	Prešli su granicu noću.
bother	smetati	Molim te, nemoj smetati sestri.
branch	grana	Grana se slomila u oluji.
brand	brend	Ovaj brend je popularan među studentima.
brave	hrabar	Hrabar čovek je spasao dete.
breath	dah	Duboko udahni.
breathe	disati	Ne mogu da dišem u ovom dimu.
breathing	disanje	Njeno disanje je bilo sporo.
bride	mlada	Mlada je nosila belu haljinu.
bubble	mehurić	Mehurić je plutao iznad čaše.
bury	zakopati	Zakopali su kutiju u pesak.
calm	miran	Ostani miran tokom ispita.
campaign	kampanja	Kampanja je prikupila novac za škole.
campus	kampus	Studenti žive blizu kampusa.
candidate	kandidat	Svaki kandidat je odgovorio na tri pitanja.
cap	kapa	Nosio je bejzbol kapu.
captain	kapetan	Kapetan je razgovarao s ekipom.
careless	nepažljiv	Nepažljiva greška nas je koštala vremena.
category	kategorija	Izaberi ispravnu kategoriju.
ceiling	plafon	Plafon je bio obojen u belo.
celebration	proslava	Proslava je trajala celo veče.
central	centralni	Hotel ima centralnu lokaciju.
ceremony	ceremonija	Ceremonija je počela u podne.
chain	lanac	Nosila je srebrni lanac.
challenge	izazov	Ovaj projekat je pravi izazov.
champion	šampion	Šampionka se zahvalila treneru.
channel	kanal	Promeni kanal, molim te.
chapter	poglavlje	Pročitaj sledeće poglavlje večeras.
charge	naknada	Nema naknade za decu.
cheat	varati	Ne varaj na testu.
cheerful	veseo	Jutros je izgledala veselo.
chemical	hemijski	Hemijski miris je bio jak.
chest	grudi	Bolele su ga grudi posle trčanja.
childhood	detinjstvo	Sećam se kuće iz detinjstva.
claim	tvrditi	Oni tvrde da je proizvod bezbedan.
clause	klauzula	Ova klauzula menja značenje.
click	kliknuti	Klikni plavo dugme.
client	klijent	Klijent je tražio više detalja.
cloth	krpa	Obriši sto ovom krpom.
clue	trag	Trag nam je pomogao da rešimo problem.
coal	ugalj	Stari voz je koristio ugalj.
coin	novčić	Našla je novčić na podu.
collection	kolekcija	Njena kolekcija maraka je velika.
coloured	obojen	Nosila je obojeni šal.
combine	kombinovati	Kombinuj brašno s vodom.
commercial	reklamni	Reklamna pauza je trajala pet minuta.
commit	obavezati se	Moramo se obavezati na plan.
communication	komunikacija	Dobra komunikacija sprečava greške.
comparison	poređenje	Ovo poređenje je korisno.
competitive	konkurentan	Tržište je veoma konkurentno.
competitor	konkurent	Naš glavni konkurent je smanjio cene.
complaint	žalba	Podneo je žalbu zbog buke.
complex	složen	Uputstva su previše složena.
concentrate	usredsrediti se	Ne mogu da se usredsredim uz muziku.
conclude	zaključiti	Sada ćemo zaključiti sastanak.
conclusion	zaključak	Njegov zaključak je delovao razumno.
confident	samouveren	Osećala se samouvereno pre intervjua.
confirm	potvrditi	Potvrdi svoju adresu e-pošte, molim te.
confuse	zbuniti	Ova dva imena me zbunjuju.
confused	zbunjen	Osećao sam se zbunjeno zbog mape.
connection	veza	Internet veza je spora.
consequence	posledica	Nedostatak sna ima posledice.
consist	sastojati se	Obrok se sastoji od tri jela.
consume	trošiti	Veliki automobili troše više goriva.
consumer	potrošač	Potrošač želi jasne informacije.
contact	kontaktirati	Kontaktiraj me posle ručka.
container	posuda	Stavi supu u posudu.
content1	sadržaj	Sadržaj kursa je koristan.
continuous	neprekidan	Mašina je proizvodila neprekidan zvuk.
contrast	kontrast	Kontrast između njih je jasan.
convenient	praktičan	Stanica je veoma praktična.
convince	ubediti	Ubedio ju je da pokuša ponovo.
costume	kostim	Nosio je gusarski kostim.
cottage	vikendica	Iznajmili su malu vikendicu.
cotton	pamuk	Ova košulja je od pamuka.
countryside	selo	Šetali smo selom.
court	sud	Slučaj je stigao na sud.
covered	pokriven	Sto je bio pokriven papirima.
cruel	surov	Bilo je surovo smejati se.
cultural	kulturni	Muzej nudi kulturne događaje.
currency	valuta	Lokalna valuta je evro.
current	trenutan	Trenutna situacija je teška.
currently	trenutno	Trenutno studira u inostranstvu.
curtain	zavesa	Navuci zavesu noću.
custom	običaj	Taj običaj je veoma star.
damage	šteta	Oluja je izazvala ozbiljnu štetu.
decade	decenija	Tamo su živeli jednu deceniju.
decorate	ukrasiti	Zajedno ukrašavamo sobu.
define	definisati	Možeš li definisati ovaj pojam?
definite	jasan	Treba nam jasan odgovor.
definition	definicija	Napiši definiciju u svesku.
deliver	dostaviti	Dostavljaju hranu u naš dom.
departure	polazak	Vreme polaska se promenilo.
despite	uprkos	Uprkos kiši, hodali smo.
destination	odredište	Pariz je bio njihovo krajnje odredište.
determine	odrediti	Testovi će odrediti tvoj nivo.
determined	odlučan	Bila je odlučna da uspe.
development	razvoj	Razvoj grada je bio brz.
diagram	dijagram	Nacrtaj jednostavan dijagram.
diamond	dijamant	Prsten je imao mali dijamant.
difficulty	poteškoća	Imao je poteškoća s vratima.
directly	direktno	Molim te, razgovaraj direktno sa mnom.
dirt	prljavština	Cipele su mu bile prekrivene prljavštinom.
disadvantage	nedostatak	Dug put je nedostatak.
disappointed	razočaran	Bila je razočarana rezultatom.
disappointing	razočaravajući	Kraj je bio razočaravajući.
discount	popust	Studenti ovde dobijaju popust.
dislike	ne voleti	Ne volim veoma glasnu muziku.
divide	podeliti	Podeli tortu na komade.
documentary	dokumentarac	Gledali smo dokumentarac o svemiru.
donate	donirati	Mnogi ljudi doniraju staru odeću.
doubt	sumnja	Nemam nikakvu sumnju u to.
dressed	obučeno	Bio je obučen u crno.
drum	bubanj	Bubanj se čuo po celoj sobi.
drunk	pijan	Vozač je bio pijan.
due	dospeti	Izveštaj dospeva sutra.
dust	prašina	Stare knjige su bile prekrivene prašinom.
duty	dužnost	Moja je dužnost da pomognem.
earthquake	zemljotres	Zemljotres je oštetio most.
eastern	istočni	Istočna obala je vetrovita.
economic	ekonomski	Zemlja ima ekonomske probleme.
economy	privreda	Privreda je porasla ove godine.
edge	ivica	Stani dalje od ivice.
editor	urednik	Urednik je proverio članak.
educate	obrazovati	Škole obrazuju mlade ljude.
educated	obrazovan	Ona je veoma obrazovana.
educational	obrazovni	Igra je obrazovna.
effective	efikasan	Ovaj lek je efikasan.
effectively	efikasno	Pravilo je objasnio efikasno.
effort	napor	Tvoj napor je bio važan.
election	izbori	Rezultat izbora je bio tesan.
element	element	Poverenje je važan element.
embarrassed	posramljen	Osećao se posramljeno posle pada.
embarrassing	neprijatan	To je bila neprijatna greška.
emergency	hitan slučaj	U hitnom slučaju pozovi ovaj broj.
emotion	emocija	Strah je snažna emocija.
employment	zaposlenost	Zaposlenost se povećala ovog meseca.
encourage	ohrabriti	Nastavnici ohrabruju studente da čitaju.
enemy	neprijatelj	Dve zemlje su bile neprijatelji.
engaged	veren	Vereni su od prošlog proleća.
engineering	inženjerstvo	Studira inženjerstvo na univerzitetu.
entertain	zabaviti	Pevač će zabaviti goste.
entertainment	zabava	Grad nudi zabavu uveče.
entrance	ulaz	Nađimo se kod ulaza.
entry	ulaz	Ulaz je besplatan za decu.
environmental	ekološki	Razgovarali smo o ekološkim problemima.
episode	epizoda	Poslednja epizoda je bila uzbudljiva.
equal	jednak	Primaju jednake plate.
equally	jednako	Posao je jednako podeljen.
escape	pobeći	Zatvorenici su pokušali da pobegnu.
essential	neophodan	Voda je neophodna za život.
eventually	na kraju	Na kraju smo pronašli hotel.
examine	pregledati	Lekar mi je pregledao ruku.
exchange	razmena	Obavili smo razmenu u prodavnici.
excitement	uzbuđenje	Igra je bila puna uzbuđenja.
exhibition	izložba	Umetnička izložba se otvara sutra.
expand	proširiti se	Kompanija planira da se proširi.
expected	očekivan	Očekivani troškovi su visoki.
expedition	ekspedicija	Ekspedicija je prešla pustinju.
experienced	iskusan	Ona je iskusna medicinska sestra.
explode	eksplodirati	Boca može eksplodirati od toplote.
explore	istražiti	Istražili smo stari grad.
explosion	eksplozija	Eksplozija je razbila nekoliko prozora.
export	izvoz	Kafa je važan izvoz.
fairly	prilično	Test je bio prilično lak.
familiar	poznat	Njeno lice je izgledalo poznato.
fancy	želeti	Želiš li kafu?
fascinating	fascinantan	Priča je bila fascinantna.
fashionable	moderan	Te cipele su moderne.
fasten	vezati	Veži sigurnosni pojas.
favour	usluga	Možeš li mi učiniti uslugu?
fence	ograda	Ograda okružuje vrt.
fighting	borba	Borba se završila u zoru.
file	datoteka	Sačuvaj datoteku pre zatvaranja.
financial	finansijski	Treba mi finansijski savet.
fitness	kondicija	Trčanje poboljšava tvoju kondiciju.
fixed	fiksan	Cena je fiksna.
flag	zastava	Zastava se vijorila iznad škole.
flood	poplava	Poplava je oštetila mnoge kuće.
flour	brašno	Dodaj brašno u činiju.
flow	teći	Reka teče kroz grad.
fold	presaviti	Presavij papir napola.
folk	narodni	Narodna muzika je ispunila salu.
force	sila	Vetar je imao veliku silu.
forever	zauvek	Pamtiću to zauvek.
frame	okvir	Fotografiji treba okvir.
freeze	smrznuti se	Voda se smrzne preko noći.
frequently	često	Često posećuje roditelje.
friendship	prijateljstvo	Njihovo prijateljstvo je trajalo godinama.
frighten	uplašiti	Glasni zvukovi uplaše dete.
frightened	uplašen	Dete je izgledalo uplašeno.
frightening	zastrašujući	Oluja je bila zastrašujuća.
frozen	smrznut	Jezero je bilo smrznuto.
fry	pržiti	Prži luk pet minuta.
fuel	gorivo	Autu treba više goriva.
function	funkcija	Ovo dugme ima jednu funkciju.
fur	krzno	Mačka ima mekano krzno.
garage	garaža	Auto je u garaži.
gather	okupiti se	Okupili smo se oko stola.
generally	obično	Obično stiže rano.
generation	generacija	Svaka generacija sreće nove probleme.
generous	velikodušan	Velikodušan je sa svojim vremenom.
gentle	nežan	Koristi nežan glas.
gentleman	gospodin	Gospodin je otvorio vrata.
ghost	duh	Priča pominje duha.
giant	džinovski	Džinovski ekran je ispunio pozornicu.
glad	drago	Drago mi je što si došao.
global	globalan	Klimatske promene su globalan problem.
glove	rukavica	Izgubio sam jednu rukavicu.
goods	roba	Roba je stigla kasno.
grade	ocena	Dobila je visoku ocenu.
graduate	diplomac	On je nedavni diplomac.
grain	zrno	Jedno zrno pirinča je palo.
grateful	zahvalan	Zahvalan sam na tvojoj podršci.
growth	rast	Biljka je pokazala stalan rast.
guard	čuvar	Čuvar nam je proverio karte.
guilty	kriv	Osećao se krivim zbog laži.
hang	okačiti	Okači kaput ovde.
happiness	sreća	Novac ne može kupiti sreću.
hardly	jedva	Jedva sam te čuo.
headline	naslov	Naslov mi je privukao pažnju.
heating	grejanje	Grejanje je prestalo da radi.
heavily	jako	Jaka kiša je padala celu noć.
helicopter	helikopter	Helikopter je sleteo u blizini.
highlight	istaknuti	Istakni glavnu ideju.
highly	visoko	Ona je visoko cenjena.
hire	iznajmiti	Moramo iznajmiti auto.
historic	istorijski	Posetili smo istorijsku zgradu.
historical	istorijski	Ona voli istorijske romane.
honest	iskren	Molim te, daj iskren odgovor.
horrible	užasan	Miris je bio užasan.
horror	horor	On voli horor filmove.
host	domaćin	Domaćin je pozdravio svakog gosta.
