source_headword	AZ	example_AZ
crawl	iməkləmək	Körpə xalçanın üzərində iməkləməyə başladı.
creator	yaradıcı	Yaradıcı hər kəsə dəstəyinə görə təşəkkür etdi.
credibility	etibarlılıq	Şahid dindirmə zamanı etibarlılığını itirdi.
credible	inandırıcı	Hesabat inandırıcı sübutlar təqdim etdi.
creep	yayılmaq	Duman vadi boyu yayılmağa başladı.
critique	tənqid	Professor ətraflı tənqid bildirdi.
crown	tac	Kraliça gümüş tac taxmışdı.
crude	bəsit	Rəsm bəsit, lakin aydın idi.
crush	əzmək	Ağır daşlar borunu əzə bilər.
crystal	büllur	Büllur səhər işığını əks etdirirdi.
cult	təriqət	Təriqət öz üzvlərini təcrid edirdi.
cultivate	becərmək	Fermerlər bu bölgədə düyü becərirlər.
curiosity	maraq	Maraq onu elmə gətirdi.
custody	qəyyumluq	Uşaq atasının qəyyumluğunda qaldı.
cutting	qəzet kəsiyi	Qəzet onun haqqında bir kəsik dərc etdi.
cynical	kinik	Onun kinik rəyi komandanı məyus etdi.
dam	bənd	Bənd çay suyunu saxlayır.
damaging	ziyanlı	Ziyanlı məqalə kampaniyaya zərər vurdu.
dawn	sübh	Biz kəndi sübh tezdən tərk etdik.
debris	qalıqlar	Fırtına qalıqları yolu bağladı.
debut	debüt	Onun debütü milli diqqəti cəlb etdi.
decision-making	qərar qəbuletmə	Yaxşı qərar qəbuletmə aydın məlumat tələb edir.
decisive	qətiyyətli	Onun qətiyyətli hərəkəti daha çox zərərin qarşısını aldı.
declaration	bəyanat	Nazir rəsmi bəyanatı oxudu.
dedicated	fədakar	Fədakar tibb bacısı gecə boyu işlədi.
dedication	fədakarlıq	Onun fədakarlığı gənc oyunçuları ilhamlandırdı.
deed	əməl	Cəsur əməl iki həyatı xilas etdi.
deem	hesab etmək	Məhkəmə müqaviləni etibarsız hesab edə bilər.
default	standart	Hələlik standart parametrdən istifadə edin.
defect	qüsur	Müfəttişlər ciddi qüsur tapdılar.
defensive	müdafiə	Onun müdafiə tonu hər kəsi təəccübləndirdi.
deficiency	çatışmazlıq	Dəmir çatışmazlığı sağlamlığa təsir edə bilər.
deficit	kəsir	Büdcə kəsiri rəsmiləri narahat etdi.
defy	qarşı çıxmaq	Etirazçılar qadağaya qarşı çıxmağı seçdilər.
delegate	nümayəndə	Hər bir nümayəndə səsvermə kartı aldı.
delegation	nümayəndə heyəti	Nümayəndə heyəti günortadan əvvəl gəldi.
delicate	zərif	Zərif şüşə asanlıqla qırıldı.
demon	iblis	Hekayə qədim bir iblisi təsvir edir.
denial	inkar	Onun inkarı qurbanları qəzəbləndirdi.
denounce	qınamaq	Liderlər məktəblərdəki zorakılığı qınayırlar.
dense	sıx	Sıx meşə günəş işığının qarşısını alırdı.
density	sıxlıq	Şəhər mərkəzində əhali sıxlığı yüksəkdir.
dependence	asılılıq	Ölkənin neftdən asılılığı azaldı.
depict	təsvir etmək	Divar rəsmi kənd həyatını təsvir edir.
deploy	yerləşdirmək	Ordu əlavə heyət yerləşdirəcək.
deployment	yerləşdirmə	Qoşunların yerləşdirilməsi bazar ertəsi başladı.
deprive	məhrum etmək	Yuxusuzluq tələbələri diqqətdən məhrum edə bilər.
deputy	müavin	Müavin müqaviləni imzaladı.
descend	enmək	Cığır kəskin şəkildə enməyə başladı.
descent	eniş	Təyyarə enişə başladı.
designate	təyin etmək	Şəhər yeni bir park təyin edəcək.
desirable	arzuolunan	Sinif otaqlarında yaxşı işıqlandırma arzuolunandır.
desktop	iş masası	Fayl mənim iş masamdadır.
destructive	dağıdıcı	Fırtınanın dağıdıcı gücü var idi.
detain	saxlamaq	Polis şübhəliləri gecə boyu saxlaya bilər.
detection	aşkar etmə	Erkən aşkar etmə xərçəng müalicəsini yaxşılaşdırır.
detention	həbs	Tələbələr saxlama şəraitinə etiraz etdilər.
deteriorate	pisləşmək	Onun səhhəti pisləşməyə başladı.
devastate	viran qoymaq	Zəlzələ sahilyanı qəsəbələri viran qoya bilər.
devil	şeytan	Uşaq gülən bir şeytan çəkdi.
devise	hazırlamaq	Mühəndislər daha təhlükəsiz nəqliyyat sistemləri hazırlayırlar.
diagnose	diaqnoz qoymaq	Həkimlər xəstəliyə qan testləri ilə diaqnoz qoyurlar.
diagnosis	diaqnoz	Diaqnoz onun simptomlarını izah etdi.
dictate	diktə etmək	Müqavilə ödəniş şərtlərini diktə edəcək.
dictator	diktator	Diktator medianı idarə edirdi.
differentiate	fərqləndirmək	Faktı fikirdən fərqləndirə bilərsinizmi?
dignity	ləyaqət	İşdə hər kəs ləyaqətə layiqdir.
dilemma	dilemma	Menecer ciddi bir dilemma ilə üzləşdi.
dimension	ölçü	Problemin siyasi bir cəhəti var.
diminish	azalmaq	Ağrı yavaş-yavaş azalmalıdır.
dip	düşmək	Temperatur sıfırdan aşağı düşə bilər.
diplomat	diplomat	Diplomat xarici liderlərlə görüşdü.
diplomatic	diplomatik	Diplomatik danışıqlar gecə boyu davam etdi.
directory	kataloq	Onun nömrəsini məlumat kitabçasında axtarın.
disastrous	fəlakətli	Fəlakətli daşqın bir neçə körpünü dağıtdı.
discard	atmaq	Faydalı qeydləri atmayın.
discharge	buraxmaq	Xəstəxana onu sabah buraxacaq.
disclose	açıqlamaq	Rəsmilər rəqəmləri açıqlamaqdan imtina etdilər.
disclosure	açıqlama	Açıqlama idarə heyətini şoka saldı.
discourse	diskurs	İctimai diskurs daha nəzakətli oldu.
discretion	ehtiyatlılıq	Həssas hallarda öz mülahizənizdən istifadə edin.
discrimination	ayrı-seçkilik	Qanun işə qəbulda ayrı-seçkiliyi qadağan edir.
dismissal	işdən çıxarılma	Onun işdən çıxarılması ictimai qəzəbə səbəb oldu.
displace	yerdəyişməyə məcbur etmək	Müharibə minlərlə insanı yerindən edə bilər.
disposal	utilizasiya	Tullantıların məhvi yerli bir problem olaraq qalır.
dispose	məhv etmək	Şirkət kimyəvi maddələri təhlükəsiz şəkildə məhv etməlidir.
dispute	mübahisə	Mübahisə aylarla davam etdi.
disrupt	mane olmaq	Səs-küy diqqəti poza bilər.
disruption	fasilə	Tətil böyük fasilələrə səbəb oldu.
dissolve	həll olmaq	Şəkər isti çayda həll olacaq.
distinction	fərq	Onlar arasındakı fərq önəmlidir.
distinctive	fərqləndirici	Onun özünəməxsus səsi var.
distort	təhrif etmək	Güzgü əksinizi təhrif edə bilər.
distress	iztirab	Zəng ciddi sıxıntıya səbəb oldu.
disturbing	narahatedici	Sənədli film narahatedici səhnələr göstərdi.
divert	yönləndirmək	Polis nəqliyyatın istiqamətini dəyişməli oldu.
divine	ilahi	Kilsənin ilahi bir atmosferi var.
doctrine	doktrina	Partiya köhnə doktrinanı rədd etdi.
documentation	sənədləşdirmə	İşə salmazdan əvvəl sənədləşdirməni tamamlayın.
domain	domen	Veb-sayt təhlükəsiz domendən istifadə edir.
dominance	üstünlük	Komandanın üstünlüyü on il davam etdi.
donor	donor	Donor bu gün qan verdi.
dose	doza	Səhər yeməyindən sonra bir doza qəbul edin.
drain	axıtmaq	Su çaya axacaq.
drift	sürüklənmək	Tüstü yol boyu yayılmağa başladı.
driving	əsas	Yağış gecikmələrin əsas səbəbi idi.
drown	boğulmaq	Cərəyanların sizi boğa biləcəyi yerdə heç vaxt üzməyin.
dual	ikili	Cihazın ikili funksiyası var.
dub	adlandırmaq	Tənqidçilər şəhəri mədəniyyət paytaxtı adlandırırlar.
dumb	axmaq	Bu axmaq səhv idi.
duo	duet	Komediya dueti Avropanı gəzdi.
eager	həvəsli	Tələbələr başlamağa həvəsli idilər.
earnings	qazanc	Şirkətin qazancı kəskin artdı.
ease	yüngülləşdirmək	Yeni yol hərəkəti yüngülləşdirəcək.
echo	əks-səda vermək	Onun səsi zalda əks-səda verdi.
ecological	ekoloji	Ekoloji təsir qeyri-müəyyən qalır.
educator	pedaqoq	Pedaqoq yeni kurs hazırladı.
effectiveness	səmərəlilik	Tədqiqat vaksinin səmərəliliyini ölçdü.
efficiency	səmərəlilik	Daha yaxşı proqram təminatı səmərəliliyi artırdı.
ego	eqo	Onun eqosu işdə problemlərə səbəb oldu.
elaborate	mürəkkəb	Mürəkkəb kostyum həftələr çəkdi.
electoral	seçki	Seçki sistemi keçən il dəyişdi.
elevate	yüksəltmək	Mükafat onun nüfuzunu yüksəldəcək.
eligible	uyğun	Yalnız sakinlər endirimlər üçün uyğundur.
elite	elita	Elita özəl akademiyada təhsil alırdı.
embark	başlamaq	Onlar uzun bir səyahətə çıxacaqlar.
embarrassment	xəcalət	O, xəcalətini gizlətmək üçün güldü.
embassy	səfirlik	Səfirlik yeni səyahət məsləhəti verdi.
embed	təhkim etmək	Jurnalist bölməyə təhkim olunacaq.
embody	təcəssüm etdirmək	Heykəl sanki cəsarəti təcəssüm etdirir.
emergence	yaranma	Telefonların yaranması gündəlik həyatı dəyişdirdi.
empirical	empirik	Məqalə empirik sübutlara əsaslanır.
empower	səlahiyyət vermək	Təhsil yerli icmalara səlahiyyət verə bilər.
enact	qəbul etmək	Parlament islahatı qəbul etmək üçün səs verdi.
encompass	əhatə etmək	Kurs müasir tarixi əhatə edəcək.
encouragement	təşviq	Onun təşviqi ona davam etməyə kömək etdi.
encouraging	ümidverici	İlkin nəticələr ümidverici görünür.
endeavour	səy	Xilasetmə çətin bir səy idi.
endless	sonsuz	Səhra sonsuz görünürdü.
endorse	dəstəkləmək	Həmkarlar ittifaqı namizədi dəstəkləməkdən imtina etdi.
endorsement	dəstək	Onun dəstəyi onun kampaniyasını gücləndirdi.
endure	dözmək	Bitkilər sərt qışlara dözə bilər.
enforce	icra etmək	Polis sürət həddinə nəzarət edir.
enforcement	icra	Daha güclü nəzarət qeyri-qanuni tullantıları azaltdı.
engagement	iştirak	Bu semestr tələbələrin iştirakı yaxşılaşdı.
engaging	cəlbedici	Çıxış edən şəxs cəlbedici danışdı.
enquire	soruşmaq	Zəhmət olmasa, qeydiyyat şöbəsindən soruşun.
enrich	zənginləşdirmək	Səyahət anlayışınızı zənginləşdirə bilər.
enrol	qeydiyyatdan keçmək	Tələbələr sentyabra qədər qeydiyyatdan keçməlidirlər.
ensue	ardınca baş vermək	Elan edildikdən sonra xaos baş verə bilər.
enterprise	müəssisə	Müəssisə yerli sənətkarları işlə təmin edir.
enthusiast	həvəskar	Hər bir velosiped həvəskarı bu marşrutu bilir.
entitle	hüquq vermək	Bilet sizə giriş hüququ verəcək.
entity	hüquqi şəxs	Şirkət ayrıca hüquqi şəxsdir.
epidemic	epidemiya	Epidemiya bir neçə bölgəyə yayıldı.
equality	bərabərlik	Hərəkat bərabərlik üçün mübarizə aparırdı.
equation	tənlik	Tənlikdə iki məchul var.
erect	qurmaq	İşçilər yeni hasar quracaqlar.
escalate	gərginləşmək	Münaqişə tez bir zamanda gərginləşə bilər.
essence	mahiyyət	Şeir uşaqlığın mahiyyətini əks etdirir.
establishment	müəssisə	Müəssisə islahata qarşı çıxdı.
eternal	əbədi	Onlar əbədi dostluq sözü verdilər.
evacuate	təxliyə etmək	Yanğınsöndürənlər sakinlərə təhlükəsiz təxliyə olunmağa kömək etdilər.
evoke	oyatmaq	Mahnı güclü xatirələr oyada bilər.
evolutionary	təkamül	Fosillər təkamül dəyişikliyini göstərir.
exaggerate	şişirtmək	Təcrübənizi şişirtməyin.
excellence	mükəmməllik	Məktəb akademik mükəmməlliyi mükafatlandırır.
exceptional	müstəsna	O, müstəsna bacarıq nümayiş etdirdi.
excess	artıq	Artıq su zirzəmini basdı.
exclusion	kənarlaşdırma	Sosial kənarlaşdırma gənclərə zərər verir.
exclusive	eksklüziv	Klub eksklüziv giriş təklif edir.
exclusively	yalnız	Bu otaqdan yalnız işçilər istifadə edir.
execute	icra etmək	Komanda planı diqqətlə icra edəcək.
execution	icra	Strategiyanın icrası aylar çəkdi.
exert	tətbiq etmək	Daha çox təzyiq göstərməlisiniz.
exile	sürgün	Yazıçı sürgündə yaşayırdı.
expenditure	xərc	Dövlət xərcləri keçən il artdı.
experimental	eksperimental	Müalicə hələ də eksperimentaldır.
expire	müddəti bitmək	Pasportumun müddəti tezliklə bitəcək.
explicit	aydın	Təlimatlar aydın idi.
explicitly	açıq şəkildə	Qaydalar siqaret çəkməyi açıq şəkildə qadağan edir.
exploitation	istismar	Hesabat işçilərin istismarını ifşa etdi.
explosive	partlayıcı	Partlayıcı qurğu təhlükəsiz şəkildə çıxarıldı.
extremist	ekstremist	Ekstremist qrup dəstəyi itirdi.
facilitate	asanlaşdırmaq	Tətbiq distant təhsili asanlaşdıracaq.
faction	fraksiya	Bir fraksiya liderə qarşı çıxdı.
faculty	fakültə	Fakültə təklifi təsdiqlədi.
fade	solmaq	Boya günəş işığında solacaq.
fairness	ədalət	Hər bir yarışda ədalət önəmlidir.
fatal	ölümcül	Qəza ölümcül xəsarətlərə səbəb oldu.
fate	tale	Onun taleyini heç kim bilmirdi.
favourable	əlverişli	Rəy müsbət idi.
feat	nailiyyət	O zirvəyə qalxmaq böyük bir nailiyyət idi.
feminist	feminist	Feminist hərəkat ictimai müzakirələri dəyişdirdi.
fibre	lif	Bu çörəkdə əlavə lif var.
fierce	şiddətli	Şiddətli fırtına damlara zərər verdi.
film-maker	kinorejissor	Kinorejissor sonra suallara cavab verdi.
