source_headword	TR	example_TR
absolutely	kesinlikle	Sana kesinlikle katılıyorum.
academic	akademik	Akademik yıl eylülde başlar.
access	erişim	Öğrencilerin kütüphaneye erişime ihtiyacı var.
accommodation	konaklama	İstasyonun yakınında konaklama ayarladık.
account	banka hesabı	O yeni bir banka hesabı açtı.
achievement	başarı	Kursu bitirmek büyük bir başarıydı.
ad	reklam	Reklam yeni bir telefon gösterdi.
addition	ekleme	Yeni oda faydalı bir ekleme oldu.
admire	hayran olmak	Onun sakin tavrına hayranım.
admit	kabul etmek	Hatasını kabul etti.
advanced	ileri	Bu ileri düzey İngilizce sınıfıdır.
advise	tavsiye etmek	Doktorlar düzenli egzersiz tavsiye eder.
afford	gücü yetmek	Taksiye gücümüz yetmez.
aged	yaşında	Kurs on yaşındaki çocuklar içindir.
agent	ajan	Seyahat ajanı biletlerimizi değiştirdi.
agreement	anlaşma	Bugün bir anlaşmaya vardılar.
ahead	ileride	İlerideki yol açık.
aim	amaçlamak	Çabuk bitirmeyi amaçlıyoruz.
alarm	alarm	Alarm saat altıda çaldı.
album	albüm	Bu albümde on şarkı var.
alcohol	alkol	Otel alkol satmıyor.
alcoholic	alkollü	Bu içecek alkollü değil.
amazed	şaşırmış	Sonuç karşısında çok şaşırmıştı.
ambition	hırs	Onun hırsı pilot olmaktır.
ambitious	hırslı	Onun hırslı bir planı var.
analyse	analiz etmek	Sonuçları analiz etmemiz gerekiyor.
analysis	analiz	Onun analizi açıktı.
announce	duyurmak	Kazananı yarın duyuracaklar.
announcement	duyuru	Duyuru herkesi şaşırttı.
annoy	rahatsız etmek	Bu gürültü komşuları rahatsız ediyor.
annoyed	rahatsız	Uzun kuyruktan rahatsızdı.
annoying	rahatsız edici	Bu ses çok rahatsız edici.
apart	ayrı	İki ev birbirinden ayrı duruyor.
apologize	özür dilemek	Geç kaldığı için özür diledi.
application	başvuru	Başvuruyu bugün gönder.
appointment	randevu	Doktor randevusu öğlen.
appreciate	takdir etmek	Yardımını çok takdir ediyoruz.
approximately	yaklaşık	Yolculuk yaklaşık iki saat sürer.
arrest	tutuklamak	Polis şüpheliyi tutukladı.
arrival	varış	Onların varışı gecikti.
assignment	ödev	Ödevin yarın teslim edilmesi gerekiyor.
assist	yardım etmek	Görevliler misafirlere yerlerini bulmada yardım etti.
atmosphere	atmosfer	Kafede sıcak bir atmosfer vardı.
attach	eklemek	Lütfen belgeyi e-postaya ekle.
attitude	tavır	Onun olumlu tavrı takıma yardım etti.
attract	çekmek	Parlak tabela müşterileri çekti.
attraction	turistik yer	Kale ünlü bir turistik yerdir.
authority	yetkili makam	Yerel yetkili makam yeni bir kural yayımladı.
aware	farkında	Değişikliğin farkındaydım.
backwards	geriye	Yavaşça geriye yürüdü.
bake	pişirmek	Dün ekmek pişirdik.
balance	denge	Çocuk dengesini kaybetti.
ban	yasak	Şehir yeni bir yasak getirdi.
bank (river)	kıyı	Nehir kıyısında yürüdük.
base	temel	Bu fikir planın temelidir.
basic	temel	Bu temel bir kuraldır.
basis	dayanak	Karar gerçeklere dayanarak verildi.
battery	pil	Telefonun pili boş.
battle	savaş	O savaş uzun sürdü.
beauty	güzellik	Gölün güzelliği bizi şaşırttı.
bee	arı	Arı çiçeğin üzerine uçtu.
belief	inanç	Onun inancı güçlüydü.
bell	zil	Zil dersten önce çaldı.
bend	bükmek	Dizini biraz bük.
bite	ısırmak	Köpek topu ısırmaya çalıştı.
block	blok	Bir sonraki blokta yaşıyoruz.
bomb	bomba	Bomba haberi insanları korkuttu.
border	sınır	Nehir sınırı oluşturur.
bother	rahatsız etmek	Bu gürültü beni rahatsız etmiyor.
branch	dal	Dal rüzgarda kırıldı.
brand	marka	Bu marka tanınmış.
brave	cesur	O cesur bir karar verdi.
breath	nefes	Derin bir nefes al.
breathe	nefes almak	Yavaşça nefes al ve rahatla.
breathing	nefes alma	Onun nefes alışı hızlıydı.
bride	gelin	Gelin gülümseyerek geldi.
bubble	kabarcık	Sabun kabarcığı patladı.
bury	gömmek	Kemiği bahçeye gömdüler.
calm	sakin	Baskı altında sakin kaldı.
campaign	kampanya	Seçim kampanyası bugün başladı.
campus	kampüs	Kampüs çok büyük.
candidate	aday	Aday soruları yanıtladı.
cap	şapka	Mavi bir şapka takıyordu.
captain	kaptan	Takım kaptanı önce konuştu.
careless	dikkatsiz	Dikkatsiz bir hata sorun yarattı.
category	kategori	Doğru kategoriyi seç.
ceiling	tavan	Tavan çok yüksek.
celebration	kutlama	Kutlama akşam başladı.
central	merkezi	Ofis merkezi bir caddede.
ceremony	tören	Tören saat on birde başladı.
chain	zincir	Bisiklet zinciri çıktı.
challenge	zorluk	Bu sınav ciddi bir zorluktur.
champion	şampiyon	O ulusal şampiyon oldu.
channel	kanal	Televizyon kanalını değiştir.
chapter	bölüm	Sonraki bölümü oku.
charge	ücret	Bu hizmet için küçük bir ücret var.
cheat	kopya çekmek	Sınavda kopya çekemezsin.
cheerful	neşeli	Her zaman neşeli bir sesle konuşur.
chemical	kimyasal	Laboratuvarda kimyasal maddeler var.
chest	göğüs	Göğsü ağrıyordu.
childhood	çocukluk	Çocukluğunu sık sık hatırlar.
claim	iddia	Onun iddiası kanıt gerektiriyor.
clause	madde	Sözleşmenin bu maddesi önemlidir.
click	tıklamak	Mavi düğmeye tıkla.
client	müşteri	Müşteri ofiste bekliyor.
cloth	bez	Masayı temiz bir bezle ört.
clue	ipucu	Bu ipucu sorunu çözmeye yardım etti.
coal	kömür	Fabrika kömür kullanıyordu.
coin	madeni para	Madeni parayı kutuya attı.
collection	koleksiyon	Onun koleksiyonunda eski kartlar var.
coloured	renkli	Çocuk renkli kalemler getirdi.
combine	birleştirmek	İki fikri birleştirebiliriz.
commercial	ticari	Bu ticari bir binadır.
commit	işlemek	O ciddi bir hata işledi.
communication	iletişim	İyi iletişim takıma yardım eder.
comparison	karşılaştırma	Bu karşılaştırma yararlı.
competitive	rekabetçi	Piyasa çok rekabetçi.
competitor	rakip	Rakibimiz yeni bir mağaza açtı.
complaint	şikayet	Hizmet hakkında şikayet yazdı.
complex	karmaşık	Bu karmaşık bir sorun.
concentrate	odaklanmak	Ders sırasında odaklan.
conclude	sonuca varmak	Planın işe yaradığı sonucuna varabiliriz.
conclusion	sonuç	Onun sonucu açıktı.
confident	kendinden emin	Mülakattan önce kendinden emindi.
confirm	onaylamak	Lütfen toplantı saatini onayla.
confuse	kafasını karıştırmak	Onun cevabı kafamı karıştırdı.
confused	kafası karışmış	Bir an kafam karıştı.
connection	bağlantı	İnternet bağlantısı yavaştı.
consequence	sonuç	Bu kararın ciddi bir sonucu oldu.
consist	oluşmak	Takım beş kişiden oluşur.
consume	tüketmek	Bu araba az yakıt tüketir.
consumer	tüketici	Tüketici iyi fiyat arar.
contact	iletişim	Bizimle iletişimde kal.
container	kap	Suyu o kaba dök.
content1	içerik	Sitenin içeriği güncel.
continuous	sürekli	Sürekli yağmur yolu kapattı.
contrast	zıtlık	Renklerin zıtlığı güçlü.
convenient	uygun	Bu saat benim için uygun.
convince	ikna etmek	Takımı ikna etmeye çalıştı.
costume	kostüm	Bayram için kostüm giydi.
cottage	kır evi	Hafta sonu için kır evi kiraladık.
cotton	pamuk	Bu gömlek pamuktan yapılmış.
countryside	kırsal bölge	Kırsal bölgeyi seviyorum.
court	mahkeme	Dava mahkemeye gitti.
covered	kaplı	Masa kitaplarla kaplıydı.
