hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
3606:白白	白白	白白	వృథాగా; ఫలితం లేకుండా	అతను ఒక గంట వృథాగా ఎదురు చూశాడు.	ವ್ಯರ್ಥವಾಗಿ; ಫಲಿತಾಂಶವಿಲ್ಲದೆ	ಅವನು ಒಂದು ಗಂಟೆ ವ್ಯರ್ಥವಾಗಿ ಕಾಯ್ದನು.
3607:白领	白领	白领	కార్యాలయ ఉద్యోగి; వైట్ కాలర్ ఉద్యోగి	ఈ నగరంలో చాలా మంది యువ కార్యాలయ ఉద్యోగులు ఉన్నారు.	ಕಚೇರಿ ಉದ್ಯೋಗಿ; ವೈಟ್ ಕಾಲರ್ ನೌಕರ	ಈ ನಗರದಲ್ಲಿ ಅನೇಕ ಯುವ ಕಚೇರಿ ಉದ್ಯೋಗಿಗಳು ಇದ್ದಾರೆ.
3609:摆放	摆放	摆放	అమర్చు; ఉంచు	దయచేసి పత్రాలను మెజపై చక్కగా అమర్చండి.	ಇಡು; ಸರಿಯಾಗಿ ಅಣಿಗೊಳಿಸು	ದಯವಿಟ್ಟು ಸಾಮಗ್ರಿಗಳನ್ನು ಮೇಜಿನ ಮೇಲೆ ಸರಿಯಾಗಿ ಅಣಿಗೊಳಿಸಿ.
3610:百分点	百分点	百分点	శాతం పాయింట్	నిరుద్యోగ రేటు రెండు శాతం పాయింట్లు తగ్గింది.	ಶೇಕಡಾವಾರು ಪಾಯಿಂಟ್	ನಿರುದ್ಯೋಗ ದರ ಎರಡು ಶೇಕಡಾವಾರು ಪಾಯಿಂಟ್‌ಗಳು ಕುಸಿದಿತು.
3611:百货	百货	百货	డిపార్టుమెంట్ సరుకులు; సాధారణ వస్తువులు	ఈ డిపార్టుమెంట్ దుకాణం వారాంతాల్లో చాలా రద్దీగా ఉంటుంది.	ಡಿಪಾರ್ಟ್‌ಮೆಂಟ್ ಅಂಗಡಿ ಸರಕುಗಳು; ಸಾಮಾನ್ಯ ವಸ್ತುಗಳು	ಈ ಡಿಪಾರ್ಟ್‌ಮೆಂಟ್ ಅಂಗಡಿಯಲ್ಲಿ ವಾರಾಂತ್ಯದಲ್ಲಿ ತುಂಬ ಜನರಿರುತ್ತಾರೆ.
3613:败	败	败	ఓడిపో; పరాజయం చెందు	మా జట్టు చివరికి ఒక పాయింట్ తేడాతో ఓడిపోయింది.	ಸೋಲು; ಸೋಲನುಭವಿಸು	ನಮ್ಮ ತಂಡ ಕೊನೆಯಲ್ಲಿ ಒಂದು ಅಂಕದ ಅಂತರದಿಂದ ಸೋತಿತು.
3616:版	版	版	ముద్రణ; సంచిక	ఈ పుస్తకానికి కొత్త సంచిక వచ్చింది.	ಆವೃತ್ತಿ; ಸಂಚಿಕೆ	ಈ ಪುಸ್ತಕದ ಹೊಸ ಆವೃತ್ತಿ ಬಂದಿದೆ.
3621:棒球	棒球	棒球	బేస్‌బాల్	పిల్లలు పార్కులో బేస్‌బాల్ ఆడుతున్నారు.	ಬೇಸ್‌ಬಾಲ್	ಮಕ್ಕಳು ಉದ್ಯಾನವನದಲ್ಲಿ ಬೇಸ್‌ಬಾಲ್ ಆಡುತ್ತಿದ್ದಾರೆ.
3623:保健	保健	保健	ఆరోగ్య సంరక్షణ	వృద్ధులు ఆరోగ్య సంరక్షణకు మరింత ప్రాధాన్యం ఇస్తున్నారు.	ಆರೋಗ್ಯ ಸಂರಕ್ಷಣೆ	ವಯೋವೃದ್ಧರು ಆರೋಗ್ಯ ಸಂರಕ್ಷಣೆಗೆ ಹೆಚ್ಚು ಮಹತ್ವ ಕೊಡುತ್ತಿದ್ದಾರೆ.
3624:保暖	保暖	保暖	వెచ్చగా ఉంచు	చలికాలంలో బయటకు వెళ్లేటప్పుడు వెచ్చగా ఉండాలి.	ಬೆಚ್ಚಗೆ ಇಟ್ಟುಕೊಳ್ಳು	ಚಳಿಗಾಲದಲ್ಲಿ ಹೊರಗೆ ಹೋಗುವಾಗ ಬೆಚ್ಚಗೆ ಇರಲು ಗಮನಕೊಡಿ.
