source_headword	FI	example_FI
fridge	jääkaappi	Maito on jääkaapissa.
frog	sammakko	Sammakko hyppäsi lampeen.
furniture	huonekalut	Nämä huonekalut ovat vanhoja mutta vahvoja.
further	edelleen; lisää	Tarvitsemme lisää tietoa.
gallery	galleria	Galleria on auki tänään.
gap	aukko; väli	Seinässä on aukko.
gas	bensiini; kaasu	Auto tarvitsee bensiiniä.
gate	portti	Sulje portti, kiitos.
general	yleinen	Tämä on yleinen sääntö.
gift	lahja	Hän osti lahjan.
goal	tavoite	Tavoitteemme on yksinkertainen.
god	Jumala; jumala	Monet ihmiset rukoilevat Jumalaa.
gold	kulta; kultainen	Sormus on kultaa.
golf	golf	Hän pelaa golfia tänään.
government	hallitus	Hallitus muutti lakia.
grass	ruoho	Ruoho on märkää.
greet	tervehtiä	Tervehdi jokaista vierasta kohteliaasti.
ground	maa; maaperä	Istu maahan.
guest	vieras	Vieraamme tuli aikaisin.
guide	opas; ohje	Opas näytti meille museon.
gun	ase	Poliisi löysi aseen.
guy	tyyppi; mies	Se tyyppi on veljeni.
habit	tapa	Joka päivä lukeminen on hyvä tapa.
hall	aula; käytävä	Odota käytävässä.
happily	onnellisesti	He elivät onnellisesti yhdessä.
headache	päänsärky	Minulla on päänsärky.
heart	sydän	Hänen sydämensä lyö nopeasti.
heat	lämpö; lämmittää	Lämmitä keitto hitaasti.
heavy	raskas; painava	Tämä laukku on painava.
height	korkeus	Mittaa pöydän korkeus.
helpful	avulias; hyödyllinen	Neuvosi on hyvin hyödyllinen.
hero	sankari	Hän on sankarini.
hers	hänen; hänen omansa	Sininen takki on hänen.
herself	itse; itseään	Hän teki illallisen itse.
hide	piilottaa; piiloutua	Piilota avain laatikon alle.
hill	mäki	Kävelimme mäkeä ylös.
himself	itse; itseään	Hän korjasi sen itse.
hit	lyödä; osua	Älä lyö ovea.
hockey	jääkiekko	Katsoimme jääkiekkoa eilen illalla.
hold	pitää	Pidä kädestäni kiinni.
hole	reikä	Sukassani on reikä.
huge	valtava	Huone oli valtava.
human	ihminen; inhimillinen	Jokainen ihminen tarvitsee vettä.
hurt	sattua; vahingoittaa	Polveeni sattuu.
ideal	ihanteellinen	Tämä huone on ihanteellinen opiskeluun.
identify	tunnistaa	Voitko tunnistaa tämän linnun?
ill	sairas	Hän tuntee itsensä sairaaksi tänään.
illness	sairaus	Sairaus kesti viikon.
image	kuva	Kuva on selkeä.
immediately	heti; välittömästi	Tule tänne heti.
impossible	mahdoton	Tämä palapeli vaikuttaa mahdottomalta.
included	sisältyy; mukana	Aamiainen sisältyy hintaan.
including	mukaan lukien	Kymmenen ihmistä tuli, minä mukaan lukien.
increase	lisätä; kasvu	Hinnat nousevat kesällä.
incredible	uskomaton; mahtava	Näkymä oli uskomaton.
independent	itsenäinen; riippumaton	Sisareni on itsenäinen.
individual	yksilö; yksilöllinen	Jokaisella yksilöllä on numero.
industry	teollisuus; ala	Paikallinen teollisuus kasvaa.
informal	epämuodollinen	Tämä sähköposti on epämuodollinen.
injury	vamma; loukkaantuminen	Vamma ei ole vakava.
insect	hyönteinen	Hyönteinen laskeutui kupille.
inside	sisällä; sisään	Odota talon sisällä.
instead	sen sijaan	Juo vettä sen sijaan.
instruction	ohje	Lue jokainen ohje huolellisesti.
instructor	ohjaaja; opettaja	Ohjaaja selitti harjoituksen.
instrument	soitin; väline	Hän soittaa soitinta.
intelligent	älykäs	Hän on älykäs oppilas.
international	kansainvälinen	Tämä on kansainvälinen lentokenttä.
introduction	johdanto; esittely	Johdanto oli lyhyt.
invent	keksiä	Lapset voivat keksiä uuden pelin.
invention	keksintö	Keksintö säästää aikaa.
invitation	kutsu	Sain kutsun.
invite	kutsua	Kutsu myös ystäväsi.
involve	sisältää; ottaa mukaan	Työ sisältää matkustamista.
item	esine; kohta	Valitse yksi esine.
itself	itse	Kone sammui itsestään.
jam	hillo	Levitä hilloa leivälle.
jazz	jazz	Jazz kuulostaa hyvältä tänä iltana.
jewellery	korut	Hän säilyttää koruja laatikossa.
joke	vitsi	Kerro minulle vitsi.
journalist	toimittaja	Toimittaja esitti kysymyksen.
jump	hypätä	Hyppää viivan yli.
kid	lapsi	Lapsi nauraa.
kill	tappaa	Älä tapa hyönteistä.
king	kuningas	Kuningas asui palatsissa.
knee	polvi	Polveeni sattuu.
knife	veitsi	Käytä terävää veistä.
knock	koputtaa	Koputa ennen kuin menet sisään.
knowledge	tieto; tietämys	Tieto kasvaa harjoittelemalla.
lab	laboratorio; labra	Laboratorio on suljettu.
lady	nainen; rouva	Nainen hymyili meille.
lake	järvi	Järvi on tyyni.
lamp	lamppu	Laita lamppu päälle.
laptop	kannettava tietokone	Kannettava tietokoneeni on uusi.
last1 (taking time)	kestää	Elokuva kesti kaksi tuntia.
laughter	nauru	Kuulimme naurua ulkoa.
law	laki	Laki muuttui eilen.
lawyer	asianajaja	Asianajaja soitti minulle.
lazy	laiska	Älä ole laiska.
lead1	johtaa	Hyvä johtaja johtaa esimerkillä.
leader	johtaja	Hän on joukkueen johtaja.
learning	oppiminen	Oppiminen vie aikaa.
least	vähiten; pienin	Valitse halvin vaihtoehto.
lecture	luento	Luento alkaa kymmeneltä.
lemon	sitruuna	Laita sitruunaa teehen.
lend	antaa lainaksi	Voitko lainata minulle viisi dollaria?
less	vähemmän	Syö vähemmän sokeria.
level	taso	Tämä taso on helppo.
lifestyle	elämäntapa	Hänellä on terve elämäntapa.
lift	nostaa; hissi	Nosta laatikko varovasti.
light	sytyttää; laittaa päälle	Sytytä valo varovasti.
light (not heavy)	kevyt	Tämä laukku on kevyt.
likely	todennäköinen; luultavasti	Huomenna luultavasti sataa.
link	linkki	Lähetä minulle linkki.
listener	kuuntelija	Ole hyvä kuuntelija.
lock	lukita; lukko	Lukitse ovi.
lorry	kuorma-auto	Kuorma-auto kuljetti laatikoita.
lost	kadonnut; eksynyt	Eksyimme.
loud	kova; kovaääninen	Musiikki on kovalla.
loudly	kovaa; äänekkäästi	Älä puhu niin kovaa, kiitos.
lovely	ihana	Mikä ihana puutarha!
low	matala	Tuoli on matala.
luck	onni	Onnea kokeeseen.
lucky	onnekas	Olet onnekas tänään.
mail	posti; kirje	Sain postia tänä aamuna.
major	suuri; tärkeä	Tämä on suuri ongelma.
male	miespuolinen; uros	Uroslintu on värikäs.
manage	hoitaa; selviytyä	Voitko hoitaa tämän tehtävän?
manager	johtaja; päällikkö	Päällikkö on kiireinen.
manner	tapa; käytös	Puhu kohteliaalla tavalla.
mark	merkitä; arvosana	Merkitse vastauksesi selvästi.
marry	mennä naimisiin	He menevät naimisiin kesäkuussa.
material	materiaali	Tämä materiaali tuntuu pehmeältä.
mathematics	matematiikka	Matematiikka on lempiaineeni.
maths	matematiikka	Matematiikka on minulle vaikeaa.
matter	asia; merkitä	Sillä ei ole väliä.
may modal	saada; voida	Saat mennä nyt.
