source_headword	KK	example_KK
absorb	сіңіру	Сүлгі суды тез сіңіреді.
abstract	дерексіз	Дәрісте дерексіз идеялар талқыланды.
accent	акцент	Оның акцентін түсіну оңай.
accidentally	кездейсоқ	Мен файлды кездейсоқ өшіріп алдым.
accommodate	орналастыру	Қонақүй үлкен отбасыларды орналастыра алады.
accomplish	орындау	Ол маусым айына дейін өз мақсатына жетті.
accountant	есепші	Есепші шот-фактураны тексерді.
accuracy	дәлдік	Тест оқу дәлдігін өлшейді.
accurately	дәл	Карта бағытты дәл көрсетеді.
acid	қышқыл	Қышқыл металл бетін зақымдады.
activate	іске қосу	Дабылды іске қосу үшін түймені басыңыз.
addiction	тәуелділік	Оның тәуелділігі жұмысына әсер етті.
additionally	қосымша	Қосымша бізге көбірек орындықтар қажет.
adequate	жеткілікті	Бөлмеде жеткілікті жарық бар.
adequately	жеткілікті түрде	Есепте мәселе жеткілікті түрде түсіндірілді.
adjust	реттеу	Көлік жүргізер алдында орындықты реттеңіз.
affordable	қолжетімді	Пәтер студенттер үшін қолжетімді.
agriculture	ауыл шаруашылығы	Ауыл шаруашылығы көптеген ауылдық отбасыларды асырайды.
AIDS	ЖИТС	Дәрігерлер ЖИТС-ті заманауи медицинамен емдейді.
alien	бөтен ғаламшарлық	Фильмде бөтен ғаламшар көрсетіледі.
alongside	жанында	Велосипед жолы өзенді жағалай өтеді.
altogether	мүлдем	Барлығы жоба алты аптаға созылды.
ambulance	жедел жәрдем	Жедел жәрдем бірнеше минут ішінде келді.
amusing	қызықты	Оқиға қызықты әрі жеңіл болды.
analyst	талдаушы	Талдаушы сатылым деректерін қарап шықты.
ancestor	ата-баба	Менің ата-бабам осы ауылдың маңында өмір сүрген.
animation	анимация	Анимация сабақты түсініктірек етті.
annually	жыл сайын	Фестиваль жыл сайын өткізіледі.
anticipate	күту	Біз ертең көлік кептелісі болады деп күтеміз.
anxiety	алаңдаушылық	Мазасыздық ұйқыны қиындатуы мүмкін.
apology	кешірім сұрау	Ол шын жүректен кешірім сұрады.
applicant	үміткер	Үміткер жаңа түйіндеме жіберді.
appropriately	тиісінше	Сұхбатқа лайықты түрде киініңіз.
arrow	көрсеткі	Көрсеткі шығу есігін нұсқайды.
artwork	өнер туындысы	Мұражайда жергілікті өнер туындылары қойылған.
aside	бір жаққа	Ол оны өткізіп жіберу үшін шетке тұрды.
asset	актив	Тәжірибе - бағалы құндылық.
assign	тағайындау	Мұғалім бүгін үй тапсырмасын берді.
assistance	көмек	Қызметкерлерден көмек сұраңыз.
assumption	болжам	Бұл болжам қате болуы мүмкін.
assure	сендіру	Мен сізді есіктің құлыптаулы екеніне сендіремін.
astonishing	таңғажайып	Жартастан көрініс таңғажайып болды.
attachment	қосымша	Электрондық хатта тіркеме бар.
auction	аукцион	Сурет аукционда сатылды.
audio	аудио	Аудио жазба анық естіледі.
automatic	автоматты	Есікте автоматты құлып бар.
automatically	автоматты түрде	Жарық автоматты түрде қосылады.
awareness	хабардарлық	Науқан қоғамның хабардарлығын арттырды.
awkward	ыңғайсыз	Үнсіздік ыңғайсыз көрінді.
badge	белгі	Келушілер төсбелгі тағуы керек.
balanced	теңгерімді	Теңгерімді диетаға көкөністер кіреді.
ballet	балет	Ол сабақтан кейін балет оқиды.
balloon	әуе шары	Шар үстел үстінде қалқып тұрды.
barely	әзерге	Ол хабарландыруды әрең естіді.
bargain	сауда	Ол күрте өте тиімді сауда болды.
basement	жертөле	Қораптар жертөледе.
basket	себет	Ол алмаларды себетке салды.
bat	жарғанат	Жарқанат үңгірден ұшып шықты.
beneficial	пайдалы	Тұрақты жаттығу денсаулыққа пайдалы.
beside	жанында	Шам диванның жанында тұр.
besides	одан басқа	Математикадан басқа ол химияны оқиды.
bias	біржақтылық	Мақаладан анық біржақтылық байқалды.
bid	өтінім	Компания жоғарырақ ұсыныс жасады.
biological	биологиялық	Биологиялық сынақ нәтижені растады.
blanket	көрпе	Бала көрпенің астында ұйықтады.
blow	соққы	Қатты соққы терезені сындырды.
bold	батыл	Тақырыпта қалың әріптер қолданылған.
bombing	бомбалау	Бомбалау бірнеше ғимаратты зақымдады.
booking	броньдау	Мен қонақүй бронін растадым.
boost	күшейту	Жеңіс команданың сенімін көтерді.
bound	міндетті	Сәлемдеме жіппен байланған еді.
brick	кірпіш	Қабырға кірпіштен жасалған.
briefly	қысқаша	Ол түскі астан кейін қысқаша сөйледі.
broadcaster	хабар таратушы	Хабар таратушы әкімнен сұхбат алды.
broadly	кеңінен	Екі жоспар жалпы алғанда ұқсас.
bug	қате	Қосымша қатенің кесірінен істен шықты.
cabin	кабина	Біз кішкентай үйшікке тоқтадық.
canal	канал	Қайықтар арна бойымен баяу қозғалды.
candle	шам	Үстел үстінде шам жанып тұрды.
carbon	көміртегі	Ағаштар ауадағы көміртегіні сіңіреді.
casual	бейресми	Ол жұмысқа күнделікті киім киді.
cave	үңгір	Жаяу саяхатшылар үңгірге кірді.
certainty	сенімділік	Біз нақты біле алмаймыз.
certificate	сертификат	Ол оқу сертификатын алды.
challenging	қиын	Курс қиын, бірақ пайдалы болды.
championship	чемпионат	Біздің команда чемпионаттың финалына шықты.
charming	сүйкімді	Ескі көше сүйкімді көрінді.
chase	қуғын	Ит допты қуды.
cheek	бет	Оның бетімен жас дөңгеледі.
cheer	қошемет	Халық қатты қошаметтей бастады.
choir	хор	Хор әдемі ән шырқады.
chop	шабу	Пиязды ұсақтап тураңыз.
circuit	тізбек	Жүгіруші айналымды аяқтады.
civilization	өркениет	Ежелгі өркениет бұл аймақты қалыптастырды.
clarify	түсіндіру	Соңғы ойды нақтылап беріңізші.
classify	жіктеу	Ғалымдар жануарларды түрлері бойынша жіктейді.
clerk	қызметкер	Қызметкер түбіртекті басып шығарды.
cliff	құз	Жол құздың жанында аяқталады.
clinic	емхана	Емхана сағат сегізде ашылады.
clip	клип	Ол қысқышты қағазға бекітті.
coincidence	кездейсоқтық	Оны сол жерде кездестіру сәйкестік болды.
collector	коллекционер	Коллекционер сирек кездесетін монеталарды сатып алды.
colony	колония	Құмырсқалар үлкен колония құрды.
colourful	түрлі-түсті	Базар ашық және түрлі-түсті болды.
comic	комикс	Комедиялық көрініс бізді күлдірді.
commander	командир	Командир нақты бұйрықтар берді.
comparative	салыстырмалы	Эсседе салыстырмалы деректер қолданылған.
completion	аяқтау	Көпірдің құрылысы аяқталуға жақын.
compose	құрастыру	Ол фильмге музыка жазады.
composer	композитор	Композитор жаңа ән жазды.
compound	қосылыс	Қосылыс екі химиялық заттан тұрады.
comprehensive	кешенді	Нұсқаулық жан-жақты нұсқаулар береді.
comprise	қамту	Команда бес мүшеден тұрады.
compulsory	міндетті	Бұл сабаққа қатысу міндетті.
concrete	нақты	Еден бетоннан жасалған.
confess	мойындау	Ол қатесін мұғаліміне мойындады.
confusion	шатасу	Кешігу түсінбеушілік тудырды.
consequently	нәтижесінде	Жаңбыр жауды, нәтижесінде матч тоқтатылды.
conservation	сақтау	Табиғатты қорғау сирек кездесетін жануарларды сақтайды.
considerable	айтарлықтай	Жөндеуге айтарлықтай уақыт кетті.
considerably	айтарлықтай	Биыл бағалар айтарлықтай өсті.
consistently	тұрақты түрде	Ол тұрақты түрде жақсы өнер көрсетеді.
conspiracy	қастандық	Полиция қастандықты тергеді.
consult	кеңесу	Дәрі қабылдар алдында дәрігермен кеңесіңіз.
consultant	кеңесші	Кеңесші жаңа стратегияны ұсынды.
