source_headword	PL	example_PL
heal	goić się	Odpoczynek pomaga ciału się goić.
healthcare	opieka zdrowotna	Koszty opieki zdrowotnej wzrosły w tym roku.
helmet	kask	Noś kask na rowerze.
hence	stąd	Stąd zmieniliśmy harmonogram.
herb	zioło	Bazylia to użyteczne zioło.
hidden	ukryty	Klucz był ukryty pod wycieraczką.
highway	autostrada	Autostrada została zamknięta po opadach śniegu.
hilarious	przezabawny	Ten film był przezabawny.
hip	biodro	Uszkodziła sobie biodro podczas treningu.
historian	historyk	Historyk badał stare listy.
homeless	bezdomny	Schronisko pomaga bezdomnym rodzinom.
honesty	uczciwość	Uczciwość buduje zaufanie.
hook	haczyk	Zawieś płaszcz na haczyku.
hopefully	miejmy nadzieję	Miejmy nadzieję, że pociąg wkrótce przyjedzie.
hunger	głód	Głód może wpływać na koncentrację.
hypothesis	hipoteza	Eksperyment sprawdził tę hipotezę.
icon	ikona	Ikona aplikacji zmieniła się dzisiaj.
ID	dowód tożsamości	Pokaż swój dowód tożsamości w recepcji.
identical	identyczny	Bliźniaczki nosiły identyczne kurtki.
illusion	iluzja	Lustro tworzy iluzję.
immigration	imigracja	Polityka imigracyjna zmieniła się w zeszłym roku.
immune	odporny	Szczepienia mogą uodpornić ludzi.
implement	wdrożyć	Szkoła wdroży tę politykę.
implication	implikacja	Implikacja była jasna.
incentive	zachęta	Premia dała pracownikom zachętę.
incorporate	włączyć	Włącz więcej warzyw do posiłków.
incorrect	niepoprawny	Odpowiedź była niepoprawna.
independence	niepodległość	Kraj świętował niepodległość.
index	indeks	Sprawdź indeks pod kątem tego tematu.
indication	oznaka	Uśmiech był oznaką ulgi.
inevitable	nieunikniony	Pewne opóźnienie było nieuniknione.
inevitably	nieuchronnie	Nieuchronnie ceny wzrosły po niedoborach.
infer	wnioskować	Z kontekstu możemy wywnioskować odpowiedź.
inflation	inflacja	Inflacja zwiększyła ceny żywności.
info	info	Strona internetowa zawiera przydatne info.
infrastructure	infrastruktura	Burza uszkodziła lokalną infrastrukturę.
inhabitant	mieszkaniec	Każdy mieszkaniec otrzymał czystą wodę.
