source_headword	FR	example_FR
institute	l'institut	L'institut a ouvert un nouveau programme de recherche.
institution	l'institution	L'institution a changé ses règles d'admission.
insurance	l'assurance	Son assurance a couvert les frais d'hôpital.
intended	prévu	Le message a atteint le public prévu.
intense	intense	Le débat est devenu intense très rapidement.
internal	interne	L'entreprise a commencé un examen interne.
interpret	interpréter	Veuillez interpréter les résultats avec soin.
interrupt	interrompre	N'interrompez pas l'orateur maintenant.
investigation	l'enquête	L'enquête a révélé de graves erreurs.
investment	l'investissement	L'investissement a créé de nombreux emplois locaux.
joy	la joie	Leur succès a apporté une grande joie.
judgement	le jugement	Son jugement s'est amélioré avec l'expérience.
junior	junior	Elle a rejoint l'équipe en tant qu'analyste junior.
justice	la justice	La famille a demandé justice après le procès.
justify	justifier	Vous devez justifier cette décision clairement.
labour	la main-d'œuvre	Le projet nécessite une main-d'œuvre qualifiée.
landscape	le paysage	Le paysage a changé après la tempête.
largely	en grande partie	Le plan a été en grande partie réussi.
launch	lancer	Ils lanceront le produit demain.
leadership	la direction	Un leadership fort a aidé l'équipe à se redresser.
league	la ligue	Notre club a rejoint une ligue régionale.
lean	s'appuyer	Ne vous appuyez pas contre le mur humide.
licence	la licence	La licence expire le mois prochain.
limited	limité	Nous avons un temps limité aujourd'hui.
lively	animé	La réunion est devenue animée après le déjeuner.
load	le chargement	Le camion transportait une charge lourde.
loan	le prêt	La banque a approuvé le prêt.
logical	logique	Son argument était clair et logique.
long-term	à long terme	C'est une solution à long terme.
loose	lâche	La poignée semble lâche.
lord	le seigneur	Le seigneur possédait plusieurs villages.
lower	baisser	Ils baissent les prix en hiver.
lung	le poumon	Fumer peut endommager un poumon.
maintain	maintenir	Nous maintenons un contact régulier.
majority	la majorité	La majorité a soutenu la proposition.
mass	la masse	Une masse de nuages a couvert le ciel.
massive	massif	Le tremblement de terre a causé des dégâts massifs.
master	le maître	Elle est devenue un maître de la négociation.
matching	assorti	Il portait des chaussures et une ceinture assorties.
maximum	maximum	La pièce a atteint sa capacité maximale.
means	le moyen	L'e-mail est notre principal moyen de contact.
measurement	la mesure	La mesure était légèrement erronée.
melt	fondre	La neige fondra d'ici midi.
military	militaire	La base militaire a fermé l'année dernière.
mineral	le minéral	Le fer est un minéral important.
minimum	minimum	L'âge minimum est de dix-huit ans.
minister	le ministre	Le ministre a répondu à des questions difficiles.
minor	mineur	L'accident a causé des dégâts mineurs.
minority	la minorité	Une minorité s'est opposée à la nouvelle règle.
mission	la mission	Leur mission s'est terminée en toute sécurité.
