source_headword	ES-419	example_ES-419
fridge	el refrigerador	La leche está en el refrigerador.
frog	la rana	Una rana saltó al estanque.
furniture	los muebles	Estos muebles son viejos, pero fuertes.
further	más	Necesitamos más información.
gallery	la galería	La galería está abierta hoy.
gap	el espacio	Hay un espacio en la pared.
gas	la gasolina	El carro necesita gasolina.
gate	la puerta	Cierra la puerta, por favor.
general	general	Esta es una regla general.
gift	el regalo	Ella compró un regalo.
goal	la meta	Nuestra meta es simple.
god	Dios	Muchas personas rezan a Dios.
gold	de oro	El anillo es de oro.
golf	el golf	Él juega golf hoy.
government	el gobierno	El gobierno cambió la ley.
grass	el pasto	El pasto está mojado.
greet	saludar	Saluda a cada invitado con educación.
ground	el suelo	Siéntate en el suelo.
guest	el invitado	Nuestro invitado llegó temprano.
guide	el guía	El guía nos mostró el museo.
gun	el arma	La policía encontró un arma.
guy	el tipo	Ese tipo es mi hermano.
habit	el hábito	Leer todos los días es un buen hábito.
hall	el pasillo	Espera en el pasillo.
happily	felizmente	Ellos vivieron felices juntos.
headache	el dolor de cabeza	Tengo dolor de cabeza.
heart	el corazón	Su corazón late rápido.
heat	calentar	Calienta la sopa despacio.
heavy	pesado	Esta bolsa es pesada.
height	la altura	Mide la altura de la mesa.
helpful	útil	Tu consejo fue útil.
hero	el héroe	Él es mi héroe.
hers	de ella	El abrigo azul es de ella.
herself	ella misma	Ella hizo la cena sola.
hide	esconder	Esconde la llave debajo de la caja.
hill	la colina	Subimos la colina.
himself	él mismo	Él lo arregló solo.
hit	golpear	No golpees la puerta.
hockey	el hockey	Vimos hockey anoche.
hold	sostener	Sostén mi mano.
hole	el agujero	Hay un agujero en mi calcetín.
huge	enorme	El cuarto es enorme.
human	el ser humano	Todo ser humano necesita agua.
hurt	doler	Me duele la rodilla.
ideal	ideal	Este cuarto es ideal para estudiar.
identify	identificar	¿Puedes identificar este pájaro?
ill	enfermo	Ella se siente enferma hoy.
illness	la enfermedad	La enfermedad duró una semana.
image	la imagen	La imagen está clara.
immediately	inmediatamente	Ven aquí inmediatamente.
impossible	imposible	Este rompecabezas parece imposible.
included	incluido	El desayuno está incluido.
including	incluyendo	Vinieron diez personas, incluyéndome a mí.
increase	aumentar	Los precios aumentan en verano.
incredible	increíble	La vista era increíble.
independent	independiente	Mi hermana es independiente.
individual	el individuo	Cada individuo tiene un número.
industry	la industria	La industria local está creciendo.
informal	informal	Este correo es informal.
injury	la lesión	Su lesión no es grave.
insect	el insecto	Un insecto cayó en la taza.
inside	adentro	Espera adentro de la casa.
instead	en cambio	Toma agua en cambio.
instruction	la instrucción	Lee cada instrucción con cuidado.
