source_headword	HI	example_HI
absorb	सोखना / समझना	तौलिया जल्दी से पानी सोख लेता है।
abstract	अमूर्त	व्याख्यान में अमूर्त विचारों पर चर्चा की गई।
accent	उच्चारण	उसका लहज़ा समझना आसान है।
accidentally	गलती से	मैंने गलती से फ़ाइल डिलीट कर दी।
accommodate	समायोजित करना	यह होटल बड़े परिवारों को ठहरा सकता है।
accomplish	पूरा करना	उसने जून से पहले अपना लक्ष्य हासिल कर लिया।
accountant	एकाउंटेंट	अकाउंटेंट ने बिल की जाँच की।
accuracy	सटीकता	परीक्षण पढ़ने की सटीकता मापता है।
accurately	सटीकता से	नक्शा मार्ग को सटीकता से दिखाता है।
acid	अम्ल	एसिड ने धातु की सतह को नुकसान पहुँचाया।
activate	सक्रिय करना	अलार्म चालू करने के लिए बटन दबाएँ।
addiction	लत	उसकी लत का असर उसके काम पर पड़ा।
additionally	इसके अलावा	इसके अलावा, हमें और कुर्सियों की आवश्यकता है।
adequate	पर्याप्त	कमरे में पर्याप्त रोशनी है।
adequately	पर्याप्त रूप से	रिपोर्ट ने समस्या को पर्याप्त रूप से समझाया।
adjust	ठीक करना	गाड़ी चलाने से पहले सीट सेट कर लें।
affordable	किफायती	यह अपार्टमेंट छात्रों के लिए सस्ता है।
agriculture	कृषि	कृषि कई ग्रामीण परिवारों का भरण-पोषण करती है।
AIDS	एड्स	डॉक्टर आधुनिक चिकित्सा से एड्स का इलाज करते हैं।
alien	परग्रही	फिल्म एक परग्रही ग्रह को दिखाती है।
alongside	के किनारे	साइकिल का रास्ता नदी के किनारे-किनारे चलता है।
altogether	पूरी तरह से	कुल मिलाकर, प्रोजेक्ट में छह सप्ताह लगे।
ambulance	एम्बुलेंस	एम्बुलेंस कुछ ही मिनटों में आ गई।
amusing	मनोरंजक	कहानी मनोरंजक और हल्की-फुल्की थी।
analyst	विश्लेषक	विश्लेषक ने बिक्री के आँकड़ों की समीक्षा की।
ancestor	पूर्वज	मेरे पूर्वज इस गाँव के पास रहते थे।
animation	एनीमेशन	एनीमेशन ने पाठ को अधिक स्पष्ट बना दिया।
annually	प्रतिवर्ष	यह त्योहार प्रतिवर्ष आयोजित किया जाता है।
anticipate	पूर्वानुमान करना	हमें कल भारी ट्रैफ़िक की उम्मीद है।
anxiety	चिंता	चिंता के कारण नींद आने में मुश्किल हो सकती है।
apology	माफ़ी	उसने सच्चे मन से माफ़ी माँगी।
applicant	आवेदक	आवेदक ने नया बायोडाटा भेजा।
appropriately	उचित रूप से	कृपया इंटरव्यू के लिए उचित कपड़े पहनें।
arrow	तीर	तीर निकास की ओर इशारा करता है।
artwork	कलाकृति	संग्रहालय में स्थानीय कलाकृतियाँ प्रदर्शित की गईं।
aside	एक तरफ	वह उसे गुज़रने देने के लिए एक तरफ़ हट गई।
asset	संपत्ति	अनुभव एक मूल्यवान संपत्ति है।
assign	सौंपना	शिक्षक ने आज होमवर्क सौंपा।
assistance	सहायता	कृपया सहायता के लिए कर्मचारियों से पूछें।
assumption	धारणा	वह धारणा गलत हो सकती है।
assure	आश्वस्त करना	मैं आपको भरोसा दिलाता हूँ कि दरवाज़ा बंद है।
astonishing	आश्चर्यजनक	चट्टान से नज़ारा आश्चर्यजनक था।
attachment	अनुलग्नक	ईमेल में एक अटैचमेंट शामिल है।
auction	नीलामी	पेंटिंग नीलामी में बिक गई।
audio	ऑडियो	ऑडियो रिकॉर्डिंग स्पष्ट सुनाई देती है।
automatic	स्वचालित	दरवाज़े में स्वचालित ताला है।
automatically	स्वचालित रूप से	लाइटें अपने आप चालू हो जाती हैं।
awareness	जागरूकता	अभियान ने जन जागरूकता बढ़ाई।
awkward	अजीब	खामोशी अजीब लग रही थी।
badge	बैज	आगंतुकों को बैज पहनना अनिवार्य है।
balanced	संतुलित	संतुलित आहार में सब्जियां शामिल होती हैं।
ballet	बैले	वह स्कूल के बाद बैले सीखती है।
balloon	गुब्बारा	गुब्बारा मेज के ऊपर तैर रहा था।
barely	मुश्किल से	उसने मुश्किल से घोषणा सुनी।
bargain	सौदा	वह जैकेट सच में एक सस्ता सौदा था।
basement	तहखाना	डिब्बे तहखाने में हैं।
basket	टोकरी	उसने टोकरी में सेब रखे।
bat	चमगादड़	चमगादड़ गुफा से बाहर उड़ गया।
beneficial	लाभदायक	नियमित व्यायाम स्वास्थ्य के लिए लाभदायक है।
beside	के बगल में	लैंप सोफे के बगल में रखा है।
besides	के अलावा	गणित के अलावा, वह रसायन विज्ञान भी पढ़ता है।
bias	पक्षपात	लेख में स्पष्ट पक्षपात दिखाई दिया।
