source_headword	KA	example_KA
machine	მანქანა	ეს მანქანა ყავას ამზადებს.
magazine	ჟურნალი	ის მუსიკის ჟურნალს კითხულობს.
main	მთავარი	ეს მთავარი კარია.
make	გაკეთება; მომზადება	სახლში ლანჩს ვამზადებ.
man	კაცი; ადამიანი	ის კაცი ჩემი მასწავლებელია.
many	ბევრი	აქ ბევრი სტუდენტია.
map	რუკა	რუკას შეხედეთ.
March	მარტი	ჩემი დაბადების დღე მარტშია.
market	ბაზარი	ბაზარში ხილს ვყიდულობთ.
married	დაქორწინებული	ჩემი და დაქორწინებულია.
May	მაისი	სკოლა მაისში მთავრდება.
maybe	შეიძლება	შეიძლება წვიმა მოვიდეს.
me	მე; ჩემთვის	გთხოვთ, დამეხმარეთ.
meal	საჭმელი	ეს საჭმელი ცხელია.
mean	ნიშნავდეს	ეს ნიშანი რას ნიშნავს?
meaning	მნიშვნელობა	მისი მნიშვნელობა რა არის?
meat	ხორცი	ვახშმად ხორცს ვჭამ.
meet	შეხვედრა	გაკვეთილის შემდეგ ვხვდებით.
meeting	შეხვედრა	შეხვედრა ახლა იწყება.
member	წევრი	ის კლუბის წევრია.
menu	მენიუ	გთხოვთ, მენიუ წაიკითხეთ.
message	შეტყობინება	მოკლე შეტყობინებას ვგზავნი.
metre	მეტრი	ერთი მეტრი წინ წადით.
midnight	შუაღამე	მატარებელი შუაღამეს მიდის.
mile	მილი	ერთ მილს მივდივართ.
milk	რძე	საუზმეზე რძეს ვსვამ.
million	მილიონი	აქ მილიონი ადამიანი ცხოვრობს.
minute1	წუთი	გთხოვთ, ერთი წუთი მოიცადეთ.
miss	მონატრება; გამოტოვება	ძველი სკოლა მენატრება.
mistake	შეცდომა	ამ პასუხში შეცდომაა.
model	მოდელი	ეს პატარა მოდელია.
modern	თანამედროვე	სამზარეულო თანამედროვეა.
moment	წამი; მომენტი	გთხოვთ, ერთი წამი მოიცადეთ.
Monday	ორშაბათი	ორშაბათს მუშაობას ვიწყებთ.
money	ფული	ცოტა ფული მჭირდება.
month	თვე	ივნისი ცხელი თვეა.
more	მეტი	მეტი დრო მჭირდება.
morning	დილა	დილით ვსწავლობ.
most	უმეტესობა	სტუდენტების უმეტესობას მუსიკა უყვარს.
mother	დედა	დედა დღეს მუშაობს.
mountain	მთა	მთა მაღალია.
mouse	თაგვი	თაგვი სკამის ქვეშაა.
mouth	პირი	გთხოვთ, პირი გააღეთ.
