source_headword	HY	example_HY
institute	ինստիտուտ	Ինստիտուտը բացեց նոր հետազոտական ծրագիր։
institution	հաստատություն	Հաստատությունը փոխեց ընդունելության կանոնները։
insurance	ապահովագրություն	Նրա ապահովագրությունը ծածկեց հիվանդանոցի ծախսերը։
intended	նախատեսված	Հաղորդագրությունը հասավ նախատեսված լսարանին։
intense	ինտենսիվ	Բանավեճը շատ արագ ինտենսիվ դարձավ։
internal	ներքին	Ընկերությունը սկսեց ներքին ստուգում։
interpret	մեկնաբանել	Խնդրում ենք արդյունքները ուշադիր մեկնաբանել։
interrupt	ընդհատել	Հիմա մի ընդհատեք խոսնակին։
investigation	հետաքննություն	Հետաքննությունը բացահայտեց լուրջ սխալներ։
investment	ներդրում	Ներդրումը ստեղծեց բազմաթիվ տեղական աշխատատեղեր։
joy	ուրախություն	Նրանց հաջողությունը մեծ ուրախություն բերեց։
judgement	դատողություն	Նրա դատողությունը բարելավվեց փորձի հետ։
junior	կրտսեր	Նա միացավ թիմին որպես կրտսեր վերլուծաբան։
justice	արդարություն	Դատավարությունից հետո ընտանիքը արդարություն պահանջեց։
justify	հիմնավորել	Դուք պետք է հստակ հիմնավորեք այդ որոշումը։
labour	աշխատուժ	Նախագիծը պահանջում է հմուտ աշխատուժ։
landscape	բնապատկեր	Փոթորկից հետո բնապատկերը փոխվեց։
largely	հիմնականում	Ծրագիրը հիմնականում հաջողակ էր։
launch	թողարկել	Նրանք վաղը կթողարկեն ապրանքը։
leadership	առաջնորդություն	Ուժեղ առաջնորդությունը օգնեց թիմին ապաքինվել։
league	լիգա	Մեր ակումբը միացավ տարածաշրջանային լիգային։
lean	հենվել	Մի հենվեք թաց պատին։
licence	լիցենզիա	Լիցենզիայի ժամկետը սպառվում է հաջորդ ամիս։
limited	սահմանափակ	Այսօր մենք սահմանափակ ժամանակ ունենք։
lively	աշխույժ	Հանդիպումը աշխուժացավ ճաշից հետո։
load	բեռ	Բեռնատարը ծանր բեռ էր տեղափոխում։
loan	վարկ	Բանկը հաստատեց վարկը։
logical	տրամաբանական	Նրա փաստարկը պարզ և տրամաբանական էր։
long-term	երկարաժամկետ	Սա երկարաժամկետ լուծում է։
loose	թույլ	Բռնակը թույլ է թվում։
lord	լորդ	Լորդին էին պատկանում մի քանի գյուղեր։
lower	իջեցնել	Նրանք ձմռանը իջեցնում են գները։
lung	թոք	Ծխելը կարող է վնասել թոքերը։
maintain	պահպանել	Մենք պահպանում ենք կանոնավոր կապ։
majority	մեծամասնություն	Մեծամասնությունը պաշտպանեց առաջարկը։
mass	զանգված	Ամպերի զանգվածը ծածկեց երկինքը։
massive	զանգվածային	Երկրաշարժը զանգվածային վնաս պատճառեց։
master	վարպետ	Նա դարձավ բանակցությունների վարպետ։
matching	համապատասխան	Նա կրում էր համապատասխան կոշիկներ և գոտի։
maximum	առավելագույն	Սենյակը հասավ առավելագույն տարողունակության։
means	միջոց	Էլփոստը կապի մեր հիմնական միջոցն է։
measurement	չափում	Չափումը մի փոքր սխալ էր։
melt	հալվել	Ձյունը կեսօրին կհալվի։
military	ռազմական	Ռազմական բազան փակվել է անցյալ տարի։
mineral	հանքանյութ	Երկաթը կարևոր հանքանյութ է։
minimum	նվազագույն	Նվազագույն տարիքը տասնութն է։
