source_headword	KK	example_KK
abandon	бас тарту	Олар кеше жоспардан бас тартты.
absolute	толық	Бізге мұнда толық адалдық қажет.
acceptable	қолайлы	Оның жауабы жарамды болды.
accompany	бірге жүру	Ағасы оны үйіне дейін шығарып салды.
accurate	дәл	Есеп нақты сияқты.
accuse	айыптау	Олар оны өтірік айтты деп айыптады.
acknowledge	мойындау	Қатені мойындаңыз.
acquire	игеру	Ол жаңа дағдыларды тез меңгерді.
actual	нақты	Нақты шығын төменірек болды.
adapt	бейімделу	Біз өзгеріске бейімделдік.
additional	қосымша	Бүгін қосымша көмек келді.
administration	әкімшілік	Әкімшілік саясатты өзгертті.
adopt	қабылдау	Олар жаңа әдісті қабылдады.
advance	ілгерілеу	Біз кішкене ілгерілеу жасадық.
affair	оқиға	Бұл оқиға халықтың сеніміне нұқсан келтірді.
afterwards	содан кейін	Содан кейін барлығы өзін сабырлы сезінді.
agency	агенттік	Агенттік үш аудармашыны жұмысқа алды.
agenda	күн тәртібі	Қауіпсіздік күн тәртібінде тұр.
aggressive	агрессивті	Оның дауыс ырғағы агрессивті болып естілді.
aid	көмек	Медициналық көмек тез жетті.
aircraft	ұшақ	Ұшақ аман-есен қонды.
alter	өзгерту	Келісімді өзгертпеңіз.
anger	ашу	Оның ашуы барлығын таң қалдырды.
angle	бұрыш	Басқа камера ракурсын байқап көріңіз.
anniversary	мерейтой	Олардың мерейтойы ертең.
annual	жылдық	Жылдық жиналыс дүйсенбіде басталады.
anxious	алаңдаулы	Ол ота алдында алаңдады.
apparent	айқын	Оның көңілі қалғаны айқын болды.
apparently	шамасы	Шамасы, пойыз кешігіп жатыр.
appeal	шағым	Шешімге шағым түсуі мүмкін.
approach	тәсіл	Оның тәсілі мәселені шешті.
appropriate	сәйкес	Сәйкес жауапты таңдаңыз.
approval	мақұлдау	Жоба мақұлдауды қажет етеді.
approve	бекіту	Басқарма бюджетті бекітті.
arise	туындау	Мәселелер кейінірек туындауы мүмкін.
armed	қаруланған	Сыртта қаруланған күзетшілер тұрды.
arms	қару-жарақ	Олар қаруларын тастады.
artificial	жасанды	Гүлдер жасанды болып көрінді.
artistic	көркем	Оның өнерге деген таланты бар.
ashamed	ұялу	Ол кейін қатты ұялды.
aspect	жақ	Әрбір жағын мұқият қарастырыңыз.
assess	бағалау	Біз шығынды бағалауымыз керек.
assessment	бағалау	Бағалау екі сағатқа созылды.
associate	байланыстыру	Адамдар түтінді қауіппен байланыстырады.
associated	байланысты	Күйзеліс аурумен байланысты.
association	қауымдастық	Қауымдастық жас суретшілерге қолдау көрсетеді.
assume	болжау	Сіз келісесіз деп ойлаймын.
attempt	әрекет	Оның алғашқы әрекеті сәтсіз аяқталды.
bacteria	бактериялар	Бактериялар тез таралуы мүмкін.
barrier	кедергі	Тіл кедергі болды.
basically	негізінен	Негізінен, бізге көбірек уақыт керек.
