source_headword	LV	example_LV
strengthen	stiprināt	Jaunā politika stiprinās drošību tiešsaistē.
strictly	stingri	Biļetes ir stingri ierobežotas, divas katrai personai.
striking	pārsteidzošs	Gleznojumam ir spilgtas krāsas.
stroke	vilciens	Viņa novilka vienu vilcienu uz papīra.
stunning	satriecošs	Skats uz kalniem bija satriecošs.
subsequent	sekojošs	Sekojošajā sanāksmē tika apstiprināts budžets.
subsequently	vēlāk	Ceļš tika slēgts; vēlāk satiksme virzījās lēni.
suburb	priekšpilsēta	Viņi dzīvo klusā priekšpilsētā.
suffering	ciešanas	Zāles mazināja viņa ciešanas.
sufficient	pietiekams	Komandai ir pietiekams laiks.
sufficiently	pietiekami	Istaba ir pietiekami silta.
super	super	Jaunais planšetdators ir ļoti ātrs.
surgeon	ķirurgs	Ķirurgs salaboja bojāto celi.
survival	izdzīvošana	Tīrs ūdens ir būtisks izdzīvošanai.
survivor	izdzīvojušais	Izdzīvojušais aprakstīja plūdus.
suspend	apturēt	Skola var apturēt ekskursiju.
sustainable	ilgtspējīgs	Saimniecība izmanto ilgtspējīgas metodes.
swallow	norīt	Norijiet tableti, uzdzerot ūdeni.
sympathetic	līdzjūtīgs	Vadītājs bija līdzjūtīgs pret viņas problēmu.
tackle	risināt	Mums ir jārisina mājokļu problēma.
tag	birka	Somiņai bija cenu birka.
tap	krāns	Viņa aizgrieza krānu.
technological	tehnoloģisks	Tehnoloģiskās izmaiņas ietekmē katru darbavietu.
teens	pusaudži	Daudzi pusaudži ikdienā izmanto sociālos medijus.
temple	templis	Templis atradās netālu no upes.
temporarily	pagaidām	Birojs uz laiku ir slēgts.
tendency	tendence	Viņam ir tendence ierasties vēlu.
tension	spriedze	Diskusijas laikā pieauga spriedze.
terms	noteikumi	Līguma noteikumi bija skaidri.
terribly	šausmīgi	Bērns bija šausmīgi satraukts.
terrify	biedēt	Skaļi trokšņi biedē suni.
territory	teritorija	Kartē ir parādīta jaunā teritorija.
terror	šausmas	Pēc uzbrukuma izplatījās šausmas.
terrorism	terorisms	Terorisms apdraud sabiedrības drošību.
terrorist	terorists	Policija vakar arestēja teroristu.
testing	testēšana	Produktu testēšana sākas pirmdien.
textbook	mācību grāmata	Viņa aizmirsa savu bioloģijas mācību grāmatu.
theft	zādzība	Zādzību skaits apgabalā pieauga.
therapist	terapeits	Terapeits palīdzēja viņam tikt galā ar trauksmi.
thesis	disertācija	Viņas disertācijā pētīta mācīšanās tiešsaistē.
thorough	rūpīgs	Rūpīgā pārbaudē kļūdas netika atrastas.
thoroughly	rūpīgi	Rūpīgi iztīriet brūci.
thumb	īkšķis	Viņš pacēla īkšķi, lai parādītu piekrišanu.
timing	laiks	Zvana laiks bija perfekts.
tissue	salvete	Viņa noslaucīja glāzi ar salveti.
ton	tonna	Kravas automašīna veda vienu tonnu smilšu.
tonne	tonna	Sūtījums svēra vienu tonnu.
tournament	turnīrs	Tenisa turnīrs sākas rīt.
trace	izsekot	Zinātnieki var izsekot vīrusa avotam.
trading	tirdzniecība	Akciju tirdzniecība apstājās pusdienlaikā.
tragedy	traģēdija	Negadījums bija briesmīga traģēdija.
tragic	traģisks	Avārijai bija traģiskas sekas.
trait	iezīme	Pacietība ir noderīga iezīme.
transmit	pārnēsāt	Odi var pārnēsāt slimības.
transportation	transports	Sabiedriskais transports šodien ir pārpildīts.
trap	noķert	Kaste var droši notvert kukaiņus.
treasure	dārgumi	Vecajā lādē bija dārgumi.
tribe	cilts	Cilts aizsargāja savas tradīcijas.
trigger	izraisīt	Dūmi var izraisīt trauksmi.
trillion	triljons	Parāds sasniedza vienu triljonu dolāru.
troop	karaspēks	Vienība virzījās uz robežu.
tsunami	cunami	Cunami iznīcināja piekrastes mājas.
ultimate	galvenais	Galvenais mērķis ir miers.
unacceptable	nepieņemams	Pasažieriem kavēšanās bija nepieņemama.
uncertainty	nenoteiktība	Nenoteiktība padarīja investorus nervozus.
undergo	pārciest	Pacientam rīt tiks veikta operācija.
undertake	uzņemties	Komanda uzņemsies aptaujas veikšanu.
unfold	risināties	Drāma sāka lēnām risināties.
unfortunate	neveiksmīgs	Kļūda bija neveiksmīga, bet labojama.
unite	apvienot	Līderi mēģināja apvienot partiju.
unity	vienotība	Runa aicināja uz nacionālo vienotību.
universal	universāls	Lietotnē tiek izmantots universāls dizains.
urgent	steidzams	Slimnīca saņēma steidzamu zvanu.
usage	lietošana	Rokasgrāmata izskaidro pareizu lietošanu.
useless	bezjēdzīgs	Salauztais lādētājs ir nelietojams.
valid	derīgs	Jūsu pase vēl ir derīga.
variation	atšķirība	Cenās ir lielas atšķirības.
vertical	vertikāls	Diagrammai ir vertikālā ass.
viewpoint	viedoklis	Pēc debatēm viņas viedoklis mainījās.
visa	vīza	Viņš pieteicās studentu vīzai.
visible	redzams	Zīme no šejienes ir redzama.
voluntary	brīvprātīgs	Kurss ietver brīvprātīgas darbnīcas.
voting	balsošana	Agrīnā balsošana sākas nākamnedēļ.
wander	klīst	Tūristi klīst pa veco tirgu.
warming	sasilšana	Globālā sasilšana ietekmē jūras līmeni.
weekly	iknedēļas	Komanda rīko iknedēļas sapulci.
weird	dīvains	Troksnis izklausījās dīvains.
welfare	labklājība	Programma atbalsta bērnu labklājību.
wheat	kvieši	Zemnieks audzē kviešus.
whoever	ikviens, kurš	Ikvienam, kurš ierodas pirmais, jāgaida ārpusē.
widespread	plašs	Vētra radīja plašus postījumus.
wisdom	gudrība	Viņas vecmāmiņa dalījās praktiskā gudrībā.
withdraw	atsaukt	Viņš nolēma atsaukt savu pieteikumu.
workforce	darbaspēks	Darbaspēkam ir nepieciešamas jaunas prasmes.
workplace	darbavieta	Darbavietā ir skaidri drošības noteikumi.
workshop	darbnīca	Darbnīca sākas pulksten desmitos.
worm	tārps	Pār augsni rāpoja tārps.
wrist	plaukstas locītava	Viņa savainoja plaukstas locītavu.
