source_headword	TH	example_TH
fridge	ตู้เย็น	นมอยู่ในตู้เย็น.
frog	กบ	กบตัวหนึ่งกระโดดลงบ่อ.
furniture	เฟอร์นิเจอร์;เครื่องเรือน	เฟอร์นิเจอร์นี้เก่าแต่แข็งแรง.
further	เพิ่มเติม;ไกลกว่า	เราต้องการข้อมูลเพิ่มเติม.
gallery	หอศิลป์;แกลเลอรี	หอศิลป์เปิดวันนี้.
gap	ช่องว่าง;ระยะห่าง	มีช่องว่างบนกำแพง.
gas	น้ำมัน;แก๊ส	รถคันนี้ต้องการน้ำมัน.
gate	ประตูรั้ว	กรุณาปิดประตูรั้ว.
general	ทั่วไป;โดยรวม	นี่คือกฎทั่วไป.
gift	ของขวัญ	เธอซื้อของขวัญ.
goal	เป้าหมาย	เป้าหมายของเราง่าย.
god	พระเจ้า;เทพเจ้า	หลายคนสวดภาวนาต่อพระเจ้า.
gold	ทอง;สีทอง	แหวนวงนี้เป็นทอง.
golf	กอล์ฟ	เขาเล่นกอล์ฟวันนี้.
government	รัฐบาล	รัฐบาลเปลี่ยนกฎหมาย.
grass	หญ้า	หญ้าเปียก.
greet	ทักทาย;ต้อนรับ	ทักทายแขกแต่ละคนอย่างสุภาพ.
ground	พื้นดิน	นั่งบนพื้นดิน.
guest	แขก	แขกของเรามาถึงเร็ว.
guide	ไกด์;คู่มือ	ไกด์พาเราชมพิพิธภัณฑ์.
gun	ปืน	ตำรวจพบปืนหนึ่งกระบอก.
guy	ผู้ชาย;หนุ่มคนนั้น	ผู้ชายคนนั้นคือพี่ชายฉัน.
habit	นิสัย;ความเคยชิน	การอ่านทุกวันเป็นนิสัยที่ดี.
hall	ห้องโถง;ทางเดิน	รอในทางเดิน.
happily	อย่างมีความสุข	พวกเขาอยู่ด้วยกันอย่างมีความสุข.
headache	อาการปวดหัว	ฉันปวดหัว.
heart	หัวใจ	หัวใจของเธอเต้นเร็ว.
heat	ความร้อน;ทำให้ร้อน	อุ่นซุปช้าๆ.
heavy	หนัก	กระเป๋าใบนี้หนัก.
height	ความสูง	วัดความสูงของโต๊ะ.
helpful	มีประโยชน์;ช่วยได้	คำแนะนำของคุณมีประโยชน์.
hero	วีรบุรุษ;ฮีโร่	เขาเป็นฮีโร่ของฉัน.
hers	ของเธอ	เสื้อโค้ตสีน้ำเงินเป็นของเธอ.
herself	ตัวเธอเอง	เธอทำอาหารเย็นเอง.
hide	ซ่อน;หลบ	ซ่อนกุญแจไว้ใต้กล่อง.
hill	เนินเขา	เราปีนขึ้นเนินเขา.
himself	ตัวเขาเอง	เขาซ่อมมันเอง.
hit	ตี;ชน	อย่าตีประตู.
hockey	ฮอกกี้	เราดูฮอกกี้เมื่อคืน.
hold	ถือ;จับ	จับมือฉัน.
hole	รู;ช่อง	มีรูในถุงเท้าของฉัน.
huge	ใหญ่มาก	ห้องนี้ใหญ่มาก.
human	มนุษย์;เกี่ยวกับมนุษย์	มนุษย์ทุกคนต้องการน้ำ.
hurt	เจ็บ;ทำให้เจ็บ	เข่าของฉันเจ็บ.
ideal	เหมาะที่สุด;ในอุดมคติ	ห้องนี้เหมาะสำหรับการเรียน.
identify	ระบุ;จำแนก	คุณระบุนกตัวนี้ได้ไหม?
ill	ป่วย;ไม่สบาย	เธอรู้สึกป่วยวันนี้.
illness	ความเจ็บป่วย;โรค	ความเจ็บป่วยกินเวลาหนึ่งสัปดาห์.
image	ภาพ;รูปภาพ	ภาพนี้ชัดเจน.
immediately	ทันที	มาที่นี่ทันที.
impossible	เป็นไปไม่ได้	ปริศนานี้ดูเป็นไปไม่ได้.
included	รวมอยู่แล้ว	อาหารเช้ารวมอยู่แล้ว.
including	รวมถึง	สิบคนมาโดยรวมถึงฉันด้วย.
increase	เพิ่มขึ้น;เพิ่ม	ราคาเพิ่มขึ้นในฤดูร้อน.
incredible	เหลือเชื่อ;น่าทึ่ง	วิวนี้น่าทึ่งมาก.
independent	เป็นอิสระ;พึ่งตนเอง	พี่สาวของฉันเป็นอิสระ.
individual	บุคคล;แต่ละคน	แต่ละคนมีหมายเลข.
industry	อุตสาหกรรม	อุตสาหกรรมท้องถิ่นกำลังเติบโต.
informal	ไม่เป็นทางการ	อีเมลนี้ไม่เป็นทางการ.
injury	การบาดเจ็บ	อาการบาดเจ็บของเขาไม่ร้ายแรง.
insect	แมลง	แมลงเกาะบนถ้วย.
inside	ข้างใน;ภายใน	รออยู่ในบ้าน.
instead	แทน;แทนที่	ดื่มน้ำแทน.
instruction	คำสั่ง;คำแนะนำ	อ่านคำแนะนำแต่ละข้ออย่างระวัง.
instructor	ผู้สอน;ครูฝึก	ผู้สอนอธิบายแบบฝึกหัด.
instrument	เครื่องดนตรี;เครื่องมือ	เธอเล่นเครื่องดนตรี.
intelligent	ฉลาด	เขาเป็นนักเรียนที่ฉลาด.
international	นานาชาติ;ระหว่างประเทศ	นี่คือสนามบินนานาชาติ.
introduction	การแนะนำ;บทนำ	บทนำสั้น.
invent	ประดิษฐ์;คิดค้น	เด็กๆสามารถคิดค้นเกมใหม่ได้.
invention	สิ่งประดิษฐ์	สิ่งประดิษฐ์นี้ประหยัดเวลา.
invitation	คำเชิญ	ฉันได้รับคำเชิญ.
invite	เชิญ	เชิญเพื่อนของคุณด้วย.
involve	เกี่ยวข้อง;รวมถึง	งานนี้จะเกี่ยวข้องกับการเดินทาง.
item	รายการ;สิ่งของ	เลือกหนึ่งรายการ.
itself	ตัวมันเอง	เครื่องปิดตัวเอง.
jam	แยม	ทาแยมบนขนมปัง.
jazz	แจ๊ส	แจ๊สคืนนี้ฟังดีมาก.
jewellery	เครื่องประดับ	เธอเก็บเครื่องประดับไว้ในกล่อง.
joke	เรื่องตลก;มุกตลก	เล่าเรื่องตลกให้ฉันฟัง.
journalist	นักข่าว	นักข่าวถามคำถาม.
jump	กระโดด	กระโดดข้ามเส้น.
kid	เด็ก	เด็กคนนั้นกำลังหัวเราะ.
kill	ฆ่า	อย่าฆ่าแมลง.
king	กษัตริย์	กษัตริย์อาศัยอยู่ในพระราชวัง.
knee	เข่า	เข่าของฉันเจ็บ.
knife	มีด	ใช้มีดคม.
