source_headword	VI	example_VI
abandon	từ bỏ	Họ đã từ bỏ kế hoạch hôm qua.
absolute	tuyệt đối	Chúng ta cần sự trung thực tuyệt đối ở đây.
acceptable	chấp nhận được	Câu trả lời của anh ấy là chấp nhận được.
accompany	đi cùng	Anh trai cô ấy đã đi cùng cô ấy về nhà.
accurate	chính xác	Báo cáo có vẻ chính xác.
accuse	buộc tội	Họ buộc tội anh ấy nói dối.
acknowledge	thừa nhận	Hãy thừa nhận sai lầm đó.
acquire	tiếp thu	Cô ấy nhanh chóng tiếp thu kỹ năng mới.
actual	thực tế	Chi phí thực tế thấp hơn.
adapt	thích nghi	Chúng tôi đã thích nghi với sự thay đổi.
additional	bổ sung	Sự giúp đỡ bổ sung đã đến hôm nay.
administration	ban quản lý	Ban quản lý đã thay đổi chính sách.
adopt	áp dụng	Họ đã áp dụng một phương pháp mới.
advance	tiến bộ	Chúng tôi đã đạt được một tiến bộ nhỏ.
affair	vụ việc	Vụ việc đó làm tổn hại lòng tin của công chúng.
afterwards	sau đó	Sau đó, mọi người đều cảm thấy bình tĩnh.
agency	cơ quan	Cơ quan đó đã thuê ba phiên dịch viên.
agenda	chương trình nghị sự	An toàn nằm trong chương trình nghị sự.
aggressive	hung hăng	Giọng của anh ấy nghe có vẻ hung hăng.
aid	viện trợ	Viện trợ y tế đã đến nhanh chóng.
aircraft	máy bay	Máy bay đã hạ cánh an toàn.
alter	thay đổi	Đừng thay đổi thỏa thuận đó.
anger	cơn giận	Cơn giận của anh ấy làm mọi người ngạc nhiên.
angle	góc	Hãy thử một góc máy khác.
anniversary	ngày kỷ niệm	Ngày kỷ niệm của họ là ngày mai.
annual	hằng năm	Cuộc họp hằng năm bắt đầu vào thứ Hai.
anxious	lo lắng	Cô ấy cảm thấy lo lắng trước ca phẫu thuật.
apparent	rõ ràng	Sự thất vọng của anh ấy rất rõ ràng.
apparently	rõ ràng là	Rõ ràng là tàu bị trễ.
appeal	kháng cáo	Quyết định đó có thể bị kháng cáo.
approach	cách tiếp cận	Cách tiếp cận của cô ấy đã giải quyết vấn đề.
appropriate	phù hợp	Hãy chọn một câu trả lời phù hợp.
approval	sự chấp thuận	Dự án cần sự chấp thuận.
approve	chấp thuận	Hội đồng đã chấp thuận ngân sách.
arise	nảy sinh	Vấn đề có thể nảy sinh sau đó.
armed	có vũ trang	Các lính gác có vũ trang đứng bên ngoài.
arms	vũ khí	Họ đã hạ vũ khí xuống.
artificial	nhân tạo	Những bông hoa trông như nhân tạo.
artistic	nghệ thuật	Cô ấy có tài năng nghệ thuật.
ashamed	xấu hổ	Sau đó anh ấy cảm thấy xấu hổ.
aspect	khía cạnh	Hãy cân nhắc mọi khía cạnh một cách cẩn thận.
assess	đánh giá	Chúng ta phải đánh giá thiệt hại.
assessment	sự đánh giá	Việc đánh giá mất hai giờ.
associate	liên hệ	Mọi người liên hệ khói với nguy hiểm.
associated	liên quan	Căng thẳng liên quan đến bệnh tật.
association	hiệp hội	Hiệp hội đó hỗ trợ các nghệ sĩ trẻ.
assume	cho rằng	Tôi cho rằng bạn đồng ý.
attempt	nỗ lực	Nỗ lực đầu tiên của anh ấy thất bại.
bacteria	vi khuẩn	Vi khuẩn có thể lây lan nhanh chóng.
barrier	rào cản	Ngôn ngữ là một rào cản.
basically	về cơ bản	Về cơ bản, chúng ta cần thêm thời gian.
bear (deal with)	chịu đựng	Tôi không thể chịu đựng tiếng ồn này.
beg	cầu xin	Làm ơn hãy cầu xin sự giúp đỡ.
being	sinh vật	Mọi sinh vật đều cần nước.
bent	bị cong	Thanh kim loại đã bị cong.
bet	cá là	Tôi cá là anh ấy biết.
beyond	bên kia	Ngôi làng nằm bên kia con sông.
bitter	đắng	Thuốc có vị đắng.
blame	đổ lỗi	Đừng đổ lỗi cho tài xế.
blind	mù	Anh ấy bị mù khi còn trẻ.
bond	mối gắn kết	Lòng tin tạo ra một mối gắn kết mạnh mẽ.
breast	ngực	Cô ấy cảm thấy đau ở ngực.
brief	ngắn gọn	Hãy giữ câu trả lời ngắn gọn.
broad	rộng	Con sông ở đây rất rộng.
broadcast	phát sóng	Bài phát biểu được phát sóng trực tiếp.
budget	ngân sách	Ngân sách rất eo hẹp.
bullet	viên đạn	Viên đạn trúng vào bức tường.
