source_headword	CS	example_CS
toss	hodit	Hodila klíče na stůl.
total	činit	Opravy činí více, než se očekávalo.
toxic	toxický	Toxický kouř všechny donutil jít ven.
trademark	ochranná známka	Logo se stalo ochrannou známkou společnosti.
trail	stezka	Stezka vedla lesem.
trailer	upoutávka	Upoutávka ukázala konec filmu.
transaction	transakce	Transakce se objevila na mém výpisu z účtu.
transcript	výpis známek	Student požádal o oficiální výpis známek.
transformation	přeměna	Město prošlo velkou přeměnou.
transit	přeprava	Balíček byl poškozen během přepravy.
transmission	přenos	Přenos dat byl bezpečný.
transparency	transparentnost	Zpráva vyzývala k větší transparentnosti.
transparent	transparentní	Proces by měl být transparentní pro všechny.
trauma	trauma	Nehoda zanechala hluboké trauma.
treaty	smlouva	Země podepsaly mírovou smlouvu.
tremendous	obrovský	Tým udělal obrovský pokrok.
tribal	kmenový	Muzeum vystavilo kmenové umění.
tribunal	tribunál	Tribunál slyšel důkazy celý týden.
tribute	pocta	Koncert byl poctou pro ni.
trio	trio	Trio vystoupilo na festivalu.
triumph	triumf	Vítězství bylo osobním triumfem.
trophy	trofej	Kapitán hrdě zvedl trofej.
troubled	problémový	Problémová společnost potřebovala nové vedení.
trustee	správce	Správce spravuje stipendijní fond.
tuition	školné	Její školné se letos zvýšilo.
turnout	volební účast	Volební účast byla vyšší, než se očekávalo.
turnover	fluktuace	Fluktuace zaměstnanců po změnách klesla.
twist	otočit	Otočením otevřela víčko.
undergraduate	vysokoškolák	Vysokoškolák se připojil k výzkumnému projektu.
underlying	základní	Zpráva vysvětlila základní příčiny.
undermine	podkopat	Skandál podkopal důvěru veřejnosti.
undoubtedly	nepochybně	Ona je nepochybně nejlepší kandidátka.
unify	sjednotit	Plán si klade za cíl sjednotit týmy.
unprecedented	nebývalý	Bouře způsobila nebývalé škody.
unveil	odhalit	Společnost zítra odhalí design.
upcoming	nadcházející	Nadcházející volby přilákaly pozornost veřejnosti.
upgrade	aktualizovat	Včera v noci jsme aktualizovali software.
uphold	podpořit	Podporujeme původní rozhodnutí.
utility	energie	Byt zahrnuje všechny náklady na energie.
utilize	využít	Tým využil dostupná data.
utterly	naprosto	Vysvětlení bylo naprosto matoucí.
vacuum	prázdnota	Prázdnota ve vedení vytvořila napětí.
vague	vágní	Jeho odpověď byla vágní a slabá.
validity	platnost	Studie zpochybnila platnost testu.
vanish	zmizet	Soubor zmizel ze složky.
variable	proměnná	Cena je jednou důležitou proměnnou.
varied	rozmanitý	Kurz nabízí rozmanité úkoly.
vein	žíla	Zdravotní sestra rychle našla žílu.
venture	podnik	Nový podnik přilákal investory.
verbal	ústní	Dosáhli ústní dohody.
verdict	verdikt	Porota vynesla svůj verdikt.
verify	ověřit	Ověřte prosím svou e-mailovou adresu.
verse	verš	Citovala verš z básně.
versus	proti	Debata byla soukromí proti bezpečnosti.
vessel	plavidlo	Plavidlo přepravovalo obilí přes moře.
veteran	veterán	Veterán vyškolil nový personál.
viable	životaschopný	Návrh je finančně životaschopný.
vibrant	pulzující	Město má pulzující uměleckou scénu.
vice	neřest	Chamtivost byla jeho největší neřestí.
vicious	krutý	Krutý útok šokoval město.
villager	vesničan	Vesničan nás dovedl k řece.
violate	porušit	Společnost může porušit bezpečnostní pravidla.
violation	porušení	Inspektor ohlásil vážné porušení.
virtue	ctnost	Trpělivost je důležitá ctnost.
vocal	hlasitý	O rozhodnutí mluvila velmi hlasitě.
vow	slíbit	Slíbil, že práci dokončí.
vulnerability	zranitelnost	Audit odhalil bezpečnostní zranitelnost.
vulnerable	zranitelný	Děti jsou během extrémních veder zranitelné.
ward	oddělení	Pacient se přesunul na jiné oddělení.
warehouse	sklad	Sklad uchovává náhradní díly.
warfare	válečnictví	Moderní válečnictví spoléhá na technologie.
warrant	povolení	Policie ukázala povolení k prohlídce.
warrior	válečník	Válečník chránil vesnici.
weaken	oslabit	Zranění oslabilo jeho stisk.
weave	plést	Naučila se plést košíky.
weed	plevel	Mezi kameny rostl plevel.
well	studna	Vesnická studna vyschla.
well-being	pohoda	Spánek je pro pohodu životně důležitý.
whatsoever	vůbec	Nejevil vůbec žádný zájem.
whereby	pomocí kterého	Zákon vytvořil systém, pomocí kterého se rodiny mohly odvolat.
whilst	zatímco	Pracovala, zatímco on odpočíval.
whip	bičovat	Vítr může bičovat vlajkami.
wholly	zcela	Rozhodnutí bylo zcela nečekané.
widen	rozšířit	Město plánuje rozšířit silnici.
widow	vdova	Vdova žije poblíž školy.
width	šířka	Změřte šířku dveří.
willingness	ochota	Její ochota pomoci na všechny udělala dojem.
wipe	otřít	Otřete obrazovku hadříkem.
wit	vtip	Jeho vtip oživil projev.
withdrawal	stažení	Stažení financování zpozdilo projekt.
workout	trénink	Trénink trval čtyřicet minut.
worship	bohoslužba	Lidé se za úsvitu shromáždili k bohoslužbě.
worthwhile	stojící za to	Výlet stál za to.
worthy	hodný	Charita je hodna podpory.
yell	křičet	Nekřičte na personál.
yield	výnos	Výnos farmy se v této sezóně zlepšil.
youngster	mladík	Mladík se ptal na spoustu otázek.
