simplified	NE	example_NE
啊	वाक्य अन्त्य कण; आ	हुन्छ आ, हामी अहिले जाऔँ।
阿姨	काकी; माइजू; बालहेरचाह गर्ने महिला	काकी सुपरमार्केटमा काम गर्नुहुन्छ।
矮	होचो; कम उचाइको	यो टेबल अलि होचो छ।
爱好	रुचि; सोख	मेरो रुचि संगीत सुन्नु हो।
安静	शान्त; सुनसान	पुस्तकालयमा धेरै शान्त छ।
把	समाउनु; लिनु; कर्मसूचक कण	कृपया ढोका बन्द गर्नुहोस्।
搬	सार्नु; बसाइँ सर्नु	हामी भोलि घर सर्छौँ।
班	कक्षा; टोली	हाम्रो कक्षामा बीस जना विद्यार्थी छन्।
办法	उपाय; तरिका	यो उपाय धेरै राम्रो छ।
办公室	कार्यालय	प्रबन्धक कार्यालयमा छन्।
半	आधा	मैले आधा घण्टा पर्खेँ।
帮忙	मद्दत गर्नु; सहयोग गर्नु	तपाईं मद्दत गर्न सक्नुहुन्छ?
包	झोला; बेर्नु	उनले एउटा नयाँ झोला किनिन्।
饱	अघाएको	म पहिले नै अघाइसकेँ।
北方	उत्तर; उत्तरी भाग	उत्तरको जाडो धेरै चिसो हुन्छ।
被	कर्मवाच्य कण; द्वारा	मेरो साइकल साथीले लगिसक्यो।
鼻子	नाक	उसको नाक अलि रातो छ।
比较	तुलना गर्नु; अलि बढी	आज अलि तातो छ।
比赛	प्रतियोगिता; खेल	यो प्रतियोगिता धेरै महत्त्वपूर्ण छ।
笔记本	नोटबुक; कापी	मैले नोटबुक टेबलमा राखेँ।
必须	अनिवार्य रूपमा; गर्नै पर्छ	तपाईंले ध्यान दिएर दोहोर्याउनै पर्छ।
变化	परिवर्तन; बदलिनु	यो शहर धेरै बदलिएको छ।
别人	अरू मानिस	अरूको सामान नलिनुहोस्।
冰箱	फ्रिज	फलफूल फ्रिजमा छन्।
不但…而且…	मात्र होइन... पनि...	ऊ बुद्धिमान मात्र होइन, धेरै मेहनती पनि छ।
菜单	मेनु; खानाको सूची	कृपया मलाई एउटा मेनु दिनुहोस्।
参加	भाग लिनु; सहभागी हुनु	म यो बैठकमा सहभागी हुन चाहन्छु।
草	घाँस	कुकुरको बच्चा घाँसमाथि दौडिरहेको छ।
层	तला; तह	यो भवनमा तीन तला छन्।
差	नराम्रो; फरक; कमी हुनु	आजको मौसम नराम्रो छ।
超市	सुपरमार्केट	म रोटी किन्न सुपरमार्केट जाँदै छु।
衬衫	सर्ट; ब्लाउज	यो सर्ट सफा छ।
城市	शहर; नगर	बेइजिङ एउटा ठूलो शहर हो।
成绩	नतिजा; अंक	उसको गणितको अंक राम्रो छ।
迟到	ढिला पुग्नु	कक्षामा ढिला नहुनुहोस्।
除了	बाहेक; बाहेक पनि	कफीबाहेक, मलाई चिया पनि चाहिन्छ।
船	डुंगा; जहाज	हामी डुंगा चढेर त्यो शहर जान्छौँ।
春	वसन्त	वसन्तमा धेरै फूल हुन्छन्।
词典	शब्दकोश	यो शब्दकोश धेरै उपयोगी छ।
聪明	बुद्धिमान; चलाख	यो बच्चा धेरै बुद्धिमान छ।
打扫	सफा गर्नु; बढार्नु	म सप्ताहन्तमा कोठा सफा गर्छु।
打算	योजना; योजना बनाउनु	भोलि तपाईंको के योजना छ?
带	साथमा ल्याउनु; लैजानु	कृपया आफ्नो राहदानी साथमा ल्याउनुहोस्।
担心	चिन्ता गर्नु	चिन्ता नगर्नुहोस्, म तपाईंलाई मद्दत गर्छु।
蛋糕	केक	यो केक धेरै गुलियो छ।
当然	अवश्य; निश्चय नै	अवश्य हुन्छ।
地	क्रियाविशेषण सूचक कण	ऊ खुसी भएर हाँस्यो।
灯	बत्ती	कृपया बत्ती बाल्नुहोस्।
地方	ठाउँ; क्षेत्र	यो ठाउँ धेरै शान्त छ।
地铁	मेट्रो रेल	म हरेक दिन मेट्रो चढेर काममा जान्छु।
地图	नक्सा	म नक्सामा स्कूल खोज्छु।
电梯	लिफ्ट	लिफ्ट बायाँपट्टि छ।
电子邮件	इमेल	म शिक्षकलाई इमेल पठाउँछु।
东	पूर्व	घाम पूर्वबाट उदाउँछ।
冬	जाडो ऋतु	जाडोमा मलाई तातो चिया पिउन मन पर्छ।
动物	जनावर	पान्डा चीनको प्रसिद्ध जनावर हो।
短	छोटो	यो प्यान्ट धेरै छोटो भयो।
段	अनुच्छेद; खण्ड	कृपया यो अनुच्छेद पढ्नुहोस्।
锻炼	व्यायाम गर्नु	म हरेक बिहान व्यायाम गर्छु।
多么	कति; कस्तो	यहाँको वातावरण कति राम्रो छ!
饿	भोक लागेको	मलाई भोक लागेको छ, रोटी खान मन छ।
耳朵	कान	मेरो कान अलि दुखेको छ।
发	पठाउनु; जारी गर्नु	म साँझ इमेल पठाउँछु।
发烧	ज्वरो आउनु	उसलाई ज्वरो आएको छ, स्कूल जान सक्दैन।
