source_headword	TR	example_TR
rock (music)	rock müzik	Rock müziği severim.
role	rol	Onun rolü önemlidir.
roof	çatı	Çatının tamire ihtiyacı var.
round	yuvarlak	Masa yuvarlaktır.
route	rota	Bu rota daha kısadır.
rubbish	çöp	Çöpü dışarı koy.
rude	kaba	Bu yorum kabaydı.
runner	koşucu	Koşucu yorgun görünüyor.
running	koşu	Koşu beni sağlıklı tutar.
sadly	ne yazık ki	Ne yazık ki treni kaçırdık.
safe	güvenli	Bu sokak güvenli hissettiriyor.
sail	yelken açmak	Cumartesi günü yelken açıyoruz.
sailing	yelkencilik	Yelkencilik burada popülerdir.
salary	maaş	Onun maaşı şimdi daha yüksek.
sale	indirim	İndirim yarın başlıyor.
sauce	sos	Pirince sos ekle.
save	kaydetmek	İşini şimdi kaydet.
scared	korkmuş	Çocuk korkmuş hissediyor.
scary	korkutucu	Bu hikaye korkutucu.
scene	sahne	Son sahne komikti.
schedule	program	Bugün programı kontrol et.
score	skor	Skor kaç?
screen	ekran	Ekranı dikkatlice temizle.
search	aramak	Fotoğrafları webde ara.
season	sezon	Yaz yoğun bir sezondur.
seat	koltuk	Lütfen bu koltuğu al.
second1 (next after the first)	ikinci	İkinci olarak, ellerini yıka.
secondly	ikinci olarak	İkinci olarak, cevabını kontrol et.
secret	gizli	Bu sırrı güvende tut.
secretary	sekreter	Sekreter bugün aradı.
seem	görünmek	Yorgun görünüyorsun.
sense	anlam	Bu planın anlamı var.
separate	ayrı	Kağıtları ayrı tut.
series	dizi	Bu dizi popüler.
serious	ciddi	Bu sorun ciddi.
serve	servis etmek	Öğlen yemek servis ediyorlar.
service	hizmet	Hizmet hızlıydı.
several	birkaç	Birkaç öğrenci erken geldi.
shake	çalkalamak	Önce şişeyi çalkala.
shall modal	başlayalım mı	Şimdi başlayalım mı?
shape	şekil	Kare bir şekil çiz.
sheet	çarşaf	Çarşafı yatağa koy.
ship	gemi	Gemi bugün ayrıldı.
shoulder	omuz	Omzum ağrıyor.
shout	bağırmak	Sınıfta bağırma.
shut	kapatmak	Lütfen pencereyi kapat.
side	taraf	Bu tarafa otur.
sign	tabela	Tabelayı dikkatlice oku.
silver	gümüş	Gümüş parlak bir metaldir.
