source_headword	KN	example_KN
take	ತೆಗೆದುಕೋ; ತೆಗೆದುಕೊಂಡು ಹೋಗು	ಟಿಕೆಟ್ ತೆಗೆದುಕೋ.
talk	ಮಾತನಾಡು; ಮಾತುಕತೆ	ನಾವು ತರಗತಿಯ ನಂತರ ಮಾತನಾಡುತ್ತೇವೆ.
tall	ಎತ್ತರವಾದ	ನನ್ನ ಶಿಕ್ಷಕ ಎತ್ತರವಾಗಿದ್ದಾರೆ.
taxi	ಟ್ಯಾಕ್ಸಿ	ಟ್ಯಾಕ್ಸಿ ಹೊರಗೆ ಇದೆ.
tea	ಚಹಾ	ಈ ಚಹಾ ಬಿಸಿ ಇದೆ.
teach	ಬೋಧಿಸು	ನಾನು ಆಂಗ್ಲ ಭಾಷೆ ಬೋಧಿಸುತ್ತೇನೆ.
teacher	ಶಿಕ್ಷಕ; ಶಿಕ್ಷಕಿ	ಶಿಕ್ಷಕಿ ನಗುತ್ತಾಳೆ.
team	ತಂಡ	ನಮ್ಮ ತಂಡ ಇಂದು ಗೆಲ್ಲುತ್ತದೆ.
teenager	ಕಿಶೋರ; ಕಿಶೋರಿ	ಕಿಶೋರ ಒಂದು ಪುಸ್ತಕ ಓದುತ್ತಾನೆ.
telephone	ದೂರವಾಣಿ; ಫೋನ್ ಮಾಡು	ದೂರವಾಣಿ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
television	ದೂರದರ್ಶನ	ದೂರದರ್ಶನ ಹೊಸದು.
tell	ಹೇಳು	ನಿನ್ನ ಹೆಸರನ್ನು ನನಗೆ ಹೇಳು.
ten	ಹತ್ತು	ನನ್ನ ಬಳಿ ಹತ್ತು ಪುಸ್ತಕಗಳಿವೆ.
tennis	ಟೆನಿಸ್	ನಾವು ಇಂದು ಟೆನಿಸ್ ಆಡುತ್ತೇವೆ.
terrible	ತುಂಬಾ ಕೆಟ್ಟ; ಭಯಾನಕ	ಹವಾಮಾನ ತುಂಬಾ ಕೆಟ್ಟಿದೆ.
test	ಪರೀಕ್ಷೆ; ಪರೀಕ್ಷಿಸು	ಪರೀಕ್ಷೆ ಈಗ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
text	ಸಂದೇಶ; ಪಠ್ಯ	ಚಿಕ್ಕ ಸಂದೇಶ ಕಳುಹಿಸು.
than	ಗಿಂತ	ಹತ್ತು ಎರಡಕ್ಕಿಂತ ಹೆಚ್ಚು.
thank	ಧನ್ಯವಾದ ಹೇಳು	ನಿನ್ನ ಶಿಕ್ಷಕರಿಗೆ ಧನ್ಯವಾದ ಹೇಳು.
thanks	ಧನ್ಯವಾದಗಳು	ನಿನ್ನ ಸಹಾಯಕ್ಕೆ ಧನ್ಯವಾದಗಳು.
that	ಅದು; ಆ	ಆ ಪುಸ್ತಕ ನನ್ನದು.
the	ಆಂಗ್ಲ ನಿರ್ದಿಷ್ಟ ಪದ	ಚಹಾ ಬೆಚ್ಚಗಿದೆ.
theatre	ರಂಗಮಂದಿರ; ನಾಟಕಶಾಲೆ	ರಂಗಮಂದಿರ ನಿಲ್ದಾಣದ ಬಳಿ ಇದೆ.
their	ಅವರ	ಅವರ ಮನೆ ದೊಡ್ಡದು.
them	ಅವರನ್ನು; ಅವರಿಗೆ	ನಾನು ಅವರನ್ನು ತಿಳಿದಿದ್ದೇನೆ.
then	ನಂತರ; ಆಗ	ತಿನ್ನು, ನಂತರ ಓದು.
there	ಅಲ್ಲಿ	ಅಲ್ಲಿ ಒಂದು ಕುರ್ಚಿ ಇದೆ.
they	ಅವರು	ಅವರು ಶಾಲೆಯಲ್ಲಿ ಇದ್ದಾರೆ.
thing	ವಸ್ತು; ವಿಷಯ	ಈ ವಸ್ತು ಉಪಯುಕ್ತವಾಗಿದೆ.
think	ಯೋಚಿಸು	ನಾನು ಮನೆಯ ಬಗ್ಗೆ ಯೋಚಿಸುತ್ತೇನೆ.
third	ಮೂರನೇ; ಮೂರನೆಯ	ಇದು ಮೂರನೇ ಪಾಠ.
thirsty	ದಾಹವಾಗಿರುವ	ನನಗೆ ದಾಹವಾಗಿದೆ.
thirteen	ಹದಿಮೂರು	ಅವಳು ಹದಿಮೂರು ವರ್ಷದವಳು.
thirty	ಮೂವತ್ತು	ನನ್ನ ಅಕ್ಕ ಮೂವತ್ತು ವರ್ಷದವಳು.
this	ಇದು; ಈ	ಈ ಟಿಕೆಟ್ ಹೊಸದು.
thousand	ಸಾವಿರ	ಸಾವಿರ ಜನರು ಬಂದರು.
three	ಮೂರು	ನಾನು ಮೂರು ಹಕ್ಕಿಗಳನ್ನು ನೋಡುತ್ತೇನೆ.
through	ಮೂಲಕ; ಹಾದು	ನಾವು ಉದ್ಯಾನದ ಮೂಲಕ ನಡೆಯುತ್ತೇವೆ.
Thursday	ಗುರುವಾರ	ನಾವು ಗುರುವಾರ ಭೇಟಿಯಾಗುತ್ತೇವೆ.
ticket	ಟಿಕೆಟ್	ನನಗೆ ಒಂದು ಟಿಕೆಟ್ ಬೇಕು.
time	ಸಮಯ; ವೇಳೆ	ಸಮಯ ಎಷ್ಟು?
tired	ದಣಿದ	ನಾನು ದಣಿದಿದ್ದೇನೆ.
title	ಶೀರ್ಷಿಕೆ	ಶೀರ್ಷಿಕೆ ಓದು.
to	ಗೆ; ಕಡೆಗೆ;ಗಾಗಿ	ನಾನು ತರಗತಿಗೆ ಹೋಗುತ್ತೇನೆ.
today	ಇಂದು	ಇಂದು ಬಿಸಿಲಿದೆ.
together	ಒಟ್ಟಿಗೆ	ನಾವು ಒಟ್ಟಿಗೆ ಊಟ ಮಾಡುತ್ತೇವೆ.
toilet	ಶೌಚಾಲಯ	ಶೌಚಾಲಯ ಸ್ವಚ್ಛವಾಗಿದೆ.
tomato	ಟೊಮೇಟೊ	ಈ ಟೊಮೇಟೊ ಕೆಂಪಾಗಿದೆ.
tomorrow	ನಾಳೆ	ನಾಳೆ ಭೇಟಿ ಮಾಡೋಣ.
tonight	ಇಂದು ರಾತ್ರಿ	ನಾವು ಇಂದು ರಾತ್ರಿ ಓದುತ್ತೇವೆ.
too	ಕೂಡ; ತುಂಬಾ	ನನಗೂ ಚಹಾ ಬೇಕು.
tooth	ಹಲ್ಲು	ನನ್ನ ಹಲ್ಲು ನೋಯುತ್ತಿದೆ.
topic	ವಿಷಯ	ಒಂದು ವಿಷಯ ಆರಿಸು.
tourist	ಪ್ರವಾಸಿ	ಪ್ರವಾಸಿ ಚಿತ್ರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತಾನೆ.
town	ಪಟ್ಟಣ	ಈ ಪಟ್ಟಣ ಶಾಂತವಾಗಿದೆ.
traffic	ಸಂಚಾರ; ಟ್ರಾಫಿಕ್	ಸಂಚಾರ ನಿಧಾನವಾಗಿದೆ.
train	ರೈಲು	ರೈಲು ತಡವಾಗಿದೆ.
travel	ಪ್ರಯಾಣಿಸು; ಪ್ರಯಾಣ	ನಾವು ರೈಲಿನಲ್ಲಿ ಪ್ರಯಾಣಿಸುತ್ತೇವೆ.
tree	ಮರ	ಮರ ಎತ್ತರವಾಗಿದೆ.
trip	ಪ್ರಯಾಣ; ಪ್ರವಾಸ	ಪ್ರಯಾಣ ನಾಳೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
trousers	ಪ್ಯಾಂಟ್; ಕಾಲುಚಡ್ಡಿ	ನನ್ನ ಪ್ಯಾಂಟ್ ಕಪ್ಪಾಗಿದೆ.
true	ನಿಜವಾದ; ಸರಿ	ಆ ಕಥೆ ನಿಜವಾಗಿದೆ.
try	ಪ್ರಯತ್ನಿಸು; ರುಚಿ ನೋಡು	ಈ ಚಹಾ ರುಚಿ ನೋಡು.
T-shirt	ಟೀ ಶರ್ಟ್	ನಾನು ಟೀ ಶರ್ಟ್ ಧರಿಸುತ್ತೇನೆ.
Tuesday	ಮಂಗಳವಾರ	ನಾವು ಮಂಗಳವಾರ ಭೇಟಿಯಾಗುತ್ತೇವೆ.
turn	ತಿರುಗು; ಸರದಿ	ಇಲ್ಲಿ ಎಡಕ್ಕೆ ತಿರುಗು.
TV	ಟೀವಿ; ದೂರದರ್ಶನ	ಟೀವಿ ಶಬ್ದ ಜೋರಾಗಿದೆ.
twelve	ಹನ್ನೆರಡು	ನನ್ನ ಬಳಿ ಹನ್ನೆರಡು ಪೆನ್ನಗಳಿವೆ.
twenty	ಇಪ್ಪತ್ತು	ಇಲ್ಲಿ ಇಪ್ಪತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳು ಇದ್ದಾರೆ.
twice	ಎರಡು ಬಾರಿ	ನಾನು ವಾರಕ್ಕೆ ಎರಡು ಬಾರಿ ಈಜುತ್ತೇನೆ.
two	ಎರಡು	ಎರಡು ಜನ ಕಾಯುತ್ತಿದ್ದಾರೆ.
type	ಪ್ರಕಾರ; ಟೈಪ್ ಮಾಡು	ನಿನಗೆ ಯಾವ ಪ್ರಕಾರದ ಸಂಗೀತ ಬೇಕು?
umbrella	ಕೊಡೆ; ಛತ್ರಿ	ಕೊಡೆ ತೆಗೆದುಕೋ.
uncle	ಮಾಮ; ಚಿಕ್ಕಪ್ಪ	ನನ್ನ ಮಾಮ ದಯಾಳು.
under	ಕೆಳಗೆ	ಚೀಲ ಮೇಜಿನ ಕೆಳಗೆ ಇದೆ.
