source_headword	HY	example_HY
absorb	կլանել	Սրբիչը ջուրն արագ ներծծում է։
abstract	աբստրակտ	Դասախոսության ժամանակ քննարկվեցին վերացական գաղափարներ։
accent	ակցենտ	Նրա առոգանությունը հեշտ է հասկանալ։
accidentally	պատահաբար	Ես պատահաբար ջնջեցի ֆայլը։
accommodate	տեղավորել	Հյուրանոցը կարող է տեղավորել մեծ ընտանիքների։
accomplish	իրագործել	Նա իր նպատակին հասավ մինչև հունիս։
accountant	հաշվապահ	Հաշվապահը ստուգեց հաշիվ-ապրանքագիրը։
accuracy	ճշգրտություն	Թեստը չափում է կարդալու ճշգրտությունը։
accurately	ճշգրտորեն	Քարտեզը ճշգրտորեն ցույց է տալիս երթուղին։
acid	թթու	Թթուն վնասեց մետաղի մակերեսը։
activate	ակտիվացնել	Սեղմեք կոճակը ահազանգն ակտիվացնելու համար։
addiction	կախվածություն	Նրա կախվածությունն ազդեց իր աշխատանքի վրա։
additionally	լրացուցիչ	Լրացուցիչ մեզ ավելի շատ աթոռներ են պետք։
adequate	բավարար	Սենյակն ունի բավարար լուսավորություն։
adequately	բավարար կերպով	Զեկույցը պատշաճ կերպով բացատրեց խնդիրը։
adjust	հարմարեցնել	Վարելուց առաջ կարգավորեք նստատեղը։
affordable	մատչելի	Բնակարանը մատչելի է ուսանողների համար։
agriculture	գյուղատնտեսություն	Գյուղատնտեսությունն ապահովում է բազմաթիվ գյուղական ընտանիքների։
AIDS	ՁԻԱՀ	Բժիշկները բուժում են ՁԻԱՀ-ը ժամանակակից դեղամիջոցներով։
alien	այլմոլորակային	Ֆիլմը ցույց է տալիս օտար մոլորակ։
alongside	կողքին	Հեծանվային արահետն անցնում է գետի երկայնքով։
altogether	ընդհանրապես	Ընդհանուր առմամբ, նախագիծը տևեց վեց շաբաթ։
ambulance	շտապօգնություն	Շտապօգնությունը ժամանեց մի քանի րոպեի ընթացքում։
amusing	զվարճալի	Պատմությունը զվարճալի էր և թեթև։
