hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
1004:安检	安检	安检	安全検査	駅に入る前に、乗客はみな安全検査を受けなければなりません。	보안 검사	역에 들어가기 전에 승객들은 모두 보안 검사를 받아야 합니다.	kiểm tra an ninh	Trước khi vào ga, hành khách đều phải qua kiểm tra an ninh.	การตรวจความปลอดภัย	ก่อนเข้าไปในสถานี ผู้โดยสารทุกคนต้องผ่านการตรวจความปลอดภัย.	pemeriksaan keselamatan	Sebelum masuk ke stesen, semua penumpang perlu melalui pemeriksaan keselamatan.	pemeriksaan keamanan	Sebelum masuk stasiun, semua penumpang harus melewati pemeriksaan keamanan.
1006:按	按	按	押す; に従って	ドアを開けるには緑のボタンを押してください。	누르다; 에 따라	문을 열려면 초록색 버튼을 누르세요.	nhấn; theo	Xin hãy nhấn nút màu xanh để mở cửa.	กด; ตาม	กรุณากดปุ่มสีเขียวเพื่อเปิดประตู.	menekan; mengikut	Sila tekan butang hijau untuk membuka pintu.	menekan; menurut	Silakan tekan tombol hijau untuk membuka pintu.
1009:白酒	白酒	白酒	白酒; 中国の蒸留酒	彼は白酒を飲まず、お茶だけを飲みます。	바이주; 중국 증류주	그는 바이주를 마시지 않고 차만 마십니다.	rượu trắng Trung Quốc; baijiu	Anh ấy không uống baijiu, chỉ uống trà.	เหล้าขาวจีน; ไป๋จิ่ว	เขาไม่ดื่มไป๋จิ่ว ดื่มแต่ชาเท่านั้น.	baijiu; arak Cina	Dia tidak minum baijiu, hanya minum teh.	baijiu; arak Cina	Dia tidak minum baijiu, hanya minum teh.
1010:办公	办公	办公	仕事をする; 事務をする	彼女は今日、家で仕事をしています。	근무하다; 사무를 보다	그녀는 오늘 집에서 근무하고 있습니다.	làm việc văn phòng	Hôm nay cô ấy làm việc tại nhà.	ทำงาน; ทำงานสำนักงาน	วันนี้เธอทำงานที่บ้าน.	bekerja; membuat kerja pejabat	Hari ini dia bekerja dari rumah.	bekerja; mengerjakan pekerjaan kantor	Hari ini dia bekerja dari rumah.
1012:办事	办事	办事	用事を済ませる; 手続きをする	私は午後、銀行へ用事を済ませに行きます。	일을 처리하다; 용무를 보다	저는 오후에 은행에 일을 처리하러 갑니다.	giải quyết công việc	Chiều nay tôi đến ngân hàng để giải quyết việc.	จัดการธุระ	บ่ายนี้ฉันจะไปธนาคารเพื่อจัดการธุระ.	mengurus urusan	Petang ini saya pergi ke bank untuk mengurus urusan.	mengurus urusan	Sore ini saya pergi ke bank untuk mengurus keperluan.
1017:报考	报考	报考	試験に申し込む	彼は中国語試験に申し込む準備をしています。	시험에 지원하다; 응시 신청하다	그는 중국어 시험에 응시하려고 준비하고 있습니다.	đăng ký dự thi	Anh ấy đang chuẩn bị đăng ký thi tiếng Trung.	สมัครสอบ	เขากำลังเตรียมสมัครสอบภาษาจีน.	memohon menduduki peperiksaan	Dia sedang bersedia untuk memohon menduduki peperiksaan bahasa Cina.	mendaftar ujian	Dia sedang bersiap mendaftar ujian bahasa Mandarin.
1021:背包	背包	背包	リュックサック; バックパック	私のリュックはドアのところにあります。	배낭; 백팩	제 배낭은 문 앞에 있습니다.	ba lô	Ba lô của tôi để ở cửa.	กระเป๋าเป้	กระเป๋าเป้ของฉันวางอยู่ที่หน้าประตู.	beg galas	Beg galas saya berada di tepi pintu.	ransel	Ransel saya ada di dekat pintu.
1022:北部	北部	北部	北の地域; 北部地域	この町の北部には山が一つあります。	북부	이 도시 북부에는 산이 하나 있습니다.	phần phía bắc	Phía bắc thành phố này có một ngọn núi.	ภาคเหนือ; ส่วนเหนือ	ทางตอนเหนือของเมืองนี้มีภูเขาลูกหนึ่ง.	bahagian utara	Di bahagian utara bandar ini ada sebuah gunung.	bagian utara	Di bagian utara kota ini ada sebuah gunung.
1028:笔试	笔试	笔试	筆記試験	明日の午前に筆記試験があります。	필기시험	내일 오전에 필기시험이 하나 있습니다.	bài thi viết	Sáng mai có một bài thi viết.	การสอบข้อเขียน	พรุ่งนี้เช้ามีการสอบข้อเขียนหนึ่งครั้ง.	ujian bertulis	Esok pagi ada ujian bertulis.	ujian tertulis	Besok pagi ada ujian tertulis.
1030:毕业生	毕业生	毕业生	卒業生	多くの卒業生が仕事を探しています。	졸업생	많은 졸업생들이 일자리를 찾고 있습니다.	sinh viên tốt nghiệp; người tốt nghiệp	Nhiều sinh viên tốt nghiệp đang tìm việc.	ผู้สำเร็จการศึกษา	ผู้สำเร็จการศึกษาจำนวนมากกำลังหางาน.	graduan	Ramai graduan sedang mencari kerja.	lulusan	Banyak lulusan sedang mencari pekerjaan.
1033:表	表	表	表; 用紙; 時計	この用紙を最後まで記入してください。	표; 양식; 시계	이 양식을 다 작성해 주세요.	bảng; biểu mẫu; đồng hồ	Xin hãy điền xong biểu mẫu này.	แบบฟอร์ม; ตาราง; นาฬิกา	กรุณากรอกแบบฟอร์มนี้ให้เสร็จ.	borang; jadual; jam	Sila lengkapkan borang ini.	formulir; tabel; jam	Silakan lengkapi formulir ini.
1039:并	并	并	実は; そして; も	私は実は疲れているとは思いません。	실은; 또한; 그리고	저는 사실 피곤하다고 느끼지 않습니다.	thực ra; cũng; và	Thực ra tôi không thấy mệt.	จริง ๆ แล้ว; และ; ก็	จริง ๆ แล้วฉันไม่รู้สึกเหนื่อย.	sebenarnya; juga; dan	Saya sebenarnya tidak berasa letih.	sebenarnya; juga; dan	Saya sebenarnya tidak merasa lelah.
1043:不必	不必	不必	必要がない	あなたは今答える必要はありません。	그럴 필요가 없다	당신은 지금 대답할 필요가 없습니다.	không cần	Bạn không cần trả lời bây giờ.	ไม่จำเป็นต้อง	คุณไม่จำเป็นต้องตอบตอนนี้.	tidak perlu	Anda tidak perlu menjawab sekarang.	tidak perlu	Anda tidak perlu menjawab sekarang.
1044:不便	不便	不便	不便な	ここは駐車が不便です。	불편하다	여기는 주차하기 불편합니다.	bất tiện	Ở đây đỗ xe không tiện.	ไม่สะดวก	ที่นี่จอดรถไม่สะดวก.	tidak mudah; tidak selesa	Di sini tidak mudah untuk meletak kereta.	tidak nyaman; tidak praktis	Parkir di sini tidak praktis.
