simplified	TE	example_TE
爱	ప్రేమించడం; ఇష్టపడడం	నేను అమ్మను ప్రేమిస్తున్నాను.
八	ఎనిమిది	నా దగ్గర ఎనిమిది పుస్తకాలు ఉన్నాయి.
爸爸	నాన్న; తండ్రి	నాన్న ఇంట్లో ఉన్నారు.
杯子	కప్పు; గ్లాసు	ఈ కప్పు పెద్దది.
北京	బీజింగ్	నేను బీజింగ్‌లో పని చేస్తాను.
本	పుస్తకాల లెక్కపదం; సంపుటి	నా దగ్గర ఒక పుస్తకం ఉంది.
不	కాదు; లేదు	నేను అన్నం తినను.
不客气	పరవాలేదు; ఏమీలేదు	ధన్యవాదాలు. పరవాలేదు.
菜	వంటకం; కూరగాయ; భోజనం	ఈ వంటకం రుచిగా ఉంది.
茶	టీ	నేను టీ తాగుతాను.
吃	తినడం	నేను ఆపిల్ తింటాను.
出租车	టాక్సీ	నేను టాక్సీలో పాఠశాలకు వెళ్తాను.
打电话	ఫోన్ చేయడం	నేను ఫోన్ చేస్తున్నాను.
大	పెద్ద	ఈ పాఠశాల పెద్దది.
的	యొక్క; సొంతం సూచించే కణం	ఇది నా పుస్తకం.
点	గంట; బిందువు; కొద్దిగా	ఇప్పుడు ఎనిమిది గంటలు.
电脑	కంప్యూటర్	నా కంప్యూటర్ మేజాపై ఉంది.
电视	టెలివిజన్; టీవీ	నేను టీవీ చూస్తాను.
电影	సినిమా	నాకు సినిమాలు ఇష్టం.
东西	వస్తువు; సామాను	ఇది ఏ వస్తువు?
都	అందరూ; అన్నీ; రెండూ	మేమంతా విద్యార్థులం.
读	చదవడం; చదువు	నేను పుస్తకం చదువుతున్నాను.
对不起	క్షమించండి; మన్నించండి	క్షమించండి, నాకు మీరు తెలియరు.
多	చాలా; ఎక్కువ	నాకు చాలా మంది స్నేహితులు ఉన్నారు.
多少	ఎంత; ఎన్ని	ఈ కప్పు ధర ఎంత?
儿子	కుమారుడు	నా కుమారుడు విద్యార్థి.
二	రెండు	ఫిబ్రవరిలో చల్లగా ఉంటుంది.
饭馆	రెస్టారెంట్	రెస్టారెంట్ పాఠశాల ముందు ఉంది.
飞机	విమానం	నేను విమానంలో బీజింగ్‌కు వెళ్తాను.
分钟	నిమిషం	నేను ఐదు నిమిషాలు చదువుతాను.
高兴	సంతోషం; ఆనందం	ఈ రోజు నేను చాలా సంతోషంగా ఉన్నాను.
个	సాధారణ లెక్కపదం	నాకు ఒక స్నేహితుడు ఉన్నాడు.
工作	పని చేయడం; పని	నేను బీజింగ్‌లో పని చేస్తాను.
狗	కుక్క	నాకు కుక్కలు ఇష్టం.
汉语	చైనీస్ భాష	నేను చైనీస్ నేర్చుకుంటాను.
好	మంచి; బాగా	ఈ రోజు వాతావరణం బాగుంది.
喝	తాగడం	నేను నీళ్లు తాగుతాను.
和	మరియు; తో	నేను స్నేహితుడితో పాఠశాలకు వెళ్తాను.
很	చాలా	ఆమె చాలా అందంగా ఉంది.
后面	వెనుక	పాఠశాల రెస్టారెంట్ వెనుక ఉంది.
回	తిరిగి రావడం; తిరిగి వెళ్లడం	నేను ఇంటికి తిరిగి వెళ్తాను.
会	చేయగలగడం; తెలుసు	నాకు చైనీస్ మాట్లాడడం తెలుసు.
火车站	రైల్వే స్టేషన్	రైల్వే స్టేషన్ పెద్దది.
几	ఎన్ని; కొన్ని	నీకు ఎన్ని స్నేహితులు ఉన్నారు?
家	ఇల్లు; కుటుంబం	నా ఇల్లు బీజింగ్‌లో ఉంది.
叫	అని పిలవడం; పేరు ఉండడం	నీ పేరు ఏమిటి?
今天	ఈ రోజు	ఈ రోజు వేడిగా ఉంది.
九	తొమ్మిది	ఇప్పుడు తొమ్మిది గంటలు.
