source_headword	PL	example_PL
rock (music)	muzyka rockowa	Lubię muzykę rockową.
role	rola	Jej rola jest ważna.
roof	dach	Dach wymaga naprawy.
round	okrągły	Ten stół jest okrągły.
route	trasa	Ta trasa jest krótsza.
rubbish	śmieci	Wynieś śmieci na zewnątrz.
rude	niegrzeczny	Ten komentarz był niegrzeczny.
runner	biegacz	Biegacz wygląda na zmęczonego.
running	bieganie	Bieganie pomaga mi być zdrowym.
sadly	niestety	Niestety, spóźniliśmy się na pociąg.
safe	bezpieczny	Ta ulica wydaje się bezpieczna.
sail	żeglować	Żeglujemy w sobotę.
sailing	żeglarstwo	Żeglarstwo jest tutaj popularne.
salary	pensja	Jego pensja jest teraz wyższa.
sale	wyprzedaż	Wyprzedaż zaczyna się jutro.
sauce	sos	Dodaj sos do ryżu.
save	zapisać	Zapisz teraz swoją pracę.
scared	przestraszony	Dziecko czuje się przestraszone.
scary	straszny	Ta historia jest straszna.
scene	scena	Ostatnia scena była zabawna.
schedule	harmonogram	Sprawdź dziś harmonogram.
score	wynik	Jaki jest wynik?
screen	ekran	Wyczyść ekran ostrożnie.
search	szukać	Szukaj zdjęć w sieci.
season	pora roku	Lato to pracowita pora roku.
seat	miejsce	Proszę, zajmij to miejsce.
second1 (next after the first)	po drugie	Po drugie, umyj ręce.
secondly	po drugie	Po drugie, sprawdź odpowiedź.
secret	sekret	Zachowaj ten sekret bezpiecznie.
secretary	sekretarz	Sekretarz zadzwonił dzisiaj.
seem	wydawać się	Wydajesz się zmęczony.
sense	sens	Ten plan ma sens.
separate	osobny	Trzymaj papiery osobno.
series	seria	Ta seria jest popularna.
serious	poważny	Ten problem jest poważny.
serve	podawać	Podają lunch w południe.
service	obsługa	Obsługa była szybka.
several	kilka	Kilku uczniów przyszło wcześnie.
shake	potrząsnąć	Najpierw potrząśnij butelką.
shall modal	czy	Czy zaczniemy teraz?
shape	kształt	Narysuj kwadratowy kształt.
sheet	prześcieradło	Połóż prześcieradło na łóżku.
ship	statek	Statek odpłynął dzisiaj.
shoulder	ramię	Boli mnie ramię.
shout	krzyczeć	Nie krzycz w klasie.
shut	zamknąć	Proszę, zamknij okno.
side	strona	Usiądź po tej stronie.
sign	znak	Przeczytaj uważnie znak.
silver	srebro	Srebro to jasny metal.
simple	prosty	To ćwiczenie jest proste.
since	od	Czekam od południa.
singing	śpiewanie	Śpiewanie pomaga mi się odprężyć.
single	pojedynczy	Kupiłem pojedynczy bilet.
sir	proszę pana	Proszę pana, pańska torba jest gotowa.
site	strona	Ta strona jest bezpieczna.
size	rozmiar	Jakiego rozmiaru potrzebujesz?
ski	jeździć na nartach	Jeździmy na nartach zimą.
skiing	jazda na nartach	Jazda na nartach jest zimą przyjemna.
skin	skóra	Jej skóra wydaje się sucha.
sky	niebo	Niebo jest czyste.
slowly	powoli	Chodź powoli po lodzie.
smartphone	smartfon	Mój smartfon jest nowy.
smell	zapach	Zupa pachnie dobrze.
smile	uśmiech	Uśmiechnij się do aparatu.
smoke	dym	Dym wypełnił pokój.
smoking	palenie	Palenie jest niedozwolone.
soap	mydło	Użyj mydła i wody.
soccer	piłka nożna	Piłka nożna jest tutaj popularna.
social	towarzyski	To wydarzenie towarzyskie.
society	społeczeństwo	Społeczeństwo zmienia się z czasem.
sock	skarpetka	Jedna skarpetka zginęła.
soft	miękki	Ten koc jest miękki.
soldier	żołnierz	Żołnierz wrócił do domu.
solution	rozwiązanie	Znaleźliśmy rozwiązanie.
solve	rozwiązać	Rozwiąż tę zagadkę.
somewhere	gdzieś	Połóż to gdzieś bezpiecznie.
sort	rodzaj	Jaki rodzaj chcesz?
source	źródło	Najpierw sprawdź źródło.
speaker	głośnik	Głośnik był głośny.
specific	konkretny	Potrzebuję konkretnej odpowiedzi.
speech	przemówienie	Jej przemówienie było krótkie.
speed	prędkość	Zmniejsz tutaj prędkość.
spider	pająk	Pająk jest na ścianie.
spoon	łyżka	Użyj łyżki do zupy.
square	kwadratowy	Narysuj kwadratowe pudełko.
stage	scena	Zespół jest na scenie.
stair	schodek	Schodek jest zepsuty.
stamp	znaczek	Naklej znaczek na list.
state	podać	Podaj wyraźnie swoje imię.
steal	ukraść	Nie kradnij pieniędzy.
step	krok	Zrób jeden krok do przodu.
stomach	żołądek	Boli mnie żołądek.
stone	kamień	Kamień jest ciężki.
store	sklep	Sklep zamyka się wcześnie.
storm	burza	Nadchodzi burza.
straight	prosto	Idź prosto do domu.
strange	dziwny	Ten dźwięk jest dziwny.
strategy	strategia	Potrzebujemy strategii.
stress	stres	Praca może powodować stres.
structure	struktura	Ta struktura jest mocna.
stupid	głupi	To był głupi błąd.
succeed	odnieść sukces	Możesz tu odnieść sukces.
successful	udany	Ona odniosła sukces.
such	taki	Taka pomoc jest przydatna.
suddenly	nagle	Nagle pies uciekł.
