source_headword	BN	example_BN
fridge	ফ্রিজ	দুধ ফ্রিজে আছে।
frog	ব্যাঙ	একটি ব্যাঙ পুকুরে লাফ দিল।
furniture	আসবাবপত্র	এই আসবাবপত্র পুরোনো কিন্তু শক্ত।
further	আরও; অতিরিক্ত	আমাদের আরও তথ্য দরকার।
gallery	গ্যালারি	গ্যালারিটি আজ খোলা।
gap	ফাঁক	দেয়ালে একটি ফাঁক আছে।
gas	গ্যাস	গাড়ির গ্যাস দরকার।
gate	ফটক	দয়া করে ফটকটি বন্ধ করো।
general	সাধারণ	এটি একটি সাধারণ নিয়ম।
gift	উপহার	সে একটি উপহার কিনেছে।
goal	লক্ষ্য	আমাদের লক্ষ্য সহজ।
god	ঈশ্বর	অনেক মানুষ ঈশ্বরের কাছে প্রার্থনা করে।
gold	সোনা; সোনালি	আংটিটি সোনালি।
golf	গলফ	সে আজ গলফ খেলে।
government	সরকার	সরকার আইনটি পরিবর্তন করেছে।
grass	ঘাস	ঘাস ভেজা।
greet	অভিবাদন জানানো	প্রতিটি অতিথিকে ভদ্রভাবে অভিবাদন জানাও।
ground	মাটি; জমি	মাটিতে বসো।
guest	অতিথি	আমাদের অতিথি তাড়াতাড়ি এসেছে।
guide	গাইড; পথ দেখানো	গাইডটি আমাদের জাদুঘর দেখাল।
gun	বন্দুক	পুলিশ একটি বন্দুক খুঁজে পেল।
guy	লোক	ওই লোকটি আমার ভাই।
habit	অভ্যাস	প্রতিদিন পড়া ভালো অভ্যাস।
hall	হল; বারান্দা	হলে অপেক্ষা করো।
happily	আনন্দে	তারা আনন্দে একসঙ্গে থাকত।
headache	মাথাব্যথা	আমার মাথাব্যথা আছে।
heart	হৃদয়	তার হৃদয় দ্রুত ধড়ফড় করে।
heat	গরম; গরম করা	সুপটি ধীরে গরম করো।
heavy	ভারী	এই ব্যাগটি ভারী।
height	উচ্চতা	টেবিলের উচ্চতা মাপো।
helpful	সহায়ক	তোমার পরামর্শ সহায়ক ছিল।
hero	বীর; নায়ক	সে আমার বীর।
