source_headword	ES-419	example_ES-419
stranger	el desconocido	Un desconocido pidió indicaciones.
strength	la fuerza	Su fuerza ayudó al equipo.
string	el cordel	Ata la caja con un cordel.
strongly	firmemente	Estoy firmemente en desacuerdo con esa idea.
studio	el estudio	El artista trabaja en un pequeño estudio.
stuff	las cosas	Pon tus cosas en el estante.
substance	la sustancia	La policía encontró una sustancia extraña.
successfully	con éxito	Terminaron el proyecto con éxito.
sudden	repentino	Un ruido repentino nos despertó.
suffer	sufrir	Muchas plantas sufren en el clima seco.
suitable	adecuado	Esta chaqueta es adecuada para la escuela.
summarize	resumir	¿Puedes resumir el artículo?
summary	el resumen	Escribe un breve resumen esta noche.
supply	el suministro	El pueblo necesita un suministro de agua potable.
supporter	el seguidor	Cada seguidor vitoreó fuertemente.
surely	seguramente	Seguramente podemos resolver esto.
surface	la superficie	La superficie se sentía fría y lisa.
survive	sobrevivir	Estos animales sobreviven inviernos fríos.
switch	apagar	Apaga la luz de la cocina.
symptom	el síntoma	Una tos puede ser un síntoma.
tail	la cola	El perro tiene una cola larga.
talent	el talento	Ella tiene talento para la música.
talented	talentoso	Él es un joven actor talentoso.
tape	la cinta adhesiva	Usa cinta adhesiva para cerrar la caja.
tax	el impuesto	Todos deben pagar este impuesto.
technical	técnico	Tuvimos un problema técnico.
technique	la técnica	Esta técnica ahorra tiempo.
tend	tender a	Los niños tienden a aprender rápido.
tent	la carpa	Dormimos en una pequeña carpa.
theirs	suyas	Las bicicletas azules son suyas.
theme	la temática	La fiesta tenía una temática de playa.
theory	la teoría	Su teoría explica el problema.
therefore	por lo tanto	Llovió, por lo tanto nos quedamos adentro.
though	aunque	Aunque estaba cansada, siguió trabajando.
throat	la garganta	Me duele la garganta esta mañana.
throughout	a lo largo de	La gente bailó a lo largo de la noche.
tight	apretado	Estos zapatos se sienten demasiado apretados.
till	hasta que	Espera aquí hasta que regrese.
tin	la lata	Abre una lata de frijoles.
tiny	diminuto	Un pájaro diminuto aterrizó cerca.
toe	el dedo del pie	Me lastimé el dedo del pie ayer.
tongue	la lengua	Se quemó la lengua con el té.
total	total	El costo total fue bajo.
totally	totalmente	Entiendo totalmente tu preocupación.
trade	el comercio	El comercio internacional crea empleos.
translate	traducir	Por favor, traduce esta oración.
translation	la traducción	La traducción suena natural.
treat	tratar	Trata a todos con respeto.
treatment	el tratamiento	El paciente necesita tratamiento hoy.
trend	la tendencia	Esta tendencia está creciendo a nivel mundial.
trick	el truco	Ese truco de cartas me sorprendió.
truth	la verdad	Por favor, di la verdad.
tube	el tubo	Aprieta el tubo suavemente.
typically	normalmente	Los estudiantes normalmente llegan antes de las nueve.
tyre	la llanta	El auto necesita una llanta nueva.
ugly	feo	Ese color de pared se ve feo.
unable	incapaz	Él fue incapaz de responder.
uncomfortable	incómodo	Esta silla es incómoda.
underwear	la ropa interior	Empaca ropa interior limpia para el viaje.
unemployed	desempleado	Ella estuvo desempleada por dos meses.
unemployment	el desempleo	El desempleo aumentó durante el invierno.
unfair	injusto	La decisión parecía injusta.
union	el sindicato	El sindicato pidió un trabajo más seguro.
unless	a menos que	No te vayas a menos que llame.
unlike	a diferencia de	A diferencia de Tom, a Ana le encanta el invierno.
unlikely	poco probable	La nieve es poco probable esta semana.
unnecessary	innecesario	Las bolsas adicionales son innecesarias.
unpleasant	desagradable	La habitación tenía un olor desagradable.
update	actualizar	Necesito actualizar mi teléfono.
upon	sobre	Érase una vez, había un rey.
upset	molesto	Ella se sintió molesta después de la llamada.
used1	usado	Esta sala es usada para reuniones.
used2	acostumbrado	Estoy acostumbrado a las madrugadas.
valuable	valioso	Este reloj es valioso.
value	el valor	La casa perdió valor el año pasado.
various	varios	Probamos varios platos locales.
version	la versión	Esta versión funciona mejor.
victim	la víctima	La víctima llamó a la policía.
viewer	el espectador	Un espectador hizo una pregunta.
violent	violento	La película era demasiado violenta.
volunteer	ser voluntario	Soy voluntario en la biblioteca.
vote	votar	Recuerda votar mañana.
warn	advertir	Traté de advertirle.
warning	la advertencia	La advertencia apareció en pantalla.
waste	desperdiciar	No desperdicies el agua limpia.
weapon	el arma	El cuchillo se convirtió en un arma.
weigh	pesar	Pesa la harina con cuidado.
western	del oeste	Vieron una película del oeste.
whatever	lo que sea	Elige lo que te guste.
whenever	siempre que	Llama siempre que necesites ayuda.
whether	si	No sé si ella está de acuerdo.
wing	el ala	El pájaro se lastimó un ala.
within	dentro de	Por favor, responde dentro de dos días.
wonder	preguntarse	Me pregunto qué pasó.
wool	la lana	Este abrigo está hecho de lana.
worldwide	en todo el mundo	La canción se hizo popular en todo el mundo.
worth	valer la pena	Vale la pena leer este libro.
written	escrito	Por favor envía instrucciones escritas.
yard	el patio	Los niños jugaron en el patio.
youth	la juventud	Los clubes juveniles apoyan a los adolescentes locales.
