source_headword	LO	example_LO
clothes	ເສື້ອຜ້າ	ເສື້ອຜ້າຂອງຂ້ອຍສະອາດ.
club	ສະໂມສອນ; ຊົມຮົມ	ນາງໄປສະໂມສອນດົນຕີ.
coat	ເສື້ອກັນໜາວ	ເສື້ອກັນໜາວຂອງຂ້ອຍອົບອຸ່ນ.
coffee	ກາເຟ	ຕອນເຊົ້າຂ້ອຍດື່ມກາເຟ.
cold	ເຢັນ	ນ້ຳເຢັນ.
college	ວິທະຍາໄລ; ມະຫາວິທະຍາໄລ	ເອື້ອຍຂ້ອຍຮຽນຢູ່ມະຫາວິທະຍາໄລ.
colour	ສີ	ສີທີ່ຂ້ອຍມັກແມ່ນສີຟ້າ.
come	ມາ	ກະລຸນາມາທີ່ນີ້.
common	ທົ່ວໄປ; ທຳມະດາ	ຊື່ນີ້ທົ່ວໄປ.
company	ບໍລິສັດ	ແມ່ຂ້ອຍເຮັດວຽກຢູ່ບໍລິສັດໜຶ່ງ.
compare	ປຽບທຽບ	ປຽບທຽບຮູບສອງຮູບນີ້.
complete	ຄົບຖ້ວນ; ສຳເລັດ	ແບບຟອມຄົບຖ້ວນແລ້ວ.
computer	ຄອມພິວເຕີ	ຄອມພິວເຕີນີ້ໃໝ່.
concert	ຄອນເສີດ	ຕອນແລງນີ້ພວກເຮົາໄປຄອນເສີດ.
conversation	ການສົນທະນາ	ພວກເຮົາມີການສົນທະນາສັ້ນໆ.
cook	ແຕ່ງກິນ; ພໍ່ຄົວ	ຂ້ອຍແຕ່ງອາຫານແລງຢູ່ເຮືອນ.
cooking	ການແຕ່ງກິນ	ຂ້ອຍມັກແຕ່ງກິນກັບພໍ່.
cool	ເຢັນ; ເຈ໋ງ	ຫ້ອງເຢັນ.
correct	ຖືກຕ້ອງ; ແກ້	ຄຳຕອບຂອງເຈົ້າຖືກຕ້ອງ.
cost	ລາຄາ; ມີຄ່າ	ອັນນີ້ລາຄາເທົ່າໃດ?
could modal	ສາມາດ; ອາດຈະ	ຂ້ອຍສາມາດຊ່ວຍເຈົ້າໄດ້.
country	ປະເທດ	ການາດາແມ່ນປະເທດໃຫຍ່.
course	ຫຼັກສູດ	ຂ້ອຍຮຽນຫຼັກສູດພາສາອັງກິດ.
cousin	ພີ່ນ້ອງລູກພີ່ລູກນ້ອງ	ພີ່ນ້ອງຂອງຂ້ອຍຢູ່ໃກ້.
cow	ງົວ	ງົວກິນຫຍ້າ.
cream	ຄຣີມ	ຂ້ອຍໃສ່ຄຣີມໃນກາເຟ.
create	ສ້າງ	ພວກເຂົາສ້າງເກມໃໝ່.
culture	ວັດທະນະທຳ	ພວກເຮົາຮຽນວັດທະນະທຳທ້ອງຖິ່ນ.
cup	ຈອກ	ຈອກນີ້ວ່າງ.
customer	ລູກຄ້າ	ລູກຄ້າຖາມຄຳຖາມໜຶ່ງ.
cut	ຕັດ	ຕັດໝາກແອັບເປີນເປັນເຄິ່ງ.
dad	ພໍ່	ພໍ່ຢູ່ບ່ອນເຮັດວຽກ.
dance	ເຕັ້ນ; ການເຕັ້ນ	ພວກເຮົາເຕັ້ນຫຼັງອາຫານແລງ.
dancer	ນັກເຕັ້ນ	ນັກເຕັ້ນເຄື່ອນໄຫວໄວ.
dancing	ການເຕັ້ນ	ການເຕັ້ນມ່ວນ.
dangerous	ອັນຕະລາຍ	ຖະໜົນນີ້ອັນຕະລາຍ.
dark	ມືດ	ຫ້ອງມືດ.
date	ວັນທີ	ມື້ນີ້ວັນທີເທົ່າໃດ?
daughter	ລູກສາວ	ລູກສາວຂອງລາວອາຍຸຫົກປີ.
day	ມື້; ວັນ	ຂໍໃຫ້ມື້ຂອງເຈົ້າດີ.
