source_headword	TE	example_TE
abolish	రద్దు చేయు	చట్టం పాత రుసుమును రద్దు చేస్తుంది.
abortion	అబార్షన్	అబార్షన్ ఒక సున్నితమైన వైద్య సమస్యగా మిగిలిపోయింది.
absence	గైరుహాజరీ	ఆమె గైరుహాజరీ తుది నిర్ణయాన్ని ఆలస్యం చేసింది.
absent	హాజరుకాని	ఇద్దరు సభ్యులు తరగతికి హాజరుకాలేదు.
absurd	అసంబద్ధమైన	ఆ వాదన అందరికీ అసంబద్ధంగా అనిపించింది.
abundance	సమృద్ధి	లోయలో సమృద్ధిగా నీరు ఉంది.
abuse	దుర్వినియోగం	నివేదిక కార్యాలయంలోని దుర్వినియోగాన్ని వివరించింది.
academy	అకాడమీ	అకాడమీ యువ సంగీతకారులకు శిక్షణ ఇస్తుంది.
accelerate	వేగవంతం చేయు	కొత్త నిధులు పరిశోధనను వేగవంతం చేస్తాయి.
acceptance	అంగీకారం	విమర్శలను అతను అంగీకరించడం నన్ను ఆకట్టుకుంది.
accessible	అందుబాటులో ఉన్న	మ్యూజియం వీల్‌చైర్ వినియోగదారులకు అందుబాటులో ఉంది.
accomplishment	ఘనకార్యం	పుస్తకాన్ని పూర్తి చేయడం నిజమైన ఘనకార్యం.
accordance	అనుగుణంగా	విధానానికి అనుగుణంగా పని జరిగింది.
accordingly	తదనుగుణంగా	ఆధారాలు మారాయి, మేము తదనుగుణంగా వ్యవహరించాము.
accountability	జవాబుదారీతనం	ఈ విధానం నిర్వాహకులకు జవాబుదారీతనాన్ని పెంచుతుంది.
accountable	జవాబుదారీగా	భద్రతకు నిర్వాహకులు జవాబుదారీగా ఉంటారు.
accumulate	కూడబెట్టు	స్క్రీన్ వెనుక దుమ్ము పేరుకుపోతుంది.
accumulation	సంచితం	డేటా సంచితానికి నెలల సమయం పట్టింది.
accusation	ఆరోపణ	ఈ ఆరోపణ కమిటీని దిగ్భ్రాంతికి గురిచేసింది.
accused	నిందితుడు	నిందితుడు కోర్టుకు హాజరయ్యాడు.
acquisition	కొనుగోలు	కొనుగోలు ద్వారా కంపెనీ వేగంగా విస్తరించింది.
acre	ఎకరం	పొలం ఒక ఎకరం విస్తీర్ణంలో ఉంది.
activation	యాక్టివేషన్	కార్డ్ యాక్టివేషన్ నిమిషాల్లో జరుగుతుంది.
activist	కార్యకర్త	ర్యాలీలో కార్యకర్త మాట్లాడారు.
acute	తీవ్రమైన	పరుగెత్తిన తర్వాత ఆమె తీవ్రమైన నొప్పితో బాధపడింది.
adaptation	అనుసరణ	అనుసరణ నవల ముగింపును మార్చింది.
adhere	కట్టుబడి ఉండు	సిబ్బంది భద్రతా నిబంధనలకు కట్టుబడి ఉండాలి.
adjacent	ప్రక్కనే ఉన్న	హోటల్ స్టేషన్ ప్రక్కనే ఉంది.
adjustment	సర్దుబాటు	చిన్న సర్దుబాటు సమస్యను పరిష్కరించింది.
administer	నిర్వహించు	నర్సులు టీకాను జాగ్రత్తగా నిర్వహిస్తారు.
administrative	పరిపాలనా	పరిపాలనా సిబ్బంది ఫారమ్‌లను నిర్వహిస్తారు.
administrator	నిర్వాహకుడు	నిర్వాహకుడు నా పాస్‌వర్డ్‌ని రీసెట్ చేశారు.
admission	ప్రవేశం	మ్యూజియంలోకి ప్రవేశం ఉచితం.
adolescent	కౌమారదశలో ఉన్నవారు	కౌమారదశలో ఉన్నవారికి అదనపు మద్దతు అవసరం.
adoption	దత్తత	దత్తత బిడ్డకు స్థిరమైన ఇల్లు ఇచ్చింది.
adverse	ప్రతికూల	మందు ప్రతికూల ప్రభావాలను కలిగించింది.
advocate	న్యాయవాది	న్యాయవాది అద్దెదారుల హక్కులను సమర్థించారు.
aesthetic	సౌందర్య	గది ప్రశాంతమైన సౌందర్య శైలిని కలిగి ఉంది.
affection	ఆప్యాయత	ఆమె తన కుటుంబంపై ఆప్యాయత చూపింది.
aftermath	పర్యవసానం	తుఫాను పర్యవసానం కష్టంగా ఉంది.
aggression	దూకుడు	విరామ సమయంలో ఉపాధ్యాయుడు దూకుడును గమనించారు.
agricultural	వ్యవసాయ	ఈ సంవత్సరం వ్యవసాయ ఎగుమతులు పెరిగాయి.
aide	సహాయకుడు	సహాయకుడు మంత్రి షెడ్యూల్‌ను ఏర్పాటు చేశారు.
albeit	అయినప్పటికీ	ప్రణాళిక పనిచేసింది, అయినప్పటికీ నెమ్మదిగా.
alert	అప్రమత్తం చేయు	దయచేసి వెంటనే సిబ్బందిని అప్రమత్తం చేయండి.
align	సమలేఖనం చేయు	బాణాలు రహదారితో సమలేఖనం చేయబడ్డాయి.
alignment	అమరిక	చక్రాల అమరిక కారు పనితీరును మెరుగుపరిచింది.
alike	ఒకేలా	కవలలు వారాంతాల్లో ఒకేలా దుస్తులు ధరిస్తారు.
allegation	ఆరోపణ	వార్తాపత్రికలో ఆరోపణ వచ్చింది.
allege	ఆరోపించు	నిధులు పోయాయని వారు ఆరోపిస్తున్నారు.
allegedly	ఆరోపించిన విధంగా	డ్రైవర్ ఆరోపించిన విధంగా హెచ్చరికను పట్టించుకోలేదు.
alliance	కూటమి	పార్టీలు తాత్కాలిక కూటమిని ఏర్పాటు చేశాయి.
allocate	కేటాయించు	నగరంలోని పాఠశాలలకు నగదు కేటాయిస్తారు.
allocation	కేటాయింపు	సీట్ల కేటాయింపు అన్యాయంగా జరిగింది.
allowance	భత్యం	ఆమె భత్యం భోజనం మరియు రవాణాను కవర్ చేస్తుంది.
ally	మిత్రదేశం	కెనడా సన్నిహిత మిత్రదేశంగా మారింది.
aluminium	అల్యూమినియం	ఫ్రేమ్ అల్యూమినియంతో తయారు చేయబడింది.
amateur	ఔత్సాహిక	ఒక ఔత్సాహిక ఫోటోగ్రాఫర్ చిత్రాన్ని తీశారు.
ambassador	రాయబారి	రాయబారి స్థానిక విద్యార్థులను కలుసుకున్నారు.
amend	సవరించు	చట్టాన్ని సవరించాలని పార్లమెంటు ఓటు వేసింది.
amendment	సవరణ	సవరణ ఒక పేరాను మార్చింది.
