source_headword	TH	example_TH
absorb	ดูดซับ	ผ้าเช็ดตัวดูดซับน้ำได้อย่างรวดเร็ว.
abstract	นามธรรม	การบรรยายนี้อภิปรายเกี่ยวกับแนวคิดที่เป็นนามธรรม.
accent	สำเนียง	สำเนียงของเธอเข้าใจง่าย.
accidentally	โดยบังเอิญ	ฉันลบไฟล์โดยไม่ได้ตั้งใจ.
accommodate	จัดให้เหมาะสม	โรงแรมสามารถรองรับครอบครัวใหญ่ได้.
accomplish	ทำสำเร็จ	เธอทำเป้าหมายของเธอสำเร็จก่อนเดือนมิถุนายน.
accountant	นักบัญชี	นักบัญชีตรวจสอบใบแจ้งหนี้.
accuracy	ความแม่นยำ	การทดสอบวัดความแม่นยำในการอ่าน.
accurately	อย่างแม่นยำ	แผนที่แสดงเส้นทางอย่างแม่นยำ.
acid	กรด	กรดทำลายพื้นผิวโลหะ.
activate	กระตุ้น	กดปุ่มเพื่อเปิดใช้งานสัญญาณเตือน.
addiction	การเสพติด	การเสพติดของเขาส่งผลกระทบต่องาน.
additionally	นอกจากนี้	นอกจากนี้เรายังต้องการเก้าอี้เพิ่ม.
adequate	เพียงพอ	ห้องนี้มีแสงสว่างเพียงพอ.
adequately	อย่างเพียงพอ	รายงานได้อธิบายปัญหาอย่างเพียงพอ.
adjust	ปรับเปลี่ยน	ปรับเบาะก่อนขับรถ.
affordable	ราคาไม่แพง	อพาร์ตเมนต์มีราคาไม่แพงสำหรับนักศึกษา.
agriculture	เกษตรกรรม	เกษตรกรรมหล่อเลี้ยงครอบครัวในชนบทหลายครอบครัว.
AIDS	โรคเอดส์	แพทย์รักษาโรคเอดส์ด้วยยาแผนปัจจุบัน.
alien	มนุษย์ต่างดาว	ภาพยนตร์แสดงให้เห็นถึงดาวเคราะห์ของมนุษย์ต่างดาว.
alongside	เคียงข้าง	เส้นทางจักรยานทอดยาวขนานไปกับแม่น้ำ.
altogether	โดยสิ้นเชิง	โดยรวมแล้วโครงการนี้ใช้เวลาหกสัปดาห์.
ambulance	รถพยาบาล	รถพยาบาลมาถึงภายในไม่กี่นาที.
amusing	น่าขบขัน	เรื่องราวนี้มีความน่าขบขันและเบาสมอง.
analyst	นักวิเคราะห์	นักวิเคราะห์ตรวจสอบข้อมูลการขาย.
ancestor	บรรพบุรุษ	บรรพบุรุษของฉันอาศัยอยู่ใกล้หมู่บ้านนี้.
animation	แอนิเมชัน	แอนิเมชันทำให้บทเรียนชัดเจนขึ้น.
annually	ทุกปี	เทศกาลนี้จัดขึ้นทุกปี.
anticipate	คาดการณ์	เราคาดหวังว่าการจราจรจะติดขัดในวันพรุ่งนี้.
anxiety	ความวิตกกังวล	ความวิตกกังวลอาจทำให้นอนหลับยาก.
apology	คำขอโทษ	เธอเสนอคำขอโทษอย่างจริงใจ.
applicant	ผู้สมัคร	ผู้สมัครส่งประวัติย่อฉบับใหม่.
appropriately	อย่างเหมาะสม	โปรดแต่งกายอย่างเหมาะสมสำหรับการสัมภาษณ์.
arrow	ลูกศร	ลูกศรชี้ไปที่ทางออก.
artwork	งานศิลปะ	พิพิธภัณฑ์จัดแสดงงานศิลปะท้องถิ่น.
aside	แยกไว้	เธอก้าวหลบไปด้านข้างเพื่อให้เขาผ่านไป.
asset	สินทรัพย์	ประสบการณ์เป็นสินทรัพย์ที่มีค่า.
assign	มอบหมาย	ครูมอบหมายการบ้านในวันนี้.
assistance	ความช่วยเหลือ	โปรดขอความช่วยเหลือจากพนักงาน.
assumption	ข้อสมมติฐาน	ข้อสันนิษฐานนั้นอาจจะผิด.
assure	รับรอง	ฉันขอรับรองกับคุณว่าประตูล็อกอยู่.
astonishing	น่าประหลาดใจ	ทิวทัศน์จากหน้าผาน่าประหลาดใจมาก.
attachment	ไฟล์แนบ	อีเมลนี้มีไฟล์แนบ.
auction	การประมูล	ภาพวาดนี้ถูกขายในการประมูล.
audio	เกี่ยวกับเสียง	บันทึกเสียงฟังดูชัดเจน.
automatic	อัตโนมัติ	ประตูนี้มีล็อกอัตโนมัติ.
automatically	โดยอัตโนมัติ	ไฟจะสว่างขึ้นโดยอัตโนมัติ.
awareness	ความตระหนัก	แคมเปญนี้ได้สร้างความตระหนักรู้ต่อสาธารณชน.
awkward	อึดอัด	ความเงียบทำให้รู้สึกอึดอัด.
badge	ป้ายชื่อ	ผู้มาเยือนต้องติดป้ายชื่อ.
balanced	สมดุล	อาหารที่สมดุลต้องมีผักด้วย.
ballet	บัลเลต์	เธอเรียนบัลเลต์หลังเลิกเรียน.
balloon	ลูกโป่ง	ลูกโป่งลอยอยู่เหนือโต๊ะ.
barely	แทบจะไม่	เขาแทบจะไม่ได้ยินเสียงประกาศเลย.
bargain	ของถูก	เสื้อแจ็กเก็ตตัวนั้นเป็นของราคาถูกจริงๆ.
basement	ห้องใต้ดิน	กล่องเหล่านั้นอยู่ในชั้นใต้ดิน.
basket	ตะกร้า	เธอใส่แอปเปิลลงในตะกร้า.
bat	ค้างคาว/ไม้ตี	ค้างคาวบินออกจากถ้ำ.
beneficial	เป็นประโยชน์	การออกกำลังกายเป็นประจำนั้นเป็นประโยชน์ต่อสุขภาพ.
beside	ข้างๆ	โคมไฟตั้งอยู่ข้างๆโซฟา.
besides	นอกจากนี้	นอกจากคณิตศาสตร์แล้วเขายังเรียนเคมีด้วย.
bias	อคติ	บทความนี้แสดงให้เห็นถึงอคติอย่างชัดเจน.
bid	การประมูลราคา	บริษัทได้เสนอราคาประมูลที่สูงกว่า.
biological	ทางชีววิทยา	การทดสอบทางชีวภาพได้ยืนยันผลลัพธ์.
