source_headword	VI	example_VI
ability	khả năng; năng lực	Khả năng bơi của cô ấy rất rõ.
able	có thể; có khả năng	Anh ấy có thể đến hôm nay.
abroad	ở nước ngoài; ra nước ngoài	Cô ấy muốn học ở nước ngoài.
accept	chấp nhận; nhận	Xin hãy nhận món quà nhỏ này.
accident	tai nạn	Tai nạn xảy ra gần trường.
according to	theo; theo như	Theo báo cáo, trời sắp mưa.
achieve	đạt được; hoàn thành	Bạn có thể đạt được mục tiêu.
act	hành động; diễn; hành vi	Anh ấy có thể diễn trong một vở kịch.
active	năng động; tích cực	Cô ấy năng động mỗi ngày.
actually	thật ra; thực sự	Thật ra, tôi cần thêm thời gian.
advantage	lợi thế; ưu điểm	Kế hoạch này có một lợi thế.
adventure	cuộc phiêu lưu	Chuyến đi của họ là một cuộc phiêu lưu.
advertise	quảng cáo; quảng bá	Họ quảng cáo công việc mới.
advertisement	quảng cáo	Tôi đã thấy một quảng cáo.
advertising	quảng cáo; ngành quảng cáo	Quảng cáo giúp bán thức ăn.
affect	ảnh hưởng	Giấc ngủ có thể ảnh hưởng đến sức khỏe.
against	chống lại; tựa vào	Đừng tựa vào tường.
ah	à; ồ	À, bây giờ tôi hiểu rồi.
airline	hãng hàng không	Hãng hàng không đó rất bận.
alive	còn sống	Con cá nhỏ còn sống.
all right	ổn; được	Mọi thứ bây giờ đều ổn.
allow	cho phép	Họ cho phép chó ở đây.
almost	gần như	Chúng tôi gần như đã sẵn sàng.
alone	một mình	Cô ấy sống một mình.
along	dọc theo	Hãy đi dọc theo con đường này.
already	đã; rồi	Tôi đã biết câu trả lời rồi.
alternative	lựa chọn thay thế; phương án khác	Chuyến tàu này là một phương án khác.
although	mặc dù	Mặc dù muộn, chúng ta có thể ở lại.
among	giữa; trong số	Anh ấy đứng giữa những cái cây.
amount	lượng; số tiền	Lượng này quá ít.
ancient	cổ đại; rất xưa	Bức tường cổ này nổi tiếng.
ankle	mắt cá chân	Hôm nay mắt cá chân của tôi đau.
anybody	bất cứ ai; ai đó	Có ai trả lời được câu này không?
any more	thêm nữa; nữa	Tôi không cần thêm nữa.
anyway	dù sao; dù thế nào	Dù sao, chúng ta có thể bắt đầu ngay.
anywhere	bất cứ đâu; nơi nào cũng được	Hãy ngồi ở bất cứ đâu bạn thích.
app	ứng dụng	Ứng dụng này hữu ích.
appear	xuất hiện; hiện ra	Tên cô ấy sẽ xuất hiện ở đây.
appearance	vẻ ngoài; sự xuất hiện	Vẻ ngoài của anh ấy khác.
apply	nộp đơn; áp dụng	Hãy nộp đơn cho công việc đó hôm nay.
architect	kiến trúc sư	Kiến trúc sư có một bản kế hoạch.
architecture	kiến trúc	Tôi thích kiến trúc hiện đại.
argue	tranh cãi; cãi nhau	Đừng tranh cãi với em gái của bạn.
argument	cuộc tranh cãi; lập luận	Cuộc tranh cãi đó rất ngắn.
army	quân đội	Quân đội đó rất lớn.
arrange	sắp xếp; thu xếp	Xin hãy sắp xếp cuộc họp.
arrangement	sự sắp xếp; thỏa thuận	Sự sắp xếp này hoạt động tốt.
asleep	đang ngủ	Em bé đang ngủ.
assistant	trợ lý; người phụ tá	Người trợ lý đã giúp tôi.
athlete	vận động viên	Vận động viên đó chạy nhanh.
attack	tấn công; cuộc tấn công	Con chó có thể tấn công.
attend	tham dự; đi học	Hôm nay tôi tham dự lớp học.
attention	sự chú ý; chú ý	Xin hãy chú ý ngay bây giờ.
attractive	hấp dẫn; thu hút	Khu vườn đó rất hấp dẫn.
audience	khán giả; thính giả	Khán giả rất yên lặng.
author	tác giả	Tác giả đã viết cuốn sách này.
available	có sẵn; sẵn có	Thức ăn hiện đã có sẵn.
average	trung bình	Điểm trung bình rất tốt.
avoid	tránh	Hãy tránh con đường đông xe.
award	giải thưởng; trao giải	Cô ấy đã giành được một giải thưởng.
