source_headword	MS	example_MS
hunt	memburu; mencari	Mereka mencari cendawan pada musim luruh.
hurricane	taufan	Taufan itu merosakkan banyak rumah.
hurry	tergesa-gesa	Tidak perlu tergesa-gesa hari ini.
identity	identiti	Identitinya masih dirahsiakan.
ignore	mengabaikan	Jangan abaikan amaran ini.
illegal	haram	Meletak kereta di sini adalah haram.
imaginary	khayalan	Cerita itu mempunyai pulau khayalan.
immediate	segera	Kami memerlukan jawapan segera.
immigrant	pendatang	Pendatang itu belajar bahasa Inggeris dengan cepat.
impact	kesan	Berita itu mempunyai kesan yang kuat.
import	mengimport	Negara itu akan mengimport lebih banyak beras.
importance	kepentingan	Dia memahami kepentingan tidur.
impression	tanggapan	Tanggapan pertamanya positif.
impressive	mengagumkan	Muzium itu mempunyai pintu masuk yang mengagumkan.
improvement	penambahbaikan	Terdapat penambahbaikan yang jelas bulan ini.
incredibly	sangat	Ujian itu sangat sukar.
indeed	memang	Hari itu memang pelik.
indicate	menunjukkan	Tanda itu akan menunjukkan jalan keluar.
indirect	tidak langsung	Dia memberikan jawapan tidak langsung.
indoor	dalam bangunan	Hotel itu mempunyai kolam renang dalam bangunan.
indoors	di dalam rumah	Kami tinggal di dalam rumah semasa ribut.
influence	pengaruh	Gurunya mempunyai pengaruh yang kuat.
ingredient	bahan	Tepung ialah bahan utama.
injure	mencederakan	Jangan cederakan belakang kamu.
injured	cedera	Pemain yang cedera meninggalkan padang.
innocent	tidak bersalah; polos	Kanak-kanak itu kelihatan sangat polos.
intelligence	kecerdasan	Dia menunjukkan kecerdasan tinggi di kelas.
intend	berniat	Saya berniat untuk belajar di luar negara.
intention	niat	Niatnya adalah untuk membantu.
invest	melabur	Mereka melabur wang dalam pendidikan.
investigate	menyiasat	Polis akan menyiasat kemalangan itu.
involved	terlibat	Beberapa pelajar terlibat.
iron	besi	Pintu pagar itu dibuat daripada besi.
issue	isu	Ini ialah isu yang serius.
IT	teknologi maklumat	Dia bekerja dalam teknologi maklumat.
journal	jurnal	Dia menulis dalam jurnal.
judge	hakim	Hakim itu mendengar dengan teliti.
keen	bersemangat	Dia bersemangat untuk belajar.
keyboard	papan kekunci	Papan kekunci saya berhenti berfungsi.
kick	menendang	Tendang bola itu dengan perlahan.
killing	pembunuhan	Pembunuhan itu mengejutkan kampung.
kind (caring)	baik hati	Itu perbuatan yang baik hati.
