source_headword	IT	example_IT
abolish	abolire	La legge abolirà la vecchia tassa.
abortion	l'aborto	L'aborto rimane una questione medica delicata.
absence	l'assenza	La sua assenza ha ritardato la decisione finale.
absent	assente	Due membri erano assenti dalla lezione.
absurd	assurdo	L'affermazione è sembrata assurda a tutti.
abundance	l'abbondanza	La valle ha un'abbondanza di acqua.
abuse	l'abuso	Il rapporto descriveva abusi sul posto di lavoro.
academy	l'accademia	L'accademia forma giovani musicisti.
accelerate	accelerare	I nuovi fondi accelereranno la ricerca.
acceptance	l'accettazione	La sua accettazione delle critiche mi ha colpito.
accessible	accessibile	Il museo è accessibile alle persone in sedia a rotelle.
accomplishment	il traguardo	Finire il libro è stato un vero traguardo.
accordance	la conformità	Il lavoro è stato eseguito in conformità con la politica.
accordingly	di conseguenza	Le prove sono cambiate e abbiamo agito di conseguenza.
accountability	la responsabilità	La politica aumenta la responsabilità dei manager.
accountable	responsabile	I manager sono responsabili della sicurezza.
accumulate	accumulare	La polvere può accumularsi dietro lo schermo.
accumulation	l'accumulo	L'accumulo di dati ha richiesto mesi.
accusation	l'accusa	L'accusa ha scioccato il comitato.
accused	l'imputato	L'imputato è comparso in tribunale.
acquisition	l'acquisizione	L'acquisizione ha espanso rapidamente l'azienda.
acre	l'acro	La fattoria copre un acro.
activation	l'attivazione	L'attivazione della carta richiede minuti.
activist	l'attivista	L'attivista ha parlato al raduno.
acute	acuto	Ha provato un dolore acuto dopo aver corso.
adaptation	l'adattamento	L'adattamento ha cambiato il finale del romanzo.
adhere	rispettare	Il personale deve rispettare le regole di sicurezza.
adjacent	adiacente	L'hotel è adiacente alla stazione.
adjustment	la regolazione	Una piccola regolazione ha risolto il problema.
administer	somministrare	Le infermiere somministrano il vaccino con attenzione.
administrative	amministrativo	Il personale amministrativo gestisce i moduli.
administrator	l'amministratore	L'amministratore ha reimpostato la mia password.
admission	l'ingresso	L'ingresso al museo è gratuito.
adolescent	l'adolescente	L'adolescente aveva bisogno di ulteriore supporto.
adoption	l'adozione	L'adozione ha dato al bambino una casa stabile.
adverse	avverso	Il farmaco ha causato effetti avversi.
advocate	il difensore	Il difensore ha difeso i diritti degli inquilini.
aesthetic	estetico	La stanza ha uno stile estetico tranquillo.
affection	l'affetto	Ha mostrato affetto per la sua famiglia.
aftermath	le conseguenze	Le conseguenze della tempesta sono state difficili.
aggression	l'aggressività	L'insegnante ha notato aggressività durante la ricreazione.
agricultural	agricolo	Le esportazioni agricole sono aumentate quest'anno.
aide	l'assistente	L'assistente ha organizzato il programma del ministro.
albeit	sebbene	Il piano ha funzionato, sebbene lentamente.
alert	avvisare	Si prega di avvisare immediatamente il personale.
align	allineare	Le frecce si allineano con la strada.
alignment	l'allineamento	L'allineamento delle ruote ha migliorato la manovrabilità dell'auto.
alike	allo stesso modo	I gemelli si vestono allo stesso modo nei fine settimana.
allegation	l'accusa	L'accusa è apparsa sul giornale.
