source_headword	FI	example_FI
toss	heittää	Hän heitti avaimet pöydälle.
total	olla yhteensä	Korjaukset ovat yhteensä enemmän kuin odotettiin.
toxic	myrkyllinen	Myrkyllinen savu pakotti kaikki ulos.
trademark	tavaramerkki	Logosta tuli yrityksen tavaramerkki.
trail	polku	Polku johti metsän halki.
trailer	traileri	Traileri näytti elokuvan lopun.
transaction	maksutapahtuma	Maksutapahtuma näkyi tiliotteellani.
transcript	opintosuoritusote	Opiskelija pyysi virallista opintosuoritusotetta.
transformation	muutos	Kaupunki koki suuren muutoksen.
transit	kuljetus	Paketti vahingoittui kuljetuksen aikana.
transmission	tiedonsiirto	Tiedonsiirto oli turvallista.
transparency	avoimuus	Raportti vaati suurempaa avoimuutta.
transparent	läpinäkyvä	Prosessin tulisi olla kaikille läpinäkyvä.
trauma	trauma	Onnettomuus jätti syvän trauman.
treaty	sopimus	Maat allekirjoittivat rauhansopimuksen.
tremendous	valtava	Joukkue edistyi valtavasti.
tribal	heimo-	Museo asetti näytteille heimotaidetta.
tribunal	tuomioistuin	Tuomioistuin kuuli todisteita koko viikon.
tribute	kunnianosoitus	Konsertti oli kunnianosoitus hänelle.
trio	trio	Trio esiintyi festivaaleilla.
triumph	riemuvoitto	Voitto oli henkilökohtainen riemuvoitto.
trophy	pokaali	Kapteeni nosti pokaalin ylpeänä.
troubled	ongelmallinen	Ongelmissa oleva yritys tarvitsi uutta johtoa.
trustee	edunvalvoja	Edunvalvoja hoitaa apuraharahastoa.
tuition	lukukausimaksu	Hänen lukukausimaksunsa nousi tänä vuonna.
turnout	äänestysprosentti	Äänestysprosentti oli odotettua korkeampi.
turnover	vaihtuvuus	Henkilöstön vaihtuvuus laski muutosten jälkeen.
twist	vääntää	Hän väänsi kannen auki.
undergraduate	perustutkinto-opiskelija	Perustutkinto-opiskelija liittyi tutkimusprojektiin.
underlying	piilevä	Raportti selitti perimmäiset syyt.
undermine	heikentää	Skandaali heikensi yleisön luottamusta.
undoubtedly	epäilemättä	Hän on epäilemättä paras ehdokas.
unify	yhdistää	Suunnitelman tavoitteena on yhdistää joukkueet.
unprecedented	ennennäkemätön	Myrsky aiheutti ennennäkemätöntä tuhoa.
unveil	paljastaa	Yritys paljastaa suunnitelman huomenna.
upcoming	tuleva	Tulevat vaalit herättivät yleisön huomion.
upgrade	päivittää	Päivitimme ohjelmiston viime yönä.
uphold	pitää voimassa	Pidämme voimassa alkuperäisen päätöksen.
utility	käyttökulut	Asunto sisältää kaikki käyttö- ja ylläpitokulut.
utilize	hyödyntää	Joukkue hyödynsi saatavilla olevaa tietoa.
utterly	täysin	Selitys oli täysin hämmentävä.
vacuum	tyhjiö	Johtajuuden tyhjiö loi jännitettä.
vague	epämääräinen	Hänen vastauksensa oli epämääräinen ja heikko.
validity	pätevyys	Tutkimus kyseenalaisti testin pätevyyden.
vanish	kadota	Tiedosto katosi kansionsta.
variable	muuttuja	Hinta on yksi tärkeä muuttuja.
varied	vaihteleva	Kurssi tarjoaa vaihtelevia tehtäviä.
vein	verisuoni	Sairaanhoitaja löysi verisuonen nopeasti.
venture	hanke	Uusi hanke houkutteli sijoittajia.
verbal	suullinen	He pääsivät suulliseen sopimukseen.
verdict	tuomio	Valamiehistö antoi tuomionsa.
verify	vahvistaa	Vahvista sähköpostiosoitteesi.
verse	säkeistö	Hän lainasi säkeistön runosta.
versus	vastaan	Väittely oli yksityisyys vastaan turvallisuus.
vessel	alus	Alus kuljetti viljaa meren yli.
veteran	veteraani	Veteraani koulutti uutta henkilökuntaa.
viable	toteuttamiskelpoinen	Ehdotus on taloudellisesti toteuttamiskelpoinen.
vibrant	eloisa	Kaupungilla on eloisa taide-elämä.
vice	pahe	Ahneus oli hänen suurin paheensa.
vicious	julma	Julma hyökkäys järkytti kaupunkia.
villager	kyläläinen	Kyläläinen opasti meidät joelle.
violate	rikkoa	Yritys saattaa rikkoa turvallisuussääntöjä.
violation	rikkomus	Tarkastaja ilmoitti vakavasta rikkomuksesta.
virtue	hyve	Kärsivällisyys on tärkeä hyve.
vocal	äänekäs	Hän oli äänekäs päätöksen suhteen.
vow	vannoa	Hän vannoi saavansa työn valmiiksi.
vulnerability	haavoittuvuus	Tarkastus paljasti tietoturvahaavoittuvuuden.
vulnerable	haavoittuvainen	Lapset ovat haavoittuvaisia äärimmäisen kuumuuden aikana.
ward	osasto	Potilas siirtyi toiselle osastolle.
warehouse	varasto	Varastossa säilytetään varaosia.
warfare	sodankäynti	Nykyaikainen sodankäynti luottaa teknologiaan.
warrant	kotietsintälupa	Poliisi näytti kotietsintäluvan.
warrior	soturi	Soturi suojeli kylää.
weaken	heikentää	Vamma heikensi hänen otettaan.
weave	kutoa	Hän oppi kutomaan koreja.
weed	rikkaruoho	Kivien välissä kasvoi rikkaruoho.
well	kaivo	Kylän kaivo kuivui.
well-being	hyvinvointi	Uni on elintärkeää hyvinvoinnille.
whatsoever	lainkaan	Hän ei osoittanut lainkaan kiinnostusta.
whereby	jolla	Laki loi järjestelmän, jonka avulla perheet saattoivat valittaa.
whilst	sillä aikaa kun	Hän teki töitä sillä aikaa kun mies lepäsi.
whip	piiskata	Tuuli voi piiskata lippuja.
wholly	täysin	Päätös oli täysin odottamaton.
widen	leventää	Kaupunki suunnittelee tien leventämistä.
widow	leski	Leski asuu koulun lähellä.
width	leveys	Mittaa oven leveys.
willingness	halukkuus	Hänen halukkuutensa auttaa teki kaikkiin vaikutuksen.
wipe	pyyhkiä	Pyyhi näyttö liinalla.
wit	nokkeluus	Hänen nokkeluutensa teki puheesta eloisan.
withdrawal	vetäytyminen	Rahoituksen peruuttaminen viivytti projektia.
workout	treeni	Treeni kesti neljäkymmentä minuuttia.
worship	jumalanpalvelus	Ihmiset kokoontuivat jumalanpalvelukseen aamunkoitteessa.
worthwhile	vaivan arvoinen	Matka oli vaivan arvoinen.
worthy	arvoinen	Hyväntekeväisyysjärjestö on tuen arvoinen.
yell	huutaa	Älä huuda henkilökunnalle.
yield	tuotto	Maatilan tuotto parani tällä kaudella.
youngster	nuori	Nuori esitti monia kysymyksiä.
