source_headword	LO	example_LO
heal	ປິ່ນປົວ	ການພັກຜ່ອນຊ່ວຍໃຫ້ຮ່າງກາຍປິ່ນປົວ.
healthcare	ການເບິ່ງແຍງສຸຂະພາບ	ຄ່າໃຊ້ຈ່າຍໃນການເບິ່ງແຍງສຸຂະພາບເພີ່ມຂຶ້ນໃນປີນີ້.
helmet	ໝວກກັນກະທົບ	ໃສ່ໝວກກັນກະທົບເວລາຂີ່ລົດຖີບ.
hence	ດັ່ງນັ້ນ	ດັ່ງນັ້ນ, ພວກເຮົາຈຶ່ງປ່ຽນຕາຕະລາງ.
herb	ພືດສະໝຸນໄພ	ໃບໂຫລະພາເປັນພືດສະໝຸນໄພທີ່ມີປະໂຫຍດ.
hidden	ເຊື່ອງໄວ້	ກະແຈຖືກເຊື່ອງໄວ້ໃຕ້ຜ້າເຊັດຕີນ.
highway	ທາງຫຼວງ	ທາງຫຼວງຖືກປິດຫຼັງຈາກຫິມະຕົກ.
hilarious	ຕະຫຼົກຫຼາຍ	ໜັງເລື່ອງນີ້ຕະຫຼົກຫຼາຍ.
hip	ສະໂພກ	ລາວເຈັບສະໂພກໃນລະຫວ່າງການຝຶກຊ້ອມ.
historian	ນັກປະຫວັດສາດ	ນັກປະຫວັດສາດໄດ້ສຶກສາຈົດໝາຍເກົ່າ.
homeless	ບໍ່ມີເຮືອນຢູ່	ສູນພັກພິງຊ່ວຍເຫຼືອຄອບຄົວທີ່ບໍ່ມີເຮືອນຢູ່.
honesty	ຄວາມຊື່ສັດ	ຄວາມຊື່ສັດສ້າງຄວາມໄວ້ວາງໃຈ.
hook	ຂໍເກາະ	ແຂວນເສື້ອໄວ້ຢູ່ຂໍເກາະ.
hopefully	ຫວັງວ່າ	ຫວັງວ່າລົດໄຟຈະມາຮອດໃນໄວໆນີ້.
hunger	ຄວາມຫິວ	ຄວາມຫິວສາມາດສົ່ງຜົນກະທົບຕໍ່ຄວາມຕັ້ງໃຈ.
hypothesis	ສົມມຸດຕິຖານ	ການທົດລອງໄດ້ທົດສອບສົມມຸດຕິຖານ.
icon	ໄອຄອນ	ໄອຄອນແອັບປ່ຽນແປງໃນມື້ນີ້.
ID	ບັດປະຈຳຕົວ	ສະແດງບັດປະຈຳຕົວຂອງທ່ານຢູ່ບ່ອນຕ້ອນຮັບ.
identical	ຄືກັນ	ຝາແຝດໃສ່ເສື້ອກັນໜາວຄືກັນ.
illusion	ພາບລວງຕາ	ແວ່ນສ້າງພາບລວງຕາ.
immigration	ການເຂົ້າເມືອງ	ນະໂຍບາຍການເຂົ້າເມືອງປ່ຽນແປງໃນປີກາຍນີ້.
immune	ມີພູມຄຸ້ມກັນ	ການສັກຢາປ້ອງກັນສາມາດເຮັດໃຫ້ຄົນມີພູມຄຸ້ມກັນໄດ້.
implement	ປະຕິບັດ	ໂຮງຮຽນຈະປະຕິບັດນະໂຍບາຍນີ້.
implication	ຜົນສະທ້ອນ	ຜົນສະທ້ອນນັ້ນຊັດເຈນ.
incentive	ສິ່ງຈູງໃຈ	ເງິນໂບນັດໃຫ້ສິ່ງຈູງໃຈແກ່ຄົນງານ.
incorporate	ລວມເຂົ້າ	ລວມເອົາຜັກຫຼາຍຂຶ້ນເຂົ້າໃນອາຫານ.
incorrect	ບໍ່ຖືກຕ້ອງ	ຄຳຕອບນັ້ນບໍ່ຖືກຕ້ອງ.
independence	ເອກະລາດ	ປະເທດໄດ້ສະເຫຼີມສະຫຼອງເອກະລາດ.
index	ດັດຊະນີ	ກວດເບິ່ງດັດຊະນີສຳລັບຫົວຂໍ້.
indication	ສັນຍານ	ຮອຍຍິ້ມເປັນສັນຍານຂອງຄວາມໂລ່ງໃຈ.
inevitable	ຫຼີກລ່ຽງບໍ່ໄດ້	ການຊັກຊ້າບາງຢ່າງເປັນສິ່ງທີ່ຫຼີກລ່ຽງບໍ່ໄດ້.
inevitably	ຢ່າງຫຼີກລ່ຽງບໍ່ໄດ້	ຢ່າງຫຼີກລ່ຽງບໍ່ໄດ້, ລາຄາເພີ່ມຂຶ້ນຫຼັງຈາກການຂາດແຄນ.
infer	ສະຫຼຸບ	ພວກເຮົາສາມາດສະຫຼຸບຄຳຕອບຈາກບໍລິບົດໄດ້.
inflation	ອັດຕາເງິນເຟີ້	ອັດຕາເງິນເຟີ້ເພີ່ມລາຄາອາຫານ.
info	ຂໍ້ມູນ	ເວັບໄຊທ໌ມີຂໍ້ມູນທີ່ເປັນປະໂຫຍດ.
infrastructure	ໂຄງສ້າງພື້ນຖານ	ພາຍຸໄດ້ທຳລາຍໂຄງສ້າງພື້ນຖານໃນທ້ອງຖິ່ນ.
inhabitant	ຜູ້ຢູ່ອາໄສ	ຜູ້ຢູ່ອາໄສແຕ່ລະຄົນໄດ້ຮັບນ້ຳສະອາດ.
inherit	ສືບທອດ	ລາວຈະໄດ້ຮັບສືບທອດເຮືອນຂອງຄອບຄົວ.
ink	ນ້ຳມຶກ	ເຄື່ອງພິມຕ້ອງການນ້ຳມຶກສີດຳ.
innovation	ນະວັດຕະກຳ	ນະວັດຕະກຳຂັບເຄື່ອນອຸດສາຫະກຳໄປຂ້າງໜ້າ.
innovative	ມີນະວັດຕະກຳ	ບໍລິສັດໄດ້ເປີດຕົວຜະລິດຕະພັນທີ່ມີນະວັດຕະກຳ.
input	ຄວາມຄິດເຫັນ	ຜູ້ຈັດການໄດ້ຂໍຄວາມຄິດເຫັນ.
insert	ສຽບ	ສຽບບັດເຂົ້າໄປໃນເຄື່ອງ.
inspector	ຜູ້ກວດກາ	ຜູ້ກວດກາໄດ້ກວດເບິ່ງອາຄານ.
installation	ການຕິດຕັ້ງ	ການຕິດຕັ້ງໃຊ້ເວລາສອງຊົ່ວໂມງ.
instant	ທັນທີ	ແອັບສົ່ງການຕອບກັບທັນທີ.
instantly	ໃນທັນທີ	ໜ້າຈໍເປີດຂຶ້ນໃນທັນທີ.
integrate	ເຊື່ອມໂຍງ	ຊອບແວສາມາດເຊື່ອມໂຍງເຄື່ອງມືໃໝ່ໄດ້.
intellectual	ທາງປັນຍາ	ການໂຕ້ວາທີແມ່ນທາງປັນຍາແຕ່ເປັນກັນເອງ.
interact	ພົວພັນ	ນັກຮຽນພົວພັນກັນໃນລະຫວ່າງການເຮັດວຽກເປັນກຸ່ມ.
interaction	ການພົວພັນ	ການພົວພັນນັ້ນເປັນຕາໜ້າຮັກ.
interpretation	ການຕີຄວາມໝາຍ	ການຕີຄວາມໝາຍບົດກະວີຂອງນາງແມ່ນເປັນເອກະລັກ.
interval	ຊ່ວງເວລາ	ມີຊ່ວງເວລາສັ້ນໆລະຫວ່າງການສະແດງ.
invade	ບຸກລຸກ	ກອງທັບພະຍາຍາມບຸກລຸກເກາະ.
invasion	ການບຸກລຸກ	ການບຸກລຸກໄດ້ທຳລາຍຫຼາຍເມືອງ.
investor	ນັກລົງທຶນ	ນັກລົງທຶນໄດ້ໃຫ້ທຶນແກ່ບໍລິສັດໃໝ່.
isolate	ແຍກດ່ຽວ	ທ່ານໝໍແຍກດ່ຽວຄົນເຈັບທີ່ມີການຕິດເຊື້ອຮ້າຍແຮງ.
isolated	ໂດດດ່ຽວ	ໝູ່ບ້ານຖືກຕັດຂາດຍ້ອນຫິມະ.
jail	ຄຸກ	ໂຈນເຂົ້າຄຸກ.
jet	ເຮືອບິນໄອພົ່ນ	ເຮືອບິນໄອພົ່ນລົງຈອດຕອນທ່ຽງ.
joint	ຮ່ວມກັນ	ພວກເຂົາປະກາດໂຄງການຮ່ວມກັນ.
journalism	ວາລະສານສາດ	ວາລະສານສາດຮຽກຮ້ອງໃຫ້ມີຂໍ້ເທັດຈິງທີ່ຖືກຕ້ອງ.
jury	ຄະນະລູກຂຸນ	ຄະນະລູກຂຸນໄດ້ຕັດສິນໃຈ.
kit	ຊຸດອຸປະກອນ	ຊຸດອຸປະກອນສ້ອມແປງມີນັອດລວມຢູ່.
ladder	ຂັ້ນໄດ	ຂັ້ນໄດອີງໃສ່ກຳແພງ.
landing	ການລົງຈອດ	ເຮືອບິນໄດ້ລົງຈອດຢ່າງຄ່ອງແຄ້ວ.
lane	ຊ່ອງທາງຍ່າງລົດ	ຢູ່ໃນຊ່ອງທາງຍ່າງລົດເບື້ອງຂວາ.
lately	ໝໍ່ໆນີ້	ໝໍ່ໆນີ້ຂ້ອຍນອນບໍ່ຄ່ອຍຫຼັບ.
leaflet	ແຜ່ນພັບ	ແຜ່ນພັບອະທິບາຍກ່ຽວກັບການບໍລິການ.
legend	ຕຳນານ	ຕຳນານເລົ່າເຖິງເມືອງທີ່ເຊື່ອງໄວ້.
lens	ເລນ	ເຊັດເລນກ້ອງຢ່າງລະມັດລະວັງ.
lifetime	ຕະຫຼອດຊີວິດ	ລາວເກັບເງິນມາຕະຫຼອດຊີວິດ.
lighting	ແສງສະຫວ່າງ	ແສງສະຫວ່າງທີ່ດີເຮັດໃຫ້ຫ້ອງດີຂຶ້ນ.
likewise	ເຊັ່ນດຽວກັນ	ນາງຍິ້ມ; ລາວກໍເຮັດເຊັ່ນດຽວກັນ.
limitation	ຂໍ້ຈຳກັດ	ແຜນການມີຂໍ້ຈຳກັດໜຶ່ງຢ່າງ.
literally	ຢ່າງແທ້ຈິງ	ນາງແລ່ນໄປຫາລົດເມຢ່າງແທ້ຈິງ.
literary	ທາງວັນນະຄະດີ	ງານບຸນຍົກຍ້ອງຜົນງານທາງວັນນະຄະດີ.
litre	ລິດ	ຊື້ນົມໜຶ່ງລິດ.
litter	ຂີ້ເຫຍື້ອ	ຢ່າຖິ້ມຂີ້ເຫຍື້ອ.
logo	ໂລໂກ້	ໂລໂກ້ປະກົດຢູ່ໃນທຸກໆໜ້າ.
lottery	ຫວຍ	ລາວຖືກລາງວັນຫວຍນ້ອຍໆ.
loyal	ຊື່ສັດ	ໝາຊື່ສັດຕໍ່ເຈົ້າຂອງມັນ.
lyric	ເນື້ອເພງ	ເນື້ອເພງໄດ້ຊ້ຳແນວຄວາມຄິດຫຼັກ.
magnificent	ສະຫງ່າງາມ	ພະລາຊະວັງເບິ່ງຄືສະຫງ່າງາມ.
make-up	ການແຕ່ງໜ້າ	ນາງແຕ່ງໜ້າແບບທຳມະດາ.
making	ການສ້າງ	ການສ້າງຮູບເງົາແມ່ນເປັນເລື່ອງຍາກ.
manufacture	ຜະລິດ	ໂຮງງານຈະຜະລິດໂທລະສັບ.
manufacturing	ການຜະລິດ	ວຽກການຜະລິດເພີ່ມຂຶ້ນໃນທ້ອງຖິ່ນ.
marathon	ມາຣາທອນ	ນາງແລ່ນມາຣາທອນສຳເລັດ.
margin	ຂອບ	ຂຽນບັນທຶກໄວ້ໃນຂອບ.
marker	ປາກກາໝາຍ	ໃຊ້ປາກກາໝາຍສຳລັບປ້າຍ.
martial	ການຕໍ່ສູ້	ລາວສຶກສາສິລະປະການຕໍ່ສູ້.
mate	ໝູ່	ໝູ່ໂຮງຮຽນເກົ່າຂອງຂ້ອຍໂທມາມື້ວານນີ້.
mayor	ເຈົ້າເມືອງ	ເຈົ້າເມືອງເປີດຫໍສະໝຸດ.
mechanic	ຊ່າງກົນຈັກ	ຊ່າງກົນຈັກສ້ອມແປງລົດເມ.
mechanical	ທາງກົນຈັກ	ໂມງມີຂໍ້ບົກພ່ອງທາງກົນຈັກ.
mechanism	ກົນໄກ	ກົນໄກລັອກແມ່ນງ່າຍດາຍ.
medal	ຫຼຽນ	ນາງຊະນະຫຼຽນຄຳ.
medication	ຢາ	ກິນຢາກັບນ້ຳ.
membership	ສະມາຊິກ	ຄ່າສະມາຊິກບ່ອນອອກກຳລັງກາຍຖືກກວ່າໃນອອນໄລນ໌.
memorable	ເປັນໜ້າຈົດຈຳ	ການເດີນທາງນັ້ນເປັນໜ້າຈົດຈຳ.
metaphor	ການປຽບທຽບ	ບົດກະວີນີ້ໃຊ້ການປຽບທຽບທີ່ໜັກແໜ້ນ.
miner	ຄົນງານຂຸດຄົ້ນບໍ່ແຮ່	ຄົນງານຂຸດຄົ້ນບໍ່ແຮ່ເຮັດວຽກຢູ່ໃຕ້ດິນ.
miserable	ເສົ້າສະຫຼົດໃຈ	ຝົນຕົກເຮັດໃຫ້ການກິນເຂົ້າປ່າເສົ້າສະຫຼົດໃຈ.
mode	ໂໝດ	ປ່ຽນກ້ອງຖ່າຍຮູບເປັນໂໝດກາງຄືນ.
modest	ທຳມະດາ	ເຂົາເຈົ້າອາໄສຢູ່ໃນເຮືອນທຳມະດາ.
monster	ສັດປະຫຼາດ	ເລື່ອງນີ້ມີສັດປະຫຼາດທີ່ໜ້າຢ້ານ.
monthly	ລາຍເດືອນ	ພວກເຮົາຈ່າຍຄ່າເຊົ່າເປັນລາຍເດືອນ.
monument	ອະນຸສາວະລີ	ອະນຸສາວະລີຕັ້ງຢູ່ໃກ້ກັບແມ່ນ້ຳ.
moreover	ນອກຈາກນັ້ນ	ນອກຈາກນັ້ນ, ແຜນການນີ້ຍັງຊ່ວຍປະຢັດເງິນ.
mortgage	ການຈຳນອງ	ເຂົາເຈົ້າໄດ້ຍື່ນຂໍການຈຳນອງ.
mosque	ໂບດອິດສະລາມ	ໂບດອິດສະລາມຢູ່ໃກ້ກັບຕະຫຼາດ.
motion	ການເຄື່ອນໄຫວ	ເຊັນເຊີກວດຈັບການເຄື່ອນໄຫວ.
motivate	ກະຕຸ້ນ	ການຍ້ອງຍໍສາມາດກະຕຸ້ນນັກຮຽນໄດ້.
motivation	ແຮງຈູງໃຈ	ແຮງຈູງໃຈຂອງລາວຍັງຄົງແຂງແຮງ.
moving	ເປັນໜ້າປະທັບໃຈ	ບົດປາໄສນັ້ນເປັນໜ້າປະທັບໃຈ.
myth	ຕຳນານ	ຕຳນານນີ້ອະທິບາຍເຖິງຊື່ຂອງພູເຂົາ.
naked	ເປືອຍກາຍ	ເດັກນ້ອຍເປືອຍກາຍຫຼັງຈາກອາບນ້ຳ.
nasty	ຮ້າຍແຮງ	ບາດແຜນັ້ນເບິ່ງຄືວ່າຮ້າຍແຮງ.
navigation	ການນຳທາງ	ແອັບຊ່ວຍປັບປຸງການນຳທາງ.
nearby	ໃກ້ຄຽງ	ຮ້ານກາເຟໃກ້ຄຽງເປີດແຕ່ເຊົ້າ.
necessity	ສິ່ງຈຳເປັນ	ນ້ຳສະອາດແມ່ນສິ່ງຈຳເປັນ.
negotiate	ເຈລະຈາ	ເຂົາເຈົ້າຈະເຈລະຈາສັນຍາໃນມື້ອື່ນ.
negotiation	ການເຈລະຈາ	ການເຈລະຈາດຳເນີນໄປຕະຫຼອດຕອນເຊົ້າ.
neutral	ເປັນກາງ	ຜູ້ພິພາກສາຍັງຄົງເປັນກາງ.
newly	ໃໝ່ໆ	ປະຕູທີ່ທາສີໃໝ່ໆເບິ່ງແຈ້ງດີ.
norm	ບັນທັດຖານ	ການເຮັດວຽກທາງໄກໄດ້ກາຍເປັນບັນທັດຖານ.
notebook	ປຶ້ມບັນທຶກ	ຂຽນບັນທຶກໃສ່ໃນປຶ້ມບັນທຶກຂອງເຈົ້າ.
novelist	ນັກແຕ່ງນະວະນິຍາຍ	ນັກແຕ່ງນະວະນິຍາຍເຊັນຊື່ໃສ່ປຶ້ມຂອງລາວ.
nowadays	ໃນປັດຈຸບັນນີ້	ໃນປັດຈຸບັນນີ້, ຫຼາຍຄົນເຮັດວຽກອອນໄລນ໌.
nursing	ການພະຍາບານ	ລາວພວມຮຽນການພະຍາບານ.
nutrition	ໂພຊະນາການ	ໂພຊະນາການທີ່ດີຊ່ວຍສະໜັບສະໜູນສຸຂະພາບ.
obesity	ໂລກອ້ວນ	ໂລກອ້ວນເພີ່ມຄວາມສ່ຽງຕໍ່ສຸຂະພາບ.
observer	ຜູ້ສັງເກດການ	ຜູ້ສັງເກດການໄດ້ບັນທຶກຜົນໄດ້ຮັບ.
obstacle	ອຸປະສັກ	ຕົ້ນໄມ້ທີ່ລົ້ມລົງນັ້ນເປັນອຸປະສັກ.
occupation	ອາຊີບ	ກະລຸນາຂຽນອາຊີບຂອງເຈົ້າຢູ່ທີ່ນີ້.
occupy	ອາໄສຢູ່	ຄອບຄົວນີ້ຈະເຂົ້າໄປອາໄສຢູ່ໃນອາພາດເມັນ.
offender	ຜູ້ກະທຳຜິດ	ຜູ້ກະທຳຜິດໄດ້ຂໍໂທດຢູ່ໃນສານ.
ongoing	ພວມດຳເນີນຢູ່	ການສືບສວນຍັງພວມດຳເນີນຢູ່.
openly	ຢ່າງເປີດເຜີຍ	ລາວເວົ້າຢ່າງເປີດເຜີຍກ່ຽວກັບຄວາມຢ້ານກົວຂອງລາວ.
opera	ໂອເປຣາ	ພວກເຮົາໄດ້ເບິ່ງໂອເປຣາຢູ່ເມືອງມິລານ.
operator	ພະນັກງານຮັບໂທລະສັບ	ພະນັກງານຮັບໂທລະສັບໄດ້ເຊື່ອມຕໍ່ສາຍ.
optimistic	ເບິ່ງໂລກໃນແງ່ດີ	ລາວຮູ້ສຶກເບິ່ງໂລກໃນແງ່ດີກ່ຽວກັບອະນາຄົດ.
orchestra	ວົງດົນຕີອໍເຄສຕຣາ	ວົງດົນຕີອໍເຄສຕຣາຫຼິ້ນຢ່າງນຸ້ມນວນ.
organic	ອິນຊີ	ເຂົາເຈົ້າຊື້ຜັກອິນຊີ.
outfit	ຊຸດເຄື່ອງນຸ່ງ	ຊຸດເຄື່ອງນຸ່ງຂອງລາວເຂົ້າກັບໂອກາດ.
output	ຜົນຜະລິດ	ຜົນຜະລິດຂອງເຄື່ອງຈັກເພີ່ມຂຶ້ນ.
outstanding	ໂດດເດັ່ນ	ການສະແດງຂອງລາວແມ່ນໂດດເດັ່ນ.
overcome	ເອົາຊະນະ	ເຂົາເຈົ້າເອົາຊະນະບັນຫາໄປນຳກັນ.
overnight	ຂ້າມຄືນ	ເຄື່ອງດັ່ງກ່າວມາຮອດພາຍໃນຂ້າມຄືນ.
overseas	ຕ່າງປະເທດ	ລາວຊອກຫາວຽກເຮັດຢູ່ຕ່າງປະເທດ.
ownership	ກຳມະສິດ	ກຳມະສິດຂອງດິນຕອນນີ້ໄດ້ປ່ຽນແປງ.
oxygen	ອົກຊີແຊນ	ພືດຜະລິດອົກຊີແຊນ.
packet	ຫໍ່	ເປີດຫໍ່ຢ່າງລະມັດລະວັງ.
palm	ຝາມື	ກຳຫຼຽນໄວ້ໃນຝາມືຂອງເຈົ້າ.
panic	ຄວາມຕື່ນຕົກໃຈ	ຄວາມຕື່ນຕົກໃຈໄດ້ແຜ່ລາມໄປທົ່ວຝູງຊົນ.
parade	ຂະບວນແຫ່	ຂະບວນແຫ່ເລີ່ມຕົ້ນຕອນທ່ຽງ.
parallel	ຂະໜານ	ຖະໜົນເຫຼົ່ານີ້ແລ່ນຂະໜານກັນ.
