source_headword	TE	example_TE
take	తీసుకో; తీసుకెళ్లు	టికెట్ తీసుకో.
talk	మాట్లాడు; సంభాషణ	తరగతి తర్వాత మనం మాట్లాడుకుందాం.
tall	ఎత్తైన	నా ఉపాధ్యాయుడు ఎత్తుగా ఉన్నాడు.
taxi	టాక్సీ	టాక్సీ బయట ఉంది.
tea	టీ	ఈ టీ వేడిగా ఉంది.
teach	బోధించు	నేను ఆంగ్లం బోధిస్తాను.
teacher	ఉపాధ్యాయుడు; ఉపాధ్యాయురాలు	ఉపాధ్యాయురాలు నవ్వుతుంది.
team	జట్టు	మా జట్టు ఈ రోజు గెలుస్తుంది.
teenager	యువకుడు; యువతి	యువకుడు పుస్తకం చదువుతున్నాడు.
telephone	టెలిఫోన్; ఫోన్ చేయు	టెలిఫోన్ బల్లపై ఉంది.
television	టెలివిజన్	టెలివిజన్ కొత్తది.
tell	చెప్పు	నీ పేరు నాకు చెప్పు.
ten	పది	నా దగ్గర పది పుస్తకాలు ఉన్నాయి.
tennis	టెన్నిస్	ఈ రోజు మనం టెన్నిస్ ఆడుతాము.
terrible	చాలా చెడు; భయంకరమైన	వాతావరణం చాలా చెడుగా ఉంది.
test	పరీక్ష; పరీక్షించు	పరీక్ష ఇప్పుడు మొదలవుతుంది.
text	సందేశం; పాఠ్యం	చిన్న సందేశం పంపు.
than	కంటే	పది రెండుకంటే ఎక్కువ.
thank	కృతజ్ఞత చెప్పు	నీ ఉపాధ్యాయుడికి కృతజ్ఞత చెప్పు.
thanks	ధన్యవాదాలు	సహాయానికి ధన్యవాదాలు.
that	అది; ఆ	ఆ పుస్తకం నాది.
the	ఆంగ్ల నిర్దిష్ట పదం	టీ వేడిగా ఉంది.
theatre	థియేటర్; నాటకశాల	థియేటర్ స్టేషన్ దగ్గర ఉంది.
their	వారి	వారి ఇల్లు పెద్దది.
them	వారిని; వారికి	నేను వారిని తెలుసు.
then	తర్వాత; అప్పుడు	తిను, తర్వాత చదువు.
there	అక్కడ	అక్కడ ఒక కుర్చీ ఉంది.
they	వారు	వారు పాఠశాలలో ఉన్నారు.
thing	వస్తువు; విషయం	ఈ వస్తువు ఉపయోగకరం.
think	ఆలోచించు	నేను ఇంటి గురించి ఆలోచిస్తున్నాను.
third	మూడవ; మూడో వంతు	ఇది మూడవ పాఠం.
thirsty	దాహంగా	నాకు దాహంగా ఉంది.
thirteen	పదమూడు	అతనికి పదమూడు సంవత్సరాలు.
thirty	ముప్పై	నా అక్కకు ముప్పై సంవత్సరాలు.
this	ఇది; ఈ	ఈ టికెట్ కొత్తది.
thousand	వెయ్యి	వెయ్యి మంది వచ్చారు.
three	మూడు	నేను మూడు పక్షులను చూస్తాను.
through	గుండా; ద్వారా	మనం పార్కు గుండా నడుస్తాము.
Thursday	గురువారం	మనం గురువారం కలుద్దాం.
ticket	టికెట్	నాకు ఒక టికెట్ కావాలి.
