source_headword	HR	example_HR
fridge	hladnjak	Mlijeko je u hladnjaku.
frog	žaba	Žaba je skočila u ribnjak.
furniture	namještaj	Ovaj namještaj je star, ali čvrst.
further	daljnji; dodatni	Trebamo dodatne informacije.
gallery	galerija	Galerija je danas otvorena.
gap	praznina; razmak	U zidu je praznina.
gas	benzin; plin	Automobilu treba benzin.
gate	vrata; kapija	Zatvori vrata, molim te.
general	opći	Ovo je opće pravilo.
gift	poklon; dar	Kupila je poklon.
goal	cilj	Naš cilj je jednostavan.
god	Bog; bog	Mnogi se ljudi mole Bogu.
gold	zlato	Prsten je zlatan.
golf	golf	On danas igra golf.
government	vlada	Vlada je promijenila zakon.
grass	trava	Trava je mokra.
greet	pozdraviti	Pozdravi svakog gosta pristojno.
ground	tlo; zemlja	Sjedni na tlo.
guest	gost	Naš gost je stigao rano.
guide	vodič	Vodič nam je pokazao muzej.
gun	pištolj; oružje	Policija je pronašla pištolj.
guy	tip; čovjek	Taj tip je moj brat.
habit	navika	Svakodnevno čitanje je dobra navika.
hall	hodnik; dvorana	Čekaj u hodniku.
happily	sretno	Živjeli su sretno zajedno.
headache	glavobolja	Imam glavobolju.
heart	srce	Njezino srce brzo kuca.
heat	zagrijati; toplina	Zagrij juhu polako.
heavy	težak	Ova torba je teška.
height	visina	Izmjeri visinu stola.
helpful	koristan	Tvoj savjet je bio koristan.
hero	heroj; junak	On je moj heroj.
hers	njezin; njezino	Plavi kaput je njezin.
herself	ona sama	Sama je napravila večeru.
hide	sakriti	Sakrij ključ ispod kutije.
hill	brdo	Popeli smo se na brdo.
himself	on sam	On je to sam popravio.
hit	udariti	Nemoj udariti vrata.
hockey	hokej	Sinoć smo gledali hokej.
hold	držati	Drži me za ruku.
hole	rupa	U mojoj čarapi je rupa.
huge	ogroman	Soba je ogromna.
human	čovjek; ljudski	Svakom čovjeku treba voda.
hurt	boljeti; ozlijediti	Koljeno me boli.
ideal	idealan	Ova soba je idealna za učenje.
identify	prepoznati	Možeš li prepoznati ovu pticu?
ill	bolestan	Ona se danas osjeća bolesno.
illness	bolest	Bolest je trajala tjedan dana.
image	slika	Slika je jasna.
immediately	odmah	Dođi ovamo odmah.
impossible	nemoguć	Ova slagalica izgleda nemoguće.
included	uključen	Doručak je uključen.
including	uključujući	Došlo je deset ljudi, uključujući mene.
increase	povećati; porast	Cijene se povećavaju ljeti.
incredible	nevjerojatan	Pogled je bio nevjerojatan.
independent	neovisan	Moja sestra je neovisna.
individual	pojedinac; pojedinačni	Svaki pojedinac ima broj.
industry	industrija	Lokalna industrija raste.
informal	neformalan	Ova e-pošta je neformalna.
injury	ozljeda	Njegova ozljeda nije ozbiljna.
insect	kukac	Kukac je sletio na šalicu.
inside	unutra	Čekaj unutra u kući.
instead	umjesto toga	Pij vodu umjesto toga.
instruction	uputa	Pažljivo pročitaj svaku uputu.
instructor	instruktor	Instruktor je objasnio vježbu.
instrument	instrument	Ona svira instrument.
intelligent	inteligentan	On je inteligentan učenik.
international	međunarodni	Ovo je međunarodna zračna luka.
introduction	uvod	Uvod je bio kratak.
invent	izumiti	Djeca mogu izmisliti nove igre.
invention	izum	Izum je uštedio vrijeme.
invitation	pozivnica	Primio sam pozivnicu.
invite	pozvati	Pozovi i svojeg prijatelja.
involve	uključivati	Posao će uključivati putovanja.
item	predmet; artikl	Odaberi jedan predmet.
itself	samo sebe	Stroj se sam isključuje.
jam	džem	Stavi džem na kruh.
jazz	jazz	Jazz večeras zvuči sjajno.
jewellery	nakit	Ona drži nakit u kutiji.
joke	šala	Ispričaj mi šalu.
journalist	novinar	Novinar je postavljao pitanja.
jump	skočiti	Skoči preko crte.
kid	dijete	Dijete se smije.
kill	ubiti	Nemoj ubiti kukca.
king	kralj	Kralj je živio u palači.
knee	koljeno	Koljeno me boli.
knife	nož	Upotrijebi oštar nož.
knock	kucati	Pokucaj prije nego što uđeš.
knowledge	znanje	Znanje raste s vježbom.
lab	laboratorij	Laboratorij je zatvoren.
lady	gospođa	Gospođa nam se nasmiješila.
lake	jezero	Jezero je mirno.
lamp	svjetiljka	Upali svjetiljku.
laptop	prijenosno računalo	Moj laptop je nov.
last1 (taking time)	trajati	Film traje dva sata.
laughter	smijeh	Čuli smo smijeh vani.
law	zakon	Zakon se jučer promijenio.
lawyer	odvjetnik	Odvjetnik me nazvao.
lazy	lijen	Nemoj biti lijen.
lead1	voditi	Dobri vođe vode primjerom.
leader	vođa; voditelj	Ona je vođa tima.
learning	učenje	Učenje zahtijeva vrijeme.
least	najmanji; najmanje	Odaberi najjeftiniji.
lecture	predavanje	Predavanje počinje u deset.
lemon	limun	Dodaj limun u čaj.
lend	posuditi	Možeš li mi posuditi pet dolara?
less	manje	Jedi manje šećera.
level	razina	Ova razina je laka.
lifestyle	način života	On ima zdrav način života.
lift	podići	Pažljivo podigni kutiju.
light	zapaliti	Pažljivo zapali svijeću.
light (not heavy)	lagan	Ova torba je lagana.
likely	vjerojatan	Kiša je vjerojatna sutra.
link	poveznica	Pošalji mi poveznicu.
listener	slušatelj	Budi dobar slušatelj.
lock	zaključati; brava	Zaključaj vrata.
lorry	kamion	Kamion je prevozio kutije.
lost	izgubljen	Izgubljeni smo.
loud	glasan	Glazba je glasna.
loudly	glasno	Molim te, nemoj govoriti glasno.
lovely	divan	Kakav divan vrt!
low	nizak	Stolica je niska.
luck	sreća	Sretno na testu.
lucky	sretan	Danas imaš sreće.
mail	pošta	Jutros sam dobio poštu.
major	glavni; velik	Ovo je velik problem.
male	muški	Mužjak ptice je sjajan.
manage	uspjeti; upravljati	Možeš li obaviti ovaj zadatak?
manager	menadžer; upravitelj	Menadžer je zauzet.
manner	način	Govori na pristojan način.
mark	označiti; ocjena	Jasno označi svoj odgovor.
marry	oženiti se; udati se	Oni će se vjenčati u lipnju.
material	materijal	Ovaj materijal je mekan.
