source_headword	SK	example_SK
strengthen	posilniť	Nová politika posilní bezpečnosť na internete.
strictly	prísne	Vstupenky sú prísne obmedzené na dve na osobu.
striking	nápadný	Obraz má nápadné farby.
stroke	ťah	Namaľovala jeden ťah po papieri.
stunning	ohromujúci	Výhľad na hory bol ohromujúci.
subsequent	nasledujúci	Nasledujúce stretnutie potvrdilo rozpočet.
subsequently	následne	Cesta sa uzavrela; následne sa doprava pohybovala pomaly.
suburb	predmestie	Žijú na tichom predmestí.
suffering	utrpenie	Liek zmiernil jeho utrpenie.
sufficient	dostatočný	Tím má dostatočný čas.
sufficiently	dostatočne	Miestnosť je dostatočne teplá.
super	super	Nový tablet je super rýchly.
surgeon	chirurg	Chirurg napravil poškodené koleno.
survival	prežitie	Čistá voda je nevyhnutná pre prežitie.
survivor	preživší	Preživší opísal povodeň.
suspend	pozastaviť	Škola môže pozastaviť výlet.
sustainable	udržateľný	Farma využíva udržateľné metódy.
swallow	prehltnúť	Prehltnite tabletu s vodou.
sympathetic	súcitný	Manažér bol súcitný s jej problémom.
tackle	riešiť	Musíme riešiť problém s bývaním.
tag	visačka	Taška mala cenovku.
tap	kohútik	Zavrela kohútik.
technological	technologický	Technologická zmena ovplyvňuje každé pracovisko.
teens	tínedžeri	Mnohí tínedžeri používajú sociálne siete denne.
temple	chrám	Chrám stál neďaleko rieky.
temporarily	dočasne	Kancelária je dočasne zatvorená.
tendency	tendencia	Má tendenciu prichádzať neskoro.
tension	napätie	Počas diskusie stúpalo napätie.
terms	podmienky	Podmienky zmluvy boli jasné.
terribly	hrozne	Dieťa bolo hrozne rozrušené.
terrify	vydesiť	Hlasné zvuky rázne vydesia psa.
territory	územie	Mapa ukazuje nové územie.
terror	hrôza	Po útoku sa rozšírila hrôza.
terrorism	terorizmus	Terorizmus ohrozuje verejnú bezpečnosť.
terrorist	terorista	Polícia včera zatkla teroristu.
testing	testovanie	Testovanie produktu začína v pondelok.
textbook	učebnica	Zabudla si učebnicu biológie.
theft	krádež	V oblasti sa zvýšil počet krádeží.
therapist	terapeut	Terapeut mu pomohol zvládnuť úzkosť.
thesis	dizertačná práca	Jej dizertačná práca skúma online vzdelávanie.
thorough	dôkladný	Dôkladná kontrola nenašla žiadne chyby.
thoroughly	dôkladne	Ranu dôkladne očistite.
thumb	palec	Zdvihol palec na znak súhlasu.
timing	načasovanie	Načasovanie hovoru bolo perfektné.
tissue	vreckovka	Utrela pohár vreckovkou.
ton	tona	Nákladné auto viezlo jednu tonu piesku.
tonne	tona	Zásielka vážila jednu tonu.
tournament	turnaj	Tenisový turnaj začína zajtra.
trace	vystopovať	Vedci dokážu vystopovať zdroj vírusu.
trading	obchodovanie	Obchodovanie s akciami sa na poludnie zastavilo.
tragedy	tragédia	Nehoda bola strašnou tragédiou.
tragic	tragický	Havária mala tragické následky.
trait	vlastnosť	Trpezlivosť je užitočná vlastnosť.
transmit	prenášať	Komáre môžu prenášať choroby.
transportation	doprava	Verejná doprava je dnes preplnená.
trap	chytiť do pasce	Krabica dokáže bezpečne chytiť hmyz do pasce.
treasure	poklad	Stará truhlica ukrývala poklad.
tribe	kmeň	Kmeň chránil svoje tradície.
trigger	spustiť	Dym môže spustiť alarm.
trillion	bilión	Dlh dosiahol jeden bilión dolárov.
troop	jednotka	Jednotka sa presunula k hraniciam.
tsunami	cunami	Cunami zničilo pobrežné domy.
ultimate	konečný	Konečným cieľom je mier.
unacceptable	neprijateľný	Meškanie bolo pre cestujúcich neprijateľné.
uncertainty	neistota	Neistota znervóznila investorov.
undergo	podstúpiť	Pacient zajtra podstúpi operáciu.
undertake	podniknúť	Tím podnikne prieskum.
unfold	odvíjať sa	Dráma sa začala pomaly odvíjať.
unfortunate	nešťastný	Chyba bola nešťastná, ale dala sa opraviť.
unite	zjednotiť	Lídri sa pokúsili zjednotiť stranu.
unity	jednota	Prejav vyzýval na národnú jednotu.
universal	univerzálny	Aplikácia využíva univerzálny dizajn.
urgent	naliehavý	Nemocnica prijala naliehavý hovor.
usage	použitie	Príručka vysvetľuje správne použitie.
useless	zbytočný	Pokazená nabíjačka je zbytočná.
valid	platný	Váš pas je stále platný.
variation	variácia	V cenách je veľká variácia.
vertical	vertikálny	Graf má vertikálnu os.
viewpoint	uhol pohľadu	Jej uhol pohľadu sa po debate zmenil.
visa	vízum	Požiadal o študentské vízum.
visible	viditeľný	Značka je odtiaľto viditeľná.
voluntary	dobrovoľný	Kurz zahŕňa dobrovoľné workshopy.
voting	hlasovanie	Predčasné hlasovanie sa začína budúci týždeň.
wander	túlať sa	Turisti sa túlajú starým trhom.
warming	otepľovanie	Globálne otepľovanie ovplyvňuje hladinu morí.
weekly	týždenný	Tím má týždenné stretnutie.
weird	čudný	Ten zvuk znel čudne.
welfare	blahobyt	Program podporuje blaho detí.
wheat	pšenica	Farmár pestuje pšenicu.
whoever	ktokoľvek	Ktokoľvek príde prvý, mal by počkať vonku.
widespread	rozšírený	Búrka spôsobila rozsiahle škody.
wisdom	múdrosť	Jej stará mama zdieľala praktickú múdrosť.
withdraw	stiahnuť	Rozhodol sa stiahnuť svoju žiadosť.
workforce	pracovná sila	Pracovná sila potrebuje nové zručnosti.
workplace	pracovisko	Pracovisko má jasné bezpečnostné pravidlá.
workshop	workshop	Workshop začína o desiatej.
worm	červ	Červ sa pohyboval po pôde.
wrist	zápästie	Zranila si zápästie.
