source_headword	ZH	example_ZH
institute	研究所	该机构开启了一个新的研究项目。
institution	机构	该机构修改了其录取规则。
insurance	保险	她的保险涵盖了医疗费用。
intended	预期的	该信息传达给了目标受众。
intense	激烈的	辩论很快变得非常激烈。
internal	内部的	公司启动了一项内部审查。
interpret	解释	请仔细解读这些结果。
interrupt	打断	现在请不要打断发言者。
investigation	调查	调查揭露了严重的错误。
investment	投资	这项投资创造了许多当地的就业机会。
joy	喜悦	他们的成功带来了巨大的喜悦。
judgement	判断力	他的判断力随着经验的积累而提高了。
junior	初级的	她作为一名初级分析师加入了团队。
justice	正义	审判后家属要求伸张正义。
justify	证明...有理	你必须清楚地证明那个决定的合理性。
labour	劳动力	该项目需要熟练的劳动力。
landscape	风景	暴风雨过后这里的景观发生了变化。
largely	在很大程度上	该计划在很大程度上是成功的。
launch	推出	他们明天将推出这款产品。
leadership	领导力	强大的领导力帮助团队恢复了过来。
league	联盟	我们的俱乐部加入了一个地区联赛。
lean	倾斜	不要靠在潮湿的墙上。
licence	执照	许可证下个月到期。
limited	有限的	我们今天的时间有限。
lively	活跃的	午餐后会议变得活跃起来。
load	负载	卡车运载着沉重的货物。
loan	贷款	银行批准了这笔贷款。
logical	合乎逻辑的	她的论点清晰且合乎逻辑。
long-term	长期的	这是一个长期的解决方案。
loose	松动的	把手感觉有些松动。
lord	领主	这位领主拥有几个村庄。
lower	降低	他们在冬季会降低价格。
lung	肺	吸烟会损害肺部。
maintain	维持	我们保持着定期的联系。
majority	多数	大多数人支持这项提议。
mass	一大块	一大团云遮住了天空。
massive	巨大的	地震造成了巨大的破坏。
master	大师	她成为了一名谈判专家。
matching	相配的	他穿着相配的鞋子和皮带。
maximum	最大的	房间达到了最大容量。
means	方式	电子邮件是我们主要的联系方式。
measurement	测量	这个测量结果有点不对。
melt	融化	雪到中午就会融化。
military	军事的	那个军事基地去年关闭了。
mineral	矿物	铁是一种重要的矿物。
minimum	最低的	最低年龄限制是十八岁。
minister	部长	部长回答了难题。
minor	较小的	事故造成了轻微的损坏。
minority	少数	少数人反对这项新规定。
mission	任务	他们的任务安全结束了。
mixed	混合的	这个消息收到了褒贬不一的反应。
modify	修改	我们可以稍后修改设计。
monitor	显示器	护士将监测他的病情。
moral	道德的	这个故事有一个道德教训。
motor	马达	马达毫无预兆地停了。
mount	安装	他们在入口附近安装了摄像头。
multiple	多个的	多个因素导致了延误。
multiply	乘	把这个数字乘十。
mysterious	神秘的	外面出现了一道神秘的光。
neat	整洁的	她的书桌总是很整洁。
nerve	神经	这次受伤损坏了一条神经。
nevertheless	尽管如此	任务很艰巨；尽管如此，我们还是完成了。
nightmare	噩梦	这趟旅程变成了一场噩梦。
notion	观念	拒绝改变是不可能的观念。
numerous	众多的	众多的研究支持这个想法。
obey	遵守	司机必须遵守标志。
objective	目标	我们的目标是减少浪费。
obligation	义务	父母有义务保护孩子。
observation	观察	他的观察改变了讨论的方向。
observe	观察	科学家每年春天都会观察这些鸟。
obtain	获得	你必须获得书面许可。
occasionally	偶尔	她偶尔在家工作。
offence	冒犯	这句话引起了严重的冒犯。
offend	冒犯	我不是有意冒犯任何人。
offensive	冒犯性的	海报里含有冒犯性的语言。
opening	空缺	这个职位空缺吸引了许多申请人。
operate	运转	这台机器可以自动运转。
opponent	对手	她的对手批评了这项政策。
oppose	反对	许多居民反对这个计划。
opposed	截然不同的	这些群体持有截然不同的观点。
opposition	反对	这个提议面临强烈的反对。
organ	器官	心脏是重要的器官。
origin	起源	火灾的起因不明。
otherwise	否则	马上离开，否则你会迟到的。
outcome	结果	这个结果让每个人都很惊讶。
outer	外面的	外墙需要修理。
outline	概述	请概述你的主要论点。
