source_headword	HY	example_HY
incur	հանգեցնել	Ուշացումները կարող են հանգեցնել լրացուցիչ ծախսերի։
indicator	ցուցանիշ	Գործազրկությունը տնտեսական ցուցանիշներից մեկն է։
indictment	մեղադրական եզրակացություն	Մեղադրական եզրակացության մեջ նշված էր երեք մեղադրանք։
indigenous	բնիկ	Տեղական բույսերն այստեղ լավ են աճում։
induce	առաջացնել	Դեղը կարող է քուն առաջացնել։
indulge	տրվել	Նա չի տրվում թանկարժեք սովորություններին։
inequality	անհավասարություն	Եկամուտների անհավասարությունը մնում է գլխավոր խնդիր։
infamous	տխրահռչակ	Բանտը տխրահռչակ դարձավ ամբողջ աշխարհում։
infant	նորածին	Նորածինը քնում էր մահճակալում։
infect	վարակել	Վիրուսը կարող է վարակել առողջ բջիջները։
inflict	պատճառել	Կենդանիներին ցավ մի պատճառեք։
influential	ազդեցիկ	Նա ազդեցիկ իրավաբան գիտնական է։
inherent	ներհատուկ	Դիզայնն ունի ներհատուկ ռիսկեր։
inhibit	արգելակել	Վախը կարող է արգելակել անկեղծ քննարկումը։
initiate	նախաձեռնել	Մենեջերը կնախաձեռնի ստուգումը։
inject	ներարկել	Բուժքույրը կներարկի պատվաստանյութը։
injection	ներարկում	Ներարկումը մեղմացրեց ցավը։
injustice	անարդարություն	Որոշումը բացահայտեց ակնհայտ անարդարություն։
inmate	կալանավոր	Կալանավորը իրավաբանական խորհրդատվություն պահանջեց։
insertion	ներդրում	Ձեւաթղթում անհրաժեշտ է տեքստի մեկ ներդրում։
insider	ինսայդեր	Ինսայդերը արտահոսեց զեկույցը։
inspect	ստուգել	Պաշտոնյաները ամեն տարի ստուգում են կամուրջը։
inspection	ստուգում	Ստուգումը լուրջ վնաս հայտնաբերեց։
inspiration	ոգեշնչում	Նրա ելույթն ինձ ոգեշնչում տվեց։
instinct	բնազդ	Նրա առաջին բնազդը օգնելն էր։
institutional	ինստիտուցիոնալ	Ինստիտուցիոնալ կանոնները ձեւավորեցին որոշումը։
instruct	հրահանգել	Ձեռնարկը կհրահանգի նոր աշխատակիցներին։
instrumental	վճռորոշ	Նրա խորհուրդը վճռորոշ էր բանակցություններում։
insufficient	անբավարար	Ապացույցներն անբավարար էին մեղադրանքի համար։
insult	վիրավորանք	Նրա վիրավորանքը վերջ դրեց խոսակցությանը։
intact	անվնաս	Հինավուրց պատը մնաց անվնաս։
intake	սպառում	Շաքարի սպառումը պետք է չափավոր մնա։
integral	անբաժանելի	Վստահությունը թիմի անբաժանելի մասն է։
integrated	ինտեգրված	Դպրոցն առաջարկում է ինտեգրված աջակցություն։
integration	ինտեգրում	Ինտեգրումը բարելավեց ամբողջ համակարգը։
integrity	ազնվություն	Դատավորը մեծ ազնվություն դրսեւորեց։
intensify	ուժգնանալ	Փոթորիկը կարող է գիշերը ուժգնանալ։
intensity	ինտենսիվություն	Մարզումների ինտենսիվությունը մեծացավ։
intensive	ինտենսիվ	Նրանք ավարտեցին լեզվի ինտենսիվ ուսուցումը։
intent	մտադրություն	Նրա մտադրությունը դժվար էր ապացուցել։
interactive	ինտերակտիվ	Թանգարանն ունի ինտերակտիվ էկրաններ։
interface	ինտերֆեյս	Ինտերֆեյսը հեշտ է կառավարել։
interfere	միջամտել	Մի միջամտեք հետաքննությանը։
interference	խանգարում	Ազդանշանի խանգարումը ընդհատեց զանգը։
interim	միջանկյալ	Միջանկյալ զեկույցը կժամանի վաղը։
interior	ներքին	Ներքին պատերը ներկելու կարիք ունեն։
intermediate	միջին	Նա միացավ միջին դասարանին։
intervene	միջամտել	Ոստիկանությունը ստիպված էր արագ միջամտել։
intervention	միջամտություն	Վաղ միջամտությունն օգնեց հիվանդին։
intimate	մտերմիկ	Նրանք մտերմիկ ընտանեկան արարողություն անցկացրին։
intriguing	ինտրիգային	Տվյալները բացահայտեցին ինտրիգային օրինաչափություն։
investigator	քննիչ	Քննիչը հարցաքննեց յուրաքանչյուր վկայի։
invisible	անտեսանելի	Գազը անտեսանելի է եւ վտանգավոր։
invoke	վկայակոչել	Փաստաբանը փորձեց վկայակոչել նախադեպը։
involvement	ներգրավվածություն	Նրա ներգրավվածությունը մնաց անորոշ։
ironic	հեգնական	Հեգնական մեկնաբանությունը բոլորին ծիծաղեցրեց։
ironically	հեգնաբար	Հեգնաբար, երթուղին ավելի շատ ժամանակ պահանջեց։
irony	հեգնանք	Հեգնանքն ակնհայտ էր բոլորի համար։
irrelevant	անտեղի	Այդ մանրամասն այստեղ անտեղի է։
isolation	մեկուսացում	Մեկուսացումը կարող է վնասել հոգեկան առողջությանը։
judicial	դատական	Դատական վերանայումը սկսվում է երկուշաբթի։
junction	խաչմերուկ	Խաչմերուկից թեքվեք ձախ։
jurisdiction	իրավասություն	Դատարանն ունի սահմանափակ իրավասություն։
just	արդար	Դատավորն արդար որոշում կայացրեց։
justification	հիմնավորում	Մեզ պարզ հիմնավորում է պետք ծախսերի համար։
kidnap	առեւանգել	Հանցագործները փորձել են առեւանգել դիվանագետին։
kidney	երիկամ	Նրա երիկամների ֆունկցիան բարելավվեց։
kingdom	թագավորություն	Թագավորությունը ընդլայնվեց նրա կառավարման օրոք։
lad	տղա	Երիտասարդ տղան տարավ պայուսակները։
landlord	տանտեր	Տանտերը վերանորոգեց ջեռուցումը։
landmark	տեսարժան վայր	Աշտարակը դարձավ քաղաքի տեսարժան վայր։
lap	գիրկ	Երեխան նստեց նրա գրկին։
large-scale	լայնամասշտաբ	Քաղաքը ծրագրել էր լայնամասշտաբ վերանորոգում։
laser	լազեր	Լազերը չափեց հեռավորությունը։
latter	վերջին	Վերջին տարբերակն ավելի անվտանգ է թվում։
lawn	սիզամարգ	Երեխաները խաղում էին սիզամարգում։
lawsuit	դատական հայց	Ընկերությունը կարգավորեց դատական հայցը։
layout	դասավորություն	Էջի դասավորությունն ավելի պարզ է թվում։
leak	արտահոսք	Խողովակի արտահոսքը հեղեղեց խոհանոցը։
leap	թռիչք	Վաճառքները հանկարծակի թռիչք կատարեցին։
legacy	ժառանգություն	Նրա ժառանգությունը ձեւավորեց համալսարանը։
legendary	լեգենդար	Լեգենդար երգիչը վերադարձավ բեմ։
legislation	օրենսդրություն	Նոր օրենսդրությունը պաշտպանում է վարձակալներին։
legislative	օրենսդրական	Օրենսդրական հանձնաժողովն այսօր հանդիպեց։
legislature	օրենսդիր մարմին	Օրենսդիր մարմինը հաստատեց բյուջեն։
legitimate	օրինական	Նրանք օրինական մտահոգություններ բարձրացրին։
lengthy	երկարատեւ	Երկարատեւ բանավեճը հետաձգեց քվեարկությունը։
lesbian	լեսբիական	Լեսբիական ակտիվիստը ելույթ ունեցավ ֆորումում։
lesser	ավելի փոքր	Ընտրեք ավելի փոքր ռիսկը։
lethal	մահացու	Քիմիական նյութը կարող է մահացու լինել։
liable	պատասխանատու	Վարորդները պատասխանատու են վնասների համար։
liberal	լիբերալ	Նա պաշտպանում է լիբերալ սոցիալական քաղաքականություն։
