source_headword	JA	example_JA
prey	獲物	フクロウは夜に獲物を狩る。
privatization	民営化	民営化により鉄道システムが変わった。
privilege	特権	教育は特権であってはならない。
probe	調査	調査により深刻なエラーが判明した。
problematic	問題がある	その合意には依然として問題がある。
proceedings	訴訟手続き	裁判手続きは月曜日に始まった。
proceeds	収益	収益は地元の学校を支援するために使われる。
processing	処理	画像処理には時間がかかる。
processor	プロセッサ	テスト中にプロセッサが故障した。
proclaim	宣言する	指導者たちは勝利を宣言するのが早すぎた。
productive	生産的な	その会議は生産的だった。
productivity	生産性	研修後に生産性が向上した。
profitable	利益の出る	その店は今年利益を出せるようになった。
profound	深刻な	そのスピーチは大きな影響を与えた。
projection	予測	予測では安定した成長が示されている。
prominent	著名な	彼女は著名な科学者になった。
pronounced	顕著な	彼の訛りはさらに強くなった。
propaganda	宣伝	そのキャンペーンはオンラインでプロパガンダを利用した。
proposition	提案	その提案はリスクを伴う。
prosecute	起訴する	当局は重大な詐欺事件を起訴する。
prosecution	検察側	検察側は新たな証拠を提示した。
prosecutor	検察官	検察官は証人を尋問した。
prospective	見込みのある	入学希望者たちがキャンパスを見学した。
prosperity	繁栄	貿易がその地域に繁栄をもたらした。
protective	保護用の	彼女は保護手袋を着用した。
protocol	規定	規定により書面による承認が必要である。
province	州	その州は交通機関に投資した。
provincial	地方の	地方当局者がその計画を発表した。
provision	条項	その契約には安全条項が含まれている。
provoke	引き起こす	そのスピーチは強い反発を引き起こすかもしれない。
psychiatric	精神科の	その病院は精神科病棟を開設した。
pulse	脈	看護師は彼の脈を測った。
pump	ポンプ	ポンプが水を上に汲み上げる。
punch	パンチ	彼は怒ってパンチを放った。
query	問い合わせ	問い合わせはサポートに送ってください。
quest	探求	彼らの正義への探求は続いた。
quota	ノルマ	チームは販売ノルマを達成した。
radar	レーダー	嵐がレーダーに映った。
radical	急進的な	その団体は急進的な改革を提案した。
rage	激怒	彼の怒りはすぐに収まった。
raid	強襲	警察は夜明けに手入れを行った。
rally	集会	支持者たちは市内の集会に参加した。
ranking	ランキング	その大学はランキングを上げた。
rape	強姦	強姦事件は慎重な捜査を必要とする。
ratio	比率	そのクラスは教師1人あたりの生徒の比率が低い。
rational	合理的な	彼女の決定は合理的だった。
ray	光線	一筋の陽の光が差し込んだ。
readily	快く	彼は快くその申し出を受け入れた。
realization	認識	その気付きが彼女の計画を変えた。
realm	領域	この問題は別の領域に属する。
rear	後部の	今日は裏口を使ってください。
reasoning	推論	彼の推論は明確だった。
reassure	安心させる	医者は彼女を安心させようとした。
rebel	反逆者	反乱軍の指導者は捕獲を逃れた。
rebellion	反乱	交渉の末に反乱は終結した。
recipient	受取人	受取人は用紙に署名した。
reconstruction	復興	洪水の後に復興が始まった。
recount1	詳しく話す	彼女は出来事を明確に詳しく話すことができる。
referendum	国民投票	国民投票は国を二分した。
reflection	熟考	そのエッセイにはより深い熟考が必要だった。
reform	改革	その改革により公共サービスが向上した。
refuge	避難	その家族は海外へ避難した。
refusal	拒絶	彼女の拒否は委員会を驚かせた。
regain	取り戻す	彼は信頼を取り戻すために懸命に努力した。
regardless	気にかけずに	彼らは批判にもかかわらず続けた。
regime	政権	その政権は言論の自由を制限した。
regulator	規制当局	規制当局はその企業に罰金を科した。
regulatory	規制の	規制当局の承認には何ヶ月もかかった。
rehabilitation	リハビリ	リハビリによって彼は再び歩けるようになった。
reign	統治	王の統治は何十年も続いた。
rejection	拒絶	その拒絶は彼女の自信を傷つけた。
relevance	関連性	そのデータの関連性は限られている。
reliability	信頼性	緊急システムでは信頼性が重要である。
reluctant	気が進まない	彼は話すのをためらった。
remainder	残り	残りは慈善団体に寄付された。
remains	遺物	遺物は慎重に調査された。
remedy	救済策	法律が救済措置を講じている。
reminder	思い出させるもの	そのメールは役立つリマインダーだった。
removal	除去	障壁の撤廃は貿易の助けになった。
render	（ある状態に）する	その間違いにより契約は無効になった。
renew	更新する	パスポートをすぐに更新しなさい。
renowned	著名な	彼女は自身の研究で有名である。
rental	レンタル	レンタル料金には保険が含まれている。
replacement	交換	交換部品が今日届いた。
reportedly	伝えられるところによれば	伝えられるところによれば、大臣は昨日辞任した。
representation	代表	公正な代表制は依然として重要である。
reproduce	繁殖する	これらの植物はすぐに繁殖する。
reproduction	複製	デジタル複製によりアクセスが向上した。
republic	共和国	その共和国は選挙を行った。
resemble	似ている	その2つのデザインは互いによく似ている。
reside	居住する	彼らは国境近くに住んでいる。
residence	住宅	彼の公邸は警備されている。
residential	住宅の	その地域は主に住宅地である。
residue	残留物	洗剤はベタベタした残留物を残した。
resignation	辞任	彼女の辞任は取締役会に衝撃を与えた。
resistance	抵抗	変化に対する抵抗は強かった。
respective	それぞれの	彼らはそれぞれのオフィスに戻った。
respectively	それぞれ	点数はそれぞれ80点と90点だった。
restoration	修復	その建物の修復には何年もかかった。
restraint	自制	警察は自制心を示した。
resume	再開する	授業は来週再開する。
retreat	撤退	軍は撤退を始めた。
retrieve	回収する	彼女はそのファイルを取り出した。
revelation	暴露	その暴露は彼の評判を傷つけた。
revenge	復讐	彼は侮辱に対する復讐を望んだ。
reverse	覆す	裁判所はその決定を覆した。
revival	復活	その町は経済の復活を遂げた。
revive	復活させる	その祭りは地元の伝統を復活させるのに役立った。
revolutionary	革命的な	その発明は画期的だった。
rhetoric	巧辞	彼の言い回しは攻撃的に聞こえた。
rifle	ライフル	そのライフルは安全に保管されていた。
riot	暴動	暴動は数時間続いた。
rip	破る	その紙を慎重に破りなさい。
ritual	儀式	その儀式は収穫を祝うものだ。
robust	頑丈な	そのシステムは堅牢である。
rock	揺さぶる	爆発が村を揺るがした。
rod	棒	カーテンがポールからぶら下がっている。
rotate	回転させる	ハンドルをゆっくりと回しなさい。
rotation	輪作	輪作は土壌を保護する。
ruling	裁定	裁判所は判決を下した。
rumour	噂	その噂はあっという間に広まった。
sack	解雇する	取締役会はコーチを解雇するかもしれない。
sacred	神聖な	その寺院は神聖である。
sacrifice	犠牲	親はしばしば犠牲を払う。
saint	聖人	教会は地元の聖人を讃えている。
sake	目的	彼は彼女のためにとどまった。
sanction	制裁	その制裁は国際貿易に影響を与えた。
say	発言権	従業員はスケジュール管理において発言権を持っていた。
scattered	散乱した	散らばった書類が机を覆っていた。
sceptical	懐疑的な	彼女はその主張に対して依然として懐疑的だった。
scope	範囲	プロジェクトの範囲が拡大した。
screw	ネジ	ネジを慎重に締めなさい。
scrutiny	監視	その取引は公の厳しい監視に直面した。
seal	封をする	投函する前に封筒の封をしなさい。
secular	世俗的な	その学校は非宗教的なカリキュラムに従っている。
seemingly	一見したところ	その作業は一見簡単そうだった。
segment	部分	最後の部分はより短かった。
seize	押収する	警察は書類を押収した。
seldom	めったに～ない	彼女はめったに授業を休まない。
selective	選択の厳しい	そのプログラムは選考が非常に厳しい。
senator	上院議員	その上院議員はその法案を支持した。
sensation	大評判	その発見はセンセーションを巻き起こした。
sensitivity	敏感さ	その問題は慎重な配慮を必要とする。
sentiment	感情	世論は急速に変化した。
separation	分離	離れ離れになることは辛かった。
serial	連続した	シリアル番号が見当たらない。
settlement	合意	その和解により紛争は終結した。
set-up	準備	準備に午前中いっぱいかかった。
sexuality	セクシュアリティ	このコースではアイデンティティとセクシュアリティについて議論する。
shareholder	株主	ある株主が取締役会に質問した。
shatter	打ち砕く	その知らせは彼の自信を打ち砕いた。
shed	削減する	その会社は雇用を削減する予定だ。
sheer	まったくの	そのけた外れの大きさに誰もが驚いた。
shipping	配送	配送コストが増加した。
shoot	撮影	写真撮影は早く終わった。
shrink	縮む	そのシャツは縮むかもしれない。
shrug	肩をすくめる	彼女は少し肩をすくめた。
sigh	ため息をつく	彼は安堵のため息をついた。
simulate	シミュレーションする	そのソフトウェアは交通量をシミュレーションできる。
simulation	シミュレーション	シミュレーションは洪水を予測した。
simultaneously	同時に	2つのアラームが同時に鳴った。
sin	罪	傲慢は罪だと考えられている。
situated	位置している	そのホテルは繁華街に位置している。
sketch	スケッチ	彼女は素早くスケッチを描いた。
skip	抜かす	朝食を抜いてはいけない。
slam	バタンと閉める	彼はドアをバタンと閉めることができる。
slap	ピシャリと叩く	テーブルを叩かないでください。
slavery	奴隷制度	奴隷制度がその地域の歴史を形作った。
slot	時間枠	オンラインで時間枠を予約してください。
smash	粉々に割れる	グラスが床に落ちて粉々に割れた。
snap	ポキッと折れる	枝が風でポキッと折れた。
soak	浸す	豆を一晩水に浸してください。
soar	急上昇する	燃料価格が急上昇するかもしれない。
socialist	社会主義の	その政党は社会主義の政策を支持している。
sole	唯一の	彼は唯一の生存者だった。
solely	単独で	その決定は完全に彼によるものだった。
solicitor	弁護士	弁護士が契約書を作成した。
solidarity	結束	労働者たちは連帯を表明した。
solo	ソロの	彼女はソロアルバムをリリースした。
sound	堅実な	その計画は堅実で実用的だ。
sovereignty	主権	その条約は国家の主権を保護した。
spam	迷惑メール	迷惑メールが受信箱を埋め尽くした。
span	架かる	その橋は川に架かっている。
spark	引き起こす	小さな発言が論争を引き起こした。
specialized	専門的な	そのクリニックは専門的なケアを提供している。
specification	仕様	そのデザインはすべての仕様を満たしている。
specimen	標本	標本は安全に保管された。
spectacle	壮大な見世物	パレードは鮮やかな見世物だった。
spectrum	範囲	意見は幅広い範囲に及んでいる。
spell	期間	日照りの期間は数週間続いた。
sphere	領域	政治が文化の領域に入り込んだ。
spin	回転する	車輪が回転し始めた。
spine	脊椎	その怪我は彼の脊椎に影響を与えた。
spotlight	脚光	そのスキャンダルは彼を脚光を浴びせた。
spouse	配偶者	彼女の配偶者が式典に出席した。
spy	スパイ	スパイは暗号化されたメッセージを送った。
squad	部隊	救助隊がすぐに到着した。
squeeze	絞る	ハンドルを優しく握ってください。
stab	刺す	報告書には刺し傷について記されていた。
stability	安定	その政策は安定をもたらした。
stabilize	安定させる	その薬は彼を安定させるのに役立った。
stake	利害関係	投資家たちはここに利害関係を持っている。
standing	地位	彼女の党内での地位が上がった。
stark	著しい	その結果は著しい対照を示した。
statistical	統計の	その研究は統計的手法を用いた。
steer	操縦する	彼は議論を誘導しようとした。
stem	茎	嵐で茎が折れた。
stereotype	固定観念	その映画は固定観念に挑戦した。
stimulus	刺激	その法案は経済的刺激を与えた。
stir	かき混ぜる	ソースをゆっくりかき混ぜてください。
storage	保管	その施設は安全な保管庫を提供している。
straightforward	わかりやすい	指示はわかりやすかった。
strain	負担	長時間の遅れが負担を引き起こした。
strand	房	髪の毛が一房落ちた。
strategic	戦略的な	会社は戦略的な投資を行った。
strip (long narrow piece)	細長い切れ端	紙を細長く切ってください。
strip (remove clothes/a layer)	剥がす	古いペンキを慎重に剥がしてください。
strive	努力する	彼らは卓越性を求めて努力している。
structural	構造上の	その橋には構造上の損傷がある。
stumble	つまずく	彼は階段でつまずいた。
stun	唖然とさせる	その知らせは人々を驚かせることができる。
submission	提出	提出の締め切りが過ぎた。
subscriber	購読者	各購読者は更新情報を受け取る。
subscription	定期購読	定期購読は自動的に更新される。
subsidy	補助金	補助金によって燃料費が下がった。
substantial	かなりの	そのプロジェクトにはかなりの資金が必要だ。
substantially	大幅に	価格が大幅に上昇した。
substitute	代用品	代用として牛乳を使ってください。
substitution	代用	その代用によりレシピが変わった。
subtle	微妙な	その絵には微妙なディテールがある。
suburban	郊外の	彼らは郊外の地域に引っ越した。
