source_headword	MS	example_MS
abolish	mansuhkan	Undang-undang akan memansuhkan yuran lama.
abortion	pengguguran	Pengguguran kekal sebagai isu perubatan yang sensitif.
absence	ketidakhadiran	Ketidakhadirannya menangguhkan keputusan akhir.
absent	tidak hadir	Dua ahli tidak hadir ke kelas.
absurd	tidak masuk akal	Dakwaan itu kedengaran tidak masuk akal kepada semua orang.
abundance	kelimpahan	Lembah itu mempunyai kelimpahan air.
abuse	penyalahgunaan	Laporan itu menerangkan penyalahgunaan di tempat kerja.
academy	akademi	Akademi itu melatih pemuzik muda.
accelerate	mempercepatkan	Pembiayaan baharu akan mempercepatkan penyelidikan.
acceptance	penerimaan	Penerimaannya terhadap kritikan mengagumkan saya.
accessible	boleh diakses	Muzium ini boleh diakses oleh pengguna kerusi roda.
accomplishment	pencapaian	Menyiapkan buku itu adalah pencapaian yang nyata.
accordance	pematuhan	Kerja dilakukan dengan mematuhi dasar.
accordingly	sewajarnya	Bukti berubah, dan kami bertindak sewajarnya.
accountability	kebertanggungjawaban	Dasar ini meningkatkan kebertanggungjawaban bagi pengurus.
accountable	bertanggungjawab	Pengurus bertanggungjawab untuk keselamatan.
accumulate	terkumpul	Habuk boleh terkumpul di belakang skrin.
accumulation	pengumpulan	Pengumpulan data mengambil masa berbulan-bulan.
accusation	tuduhan	Tuduhan itu mengejutkan jawatankuasa.
accused	tertuduh	Tertuduh hadir di mahkamah.
acquisition	pengambilalihan	Pengambilalihan itu mengembangkan syarikat dengan cepat.
acre	ekar	Ladang itu meliputi seluas satu ekar.
activation	pengaktifan	Pengaktifan kad mengambil masa beberapa minit.
activist	aktivis	Aktivis itu berucap di perhimpunan.
acute	akut	Dia berasa sakit akut selepas berlari.
adaptation	adaptasi	Adaptasi itu mengubah penghujung novel.
adhere	mematuhi	Kakitangan mesti mematuhi peraturan keselamatan.
adjacent	bersebelahan	Hotel ini bersebelahan dengan stesen.
adjustment	pelarasan	Pelarasan kecil menyelesaikan masalah itu.
administer	memberikan	Jururawat memberikan vaksin dengan teliti.
administrative	pentadbiran	Kakitangan pentadbiran menguruskan borang.
administrator	pentadbir	Pentadbir menetapkan semula kata laluan saya.
admission	kemasukan	Kemasukan ke muzium adalah percuma.
adolescent	remaja	Remaja itu memerlukan sokongan tambahan.
adoption	pengangkatan	Pengangkatan memberikan kanak-kanak itu rumah yang stabil.
adverse	buruk	Ubat itu menyebabkan kesan buruk.
advocate	peguam bela	Peguam bela mempertahankan hak penyewa.
aesthetic	estetik	Bilik itu mempunyai gaya estetik yang tenang.
affection	kasih sayang	Dia menunjukkan kasih sayang kepada keluarganya.
aftermath	akibat	Akibat ribut itu sukar.
aggression	keagresifan	Guru menyedari pencerobohan semasa rehat.
agricultural	pertanian	Eksport pertanian meningkat pada tahun ini.
aide	pembantu	Pembantu itu mengatur jadual menteri.
albeit	walaupun	Rancangan itu berjaya, walaupun perlahan.
alert	menyedarkan	Sila maklumkan kakitangan dengan segera.
align	sejajarkan	Anak panah sejajar dengan jalan.
alignment	penjajaran	Penjajaran roda meningkatkan pengendalian kereta.
alike	serupa	Anak kembar berpakaian serupa pada hujung minggu.
allegation	dakwaan	Dakwaan itu muncul di surat khabar.
allege	mendakwa	Mereka mendakwa bahawa dana telah hilang.
allegedly	didakwa	Pemandu itu didakwa tidak mengendahkan amaran tersebut.
alliance	perikatan	Parti-parti itu membentuk perikatan sementara.
allocate	peruntukkan	Bandar itu akan memperuntukkan wang untuk sekolah.
allocation	peruntukan	Peruntukan tempat duduk tidak adil.
allowance	elaun	Elaunnya meliputi makan tengah hari dan pengangkutan.
ally	sekutu	Kanada menjadi sekutu rapat.
aluminium	aluminium	Bingkai itu diperbuat daripada aluminium.
amateur	amatur	Jurugambar amatur mengambil gambar itu.
ambassador	duta	Duta itu bertemu dengan pelajar tempatan.
amend	pinda	Parlimen mengundi untuk meminda undang-undang.
amendment	pindaan	Pindaan itu mengubah satu perenggan.
amid	di tengah-tengah	Ucapan itu disampaikan di tengah-tengah ketegangan yang semakin meningkat.
analogy	analogi	Guru menggunakan analogi yang mudah.
anchor	sauh	Bot melabuhkan sauh berhampiran pulau itu.
angel	malaikat	Kanak-kanak itu memakai kostum malaikat.
anonymous	tanpa nama	Aduan itu adalah tanpa nama.
apparatus	radas	Radas makmal itu perlu dibersihkan.
appealing	menarik	Tawaran itu kelihatan menarik kepada pelajar.
appetite	selera	Senaman meningkatkan seleranya.
applaud	bertepuk tangan	Penonton mula bertepuk tangan dengan kuat.
applicable	terpakai	Diskaun itu terpakai pada hari ini.
appoint	melantik	Lembaga akan melantik seorang pengarah.
appreciation	penghargaan	Dia menyatakan penghargaan atas bantuan mereka.
arbitrary	sewenang-wenangnya	Tarikh akhir itu kelihatan sewenang-wenangnya kepada kakitangan.
architectural	seni bina	Bandar ini melindungi warisan seni binanya.
archive	arkib	Arkib itu menyimpan gambar lama.
arena	arena	Perdebatan itu beralih ke arena awam.
arguably	boleh dikatakan	Ini boleh dikatakan sebagai novel terbaiknya.
arm	mempersenjatai	Pengawal akan mempersenjatai konvoi itu.
array	pelbagai	Kedai itu menawarkan pelbagai alat.
articulate	menyatakan	Dia boleh menyatakan idea yang kompleks dengan jelas.
ash	abu	Abu menutupi kereta selepas kebakaran.
aspiration	aspirasi	Aspirasinya adalah untuk menjadi pakar bedah.
aspire	bercita-cita	Ramai pelajar bercita-cita untuk belajar di luar negara.
assassination	pembunuhan	Pembunuhan itu mengubah politik negara.
assault	serangan	Serangan itu berlaku berhampiran stesen.
assemble	memasang	Pekerja memasang perabot itu dengan tangan.
assembly	perhimpunan	Perhimpunan sekolah bermula pada pukul sembilan.
assert	menegaskan	Dia cuba menegaskan kuasanya.
assertion	penegasan	Penegasannya mengejutkan panel itu.
assurance	jaminan	Pengurus memberikan jaminan sokongan.
asylum	suaka	Keluarga itu meminta suaka di sempadan.
atrocity	kekejaman	Filem itu menerangkan kekejaman masa perang.
attain	mencapai	Tidak ramai pelari mencapai kelajuan itu.
attendance	kehadiran	Kehadiran bertambah baik selepas pengumuman itu.
attorney	peguam	Peguam menyoal saksi.
attribute	menyifatkan	Saintis menyifatkan peningkatan itu disebabkan oleh pencemaran.
audit	audit	Audit itu mendapati beberapa kesilapan.
authentic	asli	Restoran ini menyajikan makanan serantau yang asli.
authorize	memberi kuasa	Hanya pengurus yang boleh membenarkan bayaran balik.
auto	kereta	Industri kereta berubah dengan pantas.
autonomy	autonomi	Wilayah itu mahukan autonomi yang lebih besar.
availability	ketersediaan	Ketersediaan tempat duduk adalah terhad.
await	menanti	Beberapa mesej menanti balasan anda.
backdrop	latar belakang	Gunung-gunung membentuk latar belakang yang dramatik.
backing	sokongan	Cadangan itu mendapat sokongan daripada pengundi.
backup	sandaran	Sistem mencipta sandaran setiap hari.
bail	ikat jamin	Hakim menetapkan ikat jamin pada waktu tengah hari.
ballot	kertas undi	Setiap pengundi menerima satu kertas undi.
banner	sepanduk	Sepanduk itu tergantung di atas pintu masuk.
bare	kosong	Bilik itu mempunyai dinding yang kosong.
barrel	tong	Tong itu penuh dengan air.
bass1	bes	Bunyi bes kedengaran dalam dan hangat.
battlefield	medan pertempuran	Medan pertempuran lama itu menjadi tapak peringatan.
bay	teluk	Kampung itu terletak di sebelah teluk yang tenang.
beam	rasuk	Satu rasuk keluli menyokong bumbung.
beast	binatang buas	Cerita itu menggambarkan seekor binatang buas yang ganas.
behalf	bagi pihak	Dia bercakap bagi pihak pasukannya.
