source_headword	SI	example_SI
incur	දැරීමට සිදුවෙනවා	ප්‍රමාද වීම් හේතුවෙන් අමතර වියදම් දැරීමට සිදු විය හැකිය.
indicator	දර්ශකය	විරැකියාව යනු එක් ආර්ථික දර්ශකයකි.
indictment	චෝදනා පත්‍රය	චෝදනා පත්‍රය චෝදනා තුනක් ලැයිස්තුගත කළේය.
indigenous	දේශීය	දේශීය ශාක මෙහි හොඳින් වැවේ.
induce	පොළඹවනවා	ඖෂධයට නින්දට පොළඹවිය හැකිය.
indulge	යෙදෙනවා	ඇය මිල අධික පුරුදු වල යෙදෙන්නේ නැත.
inequality	අසමානතාවය	ආදායම් අසමානතාවය ප්‍රධාන ගැටලුවක් ලෙස පවතී.
infamous	අපකීර්තිමත්	බන්ධනාගාරය ලොව පුරා අපකීර්තියට පත් විය.
infant	ළදරුවා	ළදරුවා තොටිල්ලේ නිදාගත්තේය.
infect	ආසාදනය කරනවා	වෛරසයට නිරෝගී සෛල ආසාදනය කළ හැකිය.
inflict	පමුණුවනවා	සතුන්ට වේදනාවක් පමුණුවන්න එපා.
influential	බලපෑම් කළ හැකි	ඇය බලපෑම් කළ හැකි නීති විශාරදවරියකි.
inherent	සහජ	සැලසුමේ සහජ අවදානම් ඇත.
inhibit	වළක්වනවා	බිය මගින් අවංක සාකච්ඡාව වැළැක්විය හැකිය.
initiate	ආරම්භ කරනවා	කළමනාකරු සමාලෝචනය ආරම්භ කරනු ඇත.
inject	එන්නත් කරනවා	හෙදිය එන්නත ලබා දෙනු ඇත.
injection	එන්නත	එන්නත වේදනාව අඩු කළේය.
injustice	අසාධාරණය	තීන්දුව පැහැදිලි අසාධාරණයක් හෙළි කළේය.
inmate	රැඳවියා	රැඳවියා නීති උපදෙස් ඉල්ලා සිටියේය.
insertion	ඇතුළත් කිරීම	පෝරමයට එක් පෙළක් ඇතුළත් කිරීම අවශ්‍ය වේ.
insider	අභ්‍යන්තරිකයා	අභ්‍යන්තරිකයෙක් වාර්තාව පිට කළේය.
inspect	පරීක්ෂා කරනවා	නිලධාරීන් වාර්ෂිකව පාලම පරීක්ෂා කරති.
inspection	පරීක්ෂණය	පරීක්ෂණයේදී බරපතල හානියක් සොයා ගන්නා ලදී.
inspiration	ආශ්වාදය	ඇගේ කතාව මට ආශ්වාදයක් ලබා දුන්නේය.
