simplified	IS	example_IS
啊	staðfestingarögn; samþykkisögn	Jæja, förum þá núna.
阿姨	frænka; barnfóstra; eldri kona	Frænkan vinnur í stórmarkaði.
矮	lágur; lág; lágt; stuttur; stutt; stutt	Þetta borð er svolítið lágt.
爱好	áhugamál; áhugi	Áhugamálið mitt er að hlusta á tónlist.
安静	rólegur; róleg; rólegt; hljóður; hljóð; hljótt	Það er mjög rólegt á bókasafninu.
把	halda; grípa; andlagsögn	Vinsamlegast lokaðu hurðinni.
搬	flytja; færa	Við flytjum á morgun.
班	bekkur; hópur	Það eru tuttugu nemendur í bekknum okkar.
办法	aðferð; leið	Þessi aðferð er mjög góð.
办公室	skrifstofa; vinnuherbergi	Stjórinn er á skrifstofunni.
半	hálfur; hálf; hálft	Ég beið í hálftíma.
帮忙	hjálpa; koma til hjálpar	Geturðu hjálpað?
包	pakka; vefja; taska	Hún keypti nýja tösku.
饱	saddur; södd; satt	Ég er þegar orðinn saddur.
北方	norður; norðurhluti	Á veturna er mjög kalt fyrir norðan.
被	þolmyndarögn; af	Vinur fékk lánað hjólið mitt.
鼻子	nef	Nefið á honum er svolítið rautt.
比较	bera saman; frekar	Það er frekar heitt í dag.
比赛	leikur; keppni	Þessi leikur er mjög mikilvægur.
笔记本	glósubók; minnisbók	Ég lagði glósubókina á borðið.
必须	verða að; þurfa að	Þú verður að rifja efnið vandlega upp.
变化	breyting; breytast	Þessi borg hefur breyst mikið.
别人	aðrir; annað fólk	Ekki taka hluti annarra.
冰箱	ísskápur	Ávextirnir eru í ísskápnum.
不但…而且…	ekki aðeins... heldur líka...	Hann er ekki aðeins klár, heldur líka duglegur.
菜单	matseðill	Vinsamlegast gefðu mér matseðil.
参加	taka þátt; mæta	Ég vil taka þátt í þessum fundi.
草	gras	Hvolpurinn hleypur á grasinu.
层	hæð; lag	Þessi bygging er þrjár hæðir.
差	vera ólíkur; vanta; slæmur; slæm; slæmt	Veðrið er slæmt í dag.
超市	stórmarkaður	Ég fer í stórmarkaðinn til að kaupa brauð.
衬衫	skyrta; blússa	Þessi skyrta er mjög hrein.
城市	borg; bær	Peking er stór borg.
成绩	einkunn; árangur	Einkunnirnar hans í stærðfræði eru mjög góðar.
迟到	koma of seint	Ekki koma of seint í tíma.
除了	fyrir utan; auk	Fyrir utan kaffi vil ég líka te.
船	bátur; skip	Við förum til þeirrar borgar með báti.
春	vor	Á vorin eru mörg blóm.
词典	orðabók	Þessi orðabók er mjög gagnleg.
聪明	klár; greindur; greind; greint	Þetta barn er mjög klárt.
打扫	þrífa; sópa	Ég þríf herbergið um helgar.
打算	ætla; skipuleggja	Hvað ætlarðu að gera á morgun?
带	taka með; hafa með	Vinsamlegast taktu vegabréfið með.
担心	hafa áhyggjur	Ekki hafa áhyggjur, ég hjálpa þér.
蛋糕	kaka	Þessi kaka er mjög sæt.
当然	auðvitað; vitanlega	Auðvitað máttu það.
地	ögn sem myndar atvikslið	Hann brosti glaðlega.
灯	ljós; lampi	Vinsamlegast kveiktu ljósið.
地方	staður; svæði	Þessi staður er mjög rólegur.
