source_headword	NE	example_NE
rock (music)	रक संगीत	मलाई रक संगीत मन पर्छ।
role	भूमिका	उनको भूमिका महत्त्वपूर्ण छ।
roof	छानो	छानो मर्मत गर्नुपर्छ।
round	गोलो	टेबल गोलो छ।
route	मार्ग	यो मार्ग छोटो छ।
rubbish	फोहोर	फोहोर बाहिर राख।
rude	असभ्य	त्यो टिप्पणी असभ्य थियो।
runner	धावक	धावक थाकेको देखिन्छ।
running	दौड	दौडले मलाई स्वस्थ राख्छ।
sadly	दुःखका साथ	दुःखका साथ हामी रेल छुटायौँ।
safe	सुरक्षित	यो सडक सुरक्षित लाग्छ।
sail	पाल चलाउनु	हामी शनिबार पाल चलाउँछौँ।
sailing	पाल चलाउने काम	यहाँ पाल चलाउने काम लोकप्रिय छ।
salary	तलब	उसको तलब अहिले बढी छ।
sale	छुट बिक्री	छुट बिक्री भोलि सुरु हुन्छ।
sauce	सस	भातमा सस थप।
save	बचत गर्नु	आफ्नो काम अहिले बचत गर।
scared	डराएको	बालक डराएको छ।
scary	डरलाग्दो	यो कथा डरलाग्दो छ।
scene	दृश्य	अन्तिम दृश्य रमाइलो थियो।
schedule	तालिका	आजको तालिका जाँच।
score	अङ्क	अङ्क कति हो?
screen	स्क्रिन	स्क्रिन सावधानीपूर्वक सफा गर।
search	खोज्नु	वेबमा तस्बिर खोज।
season	मौसम	गर्मी व्यस्त मौसम हो।
seat	सिट	कृपया यो सिट लिनुहोस्।
second1 (next after the first)	दोस्रो	दोस्रो हात धुनुहोस्।
secondly	दोस्रो	दोस्रो आफ्नो उत्तर जाँच।
secret	रहस्य	यो रहस्य सुरक्षित राख।
secretary	सचिव	सचिवले आज फोन गरे।
seem	देखिनु	तिमी थाकेको देखिन्छौ।
sense	अर्थ	यो योजनाको अर्थ छ।
separate	अलग	कागजहरू अलग राख।
series	श्रृङ्खला	यो श्रृङ्खला लोकप्रिय छ।
serious	गम्भीर	यो समस्या गम्भीर छ।
serve	सेवा गर्नु	उनीहरूले दिउँसो खाना सेवा गर्छन्।
service	सेवा	सेवा छिटो थियो।
several	धेरै	धेरै विद्यार्थी चाँडै आए।
shake	हल्लाउनु	पहिले बोतल हल्लाऊ।
shall modal	के	के हामी अहिले सुरु गरौँ?
shape	आकार	वर्ग आकार कोर।
sheet	तन्ना	तन्ना ओछ्यानमा राख।
ship	जहाज	जहाज आज निस्कियो।
shoulder	काँध	मेरो काँध दुख्छ।
shout	कराउनु	कक्षामा नकराऊ।
shut	बन्द गर्नु	कृपया झ्याल बन्द गर।
side	छेउ	यस छेउमा बस।
sign	चिन्ह	चिन्ह ध्यानपूर्वक पढ।
silver	चाँदी	चाँदी चम्किलो धातु हो।
simple	सरल	यो अभ्यास सरल छ।
since	देखि	म दिउँसोदेखि पर्खिरहेको छु।
singing	गायन	गायनले मलाई आराम दिन्छ।
single	एकल	मैले एकल टिकट किनेँ।
sir	सर	सर तपाईंको झोला तयार छ।
site	साइट	यो साइट सुरक्षित छ।
size	आकार	तिमीलाई कुन आकार चाहिन्छ?
ski	स्की गर्नु	हामी जाडोमा स्की गर्छौँ।
skiing	स्की गर्ने काम	जाडोमा स्की गर्ने काम रमाइलो हुन्छ।
skin	छाला	उनको छाला सुक्खा लाग्छ।
sky	आकाश	आकाश सफा छ।
slowly	बिस्तारै	बरफमा बिस्तारै हिँड।
smartphone	स्मार्टफोन	मेरो स्मार्टफोन नयाँ छ।
smell	गन्ध	सुपको गन्ध राम्रो छ।
smile	मुस्कान	क्यामेराका लागि मुस्कुराऊ।
