source_headword	KA	example_KA
clothes	ტანსაცმელი	ტანსაცმელი სუფთაა.
club	კლუბი	ის მუსიკის კლუბში დადის.
coat	პალტო	ჩემი პალტო თბილია.
coffee	ყავა	დილით ყავას ვსვამ.
cold	ცივი; გაციება	წყალი ცივია.
college	კოლეჯი	ჩემი და კოლეჯში სწავლობს.
colour	ფერი	ჩემი საყვარელი ფერი ლურჯია.
come	მოსვლა	გთხოვ, აქ მოდი.
common	გავრცელებული	ეს სახელი გავრცელებულია.
company	კომპანია	დედაჩემი კომპანიაში მუშაობს.
compare	შედარება	ეს ორი სურათი შეადარე.
complete	სრული; დასრულება	ფორმა სრულად არის შევსებული.
computer	კომპიუტერი	ეს კომპიუტერი ახალია.
concert	კონცერტი	დღეს კონცერტზე მივდივართ.
conversation	საუბარი	მოკლე საუბარი გვქონდა.
cook	მომზადება; მზარეული	სახლში ვახშამს ვამზადებ.
cooking	საჭმლის მომზადება	მამასთან ერთად საჭმლის მომზადება მიყვარს.
cool	გრილი; მაგარი	ოთახი გრილია.
correct	სწორი	შენი პასუხი სწორია.
cost	ფასი; ღირებულება	ეს რამდენი ღირს?
could modal	შემეძლო	მე დაგეხმარებოდი.
country	ქვეყანა	კანადა დიდი ქვეყანაა.
course	კურსი	ინგლისურის კურსზე დავდივარ.
cousin	ბიძაშვილი	ჩემი ბიძაშვილი ახლოს ცხოვრობს.
cow	ძროხა	ძროხა ბალახს ჭამს.
cream	ნაღები	ყავაში ნაღებს ვამატებ.
create	შექმნა	ისინი ახალ თამაშს ქმნიან.
culture	კულტურა	ადგილობრივ კულტურას ვსწავლობთ.
cup	ჭიქა	ეს ჭიქა ცარიელია.
customer	მომხმარებელი; კლიენტი	კლიენტი კითხვას სვამს.
cut	დაჭრა	ვაშლი შუაზე გაჭერი.
dad	მამა	მამა სამსახურშია.
dance	ცეკვა	ვახშმის შემდეგ ვცეკვავთ.
dancer	მოცეკვავე	მოცეკვავე სწრაფად მოძრაობს.
dancing	ცეკვა	ცეკვა სახალისოა.
dangerous	საშიში	ეს გზა საშიშია.
dark	ბნელი; მუქი	ოთახი ბნელია.
date	თარიღი	დღეს რა თარიღია?
daughter	ქალიშვილი	მისი ქალიშვილი ექვსი წლისაა.
day	დღე	კარგი დღე გქონდეს.
dear	ძვირფასო	ძვირფასო მეგობარო, მადლობა.
December	დეკემბერი	ჩემი დაბადების დღე დეკემბერშია.
decide	გადაწყვეტა	გთხოვ, ახლა გადაწყვიტე.
delicious	გემრიელი	ეს სუპი გემრიელია.
describe	აღწერა	შენი ოთახი აღწერე.
description	აღწერა	მოკლე აღწერა წაიკითხე.
design	დიზაინი; დაპროექტება	მარტივ ბარათს ვაპროექტებ.
desk	სამუშაო მაგიდა	წიგნი ჩემს სამუშაო მაგიდაზეა.
detail	დეტალი	ერთი დეტალი აკლია.
dialogue	დიალოგი	ახლა დიალოგი წაიკითხე.
dictionary	ლექსიკონი	კლასში ლექსიკონი გამოიყენე.
die	სიკვდილი	ყვავილები წყლის გარეშე კვდება.
diet	კვების რაციონი	ჩემს რაციონში ხილია.
difference	განსხვავება	ერთი განსხვავებაა.
different	განსხვავებული	ჩვენ განსხვავებული სახელები გვაქვს.
difficult	რთული	ეს კითხვა რთულია.
dinner	ვახშამი	ვახშამი მზადაა.
dirty	ჭუჭყიანი	ჩემი ფეხსაცმელი ჭუჭყიანია.
discuss	განხილვა	გეგმას განვიხილავთ.
dish	კერძი	ეს კერძი ცხელია.
do1	კეთება	რას აკეთებ?
doctor	ექიმი	ექიმი დაკავებულია.
dog	ძაღლი	ძაღლი გარეთ დარბის.
dollar	დოლარი	ეს ერთი დოლარი ღირს.
door	კარი	გთხოვ, კარი დახურე.
down	ქვემოთ	აქ დაჯექი.
downstairs	ქვედა სართულზე	სამზარეულო ქვედა სართულზეა.
draw	დახატვა	პატარა სახლი დახატე.
dress	კაბა	მას წითელი კაბა აცვია.
drink	სასმელი; დალევა	წყალს ვსვამ.
drive	მართვა	სამსახურში მანქანით მივდივარ.
driver	მძღოლი	მძღოლი აქ ჩერდება.
during	დროს	ფრენის დროს მძინავს.
DVD	ვიდეოდისკი	ეს ვიდეოდისკი ძველია.
each	თითოეული	თითოეულ ბავშვს წიგნი აქვს.
ear	ყური	ყური მტკივა.
early	ადრე	ადრე ვდგები.
east	აღმოსავლეთი	მზე აღმოსავლეთში ამოდის.
easy	ადვილი	ეს ტესტი ადვილია.
eat	ჭამა	ერთად ვსადილობთ.
egg	კვერცხი	კვერცხს ვჭამ.
eight	რვა	რვა ბარათი მაქვს.
eighteen	თვრამეტი	ის თვრამეტი წლისაა.
eighty	ოთხმოცი	ბაბუაჩემი ოთხმოცი წლისაა.
elephant	სპილო	სპილო დიდია.
eleven	თერთმეტი	გაკვეთილი თერთმეტზე იწყება.
else	სხვა	კიდევ რა გჭირდება?
email	ელფოსტა	ელფოსტა გამომიგზავნე.
end	დასასრული; დასრულება	ეს დასასრულია.
enjoy	სიამოვნების მიღება	ამ სიმღერით ვტკბები.
enough	საკმარისი	საკმარისი დრო გვაქვს.
euro	ევრო	ეს ერთი ევრო ღირს.
even	თუნდაც; კიდეც	ეს ჩემმა ძმამაც იცის.
evening	საღამო	ამ საღამოს ვხვდებით.
