source_headword	KA	example_KA
rock (music)	როკ მუსიკა	მე როკ მუსიკა მიყვარს.
role	როლი	მისი როლი მნიშვნელოვანია.
roof	სახურავი	სახურავს შეკეთება სჭირდება.
round	მრგვალი	მაგიდა მრგვალია.
route	მარშრუტი	ეს მარშრუტი უფრო მოკლეა.
rubbish	ნაგავი	ნაგავი გარეთ გაიტანე.
rude	უხეში	ეს კომენტარი უხეში იყო.
runner	მორბენალი	მორბენალი დაღლილი ჩანს.
running	სირბილი	სირბილი ჯანმრთელობას მინარჩუნებს.
sadly	სამწუხაროდ	სამწუხაროდ, მატარებელს ვერ მივუსწარით.
safe	უსაფრთხო	ეს ქუჩა უსაფრთხოდ ჩანს.
sail	იალქნით ცურვა	ჩვენ შაბათს იალქნით ვცურავთ.
sailing	იალქნოსნობა	იალქნოსნობა აქ პოპულარულია.
salary	ხელფასი	მისი ხელფასი ახლა უფრო მაღალია.
sale	ფასდაკლება	ფასდაკლება ხვალ იწყება.
sauce	სოუსი	ბრინჯს სოუსი დაუმატე.
save	შენახვა	ახლა შენი სამუშაო შეინახე.
scared	შეშინებული	ბავშვი შეშინებულია.
scary	საშიში	ეს ამბავი საშიშია.
scene	სცენა	ბოლო სცენა სასაცილო იყო.
schedule	განრიგი	დღეს განრიგი შეამოწმე.
score	ანგარიში	ანგარიში რამდენია?
screen	ეკრანი	ეკრანი ფრთხილად გაწმინდე.
search	ძებნა	სურათები ვებში მოძებნე.
season	სეზონი	ზაფხული დატვირთული სეზონია.
seat	ადგილი	გთხოვ, ეს ადგილი დაიკავე.
second1 (next after the first)	მეორე	მეორე, ხელები დაიბანე.
secondly	მეორეც	მეორეც, პასუხი შეამოწმე.
secret	საიდუმლო	ეს საიდუმლო უსაფრთხოდ შეინახე.
secretary	მდივანი	მდივანმა დღეს დარეკა.
seem	ჩანდა	შენ დაღლილი ჩანხარ.
sense	აზრი	ამ გეგმას აზრი აქვს.
separate	ცალკე	ქაღალდები ცალკე შეინახე.
series	სერია	ეს სერია პოპულარულია.
serious	სერიოზული	ეს პრობლემა სერიოზულია.
serve	მომსახურება	ისინი შუადღეს სადილს აწვდიან.
service	მომსახურება	მომსახურება სწრაფი იყო.
several	რამდენიმე	რამდენიმე სტუდენტი ადრე მოვიდა.
shake	შენჯღრევა	ჯერ ბოთლი შეანჯღრიე.
shall modal	უნდა	ახლა უნდა დავიწყოთ?
shape	ფორმა	კვადრატული ფორმა დახატე.
sheet	ზეწარი	ზეწარი საწოლზე დადე.
ship	გემი	გემი დღეს გავიდა.
shoulder	მხარი	მხარი მტკივა.
shout	ყვირილი	კლასში ნუ იყვირებ.
shut	დახურვა	გთხოვ, ფანჯარა დახურე.
side	მხარე	ამ მხარეს დაჯექი.
sign	ნიშანი	ნიშანი ყურადღებით წაიკითხე.
silver	ვერცხლი	ვერცხლი კაშკაშა მეტალია.
