simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
吧	javasló partikula; ugye?	Menjünk.	particulă de sugestie; nu-i așa?	Hai să mergem.	частица за предложение; нали?	Да вървим.	čestica za prijedlog; zar ne?	Idemo.
白	fehér	Ez a ruhadarab fehér.	alb	Haina aceasta este albă.	бял	Тази дреха е бяла.	bijel	Ovaj odjevni predmet je bijel.
百	száz	Ez a telefon száz jüanba kerül.	o sută	Telefonul acesta costă o sută de yuani.	сто	Този телефон струва сто юана.	sto	Ovaj telefon košta sto juana.
帮助	segíteni; segítség	Kérem, segítsen nekem.	a ajuta; ajutor	Vă rog, ajutați-mă.	помагам; помощ	Моля, помогнете ми.	pomagati; pomoć	Molim vas, pomozite mi.
报纸	újság	Apa újságot olvas.	un ziar	Tata citește ziarul.	вестник	Татко чете вестник.	novine	Tata čita novine.
比	mint; összehasonlítani	Ma melegebb van, mint tegnap.	decât; a compara	Astăzi este mai cald decât ieri.	от; сравнявам	Днес е по-топло от вчера.	nego; uspoređivati	Danas je toplije nego jučer.
别	ne; más	Ne menj el.	nu; alt	Nu pleca.	не; друг	Не тръгвай.	ne; drugi	Nemoj ići.
长	hosszú	Ez az út hosszú.	lung	Drumul acesta este lung.	дълъг	Този път е дълъг.	dug	Ova cesta je duga.
唱歌	énekelni	A húgom szeret énekelni.	a cânta	Surorii mele mai mici îi place să cânte.	пея	Малката ми сестра обича да пее.	pjevati	Moja mlađa sestra voli pjevati.
出	kimenni; kijönni	Kiment.	a ieși	El a ieșit.	излизам; изляза	Той излезе.	izaći; izlaziti	On je izašao.
穿	viselni; felvenni	Fehér ruhát viselek.	a purta; a îmbrăca	Port haine albe.	нося; обличам	Нося бели дрехи.	nositi; obući	Nosim bijelu odjeću.
船	hajó	A hajó a vízen van.	o barcă; o navă	Barca este pe apă.	лодка; кораб	Лодката е във водата.	brod; čamac	Brod je na vodi.
次	alkalom; -szor/-szer	Egyszer jártam Pekingben.	o dată; ocazie	Am fost o dată la Beijing.	път; случай	Бил съм веднъж в Пекин.	put; prilika	Bio sam jednom u Pekingu.
从	-ból/-ből; -tól/-től	Otthonról megyek iskolába.	din; de la	Merg de acasă la școală.	от	Отивам от вкъщи на училище.	iz; od	Idem od kuće u školu.
错	hibás; hiba	Tévedsz.	greșit; o greșeală	Te înșeli.	грешен; грешка	Грешиш.	pogrešan; pogreška	Griješiš.
打篮球	kosárlabdázni	A bátyám kosárlabdázik.	a juca baschet	Fratele meu mai mare joacă baschet.	играя баскетбол	Батко ми играе баскетбол.	igrati košarku	Moj stariji brat igra košarku.
大家	mindenki	Mindenki megérkezett.	toată lumea	Toată lumea a venit.	всички	Всички дойдоха.	svi	Svi su došli.
但是	de; azonban	Elfoglalt vagyok, de nagyon boldog.	dar; însă	Sunt ocupat, dar foarte fericit.	но; обаче	Зает съм, но съм много щастлив.	ali; međutim	Vrlo sam zauzet, ali sam sretan.
到	megérkezni; eljutni	Megérkeztem az iskolába.	a ajunge	Am ajuns la școală.	пристигам; стигам	Пристигнах в училище.	stizati; stići	Stigao sam u školu.
得	fokhatározói komplementpartikula	Gyorsan fut.	particulă de complement de grad	El aleargă repede.	частица за степенно допълнение	Той тича бързо.	čestica dopune stupnja	On brzo trči.
等	várni	Várok rád.	a aștepta	Te aștept.	чакам	Чакам те.	čekati	Čekam te.
弟弟	öcs	Az öcsém otthon van.	un frate mai mic	Fratele meu mai mic este acasă.	по-малък брат	По-малкият ми брат е вкъщи.	mlađi brat	Moj mlađi brat je kod kuće.
第一	első	Ő az első.	primul; prima	El este primul.	първи	Той е първи.	prvi	On je prvi.
懂	érteni	Most már értem.	a înțelege	Acum înțeleg.	разбирам	Сега разбирам.	razumjeti	Sada razumijem.
对	helyes; felé	Amit mondtál, helyes.	corect; către	Ce ai spus este corect.	правилен; към	Това, което каза, е правилно.	točan; prema	Ono što si rekao je točno.
房间	szoba	Ez a szoba nagy.	o cameră	Camera aceasta este mare.	стая	Тази стая е голяма.	soba	Ova soba je velika.
非常	nagyon; rendkívül	Ma nagyon hideg van.	foarte; extrem	Astăzi este foarte frig.	много; изключително	Днес е много студено.	vrlo; iznimno	Danas je vrlo hladno.
服务员	pincér; pincérnő	A pincér az étteremben van.	un chelner; o chelneriță	Chelnerul este în restaurant.	сервитьор; сервитьорка	Сервитьорът е в ресторанта.	konobar; konobarica	Konobar je u restoranu.
高	magas	Ő magas.	înalt	El este înalt.	висок	Той е висок.	visok	On je visok.
告诉	elmondani; közölni	Kérem, mondja el nekem.	a spune; a anunța	Vă rog, spuneți-mi.	казвам; съобщавам	Моля, кажете ми.	reći; obavijestiti	Molim vas, recite mi.
哥哥	báty	A bátyám dolgozik.	un frate mai mare	Fratele meu mai mare lucrează.	по-голям брат	Батко ми работи.	stariji brat	Moj stariji brat radi.
给	adni; -nak/-nek	Adok neked egy könyvet.	a da; către	Îți dau o carte.	давам; на	Давам ти една книга.	dati; prema	Dajem ti knjigu.
公共汽车	busz	Busszal megyek dolgozni.	un autobuz	Iau autobuzul spre serviciu.	автобус	Отивам на работа с автобус.	autobus	Idem na posao autobusom.
公斤	kilogramm	Veszek egy kilogramm almát.	un kilogram	Cumpăr un kilogram de mere.	килограм	Купувам един килограм ябълки.	kilogram	Kupujem kilogram jabuka.
公司	cég; vállalat	Egy cégnél dolgozom.	o firmă; o companie	Lucrez la o firmă.	фирма; компания	Работя във фирма.	tvrtka; poduzeće	Radim u tvrtki.
贵	drága	Ez az óra drága.	scump	Ceasul acesta este scump.	скъп	Този часовник е скъп.	skup	Ovaj sat je skup.
过	tapasztalati partikula	Jártam Kínában.	particulă de experiență	Am fost în China.	частица за преживян опит	Бил съм в Китай.	čestica iskustva	Bio sam u Kini.
还	még; is	Ő még az iskolában van.	încă; de asemenea	El este încă la școală.	още; също	Той още е в училище.	još; također	On je još u školi.
孩子	gyerek	Ez a gyerek nagyon boldog.	un copil	Copilul acesta este foarte fericit.	дете	Това дете е много щастливо.	dijete	Ovo dijete je vrlo sretno.
好吃	finom; ízletes	Ez az étel nagyon finom.	gustos; delicios	Felul acesta de mâncare este gustos.	вкусен	Това ястие е много вкусно.	ukusan	Ovo jelo je ukusno.
号	szám; dátum	Ma nyolcadika van.	un număr; o dată	Astăzi este opt.	номер; дата	Днес е осми.	broj; datum	Danas je osmi.
黑	fekete	Ez a macska fekete.	negru	Pisica aceasta este neagră.	черен	Тази котка е черна.	crn	Ova mačka je crna.
红	piros	Szeretem a piros almát.	roșu	Îmi plac merele roșii.	червен	Харесвам червени ябълки.	crven	Volim crvene jabuke.
欢迎	üdvözölni; üdvözlet	Üdvözlünk Pekingben.	a întâmpina; bine ai venit	Bine ai venit la Beijing.	приветствам; добре дошли	Добре дошли в Пекин.	poželjeti dobrodošlicu; dobrodošli	Dobrodošli u Peking.
回答	válaszolni; válasz	Kérem, válaszoljon erre a kérdésre.	a răspunde; un răspuns	Vă rog, răspundeți la această întrebare.	отговарям; отговор	Моля, отговорете на този въпрос.	odgovoriti; odgovor	Molim vas, odgovorite na ovo pitanje.
机场	repülőtér	A repülőtér messze van innen.	un aeroport	Aeroportul este departe de aici.	летище	Летището е далече оттук.	zračna luka	Zračna luka je daleko odavde.
鸡蛋	tyúktojás; tojás	Tojást eszem.	un ou	Mănânc ouă.	яйце	Ям яйца.	jaje	Jedem jaja.
件	ruhadarabok és tárgyak mértékszava	Vettem egy ruhadarabot.	un clasificator pentru haine și obiecte	Am cumpărat o piesă de îmbrăcăminte.	мерна дума за дрехи и предмети	Купих една дреха.	mjerna riječ za odjeću i stvari	Kupio sam jedan odjevni predmet.
教室	tanterem	A diákok a tanteremben vannak.	o sală de clasă	Elevii sunt în sala de clasă.	класна стая	Учениците са в класната стая.	učionica	Učenici su u učionici.
姐姐	nővér	A nővérem orvos.	o soră mai mare	Sora mea mai mare este medic.	по-голяма сестра	Кака ми е лекарка.	starija sestra	Moja starija sestra je liječnica.
介绍	bemutatni; ismertetni	Bemutatom a barátomat.	a prezenta; a introduce	Îl prezint pe prietenul meu.	представям; запознавам	Представям приятеля си.	predstaviti; upoznati	Predstavljam svog prijatelja.
进	bemenni; bejönni	Kérem, jöjjön be.	a intra	Vă rog, intrați.	влизам	Моля, влезте.	ući	Molim vas, uđite.
近	közel	Az iskola közel van az otthonomhoz.	aproape	Școala este aproape de casă.	близо	Училището е близо до дома.	blizu	Škola je blizu kuće.
就	azonnal; akkor; éppen	Most azonnal megyek.	imediat; atunci; chiar	Plec chiar acum.	веднага; тогава; тъкмо	Отивам веднага.	odmah; tada; upravo	Idem odmah.
觉得	gondolni; érezni	Úgy gondolom, ez az étel finom.	a crede; a simți	Cred că felul acesta este gustos.	мисля; чувствам	Мисля, че това ястие е вкусно.	misliti; osjećati	Mislim da je ovo jelo ukusno.
咖啡	kávé	Kávét iszom.	o cafea	Beau cafea.	кафе	Пия кафе.	kava	Pijem kavu.
开始	kezdeni; kezdet	A vizsga elkezdődött.	a începe; un început	Examenul a început.	започвам; начало	Изпитът започна.	početi; početak	Ispit je počeo.
考试	vizsga; teszt	Holnap vizsga lesz.	un examen; un test	Mâine este examen.	изпит; тест	Утре има изпит.	ispit; test	Sutra je ispit.
可能	talán; lehetséges	Lehet, hogy otthon van.	poate; posibil	Poate că este acasă.	може би; възможен	Той може би е вкъщи.	možda; moguć	Možda je kod kuće.
可以	lehet; szabad	Elmehetek?	a putea; a avea voie	Pot să plec?	мога; позволено е	Мога ли да отида?	moći; smjeti	Mogu li ići?
课	óra; tanóra	Ma kínai órám van.	o lecție; un curs	Astăzi este curs de chineză.	урок; час	Днес има час по китайски.	sat; lekcija	Danas imamo sat kineskog.
快	gyors; hamar	Gyorsan megy.	rapid; curând	El merge foarte repede.	бърз; скоро	Той върви много бързо.	brz; uskoro	On hoda vrlo brzo.
快乐	boldog	Boldog születésnapot!	fericit; bucuros	La mulți ani!	щастлив	Честит рожден ден!	sretan	Sretan rođendan!
累	fáradt	Nagyon fáradt vagyok.	obosit	Sunt foarte obosit.	уморен	Много съм уморен.	umoran	Jako sam umoran.
离	távol valamitől; -tól/-től	Az iskola nincs messze otthonról.	departe de; de la	Școala nu este departe de casă.	далече от; от	Училището не е далече от дома.	daleko od; od	Škola nije daleko od kuće.
两	két	Két gyerekem van.	doi; două	Am doi copii.	два; две	Имам две деца.	dva; dvije	Imam dvoje djece.
路	út	Ez az út hosszú.	un drum; o cale	Drumul acesta este lung.	път; улица	Този път е дълъг.	cesta; put	Ova cesta je duga.
旅游	utazni; utazás	Kínába szeretnék utazni.	a călători; o călătorie	Vreau să călătoresc în China.	пътувам; пътуване	Искам да пътувам до Китай.	putovati; putovanje	Želim putovati u Kinu.
卖	eladni	Ez a bolt almát árul.	a vinde	Magazinul acesta vinde mere.	продавам	Този магазин продава ябълки.	prodavati	Ova trgovina prodaje jabuke.
慢	lassú; lassan	Kérem, beszéljen kicsit lassabban.	încet; lent	Vă rog, mai încet.	бавен; бавно	Моля, малко по-бавно.	spor; polako	Molim vas, malo sporije.
忙	elfoglalt	Ma elfoglalt vagyok.	ocupat	Astăzi sunt ocupat.	зает	Днес съм зает.	zauzet	Danas sam zauzet.
每	minden	Mindennap kínaiul tanulok.	fiecare	Studiez chineza în fiecare zi.	всеки	Уча китайски всеки ден.	svaki	Učim kineski svaki dan.
妹妹	húg	A húgom tévét néz.	o soră mai mică	Sora mea mai mică se uită la televizor.	по-малка сестра	Малката ми сестра гледа телевизия.	mlađa sestra	Moja mlađa sestra gleda televiziju.
门	ajtó; kapu	Az ajtó kinyílt.	o ușă; o poartă	Ușa s-a deschis.	врата; порта	Вратата се отвори.	vrata; kapija	Vrata su se otvorila.
男人	férfi	Ez a férfi tanár.	un bărbat	Bărbatul acesta este profesor.	мъж	Този мъж е учител.	muškarac	Ovaj muškarac je učitelj.
您	ön; maga	Jó napot.	dumneavoastră; adresare politicoasă	Bună ziua.	Вие; учтива форма	Здравейте.	Vi; pristojno obraćanje	Dobar dan.
牛奶	tej	Tejet iszom.	lapte	Beau lapte.	мляко	Пия мляко.	mlijeko	Pijem mlijeko.
女人	nő	Az a nő orvos.	o femeie	Femeia aceea este medic.	жена	Онази жена е лекарка.	žena	Ona žena je liječnica.
旁边	mellett	Az iskola mellett van egy bolt.	lângă; alături de	Lângă școală este un magazin.	до; отстрани	До училището има магазин.	pokraj; pored	Pokraj škole je trgovina.
跑步	futni; kocogni	Reggel futok.	a alerga; jogging	Alerg dimineața.	тичам; бягам	Сутрин тичам.	trčati; džogirati	Trčim ujutro.
便宜	olcsó	Ez az alma olcsó.	ieftin	Mărul acesta este ieftin.	евтин	Тази ябълка е евтина.	jeftin	Ova jabuka je jeftina.
票	jegy	Jegyet veszek.	un bilet	Cumpăr un bilet.	билет	Купувам билет.	karta; ulaznica	Kupujem kartu.
妻子	feleség	A feleségem tanár.	o soție	Soția mea este profesoară.	съпруга; жена	Жена ми е учителка.	supruga; žena	Moja supruga je učiteljica.
起床	felkelni	Reggel hatkor kelek fel.	a se scula	Mă trezesc la șase dimineața.	ставам от леглото	Ставам в шест сутринта.	ustati	Ustajem u šest ujutro.
千	ezer	Ez a kerékpár ezer jüanba kerül.	o mie	Bicicleta aceasta costă o mie de yuani.	хиляда	Този велосипед струва хиляда юана.	tisuću	Ovaj bicikl košta tisuću juana.
晴	napos; derült	Ma napos idő van.	însorit; senin	Astăzi este însorit.	слънчев; ясен	Днес е слънчево.	sunčan; vedar	Danas je sunčano.
去年	tavaly	Tavaly Pekingben voltam.	anul trecut	Anul trecut am fost la Beijing.	миналата година	Миналата година бях в Пекин.	prošle godine	Prošle godine bio sam u Pekingu.
让	engedni; megengedni	Anya engedi, hogy tanuljak.	a lăsa; a permite	Mama mă lasă să învăț.	позволявам; оставям	Мама ми позволява да уча.	dopustiti; pustiti	Mama mi dopušta da učim.
上班	dolgozni menni; munkába menni	Nyolckor megyek dolgozni.	a merge la serviciu	Merg la serviciu la ora opt.	отивам на работа	Отивам на работа в осем.	ići na posao	Idem na posao u osam.
身体	test; egészség	Jó az egészsége.	un corp; sănătate	Sănătatea lui este bună.	тяло; здраве	Здравето му е добро.	tijelo; zdravlje	Zdravlje mu je dobro.
生病	megbetegedni	Megbetegedett.	a se îmbolnăvi	El s-a îmbolnăvit.	разболявам се	Той се разболя.	razboljeti se	On se razbolio.
生日	születésnap	Ma van a születésnapom.	o zi de naștere	Astăzi este ziua mea de naștere.	рожден ден	Днес е рожденият ми ден.	rođendan	Danas mi je rođendan.
时间	idő	Nincs időm.	timp	Nu am timp.	време	Нямам време.	vrijeme	Nemam vremena.
事情	ügy; dolog	Van dolgom.	o treabă; un lucru	Am ceva de făcut.	работа; нещо	Имам нещо за вършене.	stvar; posao	Imam nešto za obaviti.
手表	karóra	Ez a karóra új.	un ceas de mână	Ceasul acesta de mână este nou.	ръчен часовник	Този ръчен часовник е нов.	ručni sat	Ovaj ručni sat je nov.
手机	mobiltelefon	A mobiltelefonom az asztalon van.	un telefon mobil	Telefonul meu este pe masă.	мобилен телефон	Телефонът ми е на масата.	mobitel	Moj mobitel je na stolu.
送	küldeni; ajándékozni	Adok neked egy könyvet.	a trimite; a dărui	Îți dăruiesc o carte.	изпращам; подарявам	Подарявам ти една книга.	poslati; pokloniti	Poklanjam ti knjigu.
所以	ezért; tehát	Ma esik az eső, ezért nem megyek.	deci; prin urmare	Astăzi plouă, deci nu merg.	затова; следователно	Днес вали, затова не отивам.	zato; stoga	Danas pada kiša, zato ne idem.
它	az; ő	Az az én macskám.	el; ea; acesta	Este pisica mea.	то	Това е моята котка.	ono; to	To je moja mačka.
踢足球	focizni; futballozni	Ők fociznak.	a juca fotbal	Ei joacă fotbal.	играя футбол	Те играят футбол.	igrati nogomet	Oni igraju nogomet.
题	kérdés; feladat	Ez a kérdés nem helyes.	o întrebare; o problemă	Întrebarea aceasta nu este corectă.	въпрос; задача	Този въпрос не е правилен.	pitanje; zadatak	Ovo pitanje nije točno.
跳舞	táncolni	Szeret táncolni.	a dansa	Ei îi place să danseze.	танцувам	Тя обича да танцува.	plesati	Ona voli plesati.
外	kint; külső	Az ajtón kívül van.	afară; exterior	El este afară, în fața ușii.	навън; външен	Той е отвън пред вратата.	vani; vanjski	On je vani pred vratima.
完	befejezni	Befejeztem.	a termina	Am terminat.	завършвам; свършвам	Свърших.	završiti	Završio sam.
玩	játszani; szórakozni	A gyerek játszik.	a se juca; a se distra	Copilul se joacă.	играя; забавлявам се	Детето играе.	igrati se; zabavljati se	Dijete se igra.
晚上	este; éjszaka	Este filmet nézek.	o seară; o noapte	Seara mă uit la un film.	вечер; нощ	Вечер гледам филм.	večer; noć	Navečer gledam film.
为什么	miért	Miért nem mész?	de ce	De ce nu mergi?	защо	Защо не отиваш?	zašto	Zašto ne ideš?
问	kérdezni	Megkérdezem a tanárt.	a întreba	Îl întreb pe profesor.	питам	Питам учителя.	pitati	Pitam učitelja.
问题	kérdés; probléma	Van egy kérdésem.	o întrebare; o problemă	Am o întrebare.	въпрос; проблем	Имам въпрос.	pitanje; problem	Imam pitanje.
西瓜	görögdinnye	Görögdinnyét eszem.	un pepene verde	Mănânc pepene verde.	диня	Ям диня.	lubenica	Jedem lubenicu.
