source_headword	SV	example_SV
fridge	ett kylskåp	Mjölken står i kylskåpet.
frog	en groda	En groda hoppade ner i dammen.
furniture	möbler	De här möblerna är gamla men starka.
further	vidare; ytterligare	Vi behöver ytterligare information.
gallery	ett galleri	Galleriet är öppet i dag.
gap	en lucka; ett mellanrum	Det finns en lucka i väggen.
gas	bensin; gas	Bilen behöver bensin.
gate	en grind	Stäng grinden, tack.
general	allmän	Det här är en allmän regel.
gift	en gåva; en present	Hon köpte en present.
goal	ett mål	Vårt mål är enkelt.
god	Gud; en gud	Många människor ber till Gud.
gold	guld; gyllene	Ringen är av guld.
golf	golf	Han spelar golf i dag.
government	en regering	Regeringen ändrade lagen.
grass	gräs	Gräset är vått.
greet	hälsa på; välkomna	Hälsa artigt på varje gäst.
ground	marken	Sitt på marken.
guest	en gäst	Vår gäst kom tidigt.
guide	en guide; en vägledning	Guiden visade oss museet.
gun	ett skjutvapen	Polisen hittade ett skjutvapen.
guy	en kille; en man	Den där killen är min bror.
habit	en vana	Att läsa varje dag är en god vana.
hall	en hall; en korridor	Vänta i korridoren.
happily	lyckligt	De levde lyckligt tillsammans.
headache	huvudvärk	Jag har huvudvärk.
heart	ett hjärta	Hennes hjärta slår snabbt.
heat	värma; värme	Värm soppan långsamt.
heavy	tung	Den här väskan är tung.
height	en höjd	Mät bordets höjd.
helpful	hjälpsam; användbar	Ditt råd är mycket hjälpsamt.
hero	en hjälte	Han är min hjälte.
hers	hennes	Den blå kappan är hennes.
herself	sig själv	Hon lagade middagen själv.
hide	gömma; gömma sig	Göm nyckeln under lådan.
hill	en kulle	Vi gick uppför kullen.
himself	sig själv	Han lagade det själv.
hit	slå; träffa	Slå inte på dörren.
hockey	hockey	Vi tittade på hockey i går kväll.
hold	hålla	Håll min hand.
hole	ett hål	Det finns ett hål i min strumpa.
huge	enorm	Rummet var enormt.
human	en människa; mänsklig	Varje människa behöver vatten.
hurt	göra ont; skada	Mitt knä gör ont.
ideal	idealisk	Det här rummet är idealiskt för studier.
identify	identifiera; känna igen	Kan du känna igen den här fågeln?
ill	sjuk	Hon känner sig sjuk i dag.
illness	en sjukdom	Sjukdomen varade en vecka.
image	en bild	Bilden är tydlig.
immediately	omedelbart	Kom hit omedelbart.
impossible	omöjlig	Det här pusslet verkar omöjligt.
included	ingår	Frukost ingår.
including	inklusive	Tio personer kom, inklusive jag.
increase	öka; en ökning	Priserna ökar på sommaren.
incredible	otrolig; fantastisk	Utsikten var otrolig.
independent	självständig; oberoende	Min syster är självständig.
individual	en individ; individuell	Varje individ har ett nummer.
industry	en industri	Den lokala industrin växer.
informal	informell	Det här mejlet är informellt.
injury	en skada	Skadan är inte allvarlig.
insect	en insekt	En insekt landade på koppen.
inside	inuti; inne	Vänta inne i huset.
instead	i stället	Drick vatten i stället.
instruction	en instruktion	Läs varje instruktion noggrant.
instructor	en instruktör	Instruktören förklarade övningen.
instrument	ett instrument	Hon spelar ett instrument.
intelligent	intelligent	Hon är en intelligent elev.
international	internationell	Det här är en internationell flygplats.
introduction	en inledning; en introduktion	Inledningen var kort.
invent	uppfinna	Barnen kan uppfinna ett nytt spel.
