source_headword	MS	example_MS
fridge	peti sejuk	Susu ada di dalam peti sejuk.
frog	katak	Seekor katak melompat ke dalam kolam.
furniture	perabot	Perabot ini lama tetapi kukuh.
further	lanjut; lebih jauh	Kami perlukan maklumat lanjut.
gallery	galeri	Galeri itu dibuka hari ini.
gap	jurang; ruang kosong	Ada ruang kosong pada dinding.
gas	petrol; gas	Kereta itu memerlukan petrol.
gate	pintu pagar	Tolong tutup pintu pagar.
general	umum	Ini peraturan umum.
gift	hadiah	Dia membeli hadiah.
goal	matlamat	Matlamat kami mudah.
god	Tuhan; dewa	Ramai orang berdoa kepada Tuhan.
gold	emas; berwarna emas	Cincin itu emas.
golf	golf	Dia bermain golf hari ini.
government	kerajaan	Kerajaan mengubah undang-undang.
grass	rumput	Rumput itu basah.
greet	menyapa; memberi salam	Sapa setiap tetamu dengan sopan.
ground	tanah	Duduk di atas tanah.
guest	tetamu	Tetamu kami tiba awal.
guide	pemandu; panduan	Pemandu itu menunjukkan muzium kepada kami.
gun	senjata api	Polis menemui senjata api.
guy	lelaki	Lelaki itu abang saya.
habit	tabiat	Membaca setiap hari tabiat yang baik.
hall	dewan; lorong	Tunggu di lorong.
happily	dengan gembira	Mereka hidup bersama dengan gembira.
headache	sakit kepala	Saya sakit kepala.
heart	jantung; hati	Jantungnya berdegup laju.
heat	haba; memanaskan	Panaskan sup perlahan-lahan.
heavy	berat	Beg ini berat.
height	ketinggian	Ukur ketinggian meja.
helpful	berguna; membantu	Nasihat anda sangat berguna.
hero	wira	Dia wira saya.
hers	miliknya	Kot biru itu miliknya.
herself	dirinya sendiri	Dia memasak makan malam sendiri.
hide	menyembunyikan; bersembunyi	Sembunyikan kunci di bawah kotak.
hill	bukit	Kami mendaki bukit.
himself	dirinya sendiri	Dia membaikinya sendiri.
hit	memukul; terkena	Jangan pukul pintu.
hockey	hoki	Kami menonton hoki malam tadi.
hold	memegang	Pegang tangan saya.
hole	lubang	Ada lubang pada stoking saya.
huge	sangat besar	Bilik itu sangat besar.
human	manusia	Setiap manusia memerlukan air.
hurt	sakit; menyakiti	Lutut saya sakit.
ideal	ideal	Bilik ini ideal untuk belajar.
identify	mengenal pasti	Bolehkah anda mengenal pasti burung ini?
ill	sakit	Dia berasa sakit hari ini.
illness	penyakit	Penyakit itu berlangsung seminggu.
image	imej; gambar	Imej itu jelas.
immediately	segera	Datang ke sini segera.
impossible	mustahil	Teka-teki ini nampak mustahil.
included	termasuk	Sarapan termasuk sekali.
including	termasuk	Sepuluh orang datang, termasuk saya.
increase	meningkat; peningkatan	Harga meningkat pada musim panas.
incredible	luar biasa; menakjubkan	Pemandangan itu luar biasa.
independent	berdikari; bebas	Kakak saya berdikari.
individual	individu	Setiap individu mempunyai nombor.
industry	industri	Industri tempatan sedang berkembang.
informal	tidak formal	E-mel ini tidak formal.
injury	kecederaan	Kecederaannya tidak serius.
insect	serangga	Seekor serangga hinggap pada cawan.
inside	di dalam	Tunggu di dalam rumah.
instead	sebaliknya	Minum air sebaliknya.
instruction	arahan	Baca setiap arahan dengan teliti.
instructor	pengajar	Pengajar menerangkan latihan itu.
instrument	alat muzik; instrumen	Dia bermain alat muzik.
intelligent	bijak	Dia pelajar yang bijak.
international	antarabangsa	Ini lapangan terbang antarabangsa.
introduction	pengenalan	Pengenalan itu pendek.
invent	mencipta	Kanak-kanak boleh mencipta permainan baharu.
invention	ciptaan	Ciptaan itu menjimatkan masa.
invitation	jemputan	Saya menerima jemputan.
invite	menjemput	Jemput kawan anda juga.
involve	melibatkan	Kerja itu akan melibatkan perjalanan.
item	item; barang	Pilih satu item.
itself	dirinya sendiri	Mesin itu mematikan dirinya sendiri.
jam	jem	Sapukan jem pada roti.
jazz	jazz	Jazz kedengaran hebat malam ini.
jewellery	barang kemas	Dia menyimpan barang kemas dalam kotak.
joke	jenaka	Ceritakan satu jenaka kepada saya.
journalist	wartawan	Wartawan itu bertanya soalan.
jump	melompat	Lompat melepasi garisan.
kid	budak; kanak-kanak	Budak itu sedang ketawa.
kill	membunuh	Jangan bunuh serangga itu.
king	raja	Raja itu tinggal di istana.
knee	lutut	Lutut saya sakit.
knife	pisau	Gunakan pisau yang tajam.
knock	mengetuk	Ketuk sebelum anda masuk.
knowledge	pengetahuan	Pengetahuan bertambah dengan latihan.
lab	makmal	Makmal itu ditutup.
lady	wanita	Wanita itu tersenyum kepada kami.
lake	tasik	Tasik itu tenang.
lamp	lampu	Hidupkan lampu.
laptop	komputer riba	Komputer riba saya baharu.
last1 (taking time)	berlangsung; tahan	Filem itu berlangsung dua jam.
laughter	ketawa	Kami mendengar ketawa di luar.
law	undang-undang	Undang-undang berubah semalam.
lawyer	peguam	Peguam itu menelefon saya.
lazy	malas	Jangan malas.
lead1	memimpin	Pemimpin baik memimpin melalui teladan.
leader	pemimpin	Dia pemimpin pasukan.
learning	pembelajaran	Pembelajaran mengambil masa.
least	paling sedikit; paling kurang	Pilih yang paling murah.
lecture	kuliah	Kuliah bermula pada pukul sepuluh.
lemon	lemon	Tambah lemon ke dalam teh.
lend	meminjamkan	Bolehkah anda meminjamkan saya lima dolar?
less	kurang	Makan kurang gula.
level	tahap	Tahap ini mudah.
lifestyle	gaya hidup	Dia mempunyai gaya hidup sihat.
lift	mengangkat; lif	Angkat kotak itu dengan berhati-hati.
light	menyalakan	Nyalakan lilin dengan berhati-hati.
light (not heavy)	ringan	Beg ini ringan.
likely	berkemungkinan	Hujan berkemungkinan esok.
link	pautan	Hantar pautan itu kepada saya.
listener	pendengar	Jadilah pendengar yang baik.
lock	mengunci; kunci	Kunci pintu.
lorry	lori	Lori itu membawa kotak.
lost	sesat; hilang	Kami sesat.
loud	kuat; bising	Muzik itu kuat.
loudly	dengan kuat	Tolong jangan bercakap dengan kuat.
lovely	cantik; menyenangkan	Alangkah cantiknya taman itu!
low	rendah	Kerusi itu rendah.
luck	nasib	Semoga berjaya dalam ujian anda.
lucky	bernasib baik	Anda bernasib baik hari ini.
mail	surat; mel	Saya mendapat surat pagi ini.
major	utama; besar	Ini masalah besar.
male	jantan; lelaki	Burung jantan itu terang warnanya.
manage	mengurus; mampu	Bolehkah anda mengurus tugas ini?
manager	pengurus	Pengurus itu sibuk.
manner	cara; adab	Bercakap dengan cara yang sopan.
mark	menandakan; markah	Tandakan jawapan anda dengan jelas.
marry	berkahwin	Mereka akan berkahwin pada bulan Jun.
material	bahan	Bahan ini terasa lembut.
mathematics	matematik	Matematik subjek kegemaran saya.
maths	matematik	Matematik sukar bagi saya.
matter	perkara; penting	Perkara itu tidak penting.
may modal	boleh; mungkin	Anda boleh pergi sekarang.
media	media	Media melaporkan cerita itu.
medical	perubatan	Dia memerlukan bantuan perubatan.
medicine	ubat	Ambil ubat ini selepas makan tengah hari.
memory	ingatan; memori	Ingatan saya baik.
mention	menyebut	Jangan sebut nama saya.
metal	logam	Pintu pagar itu logam.
method	kaedah	Kaedah ini berkesan.
middle	tengah	Berdiri di tengah.
might modal	mungkin	Mungkin hujan nanti.
mind	fikiran	Saya berubah fikiran.
mine (belongs to me)	milik saya	Buku ini milik saya.
mirror	cermin	Lihat dalam cermin.
missing	hilang	Kunci saya hilang.
mobile	telefon bimbit	Telefon bimbit saya di atas meja.
monkey	monyet	Monyet itu memanjat pokok.
moon	bulan	Bulan itu terang.
mostly	kebanyakannya	Kelas itu kebanyakannya senyap.
motorcycle	motosikal	Dia menunggang motosikal.
movement	pergerakan	Saya melihat pergerakan di pokok.
musical	muzikal; berkaitan muzik	Ini filem muzikal.
musician	ahli muzik	Ahli muzik itu bermain gitar.
myself	diri saya sendiri	Saya membuat ini sendiri.
narrow	sempit	Jalan itu sempit.
national	kebangsaan	Ini cuti kebangsaan.
nature	alam semula jadi	Saya suka alam semula jadi.
nearly	hampir	Kita hampir sampai.
necessary	perlu	Adakah ini perlu?
neck	leher	Leher saya sakit.
neither	tiada antara kedua-duanya	Tiada jawapan yang betul.
nervous	gementar	Dia berasa gementar.
network	rangkaian	Rangkaian itu terputus.
noise	bunyi bising	Saya mendengar bunyi bising yang kuat.
noisy	bising	Jalan itu bising.
none	tiada	Tiada seorang pun datang.
normal	biasa	Ini biasa.
normally	biasanya	Saya biasanya bangun awal.
notice	perasan; notis	Adakah anda perasan tanda itu?
novel	novel	Dia menulis novel.
nowhere	tiada tempat	Tiada tempat untuk duduk.
nut	kacang	Kacang itu keras.
ocean	lautan	Lautan itu dalam.
offer	menawarkan; tawaran	Saya menerima tawaran itu.
officer	pegawai	Pegawai itu memeriksa tiket saya.
oil	minyak	Tambah minyak ke dalam kuali.
onto	ke atas	Letakkan ia ke atas rak.
opportunity	peluang	Ini peluang yang baik.
option	pilihan	Pilih pilihan terbaik.
ordinary	biasa	Hari itu hari biasa.
organization	organisasi	Organisasi itu membantu pelajar.
organize	mengatur; menganjurkan	Tolong atur fail itu.
original	asli; asal	Simpan resit asal.
ourselves	diri kami sendiri	Kami memasak makan malam sendiri.
oven	ketuhar	Ketuhar itu panas.
owner	pemilik	Pemilik itu membuka kedai.
pack	mengemas; membungkus	Kemas beg anda sekarang.
