source_headword	LT	example_LT
absolutely	visiškai	Visiškai su tavimi sutinku.
academic	akademinis	Akademiniai metai prasideda rugsėjį.
access	prieiga	Studentams reikia prieigos prie bibliotekos.
accommodation	apgyvendinimas	Užsakėme apgyvendinimą netoli stoties.
account	sąskaita	Ji atidarė naują banko sąskaitą.
achievement	pasiekimas	Kurso baigimas buvo didelis pasiekimas.
ad	reklama	Reklama rodė naują telefoną.
addition	priedas	Baseinas yra naudingas priedas.
admire	žavėtis	Aš žaviuosi jos ramiu požiūriu.
admit	pripažinti	Jis pripažino savo klaidą.
advanced	pažangus	Tai pažangi anglų kalbos klasė.
advise	patarti	Gydytojai pataria reguliariai sportuoti.
afford	įpirkti	Negalime įpirkti taksi.
aged	amžiaus	Kursas skirtas dešimties metų vaikams.
agent	agentas	Kelionių agentas pakeitė mūsų bilietus.
agreement	susitarimas	Šiandien jie pasiekė susitarimą.
ahead	priekyje	Kelias priekyje yra laisvas.
aim	siekti	Siekiame greitai baigti.
alarm	žadintuvas	Žadintuvas suskambo šeštą valandą.
album	albumas	Šiame albume yra dešimt dainų.
alcohol	alkoholis	Viešbutis nepatiekia alkoholio.
alcoholic	alkoholinis	Šis gėrimas nėra alkoholinis.
amazed	nustebęs	Ji buvo nustebusi rezultatu.
ambition	ambicija	Jo ambicija yra tapti pilotu.
ambitious	ambicingas	Ji turi ambicingą planą.
analyse	analizuoti	Mums reikia analizuoti rezultatus.
analysis	analizė	Jos analizė buvo aiški ir kruopšti.
announce	paskelbti	Rytoj jie paskelbs nugalėtoją.
announcement	pranešimas	Pranešimas visus nustebino.
annoy	erzinti	Garsi muzika gali erzinti kaimynus.
annoyed	susierzinęs	Po vėlavimo jis atrodė susierzinęs.
annoying	erzinantis	Tas garsas tikrai erzinantis.
apart	atskirai	Namai yra du metrai vienas nuo kito.
apologize	atsiprašyti	Atsiprašau, kad pavėlavau.
application	paraiška	Prašome užpildyti paraišką internetu.
appointment	vizitas	Rytoj turiu vizitą pas odontologą.
appreciate	vertinti	Vertinu tavo pagalbą.
approximately	maždaug	Pasivaikščiojimas trunka maždaug dvidešimt minučių.
arrest	suimti	Policija suėmė vairuotoją.
arrival	atvykimas	Mūsų atvykimas buvo vėlesnis nei tikėtasi.
assignment	užduotis	Užduotį reikia pateikti penktadienį.
assist	padėti	Slaugytojos padeda gydytojui.
atmosphere	atmosfera	Kavinėje yra rami atmosfera.
attach	pridėti	Pridėk failą prie savo el. laiško.
attitude	požiūris	Po susitikimo jos požiūris pasikeitė.
attract	pritraukti	Ryškios gėlės pritraukia bites.
attraction	lankytina vieta	Pilis yra populiari lankytina vieta.
authority	institucija	Vietos institucija sutaisė kelią.
aware	suvokiantis	Ji suvokia riziką.
backwards	atgal	Jis atsargiai ėjo atgal.
bake	kepti	Kiekvieną sekmadienį kepu duoną.
balance	pusiausvyra	Geri batai padeda išlaikyti pusiausvyrą.
ban	uždrausti	Miestas uždraus automobilius.
bank (river)	upės krantas	Sėdėjome ant upės kranto.
base	bazė	Komanda grįžo į bazę.
basic	pagrindinis	Visiems reikia pagrindinių kompiuterinių įgūdžių.
basis	pagrindas	Pasitikėjimas yra draugystės pagrindas.
battery	baterija	Mano telefono baterija senka.
battle	mūšis	Mūšis truko visą naktį.
beauty	grožis	Grožėjomės kalnų grožiu.
bee	bitė	Bitė nutūpė ant gėlės.
belief	įsitikinimas	Jo įsitikinimas suteikė jam drąsos.
bell	varpas	Mokyklos varpas garsiai suskambo.
bend	lenkti	Sulenk kelius, kai keli.
bite	įkąsti	Šuo gali įkąsti nepažįstamiems žmonėms.
block	blokas	Nuvirtęs medis užblokavo kelią.
bomb	bomba	Bomba apgadino kelis pastatus.
border	siena	Jie naktį kirto sieną.
bother	trukdyti	Prašau, netrukdyk seseriai.
branch	šaka	Per audrą nulūžo šaka.
brand	prekės ženklas	Šis prekės ženklas populiarus tarp studentų.
brave	drąsus	Drąsus vyras išgelbėjo vaiką.
breath	kvėpavimas	Giliai įkvėpk.
breathe	kvėpuoti	Negaliu kvėpuoti šiuose dūmuose.
breathing	kvėpavimas	Jos kvėpavimas buvo lėtas.
bride	nuotaka	Nuotaka vilkėjo baltą suknelę.
bubble	burbulas	Burbulas plūduriavo virš stiklinės.
bury	užkasti	Jie užkasė dėžę smėlyje.
calm	ramus	Per egzaminą išlik ramus.
campaign	kampanija	Kampanija surinko pinigų mokykloms.
campus	universiteto miestelis	Studentai gyvena netoli universiteto miestelio.
candidate	kandidatas	Kiekvienas kandidatas atsakė į tris klausimus.
cap	kepuraitė	Jis dėvėjo beisbolo kepuraitę.
captain	kapitonas	Kapitonas kalbėjo su komanda.
careless	neatsargus	Neatsargi klaida mums kainavo laiko.
category	kategorija	Pasirink teisingą kategoriją.
ceiling	lubos	Lubos buvo nudažytos baltai.
celebration	šventė	Šventė truko visą vakarą.
central	centrinis	Viešbutis yra centrinėje vietoje.
ceremony	ceremonija	Ceremonija prasidėjo vidurdienį.
chain	grandinė	Ji nešiojo sidabrinę grandinę.
challenge	iššūkis	Šis projektas yra tikras iššūkis.
champion	čempionas	Čempionė padėkojo savo trenerei.
channel	kanalas	Pakeisk kanalą, prašau.
chapter	skyrius	Šį vakarą perskaityk kitą skyrių.
charge	mokestis	Vaikams mokesčio nėra.
cheat	sukčiauti	Nesukčiauk per testą.
cheerful	linksmas	Šį rytą ji skambėjo linksmai.
chemical	cheminis	Cheminis kvapas buvo stiprus.
chest	krūtinė	Po bėgimo jam skaudėjo krūtinę.
childhood	vaikystė	Prisimenu savo vaikystės namus.
claim	teigti	Jie teigia, kad produktas saugus.
clause	sakinio dalis	Ši sakinio dalis keičia reikšmę.
click	spustelėti	Spustelėk mėlyną mygtuką.
client	klientas	Klientas paprašė daugiau detalių.
cloth	šluostė	Nuvalyk stalą šia šluoste.
clue	užuomina	Užuomina padėjo mums tai išspręsti.
coal	anglis	Senas traukinys naudojo anglį.
coin	moneta	Jis rado monetą ant grindų.
collection	kolekcija	Jos pašto ženklų kolekcija didelė.
coloured	spalvotas	Ji dėvėjo spalvotą šaliką.
combine	sujungti	Sujunk miltus ir vandenį.
commercial	reklaminis	Reklaminė pertrauka truko penkias minutes.
commit	įsipareigoti	Turime įsipareigoti planui.
communication	bendravimas	Geras bendravimas apsaugo nuo klaidų.
comparison	palyginimas	Šis palyginimas yra naudingas.
competitive	konkurencingas	Rinka yra labai konkurencinga.
competitor	konkurentas	Mūsų pagrindinis konkurentas sumažino kainas.
complaint	skundas	Ji pateikė skundą dėl triukšmo.
complex	sudėtingas	Instrukcijos per sudėtingos.
concentrate	susikaupti	Negaliu susikaupti, kai groja muzika.
conclude	baigti	Dabar baigiame susitikimą.
conclusion	išvada	Jo išvada atrodė pagrįsta.
confident	pasitikintis savimi	Prieš pokalbį ji jautėsi pasitikinti savimi.
confirm	patvirtinti	Prašome patvirtinti savo el. pašto adresą.
confuse	painioti	Šie du vardai mane painioja.
confused	sutrikęs	Dėl žemėlapio jaučiausi sutrikęs.
connection	ryšys	Interneto ryšys lėtas.
consequence	pasekmė	Miego trūkumas turi pasekmę.
consist	susidėti	Valgis susideda iš trijų patiekalų.
consume	vartoti	Dideli automobiliai vartoja daugiau kuro.
consumer	vartotojas	Vartotojas nori aiškios informacijos.
contact	kontaktas	Susisiek su manimi po pietų.
container	indas	Sudėk sriubą į indą.
content1	turinys	Kurso turinys yra naudingas.
continuous	nuolatinis	Mašina skleidė nuolatinį triukšmą.
contrast	kontrastas	Kontrastas tarp jų aiškus.
convenient	patogus	Stotis labai patogi.
convince	įtikinti	Ji įtikino jį pabandyti dar kartą.
costume	kostiumas	Jis dėvėjo pirato kostiumą.
cottage	kotedžas	Jie išsinuomojo mažą kotedžą.
cotton	medvilnė	Šie marškiniai pagaminti iš medvilnės.
countryside	kaimas	Vaikščiojome per kaimo vietovę.
court	teismas	Byla pateko į teismą.
covered	padengtas	Stalas buvo padengtas popieriais.
cruel	žiaurus	Juoktis buvo žiauru.
cultural	kultūrinis	Muziejus siūlo kultūrinius renginius.
currency	valiuta	Vietinė valiuta yra eurai.
current	dabartinis	Dabartinė padėtis yra geresnė.
currently	šiuo metu	Šiuo metu ji dirba iš namų.
curtain	užuolaida	Užuolaida uždengė langą.
custom	paprotys	Šis paprotys labai senas.
damage	žala	Audra padarė rimtos žalos.
decade	dešimtmetis	Jie ten gyveno dešimtmetį.
decorate	dekoruoti	Kambarį dekoruojame kartu.
define	apibrėžti	Ar gali apibrėžti šį terminą?
definite	aiškus	Mums reikia aiškaus atsakymo.
definition	apibrėžimas	Įrašyk apibrėžimą į sąsiuvinį.
deliver	pristatyti	Jie pristato maistą į mūsų namus.
departure	išvykimas	Išvykimo laikas pasikeitė.
despite	nepaisant	Nepaisant lietaus, mes ėjome.
destination	kelionės tikslas	Paryžius buvo jų galutinis kelionės tikslas.
determine	nustatyti	Testai nustato tavo lygį.
determined	ryžtingas	Ji buvo ryžtingai nusiteikusi pasisekti.
development	plėtra	Miestelio plėtra buvo sparti.
diagram	diagrama	Nubraižyk paprastą diagramą.
diamond	deimantas	Žiede buvo mažas deimantas.
difficulty	sunkumas	Jam buvo sunku atidaryti duris.
directly	tiesiogiai	Prašau kalbėti tiesiogiai su manimi.
dirt	purvas	Jo batai buvo aplipę purvu.
disadvantage	trūkumas	Ilga kelionė yra trūkumas.
disappointed	nusivylęs	Ji jautėsi nusivylusi rezultatu.
disappointing	nuviliantis	Pabaiga buvo nuvilianti.
discount	nuolaida	Studentai čia gauna nuolaidą.
dislike	nemėgti	Nemėgstu labai garsios muzikos.
divide	padalyti	Padalyk pyragą į gabalus.
documentary	dokumentinis filmas	Žiūrėjome dokumentinį filmą apie kosmosą.
donate	paaukoti	Daug žmonių paaukoja senus drabužius.
doubt	abejonė	Neturiu dėl to abejonių.
dressed	apsirengęs	Jis buvo apsirengęs juodai.
drum	būgnas	Būgnas skambėjo per visą kambarį.
drunk	girtas	Vairuotojas buvo girtas.
due	privalomas	Ataskaitą reikia pateikti rytoj.
dust	dulkės	Dulkės dengė senas knygas.
duty	pareiga	Mano pareiga yra padėti.
earthquake	žemės drebėjimas	Žemės drebėjimas apgadino tiltą.
eastern	rytinis	Rytinė pakrantė vėjuota.
economic	ekonominis	Šalis susiduria su ekonominėmis problemomis.
economy	ekonomika	Šiemet ekonomika augo.
edge	kraštas	Stovėk toliau nuo krašto.
editor	redaktorius	Redaktorius patikrino straipsnį.
educate	ugdyti	Mokyklos ugdo jaunus žmones.
educated	išsilavinęs	Ji yra labai išsilavinusi.
educational	edukacinis	Žaidimas yra edukacinis.
effective	veiksmingas	Šis vaistas yra veiksmingas.
effectively	veiksmingai	Ji veiksmingai paaiškino taisyklę.
